verb,noun,tag,confidence
face,talk,L,0.1
face,needle,L,0.1
face,maggie,L,0.1
face,cancer,L,0.1
face,virus,L,0.1
face,market,L,0.1
face,enterprise,L,0.1
face,disease,L,0.1
face,dialogue,L,0.1
face,philip,L,0.1
face,infection,L,0.1
face,button,L,0.1
face,tongue,L,0.1
face,harry,L,0.1
face,illness,L,0.1
face,negotiation,L,0.1
face,cross,L,0.1
face,finger,L,0.1
face,journal,L,0.1
face,times,L,0.1
face,draw,L,0.1
face,target,L,0.1
face,magazine,L,0.1
face,mungo,L,0.1
face,hand,L,0.1
face,nail,L,0.1
face,marie,L,0.1
face,thumb,L,0.1
face,susan,L,0.1
face,anne,L,0.1
face,jones,L,0.1
face,switch,L,0.1
face,sector,L,0.1
face,peak,L,0.1
face,white,L,0.1
face,conversation,L,0.1
face,point,L,0.1
face,green,L,0.1
face,stop,L,0.1
face,emily,L,0.1
face,kiss,L,0.1
face,exchange,L,0.1
face,consultation,L,0.1
face,maximum,L,0.1
face,press,L,0.1
face,discussion,L,0.1
face,debate,L,0.1
face,paper,L,0.1
face,feeling,L,0.1
face,rival,L,0.1
face,progress,L,0.1
face,view,L,0.1
face,trousers,L,0.1
face,hair,L,0.1
face,curtain,L,0.1
face,sleeve,L,0.1
face,grin,L,0.1
face,smile,L,0.1
face,importance,L,0.1
face,consequence,L,0.1
face,effect,L,0.1
face,official,L,0.1
face,officer,L,0.1
face,inspector,L,0.1
face,effectiveness,L,0.1
face,validity,L,0.1
face,accuracy,L,0.1
face,tune,L,0.1
face,radio,L,0.1
face,guitar,L,0.1
face,journalist,L,0.1
face,detective,L,0.1
face,constable,L,0.1
face,police,L,0.1
face,policeman,L,0.1
face,trick,L,0.1
face,reporter,L,0.1
face,album,L,0.1
face,conception,L,0.1
face,custom,L,0.1
face,tradition,L,0.1
face,concept,L,0.1
face,museum,L,0.1
face,shop,L,0.1
face,garage,L,0.1
face,restaurant,L,0.1
face,doctrine,L,0.1
face,railway,L,0.1
face,rights,L,0.1
face,capital,L,0.1
face,trophy,L,0.1
face,right,L,0.1
face,privilege,L,0.1
face,resource,L,0.1
face,attention,L,0.1
face,football,L,0.1
face,wealth,L,0.1
face,energy,L,0.1
face,gallery,L,0.1
face,business,L,0.1
face,fund,L,0.1
face,prize,L,0.1
face,tail,L,0.1
face,collar,L,0.1
face,industry,L,0.1
face,economy,L,0.1
face,strand,L,0.1
face,skirt,L,0.1
face,belief,L,0.1
face,ideal,L,0.1
face,reserve,L,0.1
face,motive,L,0.1
face,floor,L,0.1
face,sand,L,0.1
face,stuff,L,0.1
face,ride,L,0.1
face,tour,L,0.1
face,trip,L,0.1
face,flight,L,0.1
face,journey,L,0.1
face,break,L,0.1
face,snow,L,0.1
face,discipline,L,0.1
face,discourse,L,0.1
face,insider,L,0.1
face,patch,L,0.1
face,bottom,L,0.1
face,organ,L,0.1
face,pavement,L,0.1
face,heap,L,0.1
face,mess,L,0.1
face,pile,L,0.1
face,heel,L,0.1
face,grave,L,0.1
face,reward,L,0.1
face,gain,L,0.1
face,savings,L,0.1
face,advantage,L,0.1
face,benefit,L,0.1
face,response,L,0.1
face,behaviour,L,0.1
face,contribution,L,0.1
face,surface,L,0.1
face,suspicion,L,0.1
face,carpet,L,0.1
face,literature,L,0.1
face,earth,L,0.1
face,controversy,L,0.1
face,ladder,L,0.1
face,ridge,L,0.1
face,cliff,L,0.1
face,mountain,L,0.1
face,step,L,0.1
face,hill,L,0.1
face,stair,L,0.1
face,slope,L,0.1
face,downstairs,L,0.1
face,manager,L,0.1
face,personnel,L,0.1
face,ground,L,0.1
face,member,L,0.1
face,teacher,L,0.1
face,worker,L,0.1
face,volunteer,L,0.1
face,culture,L,0.1
face,curriculum,L,0.1
face,english,L,0.1
face,staff,L,0.1
face,corpse,L,0.1
face,writing,L,0.1
face,science,L,0.1
face,language,L,0.1
face,medicine,L,0.1
face,religion,L,0.1
face,employee,L,0.1
face,media,L,0.1
face,lorry,L,0.1
face,estate,L,0.1
face,determination,L,0.1
face,preference,L,0.1
face,interest,L,0.1
face,proportion,L,0.1
face,thanks,L,0.1
face,school,L,0.1
face,embassy,L,0.1
face,office,L,0.1
face,amount,L,0.1
face,clinic,L,0.1
face,port,L,0.1
face,volume,L,0.1
face,answer,L,0.1
face,technique,L,0.1
face,solution,L,0.1
face,hospital,L,0.1
face,proof,L,0.1
face,wish,L,0.1
face,loyalty,L,0.1
face,ally,L,0.1
face,colony,L,0.1
face,commission,L,0.1
face,kingdom,L,0.1
face,administration,L,0.1
face,camp,L,0.1
face,headquarters,L,0.1
face,authority,L,0.1
face,board,L,0.1
face,intention,L,0.1
face,willingness,L,0.1
face,sympathy,L,0.1
face,incident,L,0.1
face,committee,L,0.1
face,engine,L,0.1
face,station,L,0.1
face,majority,L,0.1
face,fraction,L,0.1
face,total,L,0.1
face,country,L,0.1
face,germany,L,0.1
face,leadership,L,0.1
face,ward,L,0.1
face,centre,L,0.1
face,index,L,0.1
face,population,L,0.1
face,value,L,0.1
face,device,L,0.1
face,ministry,L,0.1
face,disk,L,0.1
face,public,L,0.1
face,customer,L,0.1
face,incentive,L,0.1
face,attraction,L,0.1
face,japan,L,0.1
face,israel,L,0.1
face,yard,L,0.1
face,inch,L,0.1
face,average,L,0.1
face,number,L,0.1
face,institute,L,0.1
face,commitment,L,0.1
face,concern,L,0.1
face,china,L,0.1
face,percentage,L,0.1
face,iraq,L,0.1
face,university,L,0.1
face,buyer,L,0.1
face,length,L,0.1
face,college,L,0.1
face,past,L,0.1
face,mile,L,0.1
face,metre,L,0.1
face,distance,L,0.1
face,russia,L,0.1
face,furniture,L,0.1
face,department,L,0.1
face,council,L,0.1
face,partner,L,0.1
face,rating,L,0.1
face,delight,L,0.1
face,leeds,L,0.1
face,relief,L,0.1
face,wages,L,0.1
face,surprise,L,0.1
face,explanation,L,0.1
face,strategy,L,0.1
face,approach,L,0.1
face,tactic,L,0.1
face,compromise,L,0.1
face,republic,L,0.1
face,girl,L,0.1
face,happiness,L,0.1
face,liverpool,L,0.1
face,method,L,0.1
face,player,L,0.1
face,squad,L,0.1
face,team,L,0.1
face,club,L,0.1
face,competitor,L,0.1
face,walk,L,0.1
face,season,L,0.1
face,comfort,L,0.1
face,holiday,L,0.1
face,mark,L,0.1
face,tube,L,0.1
face,lock,L,0.1
face,tank,L,0.1
face,salary,L,0.1
face,champion,L,0.1
face,star,L,0.1
face,winner,L,0.1
face,county,L,0.1
face,satisfaction,L,0.1
face,warmth,L,0.1
face,horror,L,0.1
face,weakness,L,0.1
face,airport,L,0.1
face,prison,L,0.1
face,london,L,0.1
face,kong,L,0.1
face,rome,L,0.1
face,washington,L,0.1
face,paris,L,0.1
face,oxford,L,0.1
face,faction,L,0.1
face,consumer,L,0.1
face,defect,L,0.1
face,filter,L,0.1
face,battery,L,0.1
face,user,L,0.1
face,medium,L,0.1
face,moscow,L,0.1
face,joint,L,0.1
face,circuit,L,0.1
face,pleasure,L,0.1
face,other,L,0.1
face,woman,L,0.1
face,procedure,L,0.1
face,child,L,0.1
face,person,L,0.1
face,people,L,0.1
face,government,L,0.1
face,rent,L,0.1
face,rate,L,0.1
face,accident,L,0.1
face,crash,L,0.1
face,shareholder,L,0.1
face,reader,L,0.1
face,price,L,0.1
face,dividend,L,0.1
face,premium,L,0.1
face,share,L,0.1
face,chance,L,0.1
face,client,L,0.1
face,goal,L,0.1
face,truck,L,0.1
face,train,L,0.1
face,vehicle,L,0.1
face,disorder,L,0.1
face,stock,L,0.1
face,bike,L,0.1
face,carriage,L,0.1
face,expedition,L,0.1
face,initiative,L,0.1
face,drive,L,0.1
face,effort,L,0.1
face,campaign,L,0.1
face,charity,L,0.1
face,mission,L,0.1
face,instrument,L,0.1
face,hunt,L,0.1
face,scandal,L,0.1
face,coach,L,0.1
face,publicity,L,0.1
face,uncertainty,L,0.1
face,holder,L,0.1
face,purchaser,L,0.1
face,applicant,L,0.1
face,creditor,L,0.1
face,vendor,L,0.1
face,defendant,L,0.1
face,seller,L,0.1
face,tenant,L,0.1
face,landlord,L,0.1
face,plaintiff,L,0.1
face,chaos,L,0.1
face,speculation,L,0.1
face,taxi,L,0.1
face,confusion,L,0.1
face,venture,L,0.1
face,restriction,L,0.1
face,triumph,L,0.1
face,subsidiary,L,0.1
face,nigel,L,0.1
face,performance,L,0.1
face,newspaper,L,0.1
face,edition,L,0.1
face,jack,L,0.1
face,limitation,L,0.1
face,jane,L,0.1
face,grass,L,0.1
face,currency,L,0.1
face,portfolio,L,0.1
face,holding,L,0.1
face,soil,L,0.1
face,property,L,0.1
face,acre,L,0.1
face,conduct,L,0.1
face,achievement,L,0.1
face,reaction,L,0.1
face,stake,L,0.1
