verb,noun,tag,confidence
abandon,village,L,0.1
abandon,simon,L,0.1
abandon,speech,L,0.1
abandon,poem,L,0.1
abandon,verse,L,0.1
abandon,lesson,L,0.1
abandon,prayer,L,0.1
abandon,script,L,0.1
abandon,dance,L,0.1
abandon,lecture,L,0.1
abandon,bible,L,0.1
abandon,novel,L,0.1
abandon,poetry,L,0.1
abandon,ownership,L,0.1
abandon,jurisdiction,L,0.1
abandon,peter,L,0.1
abandon,tony,L,0.1
abandon,sergeant,L,0.1
abandon,luke,L,0.1
abandon,howard,L,0.1
abandon,capacity,L,0.1
abandon,talent,L,0.1
abandon,protocol,L,0.1
abandon,convention,L,0.1
abandon,deal,L,0.1
abandon,contract,L,0.1
abandon,agreement,L,0.1
abandon,treaty,L,0.1
abandon,sensitivity,L,0.1
abandon,intelligence,L,0.1
abandon,michael,L,0.1
abandon,lucy,L,0.1
abandon,division,L,0.1
abandon,pair,L,0.1
abandon,major,L,0.1
abandon,thatcher,L,0.1
abandon,chancellor,L,0.1
abandon,baker,L,0.1
abandon,clarke,L,0.1
abandon,gorbachev,L,0.1
abandon,bush,L,0.1
abandon,clinton,L,0.1
abandon,kelly,L,0.1
abandon,henry,L,0.1
abandon,accuracy,L,0.1
abandon,validity,L,0.1
abandon,effectiveness,L,0.1
abandon,smile,L,0.1
abandon,ability,L,0.1
abandon,graham,L,0.1
abandon,paul,L,0.1
abandon,class,L,0.1
abandon,captain,L,0.1
abandon,collection,L,0.1
abandon,category,L,0.1
abandon,group,L,0.1
abandon,grin,L,0.1
abandon,cast,L,0.1
abandon,rank,L,0.1
abandon,family,L,0.1
abandon,party,L,0.1
abandon,household,L,0.1
abandon,unit,L,0.1
abandon,band,L,0.1
abandon,charlie,L,0.1
abandon,capability,L,0.1
abandon,quality,L,0.1
abandon,power,L,0.1
abandon,mortgage,L,0.1
abandon,deposit,L,0.1
abandon,insurance,L,0.1
abandon,debt,L,0.1
abandon,loan,L,0.1
abandon,seconds,L,0.1
abandon,count,L,0.1
abandon,moment,L,0.1
abandon,string,L,0.1
abandon,chain,L,0.1
abandon,belt,L,0.1
abandon,ship,L,0.1
abandon,craft,L,0.1
abandon,plane,L,0.1
abandon,while,L,0.1
abandon,carrier,L,0.1
abandon,credit,L,0.1
abandon,finance,L,0.1
abandon,diana,L,0.1
abandon,james,L,0.1
abandon,edward,L,0.1
abandon,queen,L,0.1
abandon,richard,L,0.1
abandon,duke,L,0.1
abandon,charles,L,0.1
abandon,elizabeth,L,0.1
abandon,helicopter,L,0.1
abandon,vessel,L,0.1
abandon,earl,L,0.1
abandon,princess,L,0.1
abandon,boat,L,0.1
abandon,kinnock,L,0.1
abandon,father,L,0.1
abandon,husband,L,0.1
abandon,control,L,0.1
abandon,robert,L,0.1
abandon,francis,L,0.1
abandon,john,L,0.1
abandon,david,L,0.1
abandon,george,L,0.1
abandon,sister,L,0.1
abandon,daughter,L,0.1
abandon,parent,L,0.1
abandon,relative,L,0.1
abandon,lover,L,0.1
abandon,cousin,L,0.1
abandon,friend,L,0.1
abandon,joseph,L,0.1
abandon,brother,L,0.1
abandon,discretion,L,0.1
abandon,wife,L,0.1
abandon,life,L,0.1
abandon,thinking,L,0.1
abandon,career,L,0.1
abandon,affair,L,0.1
abandon,pursuit,L,0.1
abandon,sport,L,0.1
abandon,profession,L,0.1
abandon,occupation,L,0.1
abandon,reading,L,0.1
abandon,trading,L,0.1
abandon,practice,L,0.1
abandon,politics,L,0.1
abandon,mother,L,0.1
abandon,influence,L,0.1
abandon,king,L,0.1
abandon,spokesman,L,0.1
abandon,white,L,0.1
abandon,petition,L,0.1
abandon,decree,L,0.1
abandon,warrant,L,0.1
abandon,notice,L,0.1
abandon,lease,L,0.1
abandon,certificate,L,0.1
abandon,charter,L,0.1
abandon,mystery,L,0.1
abandon,trouble,L,0.1
abandon,thousand,L,0.1
abandon,citizen,L,0.1
abandon,sort,L,0.1
abandon,type,L,0.1
abandon,face,L,0.1
abandon,nose,L,0.1
abandon,thigh,L,0.1
abandon,variety,L,0.1
abandon,range,L,0.1
abandon,degree,L,0.1
abandon,kind,L,0.1
abandon,series,L,0.1
abandon,form,L,0.1
abandon,inhabitant,L,0.1
abandon,forehead,L,0.1
abandon,resident,L,0.1
abandon,minority,L,0.1
abandon,youngster,L,0.1
abandon,refugee,L,0.1
abandon,peasant,L,0.1
abandon,recording,L,0.1
abandon,music,L,0.1
abandon,tape,L,0.1
abandon,song,L,0.1
abandon,dividend,L,0.1
abandon,image,L,0.1
abandon,flavour,L,0.1
abandon,impression,L,0.1
abandon,atmosphere,L,0.1
abandon,currency,L,0.1
abandon,portfolio,L,0.1
abandon,holding,L,0.1
abandon,restriction,L,0.1
abandon,limit,L,0.1
abandon,constraint,L,0.1
abandon,punishment,L,0.1
abandon,sanction,L,0.1
abandon,penalty,L,0.1
abandon,miner,L,0.1
abandon,property,L,0.1
abandon,estate,L,0.1
abandon,share,L,0.1
abandon,sense,L,0.1
abandon,appearance,L,0.1
abandon,declaration,L,0.1
abandon,stuff,L,0.1
abandon,organ,L,0.1
abandon,football,L,0.1
abandon,album,L,0.1
abandon,trick,L,0.1
abandon,guitar,L,0.1
abandon,radio,L,0.1
abandon,limitation,L,0.1
abandon,tune,L,0.1
abandon,acre,L,0.1
abandon,cheek,L,0.1
abandon,palm,L,0.1
abandon,hundred,L,0.1
abandon,controversy,L,0.1
abandon,wright,L,0.1
abandon,lewis,L,0.1
abandon,cook,L,0.1
abandon,morgan,L,0.1
abandon,nurse,L,0.1
abandon,solicitor,L,0.1
abandon,practitioner,L,0.1
abandon,expert,L,0.1
abandon,doctor,L,0.1
abandon,lawyer,L,0.1
abandon,professional,L,0.1
abandon,shareholder,L,0.1
abandon,reader,L,0.1
abandon,scandal,L,0.1
abandon,consumer,L,0.1
abandon,buyer,L,0.1
abandon,public,L,0.1
abandon,architect,L,0.1
abandon,walker,L,0.1
abandon,brown,L,0.1
abandon,smith,L,0.1
abandon,thomas,L,0.1
abandon,jackson,L,0.1
abandon,customer,L,0.1
abandon,client,L,0.1
abandon,investor,L,0.1
abandon,scott,L,0.1
abandon,johnson,L,0.1
abandon,jones,L,0.1
abandon,user,L,0.1
abandon,ford,L,0.1
abandon,confusion,L,0.1
abandon,sand,L,0.1
abandon,rumour,L,0.1
abandon,publicity,L,0.1
abandon,accountant,L,0.1
abandon,engineer,L,0.1
abandon,designer,L,0.1
abandon,specialist,L,0.1
abandon,williams,L,0.1
abandon,grass,L,0.1
abandon,soil,L,0.1
abandon,grave,L,0.1
abandon,heel,L,0.1
abandon,wilson,L,0.1
abandon,martin,L,0.1
abandon,miller,L,0.1
abandon,floor,L,0.1
abandon,taylor,L,0.1
abandon,chaos,L,0.1
abandon,speculation,L,0.1
abandon,pile,L,0.1
abandon,mess,L,0.1
abandon,heap,L,0.1
abandon,surface,L,0.1
abandon,pavement,L,0.1
abandon,bottom,L,0.1
abandon,patch,L,0.1
abandon,snow,L,0.1
abandon,carpet,L,0.1
abandon,ground,L,0.1
abandon,corpse,L,0.1
abandon,earth,L,0.1
abandon,uncertainty,L,0.1
abandon,price,L,0.1
abandon,prince,L,0.1
abandon,aircraft,L,0.1
abandon,weapon,L,0.1
abandon,horn,L,0.1
abandon,knife,L,0.1
abandon,blade,L,0.1
abandon,stick,L,0.1
abandon,sword,L,0.1
abandon,light,L,0.1
abandon,reflection,L,0.1
abandon,moon,L,0.1
abandon,clock,L,0.1
abandon,dawn,L,0.1
abandon,watch,L,0.1
abandon,camera,L,0.1
abandon,shaft,L,0.1
abandon,ankle,L,0.1
abandon,mirror,L,0.1
abandon,sunlight,L,0.1
abandon,screen,L,0.1
abandon,discipline,L,0.1
abandon,discourse,L,0.1
abandon,waist,L,0.1
abandon,neck,L,0.1
abandon,wrist,L,0.1
abandon,insider,L,0.1
abandon,present,L,0.1
abandon,gift,L,0.1
abandon,receipt,L,0.1
abandon,cheque,L,0.1
abandon,card,L,0.1
abandon,handle,L,0.1
abandon,ceiling,L,0.1
abandon,beam,L,0.1
abandon,literature,L,0.1
abandon,relation,L,0.1
abandon,eyebrow,L,0.1
abandon,door,L,0.1
abandon,window,L,0.1
abandon,blanket,L,0.1
abandon,brow,L,0.1
abandon,culture,L,0.1
abandon,curriculum,L,0.1
abandon,background,L,0.1
abandon,grounds,L,0.1
abandon,perspective,L,0.1
abandon,means,L,0.1
abandon,context,L,0.1
abandon,reason,L,0.1
abandon,pass,L,0.1
abandon,basis,L,0.1
abandon,setting,L,0.1
abandon,foundation,L,0.1
abandon,medium,L,0.1
abandon,framework,L,0.1
abandon,purpose,L,0.1
abandon,entity,L,0.1
abandon,base,L,0.1
abandon,english,L,0.1
abandon,writing,L,0.1
abandon,media,L,0.1
abandon,science,L,0.1
abandon,language,L,0.1
abandon,medicine,L,0.1
abandon,religion,L,0.1
abandon,source,L,0.1
abandon,ticket,L,0.1
abandon,procedure,L,0.1
abandon,method,L,0.1
abandon,signal,L,0.1
abandon,invitation,L,0.1
abandon,command,L,0.1
abandon,recovery,L,0.1
abandon,interaction,L,0.1
abandon,transformation,L,0.1
abandon,transition,L,0.1
abandon,identification,L,0.1
abandon,implementation,L,0.1
abandon,evolution,L,0.1
abandon,establishment,L,0.1
abandon,acquisition,L,0.1
abandon,integration,L,0.1
abandon,purchase,L,0.1
abandon,offer,L,0.1
abandon,carriage,L,0.1
abandon,comment,L,0.1
abandon,news,L,0.1
abandon,message,L,0.1
abandon,instruction,L,0.1
abandon,reply,L,0.1
abandon,call,L,0.1
abandon,bike,L,0.1
abandon,vehicle,L,0.1
abandon,train,L,0.1
abandon,truck,L,0.1
abandon,lorry,L,0.1
abandon,coach,L,0.1
abandon,taxi,L,0.1
abandon,request,L,0.1
abandon,warning,L,0.1
abandon,sheet,L,0.1
abandon,remark,L,0.1
abandon,edition,L,0.1
abandon,compromise,L,0.1
abandon,tactic,L,0.1
abandon,approach,L,0.1
abandon,strategy,L,0.1
abandon,explanation,L,0.1
abandon,copy,L,0.1
abandon,times,L,0.1
abandon,journal,L,0.1
abandon,magazine,L,0.1
abandon,answer,L,0.1
abandon,technique,L,0.1
abandon,solution,L,0.1
abandon,proof,L,0.1
abandon,formula,L,0.1
abandon,newspaper,L,0.1
