verb,noun,tag,confidence
gain,symptom,L,0.1
gain,pass,L,0.1
gain,norm,L,0.1
gain,shortage,L,0.1
gain,specification,L,0.1
gain,pilot,L,0.1
gain,exposure,L,0.1
gain,recognition,L,0.1
gain,bill,L,0.1
gain,need,L,0.1
gain,safety,L,0.1
gain,access,L,0.1
gain,demand,L,0.1
gain,priority,L,0.1
gain,requirement,L,0.1
gain,objective,L,0.1
gain,compliance,L,0.1
gain,guideline,L,0.1
gain,acceptance,L,0.1
gain,motion,L,0.1
gain,separation,L,0.1
gain,christian,L,0.1
gain,sanction,L,0.1
gain,legislation,L,0.1
gain,talk,L,0.1
gain,discussion,L,0.1
gain,penalty,L,0.1
gain,limitation,L,0.1
gain,entry,L,0.1
gain,amendment,L,0.1
gain,voter,L,0.1
gain,licence,L,0.1
gain,table,L,0.1
gain,cheque,L,0.1
gain,attention,L,0.1
gain,application,L,0.1
gain,grave,L,0.1
gain,resource,L,0.1
gain,allegation,L,0.1
gain,claim,L,0.1
gain,objection,L,0.1
gain,traffic,L,0.1
gain,consumption,L,0.1
gain,retirement,L,0.1
gain,scot,L,0.1
gain,discovery,L,0.1
gain,wealth,L,0.1
gain,production,L,0.1
gain,replacement,L,0.1
gain,import,L,0.1
gain,withdrawal,L,0.1
gain,isolation,L,0.1
gain,caution,L,0.1
gain,respect,L,0.1
gain,fashion,L,0.1
gain,sale,L,0.1
gain,suggestion,L,0.1
gain,manner,L,0.1
gain,removal,L,0.1
gain,return,L,0.1
gain,export,L,0.1
gain,soil,L,0.1
gain,grass,L,0.1
gain,mirror,L,0.1
gain,criterion,L,0.1
gain,roof,L,0.1
gain,desk,L,0.1
gain,receipt,L,0.1
gain,agenda,L,0.1
gain,standard,L,0.1
gain,counter,L,0.1
gain,wall,L,0.1
gain,rule,L,0.1
gain,french,L,0.1
gain,criticism,L,0.1
gain,german,L,0.1
gain,expectation,L,0.1
gain,introduction,L,0.1
gain,plant,L,0.1
gain,appeal,L,0.1
gain,arrest,L,0.1
gain,gift,L,0.1
gain,present,L,0.1
gain,charge,L,0.1
gain,invitation,L,0.1
gain,signal,L,0.1
gain,offer,L,0.1
gain,closure,L,0.1
gain,screen,L,0.1
gain,remark,L,0.1
gain,sunlight,L,0.1
gain,card,L,0.1
gain,code,L,0.1
gain,rome,L,0.1
gain,crew,L,0.1
gain,break,L,0.1
gain,holiday,L,0.1
gain,anniversary,L,0.1
gain,season,L,0.1
gain,walk,L,0.1
gain,resolution,L,0.1
gain,command,L,0.1
gain,warning,L,0.1
gain,inflation,L,0.1
gain,unemployment,L,0.1
gain,pollution,L,0.1
gain,comment,L,0.1
gain,news,L,0.1
gain,message,L,0.1
gain,harm,L,0.1
gain,input,L,0.1
gain,meat,L,0.1
gain,cake,L,0.1
gain,food,L,0.1
gain,slice,L,0.1
gain,apple,L,0.1
gain,force,L,0.1
gain,potato,L,0.1
gain,bread,L,0.1
gain,inequality,L,0.1
gain,fruit,L,0.1
gain,soldier,L,0.1
gain,approval,L,0.1
gain,expenditure,L,0.1
gain,deficit,L,0.1
gain,journey,L,0.1
gain,flight,L,0.1
gain,trip,L,0.1
gain,cost,L,0.1
gain,risk,L,0.1
gain,expense,L,0.1
gain,bedroom,L,0.1
gain,tour,L,0.1
gain,kitchen,L,0.1
gain,cupboard,L,0.1
gain,interior,L,0.1
gain,corridor,L,0.1
gain,london,L,0.1
gain,million,L,0.1
gain,emission,L,0.1
gain,dollar,L,0.1
gain,budget,L,0.1
gain,spending,L,0.1
gain,room,L,0.1
gain,fleet,L,0.1
gain,knight,L,0.1
gain,army,L,0.1
gain,instruction,L,0.1
gain,birthday,L,0.1
gain,seed,L,0.1
gain,statute,L,0.1
gain,directive,L,0.1
gain,rebel,L,0.1
gain,guard,L,0.1
gain,clause,L,0.1
gain,kong,L,0.1
gain,constitution,L,0.1
gain,excess,L,0.1
gain,leaf,L,0.1
gain,ride,L,0.1
gain,visit,L,0.1
gain,deck,L,0.1
gain,bench,L,0.1
gain,shelf,L,0.1
gain,root,L,0.1
gain,supporter,L,0.1
gain,fence,L,0.1
gain,discrimination,L,0.1
gain,conversation,L,0.1
gain,negotiation,L,0.1
gain,regulation,L,0.1
gain,troops,L,0.1
gain,rose,L,0.1
gain,height,L,0.1
gain,wood,L,0.1
gain,stem,L,0.1
gain,damage,L,0.1
gain,injury,L,0.1
gain,poverty,L,0.1
gain,delay,L,0.1
gain,injunction,L,0.1
gain,fund,L,0.1
gain,concession,L,0.1
gain,permission,L,0.1
gain,consent,L,0.1
gain,york,L,0.1
gain,moscow,L,0.1
gain,garden,L,0.1
gain,money,L,0.1
gain,pitch,L,0.1
gain,reply,L,0.1
gain,forest,L,0.1
gain,direction,L,0.1
gain,grin,L,0.1
gain,call,L,0.1
gain,let,L,0.1
gain,exchange,L,0.1
gain,energy,L,0.1
gain,reserve,L,0.1
gain,grain,L,0.1
gain,spread,L,0.1
gain,garage,L,0.1
gain,opponent,L,0.1
gain,cabinet,L,0.1
gain,trial,L,0.1
gain,review,L,0.1
gain,surgery,L,0.1
gain,examination,L,0.1
gain,phrase,L,0.1
gain,deputy,L,0.1
gain,shaft,L,0.1
gain,vote,L,0.1
gain,tory,L,0.1
gain,labour,L,0.1
gain,conservative,L,0.1
gain,expression,L,0.1
gain,quot,L,0.1
gain,election,L,0.1
gain,thought,L,0.1
gain,prime,L,0.1
gain,referendum,L,0.1
gain,understanding,L,0.1
gain,part,L,0.1
gain,address,L,0.1
gain,joke,L,0.1
gain,gesture,L,0.1
gain,plenty,L,0.1
gain,constituency,L,0.1
gain,touch,L,0.1
gain,february,L,0.1
gain,summer,L,0.1
gain,weekend,L,0.1
gain,spring,L,0.1
gain,autumn,L,0.1
gain,poll,L,0.1
gain,winter,L,0.1
gain,sand,L,0.1
gain,democrat,L,0.1
gain,tunnel,L,0.1
gain,landing,L,0.1
gain,terrace,L,0.1
gain,area,L,0.1
gain,boundary,L,0.1
gain,zone,L,0.1
gain,district,L,0.1
gain,side,L,0.1
gain,formula,L,0.1
gain,region,L,0.1
gain,routine,L,0.1
gain,habit,L,0.1
gain,entrance,L,0.1
gain,honour,L,0.1
gain,brand,L,0.1
gain,site,L,0.1
gain,location,L,0.1
gain,domain,L,0.1
gain,field,L,0.1
gain,floor,L,0.1
gain,accuracy,L,0.1
gain,road,L,0.1
gain,validity,L,0.1
gain,expertise,L,0.1
gain,insight,L,0.1
gain,path,L,0.1
gain,score,L,0.1
gain,plot,L,0.1
gain,colour,L,0.1
gain,outline,L,0.1
gain,representative,L,0.1
gain,congress,L,0.1
gain,province,L,0.1
gain,territory,L,0.1
gain,remainder,L,0.1
gain,hint,L,0.1
gain,trace,L,0.1
gain,rest,L,0.1
gain,delegate,L,0.1
gain,candidate,L,0.1
gain,clock,L,0.1
gain,councillor,L,0.1
gain,parliament,L,0.1
gain,palace,L,0.1
gain,assembly,L,0.1
gain,stomach,L,0.1
gain,knowledge,L,0.1
gain,ground,L,0.1
gain,corpse,L,0.1
gain,check,L,0.1
gain,town,L,0.1
gain,castle,L,0.1
gain,successor,L,0.1
gain,india,L,0.1
gain,limb,L,0.1
gain,italy,L,0.1
gain,interview,L,0.1
gain,france,L,0.1
gain,middle,L,0.1
gain,scotland,L,0.1
gain,test,L,0.1
gain,inspection,L,0.1
gain,england,L,0.1
gain,europe,L,0.1
gain,britain,L,0.1
gain,ireland,L,0.1
gain,wales,L,0.1
gain,australia,L,0.1
gain,spain,L,0.1
gain,africa,L,0.1
gain,america,L,0.1
gain,earth,L,0.1
gain,shape,L,0.1
gain,corner,L,0.1
gain,doorway,L,0.1
gain,awareness,L,0.1
gain,core,L,0.1
gain,mind,L,0.1
gain,vein,L,0.1
gain,soul,L,0.1
gain,chest,L,0.1
gain,spine,L,0.1
gain,bulk,L,0.1
gain,minimum,L,0.1
gain,array,L,0.1
gain,half,L,0.1
gain,mass,L,0.1
gain,whole,L,0.1
gain,portion,L,0.1
gain,equivalent,L,0.1
gain,pulse,L,0.1
gain,camera,L,0.1
gain,capital,L,0.1
gain,dawn,L,0.1
gain,watch,L,0.1
gain,brain,L,0.1
gain,temple,L,0.1
gain,breast,L,0.1
gain,flesh,L,0.1
gain,muscle,L,0.1
gain,hearing,L,0.1
gain,nerve,L,0.1
gain,skin,L,0.1
gain,throat,L,0.1
gain,heart,L,0.1
gain,tooth,L,0.1
gain,mouth,L,0.1
gain,village,L,0.1
gain,left,L,0.1
gain,diet,L,0.1
gain,style,L,0.1
gain,mode,L,0.1
gain,pace,L,0.1
gain,fire,L,0.1
gain,store,L,0.1
gain,drive,L,0.1
gain,effort,L,0.1
gain,campaign,L,0.1
gain,margin,L,0.1
gain,constraint,L,0.1
gain,charity,L,0.1
gain,factory,L,0.1
gain,mill,L,0.1
gain,library,L,0.1
gain,colony,L,0.1
gain,ally,L,0.1
gain,punishment,L,0.1
gain,ease,L,0.1
gain,speed,L,0.1
gain,estimate,L,0.1
gain,satisfaction,L,0.1
gain,warmth,L,0.1
gain,crown,L,0.1
gain,horror,L,0.1
gain,title,L,0.1
gain,pleasure,L,0.1
gain,expedition,L,0.1
gain,initiative,L,0.1
gain,torch,L,0.1
gain,pipe,L,0.1
gain,gold,L,0.1
gain,equation,L,0.1
gain,survival,L,0.1
gain,thing,L,0.1
gain,word,L,0.1
gain,studio,L,0.1
gain,happiness,L,0.1
gain,theatre,L,0.1
gain,museum,L,0.1
gain,farmer,L,0.1
gain,stair,L,0.1
gain,hill,L,0.1
gain,step,L,0.1
gain,mountain,L,0.1
gain,cliff,L,0.1
gain,slope,L,0.1
gain,ridge,L,0.1
gain,curve,L,0.1
gain,rejection,L,0.1
gain,resignation,L,0.1
gain,gallery,L,0.1
gain,contempt,L,0.1
gain,appointment,L,0.1
gain,ladder,L,0.1
gain,downstairs,L,0.1
gain,venture,L,0.1
gain,hunt,L,0.1
gain,shop,L,0.1
gain,restaurant,L,0.1
gain,railway,L,0.1
gain,iraq,L,0.1
gain,faction,L,0.1
gain,politician,L,0.1
gain,republic,L,0.1
gain,release,L,0.1
gain,spectrum,L,0.1
gain,profile,L,0.1
gain,angle,L,0.1
gain,flow,L,0.1
gain,output,L,0.1
gain,supply,L,0.1
gain,mission,L,0.1
gain,russian,L,0.1
gain,request,L,0.1
gain,surprise,L,0.1
gain,delight,L,0.1
gain,passage,L,0.1
gain,sentence,L,0.1
gain,term,L,0.1
gain,experience,L,0.1
gain,nation,L,0.1
gain,state,L,0.1
gain,description,L,0.1
gain,leadership,L,0.1
gain,stroke,L,0.1
gain,bullet,L,0.1
gain,sphere,L,0.1
gain,smile,L,0.1
gain,year,L,0.1
gain,month,L,0.1
gain,effectiveness,L,0.1
gain,arrow,L,0.1
