verb,noun,tag,confidence
jail,plot,L,0.1
jail,formula,L,0.1
jail,score,L,0.1
jail,revolution,L,0.1
jail,guideline,N,1.0
jail,membership,L,0.1
jail,button,L,0.1
jail,availability,L,0.1
jail,minute,L,0.1
jail,author,L,0.1
jail,switch,L,0.1
jail,investment,N,0.5
jail,tongue,L,0.1
jail,finger,L,0.1
jail,representation,L,0.1
jail,protest,L,0.1
jail,collar,L,0.1
jail,tail,L,0.1
jail,need,N,1.0
jail,demand,N,1.0
jail,organism,N,1.0
jail,priority,N,1.0
jail,employment,N,0.5
jail,kiss,L,0.1
jail,schedule,L,0.1
jail,needle,L,0.1
jail,questionnaire,L,0.1
jail,database,L,0.1
jail,lifespan,L,0.1
jail,thumb,L,0.1
jail,nail,L,0.1
jail,hand,L,0.1
jail,allocation,L,0.1
jail,advertising,L,0.1
jail,expectation,N,1.0
jail,objective,N,1.0
jail,rule,N,1.0
jail,grade,L,0.1
jail,provision,L,0.1
jail,standard,N,1.0
jail,parameter,L,0.1
jail,equation,L,0.1
jail,estimate,L,0.1
jail,spectrum,L,0.1
jail,requirement,N,1.0
jail,profile,L,0.1
jail,agenda,N,1.0
jail,criterion,N,1.0
jail,gain,L,0.1
jail,text,L,0.1
jail,cake,L,0.1
jail,evening,L,0.1
jail,sleeve,L,0.1
jail,time,L,0.1
jail,benefit,L,0.1
jail,curtain,L,0.1
jail,code,N,1.0
jail,acid,N,1.0
jail,food,L,0.1
jail,cliff,L,0.1
jail,attack,L,0.1
jail,intervention,L,0.1
jail,trousers,L,0.1
jail,mountain,L,0.1
jail,taste,L,0.1
jail,step,L,0.1
jail,vision,L,0.1
jail,image,L,0.1
jail,hair,L,0.1
jail,afternoon,L,0.1
jail,protein,N,1.0
jail,slice,L,0.1
jail,diary,L,0.1
jail,ladder,L,0.1
jail,roll,L,0.1
jail,curve,L,0.1
jail,ridge,L,0.1
jail,chart,L,0.1
jail,gene,N,1.0
jail,tissue,N,1.0
jail,savings,L,0.1
jail,reward,L,0.1
jail,advantage,L,0.1
jail,cell,N,1.0
jail,list,L,0.1
jail,mood,L,0.1
jail,catalogue,L,0.1
jail,particle,N,1.0
jail,fragment,N,1.0
jail,bacterium,N,1.0
jail,apple,L,0.1
jail,flavour,L,0.1
jail,specification,N,1.0
jail,hill,L,0.1
jail,impression,L,0.1
jail,gentleman,L,0.1
jail,norm,N,1.0
jail,file,L,0.1
jail,compound,N,1.0
jail,molecule,N,1.0
jail,definition,L,0.1
jail,focus,L,0.1
jail,sister,L,0.1
jail,module,L,0.1
jail,menu,L,0.1
jail,record,L,0.1
jail,register,L,0.1
jail,daughter,L,0.1
jail,parent,L,0.1
jail,selection,L,0.1
jail,hour,L,0.1
jail,strand,L,0.1
jail,morning,L,0.1
jail,night,L,0.1
jail,whilst,L,0.1
jail,horizon,L,0.1
jail,complex,N,1.0
jail,researcher,L,0.1
jail,atmosphere,L,0.1
jail,sense,L,0.1
jail,appearance,L,0.1
jail,thousand,N,0.5
jail,citizen,N,0.5
jail,skirt,L,0.1
jail,stair,L,0.1
jail,inhabitant,N,0.5
jail,strike,L,0.1
jail,resident,N,0.5
jail,minority,N,0.5
jail,youngster,N,0.5
jail,refugee,N,0.5
jail,peasant,N,0.5
jail,slope,L,0.1
jail,downstairs,L,0.1
jail,miner,N,0.5
jail,hundred,N,0.5
jail,poet,L,0.1
jail,speaker,L,0.1
jail,potato,L,0.1
jail,entrance,L,0.1
jail,collection,L,0.6666666666666666
jail,guide,L,0.1
jail,fibre,L,0.1
jail,chemical,L,0.1
jail,advertisement,L,0.1
jail,document,L,0.1
jail,report,L,0.1
jail,article,L,0.1
jail,letter,L,0.1
jail,drop,L,0.1
jail,temperature,L,0.1
jail,incidence,L,0.1
jail,intensity,L,0.1
jail,depth,L,0.1
jail,level,L,0.1
jail,consensus,L,0.1
jail,partnership,L,0.1
jail,resistance,L,0.1
jail,draft,L,0.1
jail,hell,L,0.1
jail,account,L,0.1
jail,cream,L,0.1
jail,coach,L,0.1
jail,lorry,L,0.1
jail,truck,L,0.1
jail,train,L,0.1
jail,vehicle,L,0.1
jail,mixture,L,0.1
jail,salt,L,0.1
jail,dose,L,0.1
jail,ingredient,L,0.1
jail,bike,L,0.1
jail,carriage,L,0.1
jail,sugar,L,0.1
jail,substance,L,0.1
jail,drug,L,0.1
jail,book,L,0.1
jail,statement,L,0.1
jail,milk,L,0.1
jail,alcohol,L,0.1
jail,taxi,L,0.1
jail,defender,L,0.1
jail,newspaper,L,0.1
jail,religion,L,0.1
jail,test,N,1.0
jail,inspection,N,1.0
jail,check,N,1.0
jail,hearing,N,1.0
jail,trial,N,1.0
jail,review,N,1.0
jail,medicine,L,0.1
jail,prisoner,L,0.1
jail,teenager,L,0.1
jail,bull,L,0.1
jail,language,L,0.1
jail,paint,L,0.1
jail,science,L,0.1
jail,blood,L,0.1
jail,water,L,0.1
jail,surgery,N,1.0
jail,literature,L,0.1
jail,driver,L,0.1
jail,discipline,L,0.1
jail,sweat,L,0.1
jail,thief,L,0.1
jail,killer,L,0.1
jail,youth,L,0.1
jail,offender,L,0.1
jail,rider,L,0.1
jail,edition,L,0.1
jail,press,L,0.1
jail,paper,L,0.1
jail,enemy,L,0.1
jail,gang,L,0.1
jail,hero,L,0.1
jail,magazine,L,0.1
jail,journal,L,0.1
jail,times,L,0.1
jail,interview,N,1.0
jail,insider,L,0.1
jail,tear,L,0.1
jail,discourse,L,0.1
jail,examination,N,1.0
jail,lifetime,L,0.1
jail,period,L,0.1
jail,necessity,L,0.1
jail,lack,L,0.1
jail,existence,L,0.1
jail,engine,L,1.0
jail,battery,L,1.0
jail,filter,L,1.0
jail,deposit,L,0.1
jail,grant,L,0.1
jail,pension,L,0.1
jail,payment,L,0.1
jail,allowance,L,0.1
jail,damages,L,0.1
jail,compensation,L,0.1
jail,subsidy,L,0.1
jail,emphasis,L,0.1
jail,weight,L,0.1
jail,load,L,0.1
jail,presence,L,0.1
jail,strain,L,0.1
jail,refusal,L,0.1
jail,fact,L,0.1
jail,finance,L,0.1
jail,disc,L,1.0
jail,slide,L,1.0
jail,motor,L,1.0
jail,wheel,L,1.0
jail,credit,L,0.1
jail,loan,L,0.1
jail,debt,L,0.1
jail,insurance,L,0.1
jail,machinery,L,1.0
jail,equipment,L,1.0
jail,seal,L,1.0
jail,mine,L,1.0
jail,machine,L,1.0
jail,furniture,L,1.0
jail,disk,L,1.0
jail,device,L,1.0
jail,absence,L,0.1
jail,quarter,L,0.1
jail,burden,L,0.1
jail,tension,L,0.1
jail,majority,L,0.1
jail,fraction,L,0.1
jail,total,L,0.1
jail,average,L,0.1
jail,number,L,0.1
jail,percentage,L,0.1
jail,index,L,0.1
jail,population,L,0.1
jail,value,L,0.1
jail,future,L,0.1
jail,interval,L,0.1
jail,phase,L,0.1
jail,decade,L,0.1
jail,generation,L,0.1
jail,stage,L,0.1
jail,succession,L,0.1
jail,century,L,0.1
jail,volume,L,0.1
jail,pressure,L,0.1
jail,amount,L,0.1
jail,instrument,L,1.0
jail,stress,L,0.1
jail,argument,L,0.1
jail,assumption,L,0.1
jail,thesis,L,0.1
jail,proposition,L,0.1
jail,failure,L,0.1
jail,model,L,0.1
jail,interpretation,L,0.1
jail,hypothesis,L,0.1
jail,joint,L,1.0
jail,logic,L,0.1
jail,theory,L,0.1
jail,circuit,L,1.0
jail,tank,L,1.0
jail,lock,L,1.0
jail,tube,L,1.0
jail,mortgage,L,0.1
jail,proportion,L,0.1
jail,class,L,0.6666666666666666
jail,victim,L,0.1
jail,scale,L,0.1
jail,embarrassment,L,0.1
jail,guilt,L,0.1
jail,sensation,L,0.1
jail,depression,L,0.1
jail,wound,L,0.1
jail,wood,L,0.1
jail,grain,L,0.1
jail,stem,L,0.1
jail,forest,L,0.1
jail,garden,L,0.1
jail,husband,L,0.1
jail,mother,L,0.1
jail,wife,L,0.1
jail,search,L,0.1
jail,friend,L,0.1
jail,cousin,L,0.1
jail,influence,L,0.1
jail,frustration,L,0.1
jail,lover,L,0.1
jail,pain,L,0.1
jail,disappointment,L,0.1
jail,policeman,L,0.1
jail,reporter,L,0.1
jail,society,L,0.1
jail,square,L,0.1
jail,pupil,L,0.1
jail,student,L,0.1
jail,edge,L,0.1
jail,circle,L,0.1
jail,platform,L,0.1
jail,front,L,0.1
jail,flower,L,0.1
jail,plant,L,0.1
jail,root,L,0.1
jail,leaf,L,0.1
jail,seed,L,0.1
jail,rose,L,0.1
jail,patient,L,0.1
jail,shock,L,0.1
jail,police,L,0.1
jail,relative,L,0.1
jail,investigation,L,0.1
jail,pair,L,0.6666666666666666
jail,band,L,0.6666666666666666
jail,unit,L,0.6666666666666666
jail,household,L,0.6666666666666666
jail,party,L,0.6666666666666666
jail,family,L,0.6666666666666666
jail,rank,L,0.6666666666666666
jail,fruit,L,0.1
jail,bread,L,0.1
jail,meat,L,0.1
jail,assault,L,0.1
jail,attempt,L,0.1
jail,raid,L,0.1
jail,action,L,0.1
jail,cast,L,0.6666666666666666
jail,group,L,0.6666666666666666
jail,category,L,0.6666666666666666
jail,division,L,0.6666666666666666
jail,discretion,L,0.1
jail,excess,L,0.1
jail,inflation,L,0.1
jail,shortage,L,0.1
jail,enquiry,L,0.1
jail,proceedings,L,0.1
jail,inquiry,L,0.1
jail,prosecution,L,0.1
jail,control,L,0.1
jail,power,L,0.1
jail,jurisdiction,L,0.1
jail,ownership,L,0.1
jail,symptom,L,0.1
jail,discrimination,L,0.1
jail,delay,L,0.1
jail,invasion,L,0.1
jail,poverty,L,0.1
jail,inequality,L,0.1
jail,pollution,L,0.1
jail,unemployment,L,0.1
jail,deficit,L,0.1
jail,juice,L,0.1
jail,constable,L,0.1
jail,organisation,L,0.1
jail,possession,L,0.1
jail,favour,L,0.1
jail,living,L,0.1
jail,honour,L,0.1
jail,empire,L,0.1
jail,coalition,L,0.1
jail,regime,L,0.1
jail,opposition,L,0.1
jail,association,L,0.1
jail,agency,L,0.1
jail,trust,L,0.1
jail,organization,L,0.1
jail,community,L,0.1
jail,president,L,0.1
jail,secretary,L,0.1
jail,leader,L,0.1
jail,ambassador,L,0.1
jail,defence,L,0.1
jail,chief,L,0.1
jail,award,L,0.1
jail,marriage,L,0.1
jail,frequency,L,0.1
jail,ratio,L,0.1
jail,size,L,0.1
jail,concentration,L,0.1
jail,media,L,0.1
jail,writing,L,0.1
jail,english,L,0.1
jail,curriculum,L,0.1
jail,culture,L,0.1
jail,alliance,L,0.1
jail,boom,L,0.1
jail,recipe,L,0.1
jail,bond,L,0.1
jail,hierarchy,L,0.1
jail,gold,L,0.1
jail,title,L,0.1
jail,crown,L,0.1
jail,spell,L,0.1
jail,detective,L,0.1
jail,commander,L,0.1
jail,governor,L,0.1
jail,journalist,L,0.1
jail,compliance,L,0.1
jail,separation,L,0.1
jail,access,L,0.1
jail,entry,L,0.1
jail,acceptance,L,0.1
jail,recognition,L,0.1
jail,father,L,0.1
jail,adult,L,0.1
jail,participant,L,0.1
jail,individual,L,0.1
jail,brother,L,0.1
jail,corner,L,0.1
jail,middle,L,0.1
jail,park,L,0.1
jail,exposure,L,0.1
jail,institution,L,0.1
jail,left,L,0.1
jail,director,L,0.1
jail,doorway,L,0.1
jail,officer,L,0.1
jail,minister,L,0.1
jail,executive,L,0.1
jail,chairman,L,0.1
jail,editor,L,0.1
jail,tree,L,0.1
jail,crop,L,0.1
jail,recession,L,0.1
jail,promotion,L,0.1
jail,co-operation,L,0.1
jail,official,L,0.1
jail,eliot,L,0.1
jail,participation,L,0.1
jail,admission,L,0.1
jail,terrace,L,0.1
jail,landing,L,0.1
jail,side,L,0.1
jail,involvement,L,0.1
jail,inspector,L,0.1
jail,marx,L,0.1
jail,maker,N,1.0
jail,best,L,0.1
jail,metre,L,0.1
jail,distance,L,0.1
jail,inch,L,0.1
jail,yard,L,0.1
jail,leeds,L,0.1
jail,partner,L,0.1
jail,wrist,L,0.1
jail,neck,L,0.1
jail,waist,L,0.1
jail,liverpool,L,0.1
jail,manner,L,0.1
jail,player,L,0.1
jail,squad,L,0.1
jail,winner,L,0.1
jail,star,L,0.1
jail,fashion,L,0.1
jail,respect,L,0.1
jail,caution,L,0.1
jail,isolation,L,0.1
jail,champion,L,0.1
jail,club,L,0.1
jail,team,L,0.1
jail,county,L,0.1
jail,rival,L,0.1
jail,contempt,L,0.1
jail,mile,L,0.1
jail,service,L,1.0
jail,transport,L,1.0
jail,maintenance,L,1.0
jail,accommodation,L,1.0
jail,training,L,1.0
jail,possibility,N,1.0
jail,prospect,N,1.0
jail,option,N,1.0
jail,teaching,L,1.0
jail,moon,L,0.1
jail,beam,L,0.1
jail,reflection,L,0.1
jail,ceiling,L,0.1
jail,chance,N,1.0
jail,attraction,N,1.0
jail,incentive,N,1.0
jail,grave,L,0.1
jail,soil,L,0.1
jail,grass,L,0.1
jail,past,L,0.1
jail,delivery,L,1.0
jail,management,L,1.0
jail,light,L,0.1
jail,care,L,1.0
jail,competitor,L,0.1
jail,council,L,0.1
jail,authority,L,0.1
jail,board,L,0.1
jail,committee,L,0.1
jail,ministry,L,0.1
jail,foundation,L,0.1
jail,setting,L,0.1
jail,stock,N,1.0
jail,land,N,1.0
jail,asset,N,1.0
jail,stake,N,1.0
jail,administration,L,0.1
jail,subsidiary,N,1.0
jail,portfolio,N,1.0
jail,source,L,0.1
jail,ankle,L,0.1
jail,sword,L,0.1
jail,stick,L,0.1
jail,holding,N,1.0
jail,property,N,1.0
jail,acre,N,1.0
jail,estate,N,1.0
jail,share,N,1.0
jail,currency,N,1.0
jail,pound,N,1.0
jail,commission,L,0.1
jail,current,L,0.1
jail,government,L,0.1
jail,department,L,0.1
jail,penny,N,1.0
jail,pound,N,1.0
jail,tide,L,0.1
jail,breeze,L,0.1
jail,flood,L,0.1
jail,wind,L,0.1
jail,rain,L,0.1
jail,storm,L,0.1
jail,heat,L,0.1
jail,dollar,N,1.0
jail,money,N,1.0
jail,dollar,N,1.0
jail,base,L,0.1
jail,entity,L,0.1
jail,purpose,L,0.1
jail,framework,L,0.1
jail,million,N,1.0
jail,medium,L,0.1
jail,weather,L,0.1
jail,wave,L,0.1
jail,cash,N,1.0
jail,stuff,L,0.1
jail,protection,L,1.0
jail,dawn,L,0.1
jail,manager,L,0.1
jail,planning,L,1.0
jail,personnel,L,0.1
jail,member,L,0.1
jail,employee,L,0.1
jail,teacher,L,0.1
jail,worker,L,0.1
jail,volunteer,L,0.1
jail,aspect,N,1.0
jail,matter,N,1.0
jail,view,L,0.1
jail,heel,L,0.1
jail,philip,L,0.1
jail,open,L,0.1
jail,tournament,L,0.1
jail,league,L,0.1
jail,education,L,1.0
jail,treatment,L,1.0
jail,housing,L,1.0
jail,emily,L,0.1
jail,mungo,L,0.1
jail,theme,N,1.0
jail,staff,L,0.1
jail,subject,N,1.0
jail,conception,L,0.1
jail,budget,L,0.1
jail,ticket,L,0.1
jail,pass,L,0.1
jail,card,L,0.1
jail,cheque,L,0.1
jail,receipt,L,0.1
jail,gift,L,0.1
jail,present,L,0.1
jail,bottom,L,0.1
jail,pavement,L,0.1
jail,surface,L,0.1
jail,custom,L,0.1
jail,heap,L,0.1
jail,mess,L,0.1
jail,pile,L,0.1
jail,ideal,L,0.1
jail,concept,L,0.1
jail,tradition,L,0.1
jail,expenditure,L,0.1
jail,cost,L,0.1
jail,risk,L,0.1
jail,expense,L,0.1
jail,emission,L,0.1
jail,joseph,L,0.1
jail,clock,L,0.1
jail,issue,N,1.0
jail,question,N,1.0
jail,restaurant,L,0.1
jail,plaintiff,L,0.1
jail,railway,L,0.1
jail,gallery,L,0.1
jail,sunlight,L,0.1
jail,mirror,L,0.1
jail,landlord,L,0.1
jail,tenant,L,0.1
jail,shaft,L,0.1
jail,seller,L,0.1
jail,garage,L,0.1
jail,communication,L,1.0
jail,defendant,L,0.1
jail,vendor,L,0.1
jail,creditor,L,0.1
jail,applicant,L,0.1
jail,purchaser,L,0.1
jail,holder,L,0.1
jail,alternative,N,1.0
jail,opportunity,N,1.0
jail,camera,L,0.1
jail,watch,L,0.1
jail,facility,L,1.0
jail,topic,N,1.0
jail,shop,L,0.1
jail,theatre,L,0.1
jail,marie,L,0.1
jail,susan,L,0.1
jail,anne,L,0.1
jail,harry,L,0.1
jail,maggie,L,0.1
jail,final,L,0.1
jail,jane,L,0.1
jail,jack,L,0.1
jail,spending,L,0.1
jail,round,L,0.1
jail,museum,L,0.1
jail,race,L,0.1
jail,competition,L,0.1
jail,game,L,0.1
jail,contest,L,0.1
jail,nigel,L,0.1
jail,store,L,0.1
jail,factory,L,0.1
jail,mill,L,0.1
jail,screen,L,0.1
jail,library,L,0.1
jail,studio,L,0.1
jail,match,L,0.1
jail,organ,L,0.1
jail,football,L,0.1
jail,album,L,0.1
jail,confidence,L,0.1
jail,balance,L,0.1
jail,fortune,L,0.1
jail,popularity,L,0.1
jail,analysis,L,0.1
jail,experiment,L,0.1
jail,capacity,L,0.1
jail,talent,L,0.1
jail,study,L,0.1
jail,research,L,0.1
jail,reputation,L,0.1
jail,survey,L,0.1
jail,force,L,0.1
jail,rebel,L,0.1
jail,guard,L,0.1
jail,troops,L,0.1
jail,crew,L,0.1
jail,evaluation,L,0.1
jail,assessment,L,0.1
jail,april,L,0.1
jail,june,L,0.1
jail,army,L,0.1
jail,knight,L,0.1
jail,pilot,L,0.1
jail,consciousness,L,0.1
jail,poetry,L,0.1
jail,baker,L,0.1
jail,clarke,L,0.1
jail,fleet,L,0.1
jail,soldier,L,0.1
jail,gorbachev,L,0.1
jail,bush,L,0.1
jail,clinton,L,0.1
jail,speech,L,0.1
jail,poem,L,0.1
jail,verse,L,0.1
jail,momentum,L,0.1
jail,lesson,L,0.1
jail,script,L,0.1
jail,blade,L,0.1
jail,knife,L,0.1
jail,horn,L,0.1
jail,weapon,L,0.1
jail,dance,L,0.1
jail,lecture,L,0.1
jail,bible,L,0.1
jail,strength,L,0.1
jail,novel,L,0.1
jail,prayer,L,0.1
jail,presentation,L,0.1
jail,sensitivity,L,0.1
jail,march,L,0.1
jail,delegation,N,0.6666666666666666
jail,colleague,N,0.6666666666666666
jail,companion,N,0.6666666666666666
jail,photographer,N,0.6666666666666666
jail,visitor,N,0.6666666666666666
jail,stranger,N,0.6666666666666666
jail,limitation,L,0.1
jail,penalty,L,0.1
jail,sanction,L,0.1
jail,punishment,L,0.1
jail,thinking,L,0.1
jail,constraint,L,0.1
jail,limit,L,0.1
jail,restriction,L,0.1
jail,traveller,N,0.6666666666666666
jail,neighbour,N,0.6666666666666666
jail,viewer,N,0.6666666666666666
jail,guest,N,0.6666666666666666
jail,lady,N,0.6666666666666666
jail,passenger,N,0.6666666666666666
jail,crowd,N,0.6666666666666666
jail,life,L,0.1
jail,tourist,N,0.6666666666666666
jail,intelligence,L,0.1
jail,career,L,0.1
jail,pursuit,L,0.1
jail,corp,L,0.1
jail,flag,L,0.1
jail,aircraft,L,0.1
jail,vessel,L,0.1
jail,helicopter,L,0.1
jail,handle,L,0.1
jail,boat,L,0.1
jail,carrier,L,0.1
jail,plane,L,0.1
jail,craft,L,0.1
jail,affair,L,0.1
jail,ship,L,0.1
jail,politics,L,0.1
jail,practice,L,0.1
jail,trading,L,0.1
jail,capability,L,0.1
jail,quality,L,0.1
jail,audience,N,0.6666666666666666
jail,reading,L,0.1
jail,occupation,L,0.1
jail,profession,L,0.1
jail,sport,L,0.1
jail,ability,L,0.1
jail,meeting,L,0.1
jail,exhibition,L,0.1
jail,ceremony,L,0.1
jail,accountant,L,0.1
jail,tragedy,L,0.1
jail,cottage,L,0.1
jail,engineer,L,0.1
jail,brow,L,0.1
jail,blanket,L,0.1
jail,window,L,0.1
jail,door,L,0.1
jail,eyebrow,L,0.1
jail,sheet,L,0.1
jail,death,L,0.1
jail,towel,L,0.1
jail,cloth,L,0.1
jail,profit,L,0.1
jail,surplus,L,0.1
jail,earnings,L,0.1
jail,income,L,0.1
jail,turnover,L,0.1
jail,brush,L,0.1
jail,bowl,L,0.1
jail,bucket,L,0.1
jail,receiver,L,0.1
jail,gate,L,0.1
jail,barrel,L,0.1
jail,form,N,1.0
jail,fall,L,0.1
jail,trick,L,0.1
jail,guitar,L,0.1
jail,radio,L,0.1
jail,tune,L,0.1
jail,song,L,0.1
jail,basis,L,0.1
jail,reason,L,0.1
jail,context,L,0.1
jail,means,L,0.1
jail,perspective,L,0.1
jail,series,N,1.0
jail,grounds,L,0.1
