verb,noun,tag,confidence
keep,justice,L,0.1
keep,release,L,0.1
keep,walk,L,0.1
keep,touch,L,0.1
keep,surplus,L,0.1
keep,consultant,L,0.1
keep,rejection,L,0.1
keep,speech,L,0.1
keep,earnings,L,0.1
keep,poem,L,0.1
keep,servant,L,0.1
keep,income,L,0.1
keep,revenue,L,0.1
keep,appointment,L,0.1
keep,resignation,L,0.1
keep,return,L,0.1
keep,removal,L,0.1
keep,withdrawal,L,0.1
keep,turnover,L,0.1
keep,disaster,L,0.1
keep,verse,L,0.1
keep,season,L,0.1
keep,characteristic,L,0.1
keep,concern,L,0.1
keep,commitment,L,0.1
keep,thanks,L,0.1
keep,lily,L,0.1
keep,carriage,L,0.1
keep,poetry,L,0.1
keep,interest,L,0.1
keep,fate,L,0.1
keep,preference,L,0.1
keep,willingness,L,0.1
keep,determination,L,0.1
keep,wish,L,0.1
keep,loyalty,L,0.1
keep,sympathy,L,0.1
keep,intention,L,0.1
keep,profit,L,0.1
keep,novel,L,0.1
keep,lecture,L,0.1
keep,lesson,L,0.1
keep,replacement,L,0.1
keep,discovery,L,0.1
keep,retirement,L,0.1
keep,wrist,L,0.1
keep,break,L,0.1
keep,destruction,L,0.1
keep,bible,L,0.1
keep,prayer,L,0.1
keep,script,L,0.1
keep,holiday,L,0.1
keep,dance,L,0.1
keep,trustee,L,0.1
keep,commissioner,L,0.1
keep,clerk,L,0.1
keep,closure,L,0.1
keep,adviser,L,0.1
keep,pillow,L,0.1
keep,form,L,0.1
keep,auditor,L,0.1
keep,poll,L,0.1
keep,storm,L,0.1
keep,quality,L,0.1
keep,capability,L,0.1
keep,ability,L,0.1
keep,intelligence,L,0.1
keep,sensitivity,L,0.1
keep,talent,L,0.1
keep,capacity,L,0.1
keep,principle,L,0.1
keep,referendum,L,0.1
keep,tourist,L,0.1
keep,canal,L,0.1
keep,traveller,L,0.1
keep,neighbour,L,0.1
keep,autumn,L,0.1
keep,implication,L,0.1
keep,significance,L,0.1
keep,sort,L,0.1
keep,spring,L,0.1
keep,weekend,L,0.1
keep,complexity,L,0.1
keep,ocean,L,0.1
keep,constituency,L,0.1
keep,ideology,L,0.1
keep,idea,L,0.1
keep,laughter,L,0.1
keep,conception,L,0.1
keep,custom,L,0.1
keep,tradition,L,0.1
keep,concept,L,0.1
keep,star,L,0.1
keep,winner,L,0.1
keep,squad,L,0.1
keep,county,L,0.1
keep,player,L,0.1
keep,section,L,0.1
keep,paragraph,L,0.1
keep,majority,L,0.1
keep,fraction,L,0.1
keep,chapter,L,0.1
keep,ideal,L,0.1
keep,belief,L,0.1
keep,doctrine,L,0.1
keep,liverpool,L,0.1
keep,partner,L,0.1
keep,vote,L,0.1
keep,election,L,0.1
keep,myth,L,0.1
keep,stream,L,0.1
keep,bath,L,0.1
keep,river,L,0.1
keep,summer,L,0.1
keep,virus,L,0.1
keep,disease,L,0.1
keep,illness,L,0.1
keep,infection,L,0.1
keep,disorder,L,0.1
keep,rain,L,0.1
keep,visit,L,0.1
keep,carpet,L,0.1
keep,snow,L,0.1
keep,patch,L,0.1
keep,bottom,L,0.1
keep,pavement,L,0.1
keep,surface,L,0.1
keep,heap,L,0.1
keep,ride,L,0.1
keep,tour,L,0.1
keep,trip,L,0.1
keep,notion,L,0.1
keep,flight,L,0.1
keep,journey,L,0.1
keep,agent,L,0.1
keep,leeds,L,0.1
keep,assistant,L,0.1
keep,cancer,L,0.1
keep,philosophy,L,0.1
keep,winter,L,0.1
keep,kind,L,0.1
keep,impact,L,0.1
keep,extent,L,0.1
keep,merit,L,0.1
keep,potential,L,0.1
keep,importance,L,0.1
keep,type,L,0.1
keep,variety,L,0.1
keep,february,L,0.1
keep,consequence,L,0.1
keep,effect,L,0.1
keep,waters,L,0.1
keep,pond,L,0.1
keep,total,L,0.1
keep,average,L,0.1
keep,number,L,0.1
keep,percentage,L,0.1
keep,pool,L,0.1
keep,lake,L,0.1
keep,index,L,0.1
keep,population,L,0.1
keep,value,L,0.1
