verb,noun,tag,confidence
label,bench,L,0.1
label,layer,L,0.1
label,prosecution,L,0.1
label,yard,L,0.1
label,attention,L,0.1
label,deck,L,0.1
label,fence,L,0.1
label,block,L,0.1
label,release,L,0.1
label,resource,L,0.1
label,beam,L,0.1
label,organism,L,0.1
label,reflection,L,0.1
label,breath,L,0.1
label,marriage,L,0.1
label,country,L,0.1
label,germany,L,0.1
label,wealth,L,0.1
label,reserve,L,0.1
label,criterion,L,0.1
label,nation,L,0.1
label,state,L,0.1
label,shelf,L,0.1
label,path,L,0.1
label,leadership,L,0.1
label,ceiling,L,0.1
label,tunnel,L,0.1
label,road,L,0.1
label,light,L,0.1
label,remains,L,0.1
label,trip,L,0.1
label,compound,L,0.1
label,israel,L,0.1
label,fire,L,0.1
label,pipe,L,0.1
label,watch,L,0.1
label,camera,L,0.1
label,inch,L,0.1
label,distance,L,0.1
label,metre,L,0.1
label,shaft,L,0.1
label,mirror,L,0.1
label,launch,L,0.1
label,arrival,L,0.1
label,sunlight,L,0.1
label,screen,L,0.1
label,particle,L,0.1
label,advertisement,L,0.1
label,torch,L,0.1
label,daughter,L,0.1
label,cell,L,0.1
label,tissue,L,0.1
label,candle,L,0.1
label,japan,L,0.1
label,molecule,L,0.1
label,salt,L,0.1
label,dose,L,0.1
label,complex,L,0.1
label,moon,L,0.1
label,acid,L,0.1
label,occasion,L,0.1
label,beginning,L,0.1
label,start,L,0.1
label,birth,L,0.1
label,advance,L,0.1
label,announcement,L,0.1
label,partnership,L,0.1
label,completion,L,0.1
label,letter,L,0.1
label,article,L,0.1
label,report,L,0.1
label,clock,L,0.1
label,protein,L,0.1
label,bacterium,L,0.1
label,fragment,L,0.1
label,dawn,L,0.1
label,roof,L,0.1
label,desk,L,0.1
label,document,L,0.1
label,hold,L,0.1
label,magistrate,L,0.1
label,capital,L,0.1
label,alice,L,0.1
label,boom,L,0.1
label,caroline,L,0.1
label,patrick,L,0.1
label,instinct,L,0.1
label,impulse,L,0.1
label,recipe,L,0.1
label,bond,L,0.1
label,hierarchy,L,0.1
label,jacket,L,0.1
label,glove,L,0.1
label,lane,L,0.1
label,trail,L,0.1
label,shoe,L,0.1
label,enthusiasm,L,0.1
label,curiosity,L,0.1
label,fear,L,0.1
label,doubt,L,0.1
label,fabric,L,0.1
label,boot,L,0.1
label,shirt,L,0.1
label,coat,L,0.1
label,tongue,L,0.1
label,emotion,L,0.1
label,feeling,L,0.1
label,suspicion,L,0.1
