verb,noun,tag,confidence
nail,project,L,0.1
nail,weakness,L,0.1
nail,bishop,L,0.1
nail,lord,L,0.1
nail,dancer,L,0.1
nail,actor,L,0.1
nail,troops,L,0.1
nail,ship,L,0.1
nail,fellow,L,0.1
nail,relief,L,0.1
nail,picture,L,0.1
nail,jesus,L,0.1
nail,emperor,L,0.1
nail,rebel,L,0.1
nail,painting,L,0.1
nail,fleet,L,0.1
nail,stake,L,0.1
nail,verdict,L,0.1
nail,defect,L,0.1
nail,surprise,L,0.1
nail,soldier,L,0.1
nail,infection,L,0.1
nail,knight,L,0.1
nail,fate,L,0.1
nail,force,L,0.1
nail,subsidiary,L,0.1
nail,destruction,L,0.1
nail,illness,L,0.1
nail,disease,L,0.1
nail,master,L,0.1
nail,guard,L,0.1
nail,heaven,L,0.1
nail,priest,L,0.1
nail,disorder,L,0.1
nail,sentence,L,0.1
nail,satisfaction,L,0.1
nail,exposure,L,0.1
nail,recognition,L,0.1
nail,acceptance,L,0.1
nail,employee,L,0.1
nail,yard,L,0.1
nail,technology,L,0.1
nail,architecture,L,0.1
nail,program,L,0.1
nail,system,L,0.1
nail,product,L,0.1
nail,version,L,0.1
nail,teacher,L,0.1
nail,interface,L,0.1
nail,software,L,0.1
nail,tool,L,0.1
nail,computer,L,0.1
nail,network,L,0.1
nail,entry,L,0.1
nail,silence,L,0.1
nail,spirit,L,0.1
nail,beauty,L,0.1
nail,norm,L,0.1
nail,specification,L,0.1
nail,member,L,0.1
nail,worker,L,0.1
nail,faith,L,0.1
nail,glory,L,0.1
nail,dream,L,0.1
nail,package,L,0.1
nail,chip,L,0.1
nail,processor,L,0.1
nail,ambition,L,0.1
nail,happiness,L,0.1
nail,personnel,L,0.1
nail,manager,L,0.1
nail,warmth,L,0.1
nail,horror,L,0.1
nail,craft,L,0.1
nail,plane,L,0.1
nail,carrier,L,0.1
nail,boat,L,0.1
nail,helicopter,L,0.1
nail,vessel,L,0.1
nail,aircraft,L,0.1
nail,drawing,L,0.1
nail,length,L,0.1
nail,past,L,0.1
nail,flag,L,0.1
nail,mile,L,0.1
nail,metre,L,0.1
nail,distance,L,0.1
nail,inch,L,0.1
nail,defeat,L,0.1
nail,fall,L,0.1
nail,plan,L,0.1
nail,store,L,0.1
nail,death,L,0.1
nail,tragedy,L,0.1
nail,cancer,L,0.1
nail,loss,L,0.1
nail,decline,L,0.1
nail,disaster,L,0.1
nail,scheme,L,0.1
nail,programme,L,0.1
nail,virus,L,0.1
nail,crew,L,0.1
nail,collapse,L,0.1
nail,statue,L,0.1
nail,studio,L,0.1
nail,discourse,L,0.1
nail,voter,L,0.1
nail,french,L,0.1
nail,german,L,0.1
nail,trading,L,0.1
nail,practice,L,0.1
nail,politics,L,0.1
nail,missile,L,0.1
nail,scot,L,0.1
nail,stitch,L,0.1
nail,brick,L,0.1
nail,opponent,L,0.1
nail,measurement,L,0.1
nail,christian,L,0.1
nail,result,L,0.1
nail,observation,L,0.1
nail,farmer,L,0.1
nail,politician,L,0.1
nail,russian,L,0.1
nail,stress,L,0.1
nail,tension,L,0.1
nail,blanche,L,0.1
nail,concern,L,0.1
nail,commitment,L,0.1
nail,pressure,L,0.1
nail,burden,L,0.1
nail,strain,L,0.1
nail,comparison,L,0.1
nail,poll,L,0.1
nail,ford,L,0.1
nail,referendum,L,0.1
nail,pursuit,L,0.1
nail,sport,L,0.1
nail,profession,L,0.1
nail,occupation,L,0.1
nail,reading,L,0.1
nail,stroke,L,0.1
nail,implication,L,0.1
nail,kinnock,L,0.1
nail,bullet,L,0.1
nail,ocean,L,0.1
nail,punch,L,0.1
nail,vote,L,0.1
nail,bomb,L,0.1
nail,shell,L,0.1
nail,calculation,L,0.1
nail,election,L,0.1
nail,statistics,L,0.1
nail,evidence,L,0.1
nail,finding,L,0.1
nail,consideration,L,0.1
nail,figure,L,0.1
nail,blow,L,0.1
nail,let,L,0.1
nail,supporter,L,0.1
nail,recession,L,0.1
nail,spokesman,L,0.1
nail,constituency,L,0.1
nail,girl,L,0.1
nail,insider,L,0.1
nail,other,L,0.1
nail,load,L,0.1
nail,summer,L,0.1
nail,february,L,0.1
nail,winter,L,0.1
nail,code,L,0.1
nail,fault,L,0.1
nail,kate,L,0.1
nail,black,L,0.1
nail,departure,L,0.1
nail,move,L,0.1
nail,opening,L,0.1
nail,ruth,L,0.1
nail,helen,L,0.1
nail,weekend,L,0.1
nail,mary,L,0.1
nail,access,L,0.1
nail,library,L,0.1
nail,mill,L,0.1
nail,factory,L,0.1
nail,conclusion,L,0.1
nail,estate,L,0.1
nail,acre,L,0.1
nail,property,L,0.1
nail,holding,L,0.1
nail,discipline,L,0.1
nail,portfolio,L,0.1
nail,currency,L,0.1
nail,share,L,0.1
nail,spring,L,0.1
nail,autumn,L,0.1
nail,literature,L,0.1
nail,sarah,L,0.1
nail,weight,L,0.1
nail,child,L,0.1
nail,person,L,0.1
nail,people,L,0.1
nail,emphasis,L,0.1
nail,american,L,0.1
nail,boss,L,0.1
nail,theatre,L,0.1
nail,print,L,0.1
nail,portrait,L,0.1
nail,photograph,L,0.1
nail,poster,L,0.1
nail,thanks,L,0.1
nail,interest,L,0.1
nail,preference,L,0.1
nail,determination,L,0.1
nail,wish,L,0.1
nail,loyalty,L,0.1
nail,sympathy,L,0.1
nail,willingness,L,0.1
nail,intention,L,0.1
nail,media,L,0.1
nail,science,L,0.1
nail,language,L,0.1
nail,medicine,L,0.1
nail,religion,L,0.1
nail,woman,L,0.1
