verb,noun,tag,confidence
object,label,L,0.1
object,date,L,0.1
object,reference,L,0.1
object,quot,L,0.1
object,thing,L,0.1
object,name,L,0.1
object,professional,L,0.1
object,telephone,L,0.1
object,expert,L,0.1
object,lawyer,L,0.1
object,sentence,L,0.1
object,symbol,L,0.1
object,description,L,0.1
object,passage,L,0.1
object,doctor,L,0.1
object,term,L,0.1
object,thought,L,0.1
object,momentum,L,0.1
object,cancer,L,0.1
object,skirt,L,0.1
object,trousers,L,0.1
object,hair,L,0.1
object,curtain,L,0.1
object,specialist,L,0.1
object,nurse,L,0.1
object,solicitor,L,0.1
object,practitioner,L,0.1
object,knee,L,0.1
object,shoulder,L,0.1
object,phone,L,0.1
object,sleeve,L,0.1
object,reward,L,0.1
object,gain,L,0.1
object,bathroom,L,0.1
object,chamber,L,0.1
object,savings,L,0.1
object,strand,L,0.1
object,designer,L,0.1
object,engineer,L,0.1
object,collar,L,0.1
object,frustration,L,0.1
object,embarrassment,L,0.1
object,guilt,L,0.1
object,sensation,L,0.1
object,depression,L,0.1
object,wound,L,0.1
object,search,L,0.1
object,investigation,L,0.1
object,architect,L,0.1
object,trend,L,0.1
object,proceedings,L,0.1
object,inquiry,L,0.1
object,series,L,0.1
object,form,L,0.1
object,sofa,L,0.1
object,prosecution,L,0.1
object,tail,L,0.1
object,accountant,L,0.1
object,enquiry,L,0.1
object,word,L,0.1
object,advantage,L,0.1
object,tongue,L,0.1
object,scientist,L,0.1
object,concern,L,0.1
object,commitment,L,0.1
object,thanks,L,0.1
object,interest,L,0.1
object,preference,L,0.1
object,determination,L,0.1
object,wish,L,0.1
object,loyalty,L,0.1
object,sympathy,L,0.1
object,willingness,L,0.1
object,intention,L,0.1
object,disorder,L,0.1
object,infection,L,0.1
object,illness,L,0.1
object,disease,L,0.1
object,virus,L,0.1
object,best,L,0.1
object,writer,L,0.1
object,marx,L,0.1
object,eliot,L,0.1
object,button,L,0.1
object,switch,L,0.1
object,needle,L,0.1
object,elbow,L,0.1
object,back,L,0.1
object,kiss,L,0.1
object,finger,L,0.1
object,thumb,L,0.1
object,benefit,L,0.1
object,nail,L,0.1
object,poet,L,0.1
object,researcher,L,0.1
object,speaker,L,0.1
object,incident,L,0.1
object,crash,L,0.1
object,whilst,L,0.1
object,gentleman,L,0.1
object,author,L,0.1
object,hand,L,0.1
object,ford,L,0.1
object,film,L,0.1
object,kinnock,L,0.1
object,pursuit,L,0.1
object,sport,L,0.1
object,profession,L,0.1
object,occupation,L,0.1
object,reading,L,0.1
object,trading,L,0.1
object,practice,L,0.1
object,politics,L,0.1
object,ship,L,0.1
object,craft,L,0.1
object,plane,L,0.1
object,carrier,L,0.1
object,boat,L,0.1
object,helicopter,L,0.1
object,vessel,L,0.1
object,aircraft,L,0.1
object,flag,L,0.1
object,corp,L,0.1
object,door,L,0.1
object,eyebrow,L,0.1
object,sheet,L,0.1
object,towel,L,0.1
object,gate,L,0.1
object,affair,L,0.1
object,career,L,0.1
object,thinking,L,0.1
object,window,L,0.1
object,instance,L,0.1
object,purpose,L,0.1
object,framework,L,0.1
object,medium,L,0.1
object,foundation,L,0.1
object,setting,L,0.1
object,source,L,0.1
object,basis,L,0.1
object,reason,L,0.1
object,context,L,0.1
object,means,L,0.1
object,cloth,L,0.1
