verb,noun,tag,confidence
bake,gift,L,0.1
bake,risk,L,0.1
bake,expense,L,0.1
bake,emission,L,0.1
bake,balance,L,0.1
bake,trading,L,0.1
bake,fortune,L,0.1
bake,popularity,L,0.1
bake,budget,L,0.1
bake,horse,L,0.1
bake,pass,L,0.1
bake,card,L,0.1
bake,baby,L,0.1
bake,child,L,0.1
bake,woman,L,0.1
bake,carrier,L,0.1
bake,pilot,L,0.1
bake,other,L,0.1
bake,home,L,0.1
bake,analysis,L,0.1
bake,inch,L,0.1
bake,craft,L,0.1
bake,experiment,L,0.1
bake,study,L,0.1
bake,ship,L,0.1
bake,cost,L,0.1
bake,expenditure,L,0.1
bake,plane,L,0.1
bake,reading,L,0.1
bake,strength,L,0.1
bake,sport,L,0.1
bake,profession,L,0.1
bake,present,L,0.1
bake,momentum,L,0.1
bake,approval,L,0.1
bake,watch,L,0.1
bake,camera,L,0.1
bake,treatment,L,0.1
bake,housing,L,0.1
bake,communication,L,0.1
bake,occupation,L,0.1
bake,cheque,L,0.1
bake,distance,L,0.1
bake,insect,L,0.1
bake,shaft,L,0.1
bake,mirror,L,0.1
bake,consciousness,L,0.1
bake,tide,L,0.1
bake,reputation,L,0.1
bake,person,L,0.1
bake,confidence,L,0.1
bake,sunlight,L,0.1
bake,copy,L,0.1
bake,screen,L,0.1
bake,ticket,L,0.1
bake,people,L,0.1
bake,planning,L,0.1
bake,maintenance,L,0.1
bake,transport,L,0.1
bake,force,L,0.1
bake,evaluation,L,0.1
bake,assessment,L,0.1
bake,hotel,L,0.1
bake,april,L,0.1
bake,house,L,0.1
bake,june,L,0.1
bake,practice,L,0.1
bake,rabbit,L,0.1
bake,march,L,0.1
bake,rebel,L,0.1
bake,delivery,L,0.1
bake,knight,L,0.1
bake,corp,L,0.1
bake,flag,L,0.1
bake,guard,L,0.1
bake,past,L,0.1
bake,joseph,L,0.1
bake,receipt,L,0.1
bake,george,L,0.1
bake,troops,L,0.1
bake,aircraft,L,0.1
bake,cottage,L,0.1
bake,david,L,0.1
bake,crew,L,0.1
bake,mile,L,0.1
bake,management,L,0.1
bake,flat,L,0.1
bake,yard,L,0.1
bake,teaching,L,0.1
bake,service,L,0.1
bake,care,L,0.1
bake,boat,L,0.1
bake,politics,L,0.1
bake,girl,L,0.1
bake,monster,L,0.1
bake,mouse,L,0.1
bake,protection,L,0.1
bake,facility,L,0.1
bake,research,L,0.1
bake,survey,L,0.1
bake,female,L,0.1
bake,spending,L,0.1
bake,fleet,L,0.1
bake,soldier,L,0.1
bake,human,L,0.1
bake,accommodation,L,0.1
bake,training,L,0.1
bake,fish,L,0.1
bake,male,L,0.1
bake,lamb,L,0.1
bake,army,L,0.1
bake,helicopter,L,0.1
bake,bird,L,0.1
bake,vessel,L,0.1
bake,cattle,L,0.1
bake,licence,L,0.1
bake,metre,L,0.1
bake,education,L,0.1
bake,secretary,L,0.1
bake,presentation,L,0.1
bake,ceiling,L,0.1
bake,intervention,L,0.1
bake,attack,L,0.1
bake,beam,L,0.1
bake,base,L,0.1
bake,entity,L,0.1
bake,purpose,L,0.1
bake,revolution,L,0.1
bake,protest,L,0.1
bake,action,L,0.1
bake,raid,L,0.1
bake,framework,L,0.1
bake,medium,L,0.1
bake,attempt,L,0.1
bake,foundation,L,0.1
bake,assault,L,0.1
bake,invasion,L,0.1
bake,editor,L,0.1
bake,chairman,L,0.1
bake,absence,L,0.1
bake,fact,L,0.1
bake,light,L,0.1
bake,argument,L,0.1
bake,strike,L,0.1
bake,evening,L,0.1
bake,couple,L,0.1
bake,minute,L,0.1
bake,container,L,0.1
bake,glass,L,0.1
bake,dish,L,0.1
bake,barrel,L,0.1
bake,presence,L,0.1
bake,refusal,L,0.1
bake,clock,L,0.1
bake,receiver,L,0.1
bake,bucket,L,0.1
bake,moon,L,0.1
bake,night,L,0.1
bake,bowl,L,0.1
bake,brush,L,0.1
bake,morning,L,0.1
bake,revenue,L,0.1
bake,hour,L,0.1
bake,reflection,L,0.1
bake,time,L,0.1
bake,turnover,L,0.1
bake,afternoon,L,0.1
bake,spot,L,0.1
bake,assumption,L,0.1
bake,thesis,L,0.1
bake,grounds,L,0.1
bake,source,L,0.1
bake,perspective,L,0.1
bake,depth,L,0.1
bake,level,L,0.1
bake,scale,L,0.1
bake,frequency,L,0.1
bake,basis,L,0.1
bake,reason,L,0.1
bake,context,L,0.1
bake,governor,L,0.1
bake,ratio,L,0.1
bake,director,L,0.1
bake,commander,L,0.1
bake,chief,L,0.1
bake,size,L,0.1
bake,means,L,0.1
bake,concentration,L,0.1
bake,president,L,0.1
bake,ambassador,L,0.1
bake,leader,L,0.1
bake,background,L,0.1
bake,executive,L,0.1
bake,brow,L,0.1
bake,window,L,0.1
bake,proposition,L,0.1
bake,minister,L,0.1
bake,setting,L,0.1
bake,income,L,0.1
bake,earnings,L,0.1
bake,surplus,L,0.1
bake,profit,L,0.1
bake,cloth,L,0.1
bake,gate,L,0.1
bake,towel,L,0.1
bake,sheet,L,0.1
bake,model,L,0.1
bake,interpretation,L,0.1
bake,hypothesis,L,0.1
bake,logic,L,0.1
bake,theory,L,0.1
bake,temperature,L,0.1
bake,incidence,L,0.1
bake,intensity,L,0.1
bake,eyebrow,L,0.1
