verb,noun,tag,confidence
earn,animal,L,0.1
earn,sheep,L,0.1
earn,charge,L,0.1
earn,watch,L,0.1
earn,objection,L,0.1
earn,appeal,L,0.1
earn,claim,L,0.1
earn,creature,L,0.1
earn,application,L,0.1
earn,camera,L,0.1
earn,criticism,L,0.1
earn,allegation,L,0.1
earn,species,L,0.1
earn,result,L,0.1
earn,mirror,L,0.1
earn,reporter,L,0.1
earn,bill,L,0.1
earn,perception,L,0.1
earn,amendment,L,0.1
earn,legislation,L,0.1
earn,regulation,L,0.1
earn,motion,L,0.1
earn,constitution,L,0.1
earn,composition,L,0.1
earn,clause,L,0.1
earn,directive,L,0.1
earn,statute,L,0.1
earn,sunlight,L,0.1
earn,resolution,L,0.1
earn,nature,L,0.1
earn,police,L,0.1
earn,attitude,L,0.1
earn,observation,L,0.1
earn,comparison,L,0.1
earn,shaft,L,0.1
earn,merger,L,0.1
earn,measurement,L,0.1
earn,figure,L,0.1
earn,consideration,L,0.1
earn,finding,L,0.1
earn,evidence,L,0.1
earn,being,L,0.1
earn,roof,L,0.1
earn,copy,L,0.1
earn,calculation,L,0.1
earn,abuse,L,0.1
earn,contents,L,0.1
earn,datum,L,0.1
earn,item,L,0.1
earn,information,L,0.1
earn,material,L,0.1
earn,officer,L,0.1
earn,inspector,L,0.1
earn,journalist,L,0.1
earn,detective,L,0.1
earn,suicide,L,0.1
earn,visit,L,0.1
earn,killing,L,0.1
earn,ride,L,0.1
earn,tour,L,0.1
earn,sector,L,0.1
earn,enterprise,L,0.1
earn,market,L,0.1
earn,official,L,0.1
earn,fence,L,0.1
earn,trade,L,0.1
earn,shelf,L,0.1
earn,bench,L,0.1
earn,deck,L,0.1
earn,business,L,0.1
earn,counter,L,0.1
earn,trip,L,0.1
earn,table,L,0.1
earn,transfer,L,0.1
earn,adoption,L,0.1
earn,innovation,L,0.1
earn,industry,L,0.1
earn,detail,L,0.1
earn,article,L,0.1
earn,economy,L,0.1
earn,letter,L,0.1
earn,statistics,L,0.1
earn,offence,L,0.1
earn,murder,L,0.1
earn,card,L,0.1
earn,cheque,L,0.1
earn,receipt,L,0.1
earn,gift,L,0.1
earn,present,L,0.1
earn,screen,L,0.1
earn,support,L,0.1
earn,assistance,L,0.1
earn,jacket,L,0.1
earn,glove,L,0.1
earn,shoe,L,0.1
earn,boot,L,0.1
earn,shirt,L,0.1
earn,coat,L,0.1
earn,suggestion,L,0.1
earn,pass,L,0.1
earn,ticket,L,0.1
earn,desk,L,0.1
earn,guidance,L,0.1
earn,constable,L,0.1
earn,breach,L,0.1
earn,wall,L,0.1
earn,sample,L,0.1
earn,crime,L,0.1
earn,signature,L,0.1
earn,journey,L,0.1
earn,flight,L,0.1
earn,break,L,0.1
earn,season,L,0.1
earn,specimen,L,0.1
earn,complaint,L,0.1
earn,walk,L,0.1
earn,case,L,0.1
earn,advice,L,0.1
earn,help,L,0.1
earn,holiday,L,0.1
earn,dawn,L,0.1
earn,gesture,L,0.1
earn,moon,L,0.1
earn,limit,L,0.1
earn,constraint,L,0.1
earn,punishment,L,0.1
earn,sanction,L,0.1
earn,penalty,L,0.1
earn,request,L,0.1
earn,limitation,L,0.1
earn,call,L,0.1
earn,reply,L,0.1
earn,instruction,L,0.1
earn,message,L,0.1
earn,news,L,0.1
earn,grass,L,0.1
earn,restriction,L,0.1
earn,soil,L,0.1
earn,comment,L,0.1
earn,warning,L,0.1
earn,command,L,0.1
earn,invitation,L,0.1
earn,signal,L,0.1
earn,offer,L,0.1
earn,remark,L,0.1
earn,heel,L,0.1
earn,pile,L,0.1
earn,mess,L,0.1
earn,heap,L,0.1
earn,surface,L,0.1
earn,pavement,L,0.1
