verb,noun,tag,confidence
hack,lamb,L,0.1
hack,bird,L,0.1
hack,ownership,L,0.1
hack,document,L,0.1
hack,start,L,0.1
hack,resident,L,0.1
hack,minority,L,0.1
hack,analysis,L,0.1
hack,report,L,0.1
hack,article,L,0.1
hack,temple,L,0.1
hack,letter,L,0.1
hack,servant,L,0.1
hack,piece,L,0.1
hack,church,L,0.1
hack,palace,L,0.1
hack,stone,L,0.1
hack,consideration,L,0.1
hack,strip,L,0.1
hack,town,L,0.1
hack,metal,L,0.1
hack,bone,L,0.1
hack,castle,L,0.1
hack,chancellor,L,0.1
hack,village,L,0.1
hack,finding,L,0.1
hack,justice,L,0.1
hack,baker,L,0.1
hack,gorbachev,L,0.1
hack,clarke,L,0.1
hack,influence,L,0.1
hack,discretion,L,0.1
hack,america,L,0.1
hack,italy,L,0.1
hack,control,L,0.1
hack,refugee,L,0.1
hack,statement,L,0.1
hack,power,L,0.1
hack,book,L,0.1
hack,jurisdiction,L,0.1
hack,youngster,L,0.1
hack,india,L,0.1
hack,animal,L,0.1
hack,flesh,L,0.1
hack,flavour,L,0.1
hack,africa,L,0.1
hack,peasant,L,0.1
hack,creature,L,0.1
hack,account,L,0.1
hack,coffin,L,0.1
hack,bush,L,0.1
hack,experiment,L,0.1
hack,birth,L,0.1
hack,sheep,L,0.1
hack,advertisement,L,0.1
hack,clinton,L,0.1
hack,cluster,L,0.1
hack,australia,L,0.1
hack,male,L,0.1
hack,fish,L,0.1
hack,human,L,0.1
hack,baby,L,0.1
hack,horse,L,0.1
hack,spain,L,0.1
hack,draft,L,0.1
hack,guide,L,0.1
hack,constable,L,0.1
hack,wales,L,0.1
hack,consultant,L,0.1
hack,belief,L,0.1
hack,kinnock,L,0.1
hack,liability,L,0.1
hack,obligation,L,0.1
hack,responsibility,L,0.1
hack,profile,L,0.1
hack,doctrine,L,0.1
hack,pulse,L,0.1
hack,myth,L,0.1
hack,idea,L,0.1
hack,ideology,L,0.1
hack,principle,L,0.1
hack,mouth,L,0.1
hack,notion,L,0.1
hack,entrance,L,0.1
hack,terrace,L,0.1
hack,tooth,L,0.1
hack,landing,L,0.1
hack,side,L,0.1
hack,doorway,L,0.1
hack,left,L,0.1
hack,philosophy,L,0.1
hack,fighting,L,0.1
hack,corner,L,0.1
hack,hall,L,0.1
hack,ideal,L,0.1
hack,concept,L,0.1
hack,tradition,L,0.1
hack,battle,L,0.1
hack,presence,L,0.1
hack,inhabitant,L,0.1
hack,bedroom,L,0.1
hack,championship,L,0.1
hack,kitchen,L,0.1
hack,soul,L,0.1
hack,vein,L,0.1
hack,necessity,L,0.1
hack,mind,L,0.1
hack,spine,L,0.1
hack,spokesman,L,0.1
hack,mass,L,0.1
hack,middle,L,0.1
hack,scotland,L,0.1
hack,england,L,0.1
