verb,noun,tag,confidence
identify,leadership,L,0.1
identify,vision,L,0.1
identify,fibre,L,1.0
identify,union,L,0.1
identify,taste,L,0.1
identify,mood,L,0.1
identify,germany,L,0.1
identify,smith,L,0.1
identify,knowledge,L,0.1
identify,state,L,0.1
identify,nation,L,0.1
identify,flavour,L,0.1
identify,morgan,L,0.1
identify,host,L,1.0
identify,expertise,L,0.1
identify,brown,L,0.1
identify,fact,L,0.1
identify,walker,L,0.1
identify,hitler,L,1.0
identify,artist,L,1.0
identify,image,L,0.1
identify,absence,L,0.1
identify,exhibition,L,0.1
identify,cream,L,1.0
identify,prosecution,L,0.1
identify,inquiry,L,0.1
identify,proceedings,L,0.1
identify,experience,L,0.1
identify,insight,L,0.1
identify,security,L,0.1
identify,efficiency,L,0.1
identify,stability,L,0.1
identify,aspect,N,0.5555555555555556
identify,failure,L,0.1
identify,existence,L,0.1
identify,lack,L,0.1
identify,health,L,0.1
identify,press,L,0.1
identify,impression,L,0.1
identify,necessity,L,0.1
identify,milk,L,1.0
identify,thomas,L,0.1
identify,edition,L,0.1
identify,presence,L,0.1
identify,refusal,L,0.1
identify,alcohol,L,1.0
identify,mill,L,1.0
identify,enquiry,L,0.1
identify,understanding,L,0.1
identify,sense,L,0.1
identify,appearance,L,0.1
identify,activity,L,1.0
identify,pressure,L,0.1
identify,burden,L,0.1
identify,judge,L,0.1
identify,process,L,1.0
identify,strain,L,0.1
identify,load,L,0.1
identify,shop,L,1.0
identify,newspaper,L,0.1
identify,festival,L,0.1
identify,garage,L,1.0
identify,restaurant,L,1.0
identify,railway,L,1.0
identify,gallery,L,1.0
identify,china,L,0.1
identify,kingdom,L,0.1
identify,colony,L,0.1
identify,ally,L,0.1
identify,iraq,L,0.1
identify,atmosphere,L,0.1
identify,awareness,L,0.1
identify,exercise,L,1.0
identify,port,L,1.0
identify,qualification,L,0.1
identify,skill,L,0.1
identify,gear,L,1.0
identify,uniform,L,1.0
identify,clothes,L,1.0
identify,mask,L,1.0
identify,study,N,0.5
identify,dress,L,1.0
identify,front,L,0.1
identify,experiment,N,0.5
identify,stress,L,0.1
identify,investigation,L,0.1
identify,search,L,0.1
identify,suit,L,1.0
identify,centre,L,1.0
identify,analysis,N,0.5
identify,library,L,1.0
identify,studio,L,1.0
identify,theatre,L,1.0
identify,tension,L,0.1
identify,ward,L,1.0
identify,museum,L,1.0
identify,platform,L,0.1
identify,matter,N,0.5555555555555556
identify,edge,L,0.1
identify,landing,L,0.1
identify,question,N,0.5555555555555556
identify,times,L,0.1
identify,research,N,0.5
identify,side,L,0.1
identify,second,L,0.1
identify,doorway,L,0.1
identify,jackson,L,0.1
identify,scott,L,0.1
identify,left,L,0.1
identify,topic,N,0.5555555555555556
identify,johnson,L,0.1
identify,letter,L,0.6666666666666666
identify,article,L,0.6666666666666666
identify,report,L,0.6666666666666666
identify,jones,L,0.1
identify,white,L,0.1
identify,lord,L,1.0
identify,bishop,L,1.0
identify,corner,L,0.1
identify,emperor,L,1.0
identify,priest,L,1.0
identify,workshop,L,0.1
identify,prospects,L,0.1
identify,heaven,L,1.0
identify,deputy,L,0.1
identify,successor,L,0.1
identify,happiness,L,0.1
identify,assembly,L,0.1
identify,satisfaction,L,0.1
identify,warmth,L,0.1
identify,assessment,N,0.5
identify,evaluation,N,0.5
identify,dancer,L,1.0
identify,paper,L,0.1
identify,survey,N,0.5
identify,delegate,L,0.1
identify,rally,L,0.1
identify,conference,L,0.1
identify,meeting,L,0.1
identify,presentation,L,0.1
identify,magazine,L,0.1
identify,journal,L,0.1
identify,welfare,L,0.1
identify,candidate,L,0.1
identify,survival,L,0.1
identify,entrance,L,0.1
identify,terrace,L,0.1
identify,councillor,L,0.1
identify,parliament,L,0.1
identify,prime,L,0.1
identify,cabinet,L,0.1
identify,factory,L,1.0
identify,proposition,L,0.1
identify,alternative,N,0.6
identify,ghost,L,1.0
identify,witness,L,1.0
identify,pope,L,1.0
identify,show,L,0.1
identify,demonstration,L,0.1
identify,issue,N,0.5555555555555556
identify,pleasure,L,0.1
identify,subject,N,0.5555555555555556
identify,russia,L,0.1
identify,israel,L,0.1
identify,document,L,0.6666666666666666
identify,advertisement,L,0.6666666666666666
identify,guide,L,0.6666666666666666
identify,middle,L,0.1
identify,park,L,0.1
identify,theme,N,0.5555555555555556
identify,surprise,L,0.1
identify,japan,L,0.1
identify,country,L,0.1
identify,ceremony,L,0.1
identify,draft,L,0.6666666666666666
identify,square,L,0.1
identify,angel,L,1.0
identify,actor,L,1.0
identify,horror,L,0.1
identify,opportunity,N,0.6
identify,master,L,1.0
identify,jesus,L,1.0
identify,fellow,L,1.0
identify,week,L,0.1
identify,month,L,0.1
identify,turn,L,0.1
identify,moment,L,0.1
identify,count,L,0.1
identify,seconds,L,0.1
identify,while,L,0.1
identify,faction,L,0.1
identify,safety,L,0.1
identify,year,L,0.1
identify,mixture,L,1.0
identify,possibility,N,0.6
identify,thesis,L,0.1
identify,assumption,L,0.1
identify,argument,L,0.1
identify,salt,L,1.0
identify,dose,L,1.0
identify,ingredient,L,1.0
identify,sugar,L,1.0
identify,substance,L,1.0
identify,drug,L,1.0
identify,prospect,N,0.6
identify,initiative,L,0.1
identify,medicine,L,1.0
identify,garment,L,1.0
identify,recipe,L,0.1
identify,release,L,1.0
identify,contempt,L,0.1
identify,bond,L,0.1
identify,hierarchy,L,0.1
identify,marriage,L,0.1
identify,spell,L,0.1
identify,award,L,0.1
identify,lewis,L,0.1
identify,crown,L,0.1
identify,possession,L,0.1
identify,boom,L,0.1
identify,punch,L,0.1
identify,shell,L,0.1
identify,wright,L,0.1
identify,defence,L,0.1
identify,observer,L,0.1
identify,historian,L,0.1
identify,book,L,0.6666666666666666
identify,tony,L,0.1
identify,sergeant,L,0.1
identify,expedition,L,0.1
identify,prison,L,1.0
identify,rejection,L,1.0
identify,bomb,L,0.1
identify,taylor,L,0.1
identify,concert,L,0.1
identify,removal,L,1.0
identify,stroke,L,0.1
identify,string,L,0.1
identify,reception,L,0.1
identify,class,L,0.1
identify,bullet,L,0.1
identify,collection,L,0.1
identify,category,L,0.1
identify,group,L,0.1
identify,college,L,0.1
identify,university,L,0.1
identify,cast,L,0.1
identify,title,L,0.1
identify,rank,L,0.1
identify,gold,L,0.1
identify,introduction,L,1.0
identify,exchange,L,0.1
identify,debate,L,0.1
identify,arrest,L,1.0
identify,closure,L,1.0
identify,retirement,L,1.0
identify,discovery,L,1.0
identify,dialogue,L,0.1
identify,replacement,L,1.0
identify,withdrawal,L,1.0
identify,family,L,0.1
identify,scholar,L,0.1
identify,empire,L,0.1
identify,coalition,L,0.1
identify,guilt,L,0.1
identify,laboratory,L,0.1
identify,resignation,L,1.0
identify,appointment,L,1.0
identify,school,L,0.1
identify,living,L,0.1
identify,return,L,1.0
