verb,noun,tag,confidence
magnify,south,L,0.1
magnify,incentive,L,0.1
magnify,attraction,L,0.1
magnify,chance,L,0.1
magnify,michael,L,0.1
magnify,simon,L,0.1
magnify,west,L,0.1
magnify,captain,L,0.1
magnify,view,L,0.1
magnify,front,N,1.0
magnify,north,L,0.1
magnify,necessity,L,0.1
magnify,lack,L,0.1
magnify,charlie,L,0.1
magnify,graham,L,0.1
magnify,kelly,L,0.1
magnify,henry,L,0.1
magnify,lucy,L,0.1
magnify,paul,L,0.1
magnify,existence,L,0.1
magnify,network,L,0.1
magnify,prospect,L,0.1
magnify,letter,L,0.1
magnify,middle,N,1.0
magnify,appearance,L,0.1
magnify,entrance,N,1.0
magnify,sense,L,0.1
magnify,housing,N,1.0
magnify,communication,N,1.0
magnify,facility,N,1.0
magnify,atmosphere,L,0.1
magnify,impression,L,0.1
magnify,flavour,L,0.1
magnify,image,L,0.1
magnify,vision,L,0.1
magnify,taste,L,0.1
magnify,corner,N,1.0
magnify,left,N,1.0
magnify,doorway,N,1.0
magnify,mood,L,0.1
magnify,side,N,1.0
magnify,landing,N,1.0
magnify,terrace,N,1.0
magnify,article,L,0.1
magnify,option,L,0.1
magnify,report,L,0.1
magnify,advertisement,L,0.1
magnify,possibility,L,0.1
magnify,opportunity,L,0.1
magnify,alternative,L,0.1
magnify,protection,N,1.0
magnify,presence,L,0.1
magnify,refusal,L,0.1
magnify,absence,L,0.1
magnify,fact,L,0.1
magnify,edition,L,0.1
magnify,newspaper,L,0.1
magnify,peter,L,0.1
magnify,platform,N,1.0
magnify,circle,N,1.0
magnify,edge,N,1.0
magnify,square,N,1.0
magnify,book,L,0.1
magnify,statement,L,0.1
magnify,account,L,0.1
magnify,draft,L,0.1
magnify,guide,L,0.1
magnify,park,N,1.0
magnify,document,L,0.1
magnify,tony,L,0.1
magnify,concept,L,0.1
magnify,luke,L,0.1
magnify,interface,L,0.1
magnify,version,L,0.1
magnify,product,L,0.1
magnify,reduction,L,0.1
magnify,shift,L,0.1
magnify,increase,L,0.1
magnify,rise,L,0.1
magnify,change,L,0.1
magnify,improvement,L,0.1
magnify,principle,L,0.1
magnify,culture,L,0.1
magnify,software,L,0.1
magnify,curriculum,L,0.1
magnify,writing,L,0.1
magnify,media,L,0.1
magnify,family,L,0.6666666666666666
magnify,rank,L,0.6666666666666666
magnify,cast,L,0.6666666666666666
magnify,group,L,0.6666666666666666
magnify,category,L,0.6666666666666666
magnify,collection,L,0.6666666666666666
magnify,planning,N,1.0
magnify,science,L,0.1
magnify,language,L,0.1
magnify,english,L,0.1
magnify,division,L,0.6666666666666666
magnify,pair,L,0.6666666666666666
magnify,notion,L,0.1
magnify,hundred,L,0.1
magnify,miner,L,0.1
magnify,peasant,L,0.1
magnify,refugee,L,0.1
magnify,youngster,L,0.1
magnify,minority,L,0.1
magnify,resident,L,0.1
magnify,inhabitant,L,0.1
magnify,citizen,L,0.1
magnify,thousand,L,0.1
magnify,computer,L,0.1
magnify,competitor,L,0.1
magnify,tool,L,0.1
magnify,household,L,0.6666666666666666
magnify,rival,L,0.1
magnify,team,L,0.1
magnify,club,L,0.1
magnify,champion,L,0.1
magnify,star,L,0.1
magnify,unit,L,0.6666666666666666
magnify,band,L,0.6666666666666666
magnify,winner,L,0.1
magnify,philosophy,L,0.1
magnify,squad,L,0.1
magnify,party,L,0.6666666666666666
magnify,medicine,L,0.1
magnify,religion,L,0.1
magnify,literature,L,0.1
magnify,discipline,L,0.1
magnify,george,L,0.1
magnify,david,L,0.1
magnify,john,L,0.1
magnify,partner,L,0.1
magnify,francis,L,0.1
magnify,robert,L,0.1
magnify,ownership,L,0.1
magnify,howard,L,0.1
magnify,ideology,L,0.1
magnify,idea,L,0.1
magnify,myth,L,0.1
magnify,jurisdiction,L,0.1
magnify,doctrine,L,0.1
magnify,belief,L,0.1
magnify,leeds,L,0.1
magnify,ideal,L,0.1
magnify,tradition,L,0.1
magnify,custom,L,0.1
magnify,power,L,0.1
magnify,conception,L,0.1
magnify,east,L,0.1
magnify,control,L,0.1
magnify,discretion,L,0.1
magnify,influence,L,0.1
magnify,forward,L,0.1
magnify,joseph,L,0.1
magnify,sergeant,L,0.1
magnify,honour,L,0.1
magnify,player,L,0.1
magnify,discourse,L,0.1
magnify,insider,L,0.1
magnify,education,N,1.0
magnify,system,L,0.1
magnify,program,L,0.1
magnify,treatment,N,1.0
magnify,architecture,L,0.1
magnify,technology,L,0.1
magnify,class,L,0.6666666666666666
magnify,processor,L,0.1
magnify,chip,L,0.1
magnify,times,L,0.1
magnify,failure,L,0.1
magnify,package,L,0.1
magnify,gold,L,0.1
magnify,journal,L,0.1
magnify,magazine,L,0.1
magnify,paper,L,0.1
magnify,press,L,0.1
magnify,title,L,0.1
magnify,crown,L,0.1
magnify,possession,L,0.1
magnify,favour,L,0.1
magnify,living,L,0.1
magnify,county,L,0.1
magnify,liverpool,L,0.1
magnify,duty,L,0.1
magnify,intensity,L,0.1
magnify,obligation,L,0.1
magnify,member,L,0.1
magnify,personnel,L,0.1
magnify,manager,L,0.1
magnify,arrangement,L,0.1
magnify,policy,L,0.1
magnify,measure,L,0.1
magnify,defeat,L,0.1
magnify,reform,L,0.1
magnify,fall,L,0.1
magnify,death,L,0.1
magnify,tragedy,L,0.1
magnify,loss,L,0.1
magnify,collapse,L,0.1
magnify,proposal,L,0.1
magnify,project,L,0.1
magnify,programme,L,0.1
magnify,scheme,L,0.1
magnify,plan,L,0.1
magnify,course,L,0.1
magnify,employee,L,0.1
magnify,teacher,L,0.1
magnify,worker,L,0.1
magnify,volunteer,L,0.1
magnify,cash,L,0.1
magnify,money,L,0.1
magnify,flow,L,0.1
magnify,output,L,0.1
magnify,supply,L,0.1
magnify,spread,L,0.1
magnify,input,L,0.1
magnify,traffic,L,0.1
magnify,consumption,L,0.1
magnify,decline,L,0.1
magnify,production,L,0.1
magnify,million,L,0.1
magnify,export,L,0.1
magnify,import,L,0.1
magnify,sale,L,0.1
magnify,supplies,L,0.1
magnify,growth,L,0.1
magnify,investment,L,0.1
magnify,employment,L,0.1
magnify,staff,L,0.1
magnify,dollar,L,0.1
magnify,dream,L,0.1
magnify,disaster,L,0.1
magnify,fate,L,0.1
magnify,landscape,L,0.1
magnify,continent,L,0.1
magnify,planet,L,0.1
magnify,shore,L,0.1
magnify,depths,L,0.1
magnify,beach,L,0.1
magnify,minister,L,0.1
magnify,governor,L,0.1
magnify,director,L,0.1
magnify,audience,L,0.1
magnify,delegation,L,0.1
magnify,colleague,L,0.1
magnify,companion,L,0.1
magnify,photographer,L,0.1
magnify,visitor,L,0.1
magnify,stranger,L,0.1
magnify,opinion,L,1.0
magnify,lady,L,0.1
magnify,crowd,L,0.1
magnify,coast,L,0.1
magnify,channel,L,0.1
magnify,executive,L,0.1
magnify,chairman,L,0.1
magnify,organism,L,1.0
magnify,molecule,L,1.0
magnify,compound,L,1.0
magnify,complex,L,1.0
magnify,acid,L,1.0
magnify,protein,L,1.0
