verb,noun,tag,confidence
value,finance,L,0.1
value,sunlight,L,0.1
value,screen,L,0.1
value,plan,L,0.1
value,loan,L,0.1
value,debt,L,0.1
value,path,L,0.1
value,page,L,0.1
value,share,L,0.1
value,estate,L,0.1
value,acre,L,0.1
value,property,L,0.1
value,analyst,L,0.1
value,theory,L,0.1
value,scheme,L,0.1
value,programme,L,0.1
value,contrast,L,0.1
value,sign,L,0.1
value,variation,L,0.1
value,tendency,L,0.1
value,york,L,0.1
value,holding,L,0.1
value,critic,L,0.1
value,mirror,L,0.1
value,shaft,L,0.1
value,camera,L,0.1
value,adult,L,0.1
value,participant,L,0.1
value,rome,L,0.1
value,scholar,L,0.1
value,track,L,0.1
value,kong,L,0.1
value,alternative,L,0.1
value,commentator,L,0.1
value,leadership,L,0.1
value,state,L,0.1
value,credit,L,0.1
value,route,L,0.1
value,handle,L,0.1
value,historian,L,0.1
value,observer,L,0.1
value,portfolio,L,0.1
value,republic,L,0.1
value,union,L,0.1
value,weapon,L,0.1
value,lane,L,0.1
value,trail,L,0.1
value,scope,L,0.1
value,london,L,0.1
value,nation,L,0.1
value,chapel,L,0.1
value,gift,L,0.1
value,memory,L,0.1
value,weakness,L,0.1
value,knife,L,0.1
value,blade,L,0.1
value,garment,L,0.1
value,guide,L,0.1
value,draft,L,0.1
value,defect,L,0.1
value,account,L,0.1
value,statement,L,0.1
value,fault,L,0.1
value,error,L,0.1
value,mistake,L,0.1
value,bias,L,0.1
value,book,L,0.1
value,let,L,0.1
value,suit,L,0.1
value,stick,L,0.1
value,sword,L,0.1
value,ankle,L,0.1
value,waist,L,0.1
value,dress,L,0.1
value,moscow,L,0.1
value,conclusion,L,0.1
value,verdict,L,0.1
value,resolution,L,0.1
value,statute,L,0.1
value,horn,L,0.1
value,present,L,0.1
value,club,L,0.1
value,argument,L,0.1
value,receipt,L,0.1
value,cheque,L,0.1
value,dialogue,L,0.1
value,card,L,0.1
value,project,L,0.1
value,noise,L,0.1
value,difference,L,0.1
value,contradiction,L,0.1
value,love,L,0.1
value,rival,L,0.1
value,team,L,0.1
value,article,L,0.1
value,street,L,0.1
value,report,L,0.1
value,victim,L,0.1
value,bull,L,0.1
value,teenager,L,0.1
value,logic,L,0.1
value,hypothesis,L,0.1
value,interpretation,L,0.1
value,model,L,0.1
value,proposition,L,0.1
value,thesis,L,0.1
value,assumption,L,0.1
value,document,L,0.1
value,advertisement,L,0.1
value,pass,L,0.1
value,ticket,L,0.1
value,trend,L,0.1
value,laugh,L,0.1
value,building,L,0.1
value,football,L,0.1
value,tone,L,0.1
value,alarm,L,0.1
value,spine,L,0.1
value,pulse,L,0.1
value,definition,L,0.1
value,focus,L,0.1
value,selection,L,0.1
value,horizon,L,0.1
value,membership,L,0.1
value,owner,L,0.1
value,treasury,L,0.1
value,album,L,0.1
value,operator,L,0.1
value,dealer,L,0.1
value,breath,L,0.1
value,mouth,L,0.1
value,tooth,L,0.1
value,hold,L,0.1
value,bell,L,0.1
value,china,L,0.1
value,kingdom,L,0.1
value,harry,L,0.1
value,maggie,L,0.1
value,jane,L,0.1
value,colony,L,0.1
value,developer,L,0.1
value,jack,L,0.1
value,trouble,L,0.1
value,silence,L,0.1
value,voice,L,0.1
value,beauty,L,0.1
value,sound,L,0.1
value,rights,L,0.1
value,competitor,L,0.1
value,mystery,L,0.1
value,emphasis,L,0.1
value,marie,L,0.1
value,susan,L,0.1
value,anne,L,0.1
value,medal,L,0.1
value,course,L,0.1
value,virtue,L,0.1
value,fig.,L,0.1
value,spirit,L,0.1
value,music,L,0.1
value,tape,L,0.1
value,song,L,0.1
value,tune,L,0.1
value,essay,L,0.1
value,column,L,0.1
value,radio,L,0.1
value,guitar,L,0.1
value,capital,L,0.1
value,trick,L,0.1
value,opportunity,L,0.1
value,imagination,L,0.1
value,letter,L,0.1
value,manufacturer,L,0.1
value,availability,L,0.1
value,ceiling,L,0.1
value,light,L,0.1
value,reflection,L,0.1
value,moon,L,0.1
value,clock,L,0.1
value,dawn,L,0.1
value,subsidy,L,0.1
value,organ,L,0.1
value,watch,L,0.1
value,democrat,L,0.1
value,monopoly,L,0.1
value,independence,L,0.1
value,beam,L,0.1
value,democracy,L,0.1
value,freedom,L,0.1
value,stuff,L,0.1
value,command,L,0.1
value,invitation,L,0.1
value,signal,L,0.1
value,offer,L,0.1
value,remark,L,0.1
value,mask,L,0.1
value,glory,L,0.1
value,tunnel,L,0.1
value,road,L,0.1
value,dream,L,0.1
value,status,L,0.1
value,publisher,L,0.1
value,compensation,L,0.1
value,allowance,L,0.1
value,corporation,L,0.1
value,collector,L,0.1
value,provision,L,0.1
value,representation,L,0.1
value,allocation,L,0.1
value,supplier,L,0.1
value,airline,L,0.1
value,advertising,L,0.1
value,coverage,L,0.1
value,organiser,L,0.1
value,nigel,L,0.1
value,choice,L,0.1
value,damages,L,0.1
value,consultation,L,0.1
value,employer,L,0.1
value,bank,L,0.1
value,company,L,0.1
value,debate,L,0.1
value,ally,L,0.1
value,iraq,L,0.1
value,faction,L,0.1
value,ambition,L,0.1
value,faith,L,0.1
value,grant,L,0.1
value,pension,L,0.1
value,payment,L,0.1
value,firm,L,0.1
value,directive,L,0.1
value,champion,L,0.1
value,order,L,0.1
value,stake,L,0.1
value,asset,L,0.1
value,leeds,L,0.1
value,hero,L,0.1
value,gang,L,0.1
value,partner,L,0.1
value,liverpool,L,0.1
value,enemy,L,0.1
value,wrist,L,0.1
value,rider,L,0.1
value,offender,L,0.1
value,sight,L,0.1
value,youth,L,0.1
value,killer,L,0.1
value,land,L,0.1
value,thief,L,0.1
value,driver,L,0.1
value,stock,L,0.1
value,defender,L,0.1
value,hell,L,0.1
value,presence,L,0.1
value,necessity,L,0.1
value,lack,L,0.1
value,player,L,0.1
value,county,L,0.1
value,possibility,L,0.1
value,lifetime,L,0.1
value,subsidiary,L,0.1
value,currency,L,0.1
value,wave,L,0.1
value,weather,L,0.1
value,storm,L,0.1
value,retirement,L,0.1
value,closure,L,0.1
value,arrest,L,0.1
value,evolution,L,0.1
value,gear,L,0.1
value,introduction,L,0.1
value,rumour,L,0.1
value,ocean,L,0.1
value,rain,L,0.1
value,establishment,L,0.1
value,incentive,L,0.1
value,attraction,L,0.1
value,chance,L,0.1
value,option,L,0.1
value,succession,L,0.1
value,century,L,0.1
value,period,L,0.1
value,quarter,L,0.1
value,castle,L,0.1
value,town,L,0.1
value,palace,L,0.1
value,church,L,0.1
value,prospect,L,0.1
value,discovery,L,0.1
value,distinction,L,0.1
value,future,L,0.1
value,publicity,L,0.1
value,committee,L,0.1
value,note,L,0.1
value,maker,L,0.1
value,official,L,0.1
value,officer,L,0.1
value,inspector,L,0.1
value,envelope,L,0.1
value,board,L,0.1
value,authority,L,0.1
value,administration,L,0.1
value,journalist,L,0.1
value,detective,L,0.1
value,cathedral,L,0.1
value,tower,L,0.1
value,city,L,0.1
value,tide,L,0.1
value,breeze,L,0.1
value,commission,L,0.1
value,coin,L,0.1
value,packet,L,0.1
value,department,L,0.1
value,government,L,0.1
value,council,L,0.1
value,flood,L,0.1
value,uncertainty,L,0.1
value,release,L,0.1
value,chaos,L,0.1
value,confusion,L,0.1
value,interval,L,0.1
value,phase,L,0.1
value,decade,L,0.1
value,constable,L,0.1
value,rejection,L,0.1
value,purchase,L,0.1
value,integration,L,0.1
value,acquisition,L,0.1
value,resignation,L,0.1
value,existence,L,0.1
value,failure,L,0.1
value,phenomenon,L,0.1
value,neck,L,0.1
value,squad,L,0.1
value,papers,L,0.1
value,mail,L,0.1
value,controversy,L,0.1
value,germany,L,0.1
value,country,L,0.1
value,producer,L,0.1
value,pack,L,0.1
value,leaflet,L,0.1
value,handful,L,0.1
value,ministry,L,0.1
value,scandal,L,0.1
value,speculation,L,0.1
value,replacement,L,0.1
value,implementation,L,0.1
value,patient,L,0.1
value,tenant,L,0.1
value,penalty,L,0.1
value,sanction,L,0.1
value,clause,L,0.1
value,punishment,L,0.1
value,seller,L,0.1
value,defendant,L,0.1
value,copy,L,0.1
value,constraint,L,0.1
value,vendor,L,0.1
value,creditor,L,0.1
value,matter,L,0.1
value,applicant,L,0.1
value,aspect,L,0.1
value,chapter,L,0.1
value,lake,L,0.1
value,generation,L,0.1
value,peace,L,0.1
value,pool,L,0.1
value,grip,L,0.1
value,prey,L,0.1
value,glimpse,L,0.1
value,unity,L,0.1
value,pond,L,0.1
value,waters,L,0.1
value,landlord,L,0.1
value,stage,L,0.1
value,plaintiff,L,0.1
value,paragraph,L,0.1
value,judgement,L,0.1
value,question,L,0.1
value,bridge,L,0.1
value,clothes,L,0.1
value,uniform,L,0.1
value,conviction,L,0.1
value,fact,L,0.1
value,wind,L,0.1
value,hope,L,0.1
value,absence,L,0.1
value,topic,L,0.1
value,issue,L,0.1
value,pride,L,0.1
value,star,L,0.1
value,judgment,L,0.1
value,appointment,L,0.1
value,subject,L,0.1
value,refusal,L,0.1
value,limitation,L,0.1
value,winner,L,0.1
value,russia,L,0.1
value,israel,L,0.1
value,japan,L,0.1
value,heat,L,0.1
value,section,L,0.1
value,theme,L,0.1
value,courage,L,0.1
value,promise,L,0.1
value,limit,L,0.1
value,expansion,L,0.1
value,addition,L,0.1
value,formation,L,0.1
value,recovery,L,0.1
value,arrangement,L,0.1
value,policy,L,0.1
value,measure,L,0.1
value,individual,L,0.1
value,reform,L,0.1
value,pupil,L,0.1
value,prisoner,L,0.1
value,bill,L,0.1
value,interaction,L,0.1
value,transformation,L,0.1
value,transition,L,0.1
value,proposal,L,0.1
value,sleep,L,0.1
value,senses,L,0.1
value,supporter,L,0.1
value,student,L,0.1
value,amendment,L,0.1
value,legislation,L,0.1
value,motion,L,0.1
value,identification,L,0.1
value,christian,L,0.1
value,withdrawal,L,0.1
value,creation,L,0.1
value,removal,L,0.1
value,canal,L,0.1
value,restriction,L,0.1
value,transfer,L,0.1
value,adoption,L,0.1
value,village,L,0.1
value,temple,L,0.1
value,innovation,L,0.1
value,reporter,L,0.1
value,policeman,L,0.1
value,merger,L,0.1
value,extension,L,0.1
value,development,L,0.1
value,conversion,L,0.1
value,will,L,0.1
value,recommendation,L,0.1
value,current,L,0.1
value,return,L,0.1
value,purchaser,L,0.1
value,police,L,0.1
value,holder,L,0.1
value,river,L,0.1
value,bath,L,0.1
value,stream,L,0.1
value,opinion,L,0.1
value,constitution,L,0.1
value,regulation,L,0.1
value,construction,L,0.1
value,decision,L,0.1
value,lift,L,0.1
value,lifespan,L,0.1
value,while,L,0.1
value,leaf,L,0.1
value,seed,L,0.1
value,rose,L,0.1
value,wood,L,0.1
value,grain,L,0.1
value,stem,L,0.1
value,forest,L,0.1
value,garden,L,0.1
value,hunt,L,0.1
value,mission,L,0.1
value,palm,L,0.1
value,cheek,L,0.1
value,root,L,0.1
value,forehead,L,0.1
value,tube,L,0.1
value,lock,L,0.1
value,tank,L,0.1
value,circuit,L,0.1
value,joint,L,0.1
value,filter,L,0.1
value,battery,L,0.1
value,consent,L,0.1
value,permission,L,0.1
value,concession,L,0.1
value,injunction,L,0.1
value,licence,L,0.1
value,thigh,L,0.1
value,plant,L,0.1
value,flower,L,0.1
value,venture,L,0.1
value,client,L,0.1
value,customer,L,0.1
value,public,L,0.1
value,buyer,L,0.1
value,user,L,0.1
value,consumer,L,0.1
value,reader,L,0.1
value,robert,L,0.1
value,francis,L,0.1
value,shareholder,L,0.1
value,john,L,0.1
value,david,L,0.1
value,hill,L,0.1
value,stair,L,0.1
value,slope,L,0.1
value,downstairs,L,0.1
value,george,L,0.1
value,joseph,L,0.1
value,tree,L,0.1
value,crop,L,0.1
value,crash,L,0.1
value,accident,L,0.1
value,consciousness,L,0.1
value,reputation,L,0.1
value,parent,L,0.1
value,daughter,L,0.1
value,sister,L,0.1
value,approval,L,0.1
value,investor,L,0.1
value,nose,L,0.1
value,dividend,L,0.1
value,equipment,L,0.1
value,patch,L,0.1
value,machinery,L,0.1
value,wheel,L,0.1
value,motor,L,0.1
value,charity,L,0.1
value,campaign,L,0.1
value,effort,L,0.1
value,drive,L,0.1
value,ship,L,0.1
value,craft,L,0.1
value,plane,L,0.1
value,popularity,L,0.1
value,carrier,L,0.1
value,boat,L,0.1
value,slide,L,0.1
value,disc,L,0.1
value,painting,L,0.1
value,picture,L,0.1
value,drawing,L,0.1
value,statue,L,0.1
value,poster,L,0.1
value,initiative,L,0.1
value,fleet,L,0.1
value,soldier,L,0.1
value,knight,L,0.1
value,grin,L,0.1
value,fortune,L,0.1
value,balance,L,0.1
value,confidence,L,0.1
value,price,L,0.1
value,rate,L,0.1
value,premium,L,0.1
value,rent,L,0.1
value,rating,L,0.1
value,expenditure,L,0.1
value,cost,L,0.1
value,risk,L,0.1
value,expense,L,0.1
value,emission,L,0.1
value,budget,L,0.1
value,spending,L,0.1
value,salary,L,0.1
value,wages,L,0.1
value,lunch,L,0.1
value,dinner,L,0.1
value,breakfast,L,0.1
value,meal,L,0.1
value,engine,L,0.1
value,device,L,0.1
value,disk,L,0.1
value,furniture,L,0.1
value,machine,L,0.1
value,mine,L,0.1
value,seal,L,0.1
value,pavement,L,0.1
value,bottom,L,0.1
value,face,L,0.1
value,force,L,0.1
value,proportion,L,0.1
value,volume,L,0.1
value,compromise,L,0.1
value,method,L,0.1
value,kelly,L,0.1
value,procedure,L,0.1
value,exhibition,L,0.1
value,style,L,0.1
value,mode,L,0.1
value,design,L,0.1
value,meeting,L,0.1
value,presentation,L,0.1
value,sport,L,0.1
value,profession,L,0.1
value,tactic,L,0.1
value,strength,L,0.1
value,occupation,L,0.1
value,reading,L,0.1
value,pile,L,0.1
value,trading,L,0.1
value,practice,L,0.1
value,politics,L,0.1
value,relation,L,0.1
value,friendship,L,0.1
value,contact,L,0.1
value,links,L,0.1
value,link,L,0.1
value,relationship,L,0.1
value,momentum,L,0.1
value,approach,L,0.1
value,strategy,L,0.1
value,explanation,L,0.1
value,career,L,0.1
value,affair,L,0.1
value,operation,L,0.1
value,display,L,0.1
value,session,L,0.1
value,festival,L,0.1
value,demonstration,L,0.1
value,work,L,0.1
value,role,L,0.1
value,preparation,L,0.1
value,movement,L,0.1
value,train,L,0.1
value,truck,L,0.1
value,lorry,L,0.1
value,remedy,L,0.1
value,settlement,L,0.1
value,formula,L,0.1
value,proof,L,0.1
value,show,L,0.1
value,workshop,L,0.1
value,conference,L,0.1
value,rally,L,0.1
value,ceremony,L,0.1
value,pursuit,L,0.1
value,solution,L,0.1
value,technique,L,0.1
value,answer,L,0.1
value,connection,L,0.1
value,amount,L,0.1
value,britain,L,0.1
value,ridge,L,0.1
value,charles,L,0.1
value,duke,L,0.1
value,richard,L,0.1
value,queen,L,0.1
value,value,L,0.1
value,population,L,0.1
value,index,L,0.1
value,edward,L,0.1
