verb,noun,tag,confidence
qualify,self,L,0.1
qualify,loyalty,L,0.1
qualify,sympathy,L,0.1
qualify,london,L,0.1
qualify,kong,L,0.1
qualify,rome,L,0.1
qualify,cell,L,0.1
qualify,office,L,0.1
qualify,tissue,L,0.1
qualify,embassy,L,0.1
qualify,priest,L,0.1
qualify,gene,L,0.1
qualify,hospital,L,0.1
qualify,station,L,0.1
qualify,headquarters,L,0.1
qualify,football,L,0.1
qualify,organ,L,0.1
qualify,stuff,L,0.1
qualify,wish,L,0.1
qualify,bishop,L,0.1
qualify,jury,L,0.1
qualify,tribunal,L,0.1
qualify,judge,L,0.1
qualify,interest,L,0.1
qualify,preference,L,0.1
qualify,vote,L,0.1
qualify,help,L,0.1
qualify,clinic,L,0.1
qualify,best,L,0.1
qualify,determination,L,0.1
qualify,emperor,L,0.1
qualify,washington,L,0.1
qualify,host,L,0.1
qualify,scientist,L,0.1
qualify,motive,L,0.1
qualify,election,L,0.1
qualify,pope,L,0.1
qualify,album,L,0.1
qualify,secret,L,0.1
qualify,illness,L,0.1
qualify,cause,L,0.1
qualify,identity,L,0.1
qualify,artist,L,0.1
qualify,individual,L,0.1
qualify,heaven,L,0.1
qualify,meaning,L,0.1
qualify,reality,L,0.1
qualify,origin,L,0.1
qualify,eliot,L,0.1
qualify,marx,L,0.1
qualify,writer,L,0.1
qualify,master,L,0.1
qualify,advice,L,0.1
qualify,hitler,L,0.1
qualify,participant,L,0.1
qualify,fist,L,0.1
qualify,wing,L,0.1
qualify,rail,L,0.1
qualify,intention,L,0.1
qualify,branch,L,0.1
qualify,recession,L,0.1
qualify,adult,L,0.1
qualify,truth,L,0.1
qualify,breach,L,0.1
qualify,christ,L,0.1
qualify,murder,L,0.1
qualify,paris,L,0.1
qualify,oxford,L,0.1
qualify,disorder,L,0.1
qualify,infection,L,0.1
qualify,willingness,L,0.1
qualify,minimum,L,0.1
qualify,invitation,L,0.1
qualify,court,L,0.1
qualify,organization,L,0.1
qualify,community,L,0.1
qualify,line,L,0.1
qualify,body,L,0.1
qualify,head,L,0.1
qualify,lord,L,0.1
qualify,fragment,L,0.1
qualify,disease,L,0.1
qualify,trust,L,0.1
qualify,night,L,0.1
qualify,virus,L,0.1
qualify,hour,L,0.1
qualify,time,L,0.1
qualify,evening,L,0.1
qualify,association,L,0.1
qualify,juice,L,0.1
qualify,afternoon,L,0.1
qualify,water,L,0.1
qualify,morning,L,0.1
qualify,particle,L,0.1
qualify,bacterium,L,0.1
qualify,protein,L,0.1
qualify,command,L,0.1
qualify,acid,L,0.1
qualify,actor,L,0.1
qualify,dancer,L,0.1
qualify,walk,L,0.1
qualify,offer,L,0.1
qualify,remark,L,0.1
qualify,complex,L,0.1
qualify,researcher,L,0.1
qualify,warning,L,0.1
qualify,panel,L,0.1
qualify,compound,L,0.1
qualify,molecule,L,0.1
qualify,agency,L,0.1
qualify,poet,L,0.1
qualify,couple,L,0.1
qualify,minute,L,0.1
qualify,organism,L,0.1
qualify,comment,L,0.1
qualify,angel,L,0.1
qualify,blood,L,0.1
qualify,tune,L,0.1
qualify,music,L,0.1
qualify,institution,L,0.1
qualify,embarrassment,L,0.1
qualify,guilt,L,0.1
qualify,sensation,L,0.1
qualify,organisation,L,0.1
qualify,radio,L,0.1
qualify,society,L,0.1
qualify,crime,L,0.1
qualify,frame,L,0.1
qualify,patient,L,0.1
qualify,guitar,L,0.1
qualify,signal,L,0.1
qualify,guidance,L,0.1
qualify,recording,L,0.1
qualify,student,L,0.1
qualify,pupil,L,0.1
qualify,magistrate,L,0.1
qualify,witness,L,0.1
qualify,port,L,0.1
qualify,ward,L,0.1
qualify,centre,L,0.1
qualify,disappointment,L,0.1
qualify,shock,L,0.1
qualify,ghost,L,0.1
qualify,constituency,L,0.1
qualify,pain,L,0.1
qualify,song,L,0.1
qualify,speaker,L,0.1
qualify,whilst,L,0.1
qualify,tape,L,0.1
qualify,gentleman,L,0.1
qualify,author,L,0.1
qualify,pole,L,0.1
qualify,frustration,L,0.1
qualify,news,L,0.1
qualify,message,L,0.1
qualify,paint,L,0.1
qualify,sweat,L,0.1
qualify,tear,L,0.1
qualify,drop,L,0.1
qualify,trick,L,0.1
qualify,support,L,0.1
qualify,majority,L,0.1
qualify,equivalent,L,0.1
qualify,anxiety,L,0.1
qualify,hostility,L,0.1
qualify,desire,L,0.1
qualify,solicitor,L,0.1
qualify,practitioner,L,0.1
qualify,card,L,0.1
qualify,pass,L,0.1
qualify,ticket,L,0.1
qualify,copy,L,0.1
qualify,expert,L,0.1
qualify,doctor,L,0.1
qualify,politician,L,0.1
qualify,russian,L,0.1
qualify,american,L,0.1
qualify,boss,L,0.1
qualify,black,L,0.1
qualify,reply,L,0.1
qualify,call,L,0.1
qualify,newspaper,L,0.1
qualify,edition,L,0.1
qualify,press,L,0.1
qualify,paper,L,0.1
qualify,magazine,L,0.1
qualify,sentence,L,0.1
qualify,term,L,0.1
qualify,procedure,L,0.1
qualify,compromise,L,0.1
qualify,journal,L,0.1
qualify,times,L,0.1
qualify,passion,L,0.1
qualify,reference,L,0.1
qualify,doubt,L,0.1
qualify,curiosity,L,0.1
qualify,instruction,L,0.1
qualify,duty,L,0.1
qualify,demonstration,L,0.1
qualify,show,L,0.1
qualify,workshop,L,0.1
qualify,conference,L,0.1
qualify,rally,L,0.1
qualify,suspicion,L,0.1
qualify,ceremony,L,0.1
qualify,exhibition,L,0.1
qualify,meeting,L,0.1
qualify,feeling,L,0.1
qualify,emotion,L,0.1
qualify,instinct,L,0.1
qualify,impulse,L,0.1
qualify,presentation,L,0.1
qualify,responsibility,L,0.1
qualify,enthusiasm,L,0.1
qualify,obligation,L,0.1
qualify,liability,L,0.1
qualify,accountant,L,0.1
qualify,engineer,L,0.1
qualify,present,L,0.1
qualify,gift,L,0.1
qualify,receipt,L,0.1
qualify,cheque,L,0.1
qualify,designer,L,0.1
qualify,specialist,L,0.1
qualify,nurse,L,0.1
qualify,fear,L,0.1
qualify,date,L,0.1
qualify,tactic,L,0.1
qualify,calculation,L,0.1
qualify,science,L,0.1
qualify,media,L,0.1
qualify,writing,L,0.1
qualify,independence,L,0.1
qualify,democracy,L,0.1
qualify,status,L,0.1
qualify,freedom,L,0.1
qualify,english,L,0.1
qualify,curriculum,L,0.1
qualify,tory,L,0.1
qualify,labour,L,0.1
qualify,conservative,L,0.1
qualify,democrat,L,0.1
qualify,culture,L,0.1
qualify,gold,L,0.1
qualify,scale,L,0.1
qualify,resolution,L,0.1
qualify,statute,L,0.1
qualify,directive,L,0.1
qualify,clause,L,0.1
qualify,constitution,L,0.1
qualify,regulation,L,0.1
qualify,bill,L,0.1
qualify,amendment,L,0.1
qualify,level,L,0.1
qualify,depth,L,0.1
qualify,intensity,L,0.1
qualify,week,L,0.1
qualify,month,L,0.1
qualify,language,L,0.1
qualify,medicine,L,0.1
qualify,religion,L,0.1
qualify,literature,L,0.1
qualify,statistics,L,0.1
qualify,approach,L,0.1
qualify,evidence,L,0.1
qualify,label,L,0.1
qualify,thing,L,0.1
qualify,word,L,0.1
qualify,prize,L,0.1
qualify,privilege,L,0.1
qualify,right,L,0.1
qualify,concentration,L,0.1
qualify,trophy,L,0.1
qualify,rights,L,0.1
qualify,medal,L,0.1
qualify,finding,L,0.1
qualify,farmer,L,0.1
qualify,monopoly,L,0.1
qualify,discourse,L,0.1
qualify,consideration,L,0.1
qualify,figure,L,0.1
qualify,interview,L,0.1
qualify,test,L,0.1
qualify,size,L,0.1
qualify,ratio,L,0.1
qualify,frequency,L,0.1
qualify,inspection,L,0.1
qualify,measurement,L,0.1
qualify,result,L,0.1
qualify,comparison,L,0.1
qualify,observation,L,0.1
qualify,discipline,L,0.1
qualify,insider,L,0.1
qualify,opponent,L,0.1
qualify,scot,L,0.1
qualify,carriage,L,0.1
qualify,intervention,L,0.1
qualify,attack,L,0.1
qualify,revolution,L,0.1
qualify,protest,L,0.1
qualify,action,L,0.1
qualify,raid,L,0.1
qualify,attempt,L,0.1
qualify,assault,L,0.1
qualify,invasion,L,0.1
qualify,variety,L,0.1
qualify,range,L,0.1
qualify,degree,L,0.1
