verb,noun,tag,confidence
tackle,kiss,L,0.1
tackle,suicide,L,0.1
tackle,clash,L,0.1
tackle,violence,L,0.1
tackle,abuse,L,0.1
tackle,formula,L,0.1
tackle,finger,L,0.1
tackle,chamber,L,0.1
tackle,champagne,L,0.1
tackle,wine,L,0.1
tackle,thumb,L,0.1
tackle,conflict,L,0.1
tackle,drink,L,0.1
tackle,pint,L,0.1
tackle,coffee,L,0.1
tackle,gain,L,0.1
tackle,nail,L,0.1
tackle,protocol,L,0.1
tackle,proof,L,0.1
tackle,beer,L,0.1
tackle,hand,L,0.1
tackle,help,L,0.1
tackle,passion,L,0.1
tackle,intensity,L,0.1
tackle,damage,L,0.1
tackle,injury,L,0.1
tackle,depth,L,0.1
tackle,level,L,0.1
tackle,feeling,L,0.1
tackle,pattern,L,0.1
tackle,suspicion,L,0.1
tackle,rhythm,L,0.1
tackle,stance,L,0.1
tackle,format,L,0.1
tackle,incident,L,0.1
tackle,shortage,L,0.1
tackle,symptom,L,0.1
tackle,crash,L,0.1
tackle,accident,L,0.1
tackle,motion,L,0.1
tackle,incidence,L,0.1
tackle,anxiety,L,0.1
tackle,temperature,L,0.1
tackle,instinct,L,0.1
tackle,poet,L,0.1
tackle,anniversary,L,0.1
tackle,fight,L,0.1
tackle,theory,L,0.1
tackle,struggle,L,0.1
tackle,fighting,L,0.1
tackle,battle,L,0.1
tackle,dispute,L,0.1
tackle,harm,L,0.1
tackle,doubt,L,0.1
tackle,agreement,L,0.1
tackle,bathroom,L,0.1
tackle,birthday,L,0.1
tackle,fear,L,0.1
tackle,curiosity,L,0.1
tackle,enthusiasm,L,0.1
tackle,impulse,L,0.1
tackle,emotion,L,0.1
tackle,championship,L,0.1
tackle,round,L,0.1
tackle,killing,L,0.1
tackle,explanation,L,0.1
tackle,sanction,L,0.1
tackle,contract,L,0.1
tackle,penny,L,0.1
tackle,relief,L,0.1
tackle,surprise,L,0.1
tackle,pound,L,0.1
tackle,television,L,0.1
tackle,contest,L,0.1
tackle,punishment,L,0.1
tackle,game,L,0.1
tackle,penalty,L,0.1
tackle,limitation,L,0.1
tackle,explosion,L,0.1
tackle,argument,L,0.1
tackle,drama,L,0.1
tackle,tongue,L,0.1
tackle,button,L,0.1
tackle,assumption,L,0.1
tackle,thesis,L,0.1
tackle,happiness,L,0.1
tackle,constraint,L,0.1
tackle,answer,L,0.1
tackle,million,L,0.1
tackle,handful,L,0.1
tackle,dollar,L,0.1
tackle,pound,L,0.1
tackle,leaflet,L,0.1
tackle,envelope,L,0.1
tackle,coin,L,0.1
tackle,delight,L,0.1
tackle,pack,L,0.1
tackle,mail,L,0.1
tackle,guidance,L,0.1
tackle,support,L,0.1
tackle,restriction,L,0.1
tackle,limit,L,0.1
tackle,cash,L,0.1
tackle,money,L,0.1
tackle,technique,L,0.1
tackle,solution,L,0.1
tackle,exposure,L,0.1
tackle,dollar,L,0.1
tackle,deal,L,0.1
tackle,convention,L,0.1
tackle,defeat,L,0.1
tackle,hall,L,0.1
tackle,proposition,L,0.1
tackle,papers,L,0.1
tackle,desire,L,0.1
tackle,hostility,L,0.1
tackle,breach,L,0.1
tackle,competition,L,0.1
tackle,match,L,0.1
tackle,savings,L,0.1
tackle,race,L,0.1
tackle,note,L,0.1
tackle,final,L,0.1
tackle,crime,L,0.1
tackle,league,L,0.1
tackle,room,L,0.1
tackle,corridor,L,0.1
tackle,interior,L,0.1
tackle,cupboard,L,0.1
tackle,offence,L,0.1
tackle,tournament,L,0.1
tackle,kitchen,L,0.1
tackle,bedroom,L,0.1
tackle,open,L,0.1
tackle,murder,L,0.1
tackle,logic,L,0.1
tackle,needle,L,0.1
tackle,fate,L,0.1
tackle,model,L,0.1
tackle,fall,L,0.1
tackle,interpretation,L,0.1
tackle,death,L,0.1
tackle,tragedy,L,0.1
tackle,hypothesis,L,0.1
tackle,satisfaction,L,0.1
tackle,warmth,L,0.1
tackle,play,L,0.1
tackle,benefit,L,0.1
tackle,loss,L,0.1
tackle,packet,L,0.1
tackle,advantage,L,0.1
tackle,comfort,L,0.1
tackle,collapse,L,0.1
tackle,decline,L,0.1
tackle,consent,L,0.1
tackle,disaster,L,0.1
tackle,destruction,L,0.1
tackle,advice,L,0.1
tackle,heat,L,0.1
tackle,switch,L,0.1
tackle,design,L,0.1
tackle,rights,L,0.1
tackle,style,L,0.1
tackle,sand,L,0.1
tackle,promotion,L,0.1
tackle,co-operation,L,0.1
tackle,participation,L,0.1
tackle,kate,L,0.1
tackle,organisation,L,0.1
tackle,sarah,L,0.1
tackle,institution,L,0.1
tackle,community,L,0.1
tackle,organization,L,0.1
tackle,trust,L,0.1
tackle,agency,L,0.1
tackle,association,L,0.1
tackle,path,L,0.1
tackle,blanche,L,0.1
tackle,rachel,L,0.1
tackle,isabel,L,0.1
tackle,willie,L,0.1
tackle,stephen,L,0.1
tackle,anna,L,0.1
tackle,fact,L,0.1
tackle,admission,L,0.1
tackle,absence,L,0.1
tackle,refusal,L,0.1
tackle,presence,L,0.1
tackle,necessity,L,0.1
tackle,floor,L,0.1
tackle,earth,L,0.1
tackle,lack,L,0.1
tackle,trail,L,0.1
tackle,route,L,0.1
tackle,tissue,L,0.1
tackle,camp,L,0.1
tackle,gene,L,0.1
tackle,headquarters,L,0.1
tackle,virus,L,0.1
tackle,cancer,L,0.1
tackle,station,L,0.1
tackle,access,L,0.1
tackle,separation,L,0.1
tackle,society,L,0.1
tackle,hospital,L,0.1
tackle,embassy,L,0.1
tackle,office,L,0.1
tackle,bridge,L,0.1
tackle,street,L,0.1
tackle,track,L,0.1
tackle,story,L,0.1
tackle,combination,L,0.1
tackle,tale,L,0.1
tackle,instance,L,0.1
tackle,second,L,0.1
tackle,clinic,L,0.1
tackle,port,L,0.1
tackle,ward,L,0.1
tackle,centre,L,0.1
tackle,ground,L,0.1
tackle,corpse,L,0.1
tackle,lane,L,0.1
tackle,cell,L,0.1
tackle,turn,L,0.1
tackle,moment,L,0.1
tackle,drop,L,0.1
tackle,nose,L,0.1
tackle,lily,L,0.1
tackle,video,L,0.1
tackle,garden,L,0.1
tackle,forest,L,0.1
tackle,stem,L,0.1
tackle,grain,L,0.1
tackle,movie,L,0.1
tackle,inspector,L,0.1
tackle,instrument,L,0.1
tackle,disc,L,0.1
tackle,slide,L,0.1
tackle,motor,L,0.1
tackle,wheel,L,0.1
tackle,machinery,L,0.1
tackle,assistance,L,0.1
tackle,film,L,0.1
tackle,wood,L,0.1
tackle,rose,L,0.1
tackle,seed,L,0.1
tackle,leaf,L,0.1
tackle,root,L,0.1
tackle,plant,L,0.1
tackle,flower,L,0.1
tackle,crop,L,0.1
tackle,tree,L,0.1
tackle,tear,L,0.1
tackle,existence,L,0.1
tackle,sweat,L,0.1
tackle,adam,L,0.1
tackle,failure,L,0.1
tackle,book,L,0.1
tackle,statement,L,0.1
tackle,account,L,0.1
tackle,draft,L,0.1
tackle,guide,L,0.1
tackle,count,L,0.1
