verb,noun,tag,confidence
wade,poetry,L,0.1
wade,weight,L,0.1
wade,co-operation,L,0.1
wade,fear,N,0.5
wade,shortage,L,0.1
wade,cream,L,0.1
wade,alcohol,L,0.1
wade,contrast,L,0.1
wade,difference,L,0.1
wade,remains,L,0.1
wade,speech,L,0.1
wade,block,L,0.1
wade,quarter,L,0.1
wade,poverty,L,0.1
wade,load,L,0.1
wade,compliance,L,0.1
wade,substance,L,0.1
wade,drug,L,0.1
wade,milk,L,0.1
wade,dance,L,0.1
wade,script,L,0.1
wade,prayer,L,0.1
wade,lecture,L,0.1
wade,bible,L,0.1
wade,allowance,L,0.1
wade,novel,L,0.1
wade,damages,L,0.1
wade,draw,L,0.1
wade,strain,L,0.1
wade,exposure,L,0.1
wade,lesson,L,0.1
wade,emotion,N,0.5
wade,feeling,N,0.5
wade,flavour,L,0.1
wade,impression,L,0.1
wade,coin,L,0.1
wade,stage,L,0.1
wade,consensus,L,0.1
wade,succession,L,0.1
wade,image,L,0.1
wade,century,L,0.1
wade,period,L,0.1
wade,curiosity,N,0.5
wade,inflation,L,0.1
wade,enthusiasm,N,0.5
wade,impulse,N,0.5
wade,emphasis,L,0.1
wade,partnership,L,0.1
wade,unemployment,L,0.1
wade,admission,L,0.1
wade,packet,L,0.1
wade,involvement,L,0.1
wade,lifespan,L,0.1
wade,database,L,0.1
wade,presentation,L,0.1
wade,contradiction,L,0.1
wade,distinction,L,0.1
wade,layer,L,0.1
wade,suspicion,N,0.5
wade,rock,L,0.1
wade,fabric,L,0.1
wade,participation,L,0.1
wade,phenomenon,L,0.1
wade,fibre,L,0.1
wade,chemical,L,0.1
wade,vision,L,0.1
wade,separation,L,0.1
wade,note,L,0.1
wade,leaflet,L,0.1
wade,handful,L,0.1
wade,pension,L,0.1
wade,taste,L,0.1
wade,future,L,0.1
wade,lifetime,L,0.1
wade,hell,L,0.1
wade,defender,L,0.1
wade,questionnaire,L,0.1
wade,driver,L,0.1
wade,hostility,N,0.5
wade,anxiety,N,0.5
wade,passion,N,0.5
wade,stress,L,0.1
wade,doubt,N,0.5
wade,interval,L,0.1
wade,thief,L,0.1
wade,killer,L,0.1
wade,youth,L,0.1
wade,list,L,0.1
wade,inequality,L,0.1
wade,instinct,N,0.5
wade,pollution,L,0.1
wade,victim,L,0.1
wade,bull,L,0.1
wade,subsidy,L,0.1
wade,teenager,L,0.1
wade,envelope,L,0.1
wade,hero,L,0.1
wade,gang,L,0.1
wade,enemy,L,0.1
wade,rider,L,0.1
wade,offender,L,0.1
wade,prisoner,L,0.1
wade,recognition,L,0.1
wade,compensation,L,0.1
wade,desire,N,0.5
wade,pack,L,0.1
wade,mail,L,0.1
wade,papers,L,0.1
wade,access,L,0.1
wade,peak,L,0.1
wade,entry,L,0.1
wade,acceptance,L,0.1
wade,symptom,L,0.1
wade,target,L,0.1
wade,discrimination,L,0.1
wade,generation,L,0.1
wade,decade,L,0.1
wade,burden,L,0.1
wade,delay,L,0.1
wade,promotion,L,0.1
wade,payment,L,0.1
wade,sugar,L,0.1
wade,mixture,L,0.1
wade,salt,L,0.1
wade,dose,L,0.1
wade,schedule,L,0.1
wade,verse,L,0.1
wade,ingredient,L,0.1
wade,mood,L,0.1
