verb,noun,tag,confidence
yawn,facility,L,0.1
yawn,treatment,L,0.1
yawn,education,L,0.1
yawn,planning,L,0.1
yawn,housing,L,0.1
yawn,communication,L,0.1
yawn,division,L,0.1
yawn,pair,L,0.1
yawn,band,L,0.1
yawn,transport,L,0.1
yawn,maintenance,L,0.1
yawn,accommodation,L,0.1
yawn,protection,L,0.1
yawn,unit,L,0.1
yawn,care,L,0.1
yawn,service,L,0.1
yawn,training,L,0.1
yawn,edition,L,0.1
yawn,title,L,0.1
yawn,left,L,0.1
yawn,number,L,0.1
yawn,percentage,L,0.1
yawn,index,L,0.1
yawn,population,L,0.1
yawn,value,L,0.1
yawn,joseph,L,0.1
yawn,george,L,0.1
yawn,david,L,0.1
yawn,john,L,0.1
yawn,audience,L,0.1
yawn,delegation,L,0.1
yawn,colleague,L,0.1
yawn,companion,L,0.1
yawn,photographer,L,0.1
yawn,visitor,L,0.1
yawn,stranger,L,0.1
yawn,doorway,L,0.1
yawn,side,L,0.1
yawn,landing,L,0.1
yawn,terrace,L,0.1
yawn,entrance,L,0.1
yawn,honour,L,0.1
yawn,lady,L,0.1
yawn,francis,L,0.1
yawn,robert,L,0.1
yawn,howard,L,0.1
yawn,luke,L,0.1
yawn,sergeant,L,0.1
yawn,corner,L,0.1
yawn,tony,L,0.1
yawn,middle,L,0.1
yawn,total,L,0.1
yawn,tragedy,L,0.1
yawn,death,L,0.1
yawn,fall,L,0.1
yawn,defeat,L,0.1
yawn,tube,L,0.1
yawn,lock,L,0.1
yawn,front,L,0.1
yawn,tank,L,0.1
yawn,circuit,L,0.1
yawn,filter,L,0.1
yawn,battery,L,0.1
yawn,loss,L,0.1
yawn,collapse,L,0.1
yawn,decline,L,0.1
yawn,engine,L,0.1
yawn,device,L,0.1
yawn,disaster,L,0.1
yawn,destruction,L,0.1
yawn,fate,L,0.1
yawn,proportion,L,0.1
yawn,amount,L,0.1
yawn,volume,L,0.1
yawn,majority,L,0.1
yawn,platform,L,0.1
yawn,circle,L,0.1
yawn,edge,L,0.1
yawn,square,L,0.1
yawn,park,L,0.1
yawn,fraction,L,0.1
yawn,average,L,0.1
yawn,peter,L,0.1
yawn,crowd,L,0.1
yawn,passenger,L,0.1
yawn,cottage,L,0.1
yawn,insider,L,0.1
yawn,discourse,L,0.1
yawn,discipline,L,0.1
yawn,literature,L,0.1
yawn,religion,L,0.1
yawn,medicine,L,0.1
yawn,language,L,0.1
yawn,science,L,0.1
yawn,media,L,0.1
yawn,writing,L,0.1
yawn,english,L,0.1
yawn,curriculum,L,0.1
yawn,culture,L,0.1
yawn,ownership,L,0.1
yawn,lucy,L,0.1
yawn,captain,L,0.1
yawn,paul,L,0.1
yawn,charlie,L,0.1
yawn,graham,L,0.1
yawn,henry,L,0.1
yawn,kelly,L,0.1
yawn,living,L,0.1
yawn,favour,L,0.1
yawn,possession,L,0.1
yawn,management,L,0.1
yawn,delivery,L,0.1
yawn,teaching,L,0.1
yawn,crown,L,0.1
yawn,home,L,0.1
yawn,house,L,0.1
yawn,hotel,L,0.1
yawn,flat,L,0.1
yawn,guest,L,0.1
yawn,viewer,L,0.1
yawn,neighbour,L,0.1
yawn,traveller,L,0.1
yawn,tourist,L,0.1
yawn,taxi,L,0.1
yawn,coach,L,0.1
yawn,simon,L,0.1
yawn,michael,L,0.1
yawn,influence,L,0.1
yawn,lorry,L,0.1
yawn,truck,L,0.1
yawn,train,L,0.1
yawn,discretion,L,0.1
yawn,gold,L,0.1
yawn,control,L,0.1
yawn,jurisdiction,L,0.1
yawn,vehicle,L,0.1
yawn,bike,L,0.1
