verb,noun,tag,confidence
stroke,word,N,1.0
stroke,thing,N,1.0
stroke,label,N,1.0
stroke,date,N,1.0
stroke,reference,N,1.0
stroke,term,N,1.0
stroke,sentence,N,1.0
stroke,passage,N,1.0
stroke,description,N,1.0
stroke,symbol,N,1.0
stroke,name,N,1.0
stroke,thought,N,1.0
stroke,quot,N,1.0
stroke,expression,N,1.0
stroke,phrase,N,1.0
stroke,address,N,1.0
comb,word,N,1.0
comb,thing,N,1.0
comb,label,N,1.0
comb,date,N,1.0
comb,reference,N,1.0
comb,term,N,1.0
comb,sentence,N,1.0
comb,passage,N,1.0
comb,description,N,1.0
comb,symbol,N,1.0
comb,name,N,1.0
comb,thought,N,1.0
comb,quot,N,1.0
comb,expression,N,1.0
comb,phrase,N,1.0
comb,address,N,1.0
tug,word,N,1.0
tug,thing,N,1.0
tug,label,N,1.0
tug,date,N,1.0
tug,reference,N,1.0
tug,term,N,1.0
tug,sentence,N,1.0
tug,passage,N,1.0
tug,description,N,1.0
tug,symbol,N,1.0
tug,name,N,1.0
tug,thought,N,1.0
tug,quot,N,1.0
tug,expression,N,1.0
tug,phrase,N,1.0
tug,address,N,1.0
ruffle,word,N,1.0
ruffle,thing,N,1.0
ruffle,label,N,1.0
ruffle,date,N,1.0
ruffle,reference,N,1.0
ruffle,term,N,1.0
ruffle,sentence,N,1.0
ruffle,passage,N,1.0
ruffle,description,N,1.0
ruffle,symbol,N,1.0
ruffle,name,N,1.0
ruffle,thought,N,1.0
ruffle,quot,N,1.0
ruffle,expression,N,1.0
ruffle,phrase,N,1.0
ruffle,address,N,1.0
brush,word,N,1.0
brush,thing,N,1.0
brush,label,N,1.0
brush,date,N,1.0
brush,reference,N,1.0
brush,term,N,1.0
brush,sentence,N,1.0
brush,passage,N,1.0
brush,description,N,1.0
brush,symbol,N,1.0
brush,name,N,1.0
brush,thought,N,1.0
brush,quot,N,1.0
brush,expression,N,1.0
brush,phrase,N,1.0
brush,address,N,1.0
smooth,word,N,1.0
smooth,thing,N,1.0
smooth,label,N,1.0
smooth,date,N,1.0
smooth,reference,N,1.0
smooth,term,N,1.0
smooth,sentence,N,1.0
smooth,passage,N,1.0
smooth,description,N,1.0
smooth,symbol,N,1.0
smooth,name,N,1.0
smooth,thought,N,1.0
smooth,quot,N,1.0
smooth,expression,N,1.0
smooth,phrase,N,1.0
smooth,address,N,1.0
stroke,purchase,N,0.6666666666666666
stroke,integration,N,0.6666666666666666
stroke,acquisition,N,0.6666666666666666
stroke,establishment,N,0.6666666666666666
stroke,evolution,N,0.6666666666666666
stroke,implementation,N,0.6666666666666666
stroke,identification,N,0.6666666666666666
stroke,transition,N,0.6666666666666666
stroke,transformation,N,0.6666666666666666
stroke,interaction,N,0.6666666666666666
stroke,recovery,N,0.6666666666666666
stroke,formation,N,0.6666666666666666
stroke,addition,N,0.6666666666666666
stroke,expansion,N,0.6666666666666666
stroke,creation,N,0.6666666666666666
stroke,construction,N,0.6666666666666666
stroke,conversion,N,0.6666666666666666
stroke,development,N,0.6666666666666666
stroke,extension,N,0.6666666666666666
stroke,merger,N,0.6666666666666666
stroke,innovation,N,0.6666666666666666
stroke,adoption,N,0.6666666666666666
stroke,transfer,N,0.6666666666666666
comb,purchase,N,0.6666666666666666
comb,integration,N,0.6666666666666666
comb,acquisition,N,0.6666666666666666
comb,establishment,N,0.6666666666666666
comb,evolution,N,0.6666666666666666
comb,implementation,N,0.6666666666666666
comb,identification,N,0.6666666666666666
comb,transition,N,0.6666666666666666
comb,transformation,N,0.6666666666666666
comb,interaction,N,0.6666666666666666
comb,recovery,N,0.6666666666666666
comb,formation,N,0.6666666666666666
comb,addition,N,0.6666666666666666
comb,expansion,N,0.6666666666666666
comb,creation,N,0.6666666666666666
comb,construction,N,0.6666666666666666
comb,conversion,N,0.6666666666666666
comb,development,N,0.6666666666666666
comb,extension,N,0.6666666666666666
comb,merger,N,0.6666666666666666
comb,innovation,N,0.6666666666666666
comb,adoption,N,0.6666666666666666
comb,transfer,N,0.6666666666666666
tug,purchase,N,0.6666666666666666
tug,integration,N,0.6666666666666666
tug,acquisition,N,0.6666666666666666
tug,establishment,N,0.6666666666666666
