15	a	baby	grand	piano	at1	nn1	jj	nn1
20	a	bad	back	and	at1	jj	nn1	cc
186	a	bad	case	of	at1	jj	nn1	io
16	a	bad	day	and	at1	jj	nnt1	cc
37	a	bad	day	at	at1	jj	nnt1	ii
39	a	bad	day	for	at1	jj	nnt1	if
18	a	bad	day	in	at1	jj	nnt1	ii
14	a	bad	day	on	at1	jj	nnt1	ii
15	a	bad	day	or	at1	jj	nnt1	cc
34	a	bad	deal	for	at1	jj	nn1	if
12	a	bad	dream	and	at1	jj	nn1	cc
13	a	bad	economy	and	at1	jj	nn1	cc
16	a	bad	effect	on	at1	jj	nn1	ii
30	a	bad	example	for	at1	jj	nn1	if
33	a	bad	experience	with	at1	jj	nn1	iw
62	a	bad	feeling	about	at1	jj	nn1	ii
16	a	bad	guy	and	at1	jj	nn1	cc
14	a	bad	guy	in	at1	jj	nn1	ii
29	a	bad	habit	of	at1	jj	nn1	io
57	a	bad	hair	day	at1	jj	nn1	nnt1
16	a	bad	idea	and	at1	jj	nn1	cc
15	a	bad	idea	because	at1	jj	nn1	cs
58	a	bad	idea	for	at1	jj	nn1	if
14	a	bad	idea	in	at1	jj	nn1	ii
15	a	bad	idea	that	at1	jj	nn1	cst
140	a	bad	idea	to	at1	jj	nn1	to
39	a	bad	influence	on	at1	jj	nn1	ii
12	a	bad	message	to	at1	jj	nn1	ii
14	a	bad	mood	and	at1	jj	nn1	cc
21	a	bad	part	of	at1	jj	nn1	io
14	a	bad	piece	of	at1	jj	nn1	io
78	a	bad	place	to	at1	jj	nn1	to
14	a	bad	rap	for	at1	jj	nn1	if
12	a	bad	rap	in	at1	jj	nn1	ii
23	a	bad	reaction	to	at1	jj	nn1	ii
13	a	bad	report	card	at1	jj	nn1	nn1
16	a	bad	reputation	for	at1	jj	nn1	if
12	a	bad	role	model	at1	jj	nn1	nn1
17	a	bad	sign	for	at1	jj	nn1	if
24	a	bad	situation	and	at1	jj	nn1	cc
33	a	bad	situation	worse	at1	jj	nn1	rrr
75	a	bad	taste	in	at1	jj	nn1	ii
65	a	bad	thing	for	at1	jj	nn1	if
21	a	bad	thing	if	at1	jj	nn1	cs
18	a	bad	thing	in	at1	jj	nn1	ii
23	a	bad	thing	that	at1	jj	nn1	cst
110	a	bad	thing	to	at1	jj	nn1	to
45	a	bad	time	for	at1	jj	nnt1	if
14	a	bad	time	of	at1	jj	nnt1	io
65	a	bad	time	to	at1	jj	nnt1	to
89	a	bad	way	to	at1	jj	nn1	to
23	a	bad	week	for	at1	jj	nnt1	if
26	a	bad	word	about	at1	jj	nn1	ii
14	a	bad	word	to	at1	jj	nn1	to
37	a	bad	year	for	at1	jj	nnt1	if
24	a	balanced	approach	to	at1	jj	nn1	ii
21	a	balanced	budget	agreement	at1	jj	nn1	nn1
175	a	balanced	budget	amendment	at1	jj	nn1	nn1
75	a	balanced	budget	and	at1	jj	nn1	cc
35	a	balanced	budget	by	at1	jj	nn1	ii
61	a	balanced	budget	in	at1	jj	nn1	ii
12	a	balanced	budget	is	at1	jj	nn1	vbz
17	a	balanced	budget	that	at1	jj	nn1	cst
19	a	balanced	budget	with	at1	jj	nn1	iw
15	a	balanced	diet	and	at1	jj	nn1	cc
15	a	balanced	federal	budget	at1	jj	jj	nn1
15	a	balanced	view	of	at1	jj	nn1	io
22	a	bank	holding	company	at1	nn1	jj	nn1
25	a	Baptist	church	in	at1	jj	nn1	ii
16	a	Baptist	minister	and	at1	jj	nn1	cc
35	a	barbed	wire	fence	at1	jj	nn1	nn1
17	a	bare	majority	of	at1	jj	nn1	io
14	a	basic	component	of	at1	jj	nn1	io
12	a	basic	element	of	at1	jj	nn1	io
13	a	basic	human	need	at1	jj	jj	nn1
29	a	basic	human	right	at1	jj	jj	nn1
34	a	basic	knowledge	of	at1	jj	nn1	io
14	a	basic	lack	of	at1	jj	nn1	io
47	a	basic	level	of	at1	jj	nn1	io
31	a	basic	part	of	at1	jj	nn1	io
21	a	basic	principle	of	at1	jj	nn1	io
17	a	basic	rule	of	at1	jj	nn1	io
14	a	basic	sense	of	at1	jj	nn1	io
15	a	basic	set	of	at1	jj	nn1	io
33	a	basic	tenet	of	at1	jj	nn1	io
101	a	basic	understanding	of	at1	jj	nn1	io
28	a	bathing	suit	and	at1	jj	nn1	cc
13	a	bearded	man	in	at1	jj	nn1	ii
12	a	beautiful	baby	girl	at1	jj	nn1	nn1
20	a	beautiful	day	for	at1	jj	nnt1	if
29	a	beautiful	day	in	at1	jj	nnt1	ii
16	a	beautiful	example	of	at1	jj	nn1	io
14	a	beautiful	face	and	at1	jj	nn1	cc
13	a	beautiful	girl	and	at1	jj	nn1	cc
32	a	beautiful	little	girl	at1	jj	jj	nn1
22	a	beautiful	part	of	at1	jj	nn1	io
15	a	beautiful	picture	of	at1	jj	nn1	io
