22	a	bank	holding	company	at1	nn1	jj	nn1
13	a	basic	human	need	at1	jj	jj	nn1
29	a	basic	human	right	at1	jj	jj	nn1
14	a	California	high	school	at1	np1	jj	nn1
44	a	Catholic	high	school	at1	jj	jj	nn1
27	a	decent	human	being	at1	jj	jj	nn1
15	a	disproportionately	high	number	at1	jj	jj	nn1
13	a	fairly	high	level	at1	rr	jj	nn1
25	a	fellow	human	being	at1	jj	jj	nn1
67	a	former	high	school	at1	da	jj	nn1
14	a	fundamental	human	right	at1	jj	jj	nn1
36	a	good	hard	look	at1	jj	jj	nn1
15	a	good	high	school	at1	jj	jj	nn1
28	a	good	human	being	at1	jj	jj	nn1
19	a	great	horned	owl	at1	jj	jj	nn1
20	a	great	human	being	at1	jj	jj	nn1
30	a	half-empty	bottle	of	at1	jj	nn1	io
13	a	half-hearted	attempt	to	at1	jj	nn1	to
25	a	halfway	house	for	at1	jj	nn1	if
26	a	halfway	house	in	at1	jj	nn1	ii
18	a	hands-off	approach	to	at1	jj	nn1	ii
19	a	hands-on	approach	to	at1	jj	nn1	ii
19	a	handsome	man	in	at1	jj	nn1	ii
12	a	handsome	man	who	at1	jj	nn1	pnqs
21	a	handsome	man	with	at1	jj	nn1	iw
62	a	handsome	young	man	at1	jj	jj	nn1
12	a	handwritten	letter	from	at1	jj	nn1	ii
19	a	handy	way	to	at1	jj	nn1	to
15	a	happy	day	for	at1	jj	nnt1	if
23	a	happy	ending	for	at1	jj	nn1	if
27	a	happy	ending	to	at1	jj	nn1	ii
14	a	happy	face	on	at1	jj	nn1	ii
13	a	happy	family	life	at1	jj	nn1	nn1
12	a	happy	marriage	and	at1	jj	nn1	cc
12	a	happy	marriage	is	at1	jj	nn1	vbz
12	a	happy	medium	between	at1	jj	nn1	ii
33	a	happy	new	year	at1	jj	jj	nnt1
24	a	happy	New	Year	at1	jj	jj	nnt1
18	a	Happy	New	Year	at1	jj	jj	nnt1
18	a	happy	time	for	at1	jj	nnt1	if
34	a	hard	act	to	at1	jj	nn1	to
31	a	hard	copy	of	at1	jj	nn1	io
27	a	hard	core	of	at1	jj	nn1	io
29	a	hard	day	at	at1	jj	nnt1	ii
12	a	hard	day	for	at1	jj	nnt1	if
27	a	hard	day	of	at1	jj	nnt1	io
13	a	hard	decision	to	at1	jj	nn1	to
13	a	hard	guy	to	at1	jj	nn1	to
15	a	hard	habit	to	at1	jj	nn1	to
16	a	hard	hat	and	at1	jj	nn1	cc
24	a	hard	line	against	at1	jj	nn1	ii
43	a	hard	line	on	at1	jj	nn1	ii
322	a	hard	look	at	at1	jj	nn1	ii
39	a	hard	man	to	at1	jj	nn1	to
19	a	hard	pill	to	at1	jj	nn1	to
16	a	hard	place	to	at1	jj	nn1	to
31	a	hard	question	to	at1	jj	nn1	to
31	a	hard	thing	for	at1	jj	nn1	if
157	a	hard	thing	to	at1	jj	nn1	to
58	a	hard	time	about	at1	jj	nnt1	ii
39	a	hard	time	accepting	at1	jj	nnt1	vvg
17	a	hard	time	adjusting	at1	jj	nnt1	vvg
20	a	hard	time	and	at1	jj	nnt1	cc
13	a	hard	time	at	at1	jj	nnt1	ii
20	a	hard	time	because	at1	jj	nnt1	cs
17	a	hard	time	being	at1	jj	nnt1	vbg
108	a	hard	time	believing	at1	jj	nnt1	vvg
19	a	hard	time	breathing	at1	jj	nnt1	nn1
26	a	hard	time	coming	at1	jj	nnt1	vvg
23	a	hard	time	concentrating	at1	jj	nnt1	vvg
20	a	hard	time	convincing	at1	jj	nnt1	vvg
38	a	hard	time	dealing	at1	jj	nnt1	vvg
12	a	hard	time	deciding	at1	jj	nnt1	vvg
28	a	hard	time	doing	at1	jj	nnt1	vdg
20	a	hard	time	even	at1	jj	nnt1	rr
27	a	hard	time	explaining	at1	jj	nnt1	vvg
30	a	hard	time	figuring	at1	jj	nnt1	vvg
140	a	hard	time	finding	at1	jj	nnt1	vvg
42	a	hard	time	for	at1	jj	nnt1	if
224	a	hard	time	getting	at1	jj	nnt1	vvg
14	a	hard	time	grasping	at1	jj	nnt1	vvg
14	a	hard	time	holding	at1	jj	nnt1	vvg
25	a	hard	time	imagining	at1	jj	nnt1	vvg
37	a	hard	time	in	at1	jj	nnt1	ii
75	a	hard	time	keeping	at1	jj	nnt1	vvg
15	a	hard	time	letting	at1	jj	nnt1	vvg
71	a	hard	time	making	at1	jj	nnt1	vvg
26	a	hard	time	of	at1	jj	nnt1	io
13	a	hard	time	on	at1	jj	nnt1	ii
12	a	hard	time	paying	at1	jj	nnt1	vvg
13	a	hard	time	putting	at1	jj	nnt1	vvg
24	a	hard	time	remembering	at1	jj	nnt1	vvg
25	a	hard	time	saying	at1	jj	nnt1	vvg
23	a	hard	time	seeing	at1	jj	nnt1	vvg
17	a	hard	time	staying	at1	jj	nnt1	vvg
19	a	hard	time	talking	at1	jj	nnt1	vvg
18	a	hard	time	telling	at1	jj	nnt1	vvg
15	a	hard	time	to	at1	jj	nnt1	to
13	a	hard	time	trying	at1	jj	nnt1	vvg
47	a	hard	time	understanding	at1	jj	nnt1	nn1
44	a	hard	time	understanding	at1	jj	nnt1	vvg
19	a	hard	time	when	at1	jj	nnt1	rrq
13	a	hard	time	winning	at1	jj	nnt1	vvg
178	a	hard	time	with	at1	jj	nnt1	iw
33	a	hard	way	to	at1	jj	nn1	to
36	a	hard	worker	and	at1	jj	nn1	cc
15	a	harsh	critic	of	at1	jj	nn1	io
13	a	harsh	light	on	at1	jj	nn1	ii
12	a	Hawaiian	shirt	and	at1	jj	nn1	cc
14	a	hazardous	waste	site	at1	jj	nn1	nn1
16	a	head	coach	and	at1	jj	nn1	cc
13	a	head	coach	at	at1	jj	nn1	ii
12	a	head	coach	for	at1	jj	nn1	if
17	a	head	coach	in	at1	jj	nn1	ii
23	a	head-on	collision	with	at1	jj	nn1	iw
17	a	heady	mix	of	at1	jj	nn1	io
