19	a	few	kind	words	at1	da2	jj	nn2
12	a	keen	appreciation	for	at1	jj	nn1	if
23	a	keen	awareness	of	at1	jj	nn1	io
12	a	keen	eye	and	at1	jj	nn1	cc
33	a	keen	eye	for	at1	jj	nn1	if
17	a	keen	eye	on	at1	jj	nn1	ii
133	a	keen	interest	in	at1	jj	nn1	ii
18	a	keen	observer	of	at1	jj	nn1	io
12	a	keen	sense	for	at1	jj	nn1	if
118	a	keen	sense	of	at1	jj	nn1	io
28	a	keen	understanding	of	at1	jj	nn1	io
22	a	key	adviser	to	at1	jj	nn1	ii
13	a	key	ally	in	at1	jj	nn1	ii
16	a	key	architect	of	at1	jj	nn1	io
54	a	key	aspect	of	at1	jj	nn1	io
12	A	key	aspect	of	at1	jj	nn1	io
13	a	key	characteristic	of	at1	jj	nn1	io
36	a	key	component	in	at1	jj	nn1	ii
191	a	key	component	of	at1	jj	nn1	io
37	A	key	component	of	at1	jj	nn1	io
13	a	key	component	to	at1	jj	nn1	ii
21	a	key	contributor	to	at1	jj	nn1	ii
24	a	key	determinant	of	at1	jj	nn1	io
17	a	key	difference	between	at1	jj	nn1	ii
131	a	key	element	in	at1	jj	nn1	ii
24	A	key	element	in	at1	jj	nn1	ii
121	a	key	element	of	at1	jj	nn1	io
27	A	key	element	of	at1	jj	nn1	io
192	a	key	factor	in	at1	jj	nn1	ii
17	A	key	factor	in	at1	jj	nn1	ii
33	a	key	feature	of	at1	jj	nn1	io
25	A	key	feature	of	at1	jj	nn1	io
85	a	key	figure	in	at1	jj	nn1	ii
13	a	key	goal	of	at1	jj	nn1	io
33	a	key	indicator	of	at1	jj	nn1	io
59	a	key	ingredient	in	at1	jj	nn1	ii
13	a	key	ingredient	of	at1	jj	nn1	io
19	a	key	interest	rate	at1	jj	nn1	nn1
16	a	key	issue	for	at1	jj	nn1	if
43	a	key	issue	in	at1	jj	nn1	ii
14	a	key	issue	is	at1	jj	nn1	vbz
23	a	key	measure	of	at1	jj	nn1	io
72	a	key	member	of	at1	jj	nn1	io
25	a	key	moment	in	at1	jj	nn1	ii
26	a	key	part	in	at1	jj	nn1	ii
295	a	key	part	of	at1	jj	nn1	io
33	A	key	part	of	at1	jj	nn1	io
57	a	key	piece	of	at1	jj	nn1	io
143	a	key	player	in	at1	jj	nn1	ii
13	a	key	player	on	at1	jj	nn1	ii
21	a	key	point	in	at1	jj	nn1	ii
14	a	key	point	of	at1	jj	nn1	io
14	a	key	provision	of	at1	jj	nn1	io
14	A	key	question	is	at1	jj	nn1	vbz
18	a	key	reason	for	at1	jj	nn1	if
23	a	key	reason	why	at1	jj	nn1	rrq
13	a	key	role	for	at1	jj	nn1	if
790	a	key	role	in	at1	jj	nn1	ii
15	a	key	role	to	at1	jj	nn1	to
45	a	key	source	of	at1	jj	nn1	io
18	a	key	step	in	at1	jj	nn1	ii
17	a	kindred	spirit	in	at1	jj	nn1	ii
23	a	knee-jerk	reaction	to	at1	jj	nn1	ii
28	a	known	fact	that	at1	jj	nn1	cst
13	a	known	history	of	at1	jj	nn1	io
14	a	North	Korean	attack	at1	np1	jj	nn1
15	a	South	Korean	warship	at1	np1	jj	nn1
21	all	the	key	players	db	at	jj	nn2
12	and	a	key	player	cc	at1	jj	nn1
15	are	a	key	component	vbr	at1	jj	nn1
13	are	a	key	element	vbr	at1	jj	nn1
32	are	a	key	part	vbr	at1	jj	nn1
14	are	key	players	in	vbr	jj	nn2	ii
13	are	the	key	issues	vbr	at	jj	nn2
13	are	the	key	things	vbr	at	jj	nn2
29	as	a	key	component	ii	at1	jj	nn1
36	as	a	key	element	ii	at1	jj	nn1
31	as	a	key	factor	ii	at1	jj	nn1
17	as	a	key	part	ii	at1	jj	nn1
18	as	a	key	player	ii	at1	jj	nn1
13	as	a	key	source	ii	at1	jj	nn1
14	at	a	key	moment	ii	at1	jj	nn1
