5	a	bacterial	or	viral	infection	at1	jj	cc	jj	nn1
6	a	bad	call	from	the	at1	jj	nn1	ii	at
6	a	bad	case	of	indigestion	at1	jj	nn1	io	nn1
43	a	bad	case	of	the	at1	jj	nn1	io	at
5	a	bad	couple	of	weeks	at1	jj	nn1	io	nnt2
16	a	bad	day	at	the	at1	jj	nnt1	ii	at
14	a	bad	day	at	work	at1	jj	nnt1	ii	nn1
13	a	bad	day	for	the	at1	jj	nnt1	if	at
5	a	bad	day	in	the	at1	jj	nnt1	ii	at
8	a	bad	day	on	the	at1	jj	nnt1	ii	at
10	a	bad	deal	for	the	at1	jj	nn1	if	at
5	a	bad	dream	or	something	at1	jj	nn1	cc	pn1
5	a	bad	example	for	the	at1	jj	nn1	if	at
14	a	bad	experience	with	a	at1	jj	nn1	iw	at1
7	a	bad	feeling	about	it	at1	jj	nn1	ii	pph1
6	a	bad	feeling	about	the	at1	jj	nn1	ii	at
26	a	bad	feeling	about	this	at1	jj	nn1	ii	dd1
6	a	bad	guy	after	all	at1	jj	nn1	ii	db
5	a	bad	guy	in	the	at1	jj	nn1	ii	at
9	a	bad	idea	after	all	at1	jj	nn1	ii	db
8	a	bad	idea	because	it	at1	jj	nn1	cs	pph1
12	a	bad	idea	for	the	at1	jj	nn1	if	at
5	a	bad	idea	right	now	at1	jj	nn1	rr	rt
6	a	bad	idea	to	do	at1	jj	nn1	to	vdi
5	a	bad	idea	to	get	at1	jj	nn1	to	vvi
7	a	bad	idea	to	go	at1	jj	nn1	to	vvi
8	a	bad	idea	to	have	at1	jj	nn1	to	vhi
5	a	bad	idea	to	take	at1	jj	nn1	to	vvi
8	a	bad	idea	whose	time	at1	jj	nn1	ddqge	nnt1
7	a	bad	influence	on	the	at1	jj	nn1	ii	at
6	a	bad	name	in	the	at1	jj	nn1	ii	at
14	a	bad	part	of	town	at1	jj	nn1	io	nn1
22	a	bad	place	to	be	at1	jj	nn1	to	vbi
5	a	bad	place	to	live	at1	jj	nn1	to	vvi
15	a	bad	place	to	start	at1	jj	nn1	to	vvi
7	a	bad	reaction	to	the	at1	jj	nn1	ii	at
6	a	bad	seat	in	the	at1	jj	nn1	ii	at
9	a	bad	sign	for	the	at1	jj	nn1	if	at
6	a	bad	situation	even	worse	at1	jj	nn1	rr	jjr
5	a	bad	start	for	a	at1	jj	nn1	if	at1
11	a	bad	taste	in	his	at1	jj	nn1	ii	appge
14	a	bad	taste	in	my	at1	jj	nn1	ii	appge
12	a	bad	taste	in	the	at1	jj	nn1	ii	at
6	a	bad	taste	in	their	at1	jj	nn1	ii	appge
13	a	bad	taste	in	your	at1	jj	nn1	ii	appge
8	a	bad	thing	after	all	at1	jj	nn1	ii	db
7	a	bad	thing	at	all	at1	jj	nn1	rr21	rr22
