7	a	bagel	with	cream	cheese	at1	nn1	iw	jj	nn1
10	a	barrel	of	crude	oil	at1	nn1	io	jj	nn1
7	a	biological	or	chemical	attack	at1	jj	cc	jj	nn1
6	a	bipartisan	group	of	congressional	at1	jj	nn1	io	jj
11	a	blast	of	cold	air	at1	nn1	io	jj	nn1
5	A	blast	of	cold	air	at1	nn1	io	jj	nn1
6	a	bloody	civil	war	in	at1	jj	jj	nn1	ii
5	a	bloody	civil	war	that	at1	jj	jj	nn1	cst
6	a	board	certified	internist	and	at1	nn1	jj	nn1	cc
6	a	bomb	in	Centennial	Park	at1	nn1	ii	jj	nn1
6	a	bottle	of	cheap	wine	at1	nn1	io	jj	nn1
6	a	bottle	of	cold	water	at1	nn1	io	jj	nn1
27	a	bowl	of	cold	water	at1	nn1	io	jj	nn1
23	a	bucket	of	cold	water	at1	nn1	io	jj	nn1
8	a	callous	disregard	for	the	at1	jj	nn1	if	at
9	a	calming	effect	on	the	at1	jj	nn1	ii	at
39	a	card-carrying	member	of	the	at1	jj	nn1	io	at
12	a	cardboard	box	full	of	at1	jj	nn1	jj	io
11	a	cardboard	box	in	the	at1	jj	nn1	ii	at
6	a	cardboard	box	on	a	at1	jj	nn1	ii	at1
6	a	cardboard	box	on	the	at1	jj	nn1	ii	at
5	a	cardinal	rule	of	the	at1	jj	nn1	io	at
18	a	careful	analysis	of	the	at1	jj	nn1	io	at
10	a	careful	assessment	of	the	at1	jj	nn1	io	at
5	a	careful	description	of	the	at1	jj	nn1	io	at
25	a	careful	examination	of	the	at1	jj	nn1	io	at
11	A	careful	examination	of	the	at1	jj	nn1	io	at
6	a	careful	eye	on	the	at1	jj	nn1	ii	at
16	a	careful	look	at	the	at1	jj	nn1	ii	at
16	a	careful	reading	of	the	at1	jj	nn1	io	at
12	A	careful	reading	of	the	at1	jj	nn1	io	at
9	a	careful	review	of	the	at1	jj	nn1	io	at
5	A	careful	review	of	the	at1	jj	nn1	io	at
11	a	careful	study	of	the	at1	jj	nn1	io	at
6	A	careful	study	of	the	at1	jj	nn1	io	at
5	a	casual	glance	at	the	at1	jj	nn1	ii	at
5	a	casual	interest	in	the	at1	jj	nn1	ii	at
11	a	Catholic	high	school	in	at1	jj	jj	nn1	ii
7	a	Catholic	priest	and	a	at1	jj	nn1	cc	at1
9	a	causal	link	between	the	at1	jj	nn1	ii	at
9	a	causal	relationship	between	the	at1	jj	nn1	ii	at
12	a	cautionary	tale	about	the	at1	jj	nn1	ii	at
10	a	cautionary	tale	for	the	at1	jj	nn1	if	at
6	a	cautionary	tale	for	those	at1	jj	nn1	if	dd2
5	a	cellular	phone	in	your	at1	jj	nn1	ii	appge
5	a	cellular	phone	out	of	at1	jj	nn1	ii21	ii22
6	a	central	aspect	of	the	at1	jj	nn1	io	at
13	a	central	component	of	the	at1	jj	nn1	io	at
5	a	central	concern	of	the	at1	jj	nn1	io	at
10	a	central	element	in	the	at1	jj	nn1	ii	at
13	a	central	element	of	the	at1	jj	nn1	io	at
8	a	central	factor	in	the	at1	jj	nn1	ii	at
18	a	central	feature	of	the	at1	jj	nn1	io	at
8	a	central	figure	in	a	at1	jj	nn1	ii	at1
32	a	central	figure	in	the	at1	jj	nn1	ii	at
6	a	central	figure	in	this	at1	jj	nn1	ii	dd1
8	a	central	focus	of	the	at1	jj	nn1	io	at
5	a	central	front	in	the	at1	jj	nn1	ii	at
5	a	central	goal	of	the	at1	jj	nn1	io	at
6	a	central	issue	for	the	at1	jj	nn1	if	at
24	a	central	issue	in	the	at1	jj	nn1	ii	at
6	a	central	issue	of	the	at1	jj	nn1	io	at
5	a	central	nervous	system	depressant	at1	jj	jj	nn1	nn1
7	a	central	nervous	system	stimulant	at1	jj	jj	nn1	nn1
6	a	central	part	of	a	at1	jj	nn1	io	at1
9	a	central	part	of	his	at1	jj	nn1	io	appge
6	a	central	part	of	its	at1	jj	nn1	io	appge
6	a	central	part	of	our	at1	jj	nn1	io	appge
59	a	central	part	of	the	at1	jj	nn1	io	at
16	a	central	part	of	their	at1	jj	nn1	io	appge
8	a	central	part	of	this	at1	jj	nn1	io	dd1
22	a	central	place	in	the	at1	jj	nn1	ii	at
6	a	central	player	in	the	at1	jj	nn1	ii	at
13	a	central	position	in	the	at1	jj	nn1	ii	at
5	a	central	role	in	creating	at1	jj	nn1	ii	vvg
5	a	central	role	in	our	at1	jj	nn1	ii	appge
131	a	central	role	in	the	at1	jj	nn1	ii	at
15	a	central	role	in	their	at1	jj	nn1	ii	appge
6	a	central	role	in	these	at1	jj	nn1	ii	dd2
11	a	central	role	in	this	at1	jj	nn1	ii	dd1
8	a	central	role	to	play	at1	jj	nn1	to	vvi
5	a	central	tenet	of	the	at1	jj	nn1	io	at
10	a	central	theme	in	the	at1	jj	nn1	ii	at
8	a	central	theme	of	his	at1	jj	nn1	io	appge
12	a	central	theme	of	the	at1	jj	nn1	io	at
5	a	certain	age	will	remember	at1	jj	nn1	vm	vvi
6	a	certain	amount	of	anxiety	at1	jj	nn1	io	nn1
15	a	certain	amount	of	attention	at1	jj	nn1	io	nn1
6	a	certain	amount	of	authority	at1	jj	nn1	io	nn1
6	a	certain	amount	of	caution	at1	jj	nn1	io	nn1
5	a	certain	amount	of	comfort	at1	jj	nn1	io	nn1
5	a	certain	amount	of	compassion	at1	jj	nn1	io	nn1
14	a	certain	amount	of	control	at1	jj	nn1	io	nn1
5	a	certain	amount	of	damage	at1	jj	nn1	io	nn1
6	a	certain	amount	of	danger	at1	jj	nn1	io	nn1
5	a	certain	amount	of	deference	at1	jj	nn1	io	nn1
6	a	certain	amount	of	discretion	at1	jj	nn1	io	nn1
5	a	certain	amount	of	effort	at1	jj	nn1	io	nn1
9	a	certain	amount	of	energy	at1	jj	nn1	io	nn1
6	a	certain	amount	of	faith	at1	jj	nn1	io	nn1
5	a	certain	amount	of	fear	at1	jj	nn1	io	nn1
5	a	certain	amount	of	flexibility	at1	jj	nn1	io	nn1
9	a	certain	amount	of	freedom	at1	jj	nn1	io	nn1
5	a	certain	amount	of	frustration	at1	jj	nn1	io	nn1
8	a	certain	amount	of	guilt	at1	jj	nn1	io	nn1
5	a	certain	amount	of	information	at1	jj	nn1	io	nn1
6	a	certain	amount	of	irony	at1	jj	nn1	io	nn1
5	a	certain	amount	of	loyalty	at1	jj	nn1	io	nn1
9	a	certain	amount	of	luck	at1	jj	nn1	io	nn1
96	a	certain	amount	of	money	at1	jj	nn1	io	nn1
7	a	certain	amount	of	moral	at1	jj	nn1	io	jj
8	a	certain	amount	of	pain	at1	jj	nn1	io	nn1
8	a	certain	amount	of	people	at1	jj	nn1	io	nn
8	a	certain	amount	of	pleasure	at1	jj	nn1	io	nn1
5	a	certain	amount	of	political	at1	jj	nn1	io	jj
10	a	certain	amount	of	power	at1	jj	nn1	io	nn1
10	a	certain	amount	of	pressure	at1	jj	nn1	io	nn1
12	a	certain	amount	of	pride	at1	jj	nn1	io	nn1
5	a	certain	amount	of	privacy	at1	jj	nn1	io	nn1
5	a	certain	amount	of	research	at1	jj	nn1	io	nn1
18	a	certain	amount	of	respect	at1	jj	nn1	io	nn1
6	a	certain	amount	of	responsibility	at1	jj	nn1	io	nn1
6	a	certain	amount	of	restraint	at1	jj	nn1	io	nn1
18	a	certain	amount	of	risk	at1	jj	nn1	io	nn1
5	a	certain	amount	of	satisfaction	at1	jj	nn1	io	nn1
6	a	certain	amount	of	security	at1	jj	nn1	io	nn1
28	a	certain	amount	of	sense	at1	jj	nn1	io	nn1
9	a	certain	amount	of	skepticism	at1	jj	nn1	io	nn1
7	a	certain	amount	of	skill	at1	jj	nn1	io	nn1
6	a	certain	amount	of	space	at1	jj	nn1	io	nn1
7	a	certain	amount	of	stress	at1	jj	nn1	io	nn1
6	a	certain	amount	of	success	at1	jj	nn1	io	nn1
6	a	certain	amount	of	sympathy	at1	jj	nn1	io	nn1
6	a	certain	amount	of	tension	at1	jj	nn1	io	nn1
14	a	certain	amount	of	that	at1	jj	nn1	io	dd1
12	a	certain	amount	of	the	at1	jj	nn1	io	at
8	a	certain	amount	of	their	at1	jj	nn1	io	appge
128	a	certain	amount	of	time	at1	jj	nn1	io	nnt1
5	a	certain	amount	of	trepidation	at1	jj	nn1	io	nn1
7	a	certain	amount	of	trust	at1	jj	nn1	io	nn1
5	a	certain	amount	of	truth	at1	jj	nn1	io	nn1
5	a	certain	amount	of	uncertainty	at1	jj	nn1	io	nn1
8	a	certain	amount	of	water	at1	jj	nn1	io	nn1
7	a	certain	area	of	the	at1	jj	nn1	io	at
