5	a	balanced	budget	with	drastic	at1	jj	nn1	iw	jj
14	a	bunch	of	different	things	at1	nn1	io	jj	nn2
5	a	charge	of	disorderly	conduct	at1	nn1	io	jj	nn1
6	a	completely	different	approach	to	at1	rr	jj	nn1	ii
6	a	completely	different	ball	game	at1	rr	jj	nn1	nn1
23	a	completely	different	kind	of	at1	rr	jj	nn1	io
20	a	completely	different	set	of	at1	rr	jj	nn1	io
5	a	completely	different	type	of	at1	rr	jj	nn1	io
7	a	completely	different	way	of	at1	rr	jj	nn1	io
8	a	completely	different	way	than	at1	rr	jj	nn1	csn
27	a	couple	of	deep	breaths	at1	nn1	io	jj	nn2
13	a	couple	of	different	things	at1	nn1	io	jj	nn2
20	a	couple	of	different	ways	at1	nn1	io	jj	nn2
5	a	daily	basis	at	the	at1	jj	nn1	ii	at
6	a	daily	basis	by	the	at1	jj	nn1	ii	at
5	a	daily	basis	for	the	at1	jj	nn1	if	at
15	a	daily	basis	in	the	at1	jj	nn1	ii	at
5	a	daily	basis	in	their	at1	jj	nn1	ii	appge
5	a	daily	basis	so	that	at1	jj	nn1	cs21	cs22
13	a	daily	or	weekly	basis	at1	jj	cc	jj	nn1
6	a	daily	reminder	of	the	at1	jj	nn1	io	at
9	a	damn	bit	of	difference	at1	jj	nn1	io	nn1
7	a	damn	bit	of	good	at1	jj	nn1	io	jj
12	a	damn	thing	about	it	at1	jj	nn1	ii	pph1
8	a	damn	thing	to	do	at1	jj	nn1	to	vdi
6	a	damn	thing	we	can	at1	jj	nn1	ppis2	vm
6	a	damn	thing	you	can	at1	jj	nn1	ppy	vm
9	a	damp	paper	towel	and	at1	jj	nn1	nn1	cc
5	a	dangerous	line	of	work	at1	jj	nn1	io	nn1
10	a	dangerous	part	of	the	at1	jj	nn1	io	at
15	a	dangerous	place	to	be	at1	jj	nn1	to	vbi
13	a	dangerous	thing	to	do	at1	jj	nn1	to	vdi
5	a	dangerous	thing	to	say	at1	jj	nn1	to	vvi
10	a	dark	blue	suit	and	at1	jj	jj	nn1	cc
6	a	dark	corner	of	his	at1	jj	nn1	io	appge
31	a	dark	corner	of	the	at1	jj	nn1	io	at
9	a	dark	night	of	the	at1	jj	nnt1	io	at
5	a	dark	road	outside	Belfast	at1	jj	nn1	ii	np1
9	a	dark	side	to	the	at1	jj	nn1	ii	at
6	a	dark	side	to	this	at1	jj	nn1	ii	dd1
5	a	dark	spot	at	the	at1	jj	nn1	ii	at
6	a	dark	spot	on	the	at1	jj	nn1	ii	at
6	a	dark	stain	on	the	at1	jj	nn1	ii	at
6	a	dark	suit	and	a	at1	jj	nn1	cc	at1
15	a	dark	suit	and	tie	at1	jj	nn1	cc	nn1
5	a	dark	suit	with	a	at1	jj	nn1	iw	at1
5	a	darkened	room	at	night	at1	jj	nn1	ii	nnt1
5	A	day-to-day	guide	to	notable	at1	jj	nn1	ii	jj
15	a	dead	body	in	the	at1	jj	nn1	ii	at
5	a	dead	end	in	the	at1	jj	nn1	ii	at
8	a	dead	man	in	the	at1	jj	nn1	ii	at
5	a	dead	ringer	for	a	at1	jj	nn1	if	at1
12	a	dead	ringer	for	the	at1	jj	nn1	if	at
5	a	dead	run	toward	the	at1	jj	nn1	ii	at
19	a	deaf	ear	to	the	at1	jj	nn1	ii	at
5	a	deaf	ear	to	their	at1	jj	nn1	ii	appge
24	a	dear	friend	of	mine	at1	jj	nn1	io	ppge
5	a	dear	friend	of	the	at1	jj	nn1	io	at
9	a	decent	amount	of	money	at1	jj	nn1	io	nn1
5	a	decent	cup	of	coffee	at1	jj	nn1	io	nn1
5	a	decent	pair	of	shoes	at1	jj	nn	io	nn2
20	a	decent	place	to	live	at1	jj	nn1	to	vvi
10	a	decent	quality	of	life	at1	jj	nn1	io	nn1
7	a	decent	respect	for	the	at1	jj	nn1	if	at
7	a	decent	respect	to	the	at1	jj	nn1	ii	at
20	a	decent	standard	of	living	at1	jj	nn1	io	nn1
11	a	decent	standard	of	living	at1	jj	nn1	io	vvg
6	a	decisive	factor	in	the	at1	jj	nn1	ii	at
10	a	decisive	impact	on	the	at1	jj	nn1	ii	at
10	a	decisive	influence	on	the	at1	jj	nn1	ii	at
5	a	decisive	moment	in	the	at1	jj	nn1	ii	at
15	a	decisive	role	in	the	at1	jj	nn1	ii	at
5	a	decisive	role	in	this	at1	jj	nn1	ii	dd1
5	a	decisive	victory	for	the	at1	jj	nn1	if	at
6	a	decisive	victory	over	the	at1	jj	nn1	ii	at
5	a	declining	standard	of	living	at1	jj	nn1	io	nn1
5	a	decorated	veteran	of	the	at1	jj	nn1	io	at
5	a	deep	and	dreamless	sleep	at1	jj	cc	jj	nn1
5	a	deep	and	dreamless	sleep	at1	jj	cc	jj	nn1
6	a	deep	and	lasting	impression	at1	jj	cc	jj	nn1
9	a	deep	appreciation	for	the	at1	jj	nn1	if	at
5	a	deep	appreciation	of	the	at1	jj	nn1	io	at
5	a	deep	attachment	to	the	at1	jj	nn1	ii	at
10	a	deep	breath	and	a	at1	jj	nn1	cc	at1
6	a	deep	breath	and	asked	at1	jj	nn1	cc	vvd
15	a	deep	breath	and	began	at1	jj	nn1	cc	vvd
5	a	deep	breath	and	blew	at1	jj	nn1	cc	vvd
11	a	deep	breath	and	closed	at1	jj	nn1	cc	vvd
6	a	deep	breath	and	count	at1	jj	nn1	cc	vv0
15	a	deep	breath	and	exhaled	at1	jj	nn1	cc	vvd
9	a	deep	breath	and	forced	at1	jj	nn1	cc	vvd
6	a	deep	breath	and	go	at1	jj	nn1	cc	vv0
11	a	deep	breath	and	held	at1	jj	nn1	cc	vvd
6	a	deep	breath	and	hold	at1	jj	nn1	cc	vv0
49	a	deep	breath	and	let	at1	jj	nn1	cc	vv0
6	a	deep	breath	and	let	at1	jj	nn1	cc	vvi
6	a	deep	breath	and	lets	at1	jj	nn1	cc	vvz
18	a	deep	breath	and	looked	at1	jj	nn1	cc	vvd
16	a	deep	breath	and	looked	at1	jj	nn1	cc	vvn
7	a	deep	breath	and	nodded	at1	jj	nn1	cc	vvd
5	a	deep	breath	and	picked	at1	jj	nn1	cc	vvd
5	a	deep	breath	and	pulled	at1	jj	nn1	cc	vvd
10	a	deep	breath	and	pushed	at1	jj	nn1	cc	vvd
6	a	deep	breath	and	put	at1	jj	nn1	cc	vvd
38	a	deep	breath	and	said	at1	jj	nn1	cc	vvd
11	a	deep	breath	and	say	at1	jj	nn1	cc	vv0
5	a	deep	breath	and	seemed	at1	jj	nn1	cc	vvd
6	a	deep	breath	and	sighed	at1	jj	nn1	cc	vvd
5	a	deep	breath	and	slowly	at1	jj	nn1	cc	rr
7	a	deep	breath	and	smiled	at1	jj	nn1	cc	vvd
23	a	deep	breath	and	started	at1	jj	nn1	cc	vvd
9	a	deep	breath	and	stepped	at1	jj	nn1	cc	vvd
19	a	deep	breath	and	then	at1	jj	nn1	cc	rt
5	a	deep	breath	and	told	at1	jj	nn1	cc	vvd
27	a	deep	breath	and	tried	at1	jj	nn1	cc	vvd
11	a	deep	breath	and	turned	at1	jj	nn1	cc	vvd
7	a	deep	breath	and	walked	at1	jj	nn1	cc	vvd
17	a	deep	breath	and	went	at1	jj	nn1	cc	vvd
5	a	deep	breath	as	he	at1	jj	nn1	csa	pphs1
8	a	deep	breath	as	if	at1	jj	nn1	cs21	cs22
6	a	deep	breath	as	she	at1	jj	nn1	csa	pphs1
6	a	deep	breath	as	the	at1	jj	nn1	ii	at
6	a	deep	breath	before	I	at1	jj	nn1	cs	ppis1
8	a	deep	breath	before	she	at1	jj	nn1	cs	pphs1
12	a	deep	breath	of	air	at1	jj	nn1	io	nn1
6	a	deep	breath	of	his	at1	jj	nn1	io	appge
29	a	deep	breath	of	the	at1	jj	nn1	io	at
5	a	deep	breath	through	his	at1	jj	nn1	ii	appge
9	a	deep	breath	to	calm	at1	jj	nn1	to	vvi
14	a	deep	breath	to	steady	at1	jj	nn1	to	vvi
11	a	deep	commitment	to	the	at1	jj	nn1	ii	at
8	a	deep	concern	for	the	at1	jj	nn1	if	at
5	a	deep	emotional	attachment	to	at1	jj	jj	nn1	ii
5	a	deep	gulp	of	air	at1	jj	nn1	io	nn1
13	a	deep	hole	in	the	at1	jj	nn1	ii	at
6	a	deep	impression	on	me	at1	jj	nn1	ii	ppio1
13	a	deep	interest	in	the	at1	jj	nn1	ii	at
8	a	deep	knowledge	of	the	at1	jj	nn1	io	at
6	a	deep	love	for	the	at1	jj	nn1	if	at
5	a	deep	pool	of	water	at1	jj	nn1	io	nn1
16	a	deep	respect	for	the	at1	jj	nn1	if	at
7	a	deep	sense	of	loss	at1	jj	nn1	io	nn1
