10	a	beginning	endless	forms	most	at1	nn1	jj	nn2	rgt
5	a	bit	of	extra	effort	at1	nn1	io	jj	nn1
13	a	broad	range	of	environmental	at1	jj	nn1	io	jj
6	a	certain	level	of	economic	at1	jj	nn1	io	jj
5	a	certificate	of	earned	contact	at1	nn1	io	jj	nn1
9	a	coalition	of	environmental	groups	at1	nn1	io	jj	nn2
6	a	columnist	and	editorial	writer	at1	nn1	cc	jj	nn1
7	a	couple	of	extra	minutes	at1	nn1	io	jj	nnt2
5	a	deep	emotional	attachment	to	at1	jj	jj	nn1	ii
21	a	degree	in	electrical	engineering	at1	nn1	ii	jj	nn1
6	a	degree	in	elementary	education	at1	nn1	ii	jj	nn1
6	a	degree	in	English	literature	at1	nn1	ii	jj	nn1
12	a	distinguished	professor	emeritus	of	at1	jj	nn1	jj	io
7	a	draft	environmental	impact	statement	at1	nn1	jj	nn1	nn1
5	a	fair	and	equal	chance	at1	jj	cc	jj	nn1
8	a	fair	and	equitable	manner	at1	jj	cc	jj	nn1
7	a	fair	and	equitable	way	at1	jj	cc	jj	nn1
5	a	few	extra	dollars	to	at1	da2	jj	nnu2	to
6	a	few	extra	minutes	of	at1	da2	jj	nnt2	io
5	a	few	extra	minutes	to	at1	da2	jj	nnt2	to
5	a	former	economic	adviser	to	at1	da	jj	nn1	ii
6	a	former	elementary	school	principal	at1	da	jj	nn1	nn1
7	a	former	elementary	school	teacher	at1	da	jj	nn1	nn1
5	a	good	or	excellent	job	at1	jj	cc	jj	nn1
14	a	great	deal	of	emotional	at1	jj	nn1	io	jj
5	a	great	deal	of	empirical	at1	jj	nn1	io	jj
6	a	growing	body	of	empirical	at1	jj	nn1	io	jj
29	a	heavy-duty	electric	stand	mixer	at1	jj	jj	nn1	nn1
5	a	high	level	of	economic	at1	jj	nn1	io	jj
10	a	high	level	of	environmental	at1	jj	nn1	io	jj
5	a	highly	effective	method	of	at1	rr	jj	nn1	io
5	a	highly	efficient	method	of	at1	rr	jj	nn1	io
6	a	kind	of	early	warning	at1	nn1	io	jj	nn1
5	a	lack	of	empirical	evidence	at1	nn1	io	jj	nn1
6	a	large	bowl	with	electric	at1	jj	nn1	iw	jj
5	a	left	endolymphatic	subarachnoid	shunt	at1	jj	jj	jj	nn1
9	a	less	expensive	alternative	to	at1	rgr	jj	nn1	ii
5	a	less	expensive	way	to	at1	rgr	jj	nn1	to
27	a	little	bit	of	extra	at1	jj	nn1	io	jj
5	a	little	extra	money	for	rr21	rr22	jj	nn1	if
6	a	little	extra	time	and	rr21	rr22	jj	nnt1	cc
12	a	little	extra	time	to	rr21	rr22	jj	nnt1	to
6	a	long	period	of	economic	at1	jj	nn1	io	jj
5	a	lot	of	economic	anxiety	at1	nn1	io	jj	nn1
7	a	lot	of	elderly	people	at1	nn1	io	jj	nn
7	a	lot	of	elected	officials	at1	nn1	io	jj	nn2
5	a	lot	of	emotional	baggage	at1	nn1	io	jj	nn1
6	a	lot	of	emotional	problems	at1	nn1	io	jj	nn2
7	a	lot	of	European	countries	at1	nn1	io	jj	nn2
6	a	lot	of	expensive	jewelry	at1	nn1	io	jj	nn1
11	a	lot	of	extra	money	at1	nn1	io	jj	nn1
10	a	lot	of	extra	time	at1	nn1	io	jj	nnt1
8	a	lot	of	extra	work	at1	nn1	io	jj	nn1
5	a	medium	bowl	with	electric	at1	jj	nn1	iw	jj
7	a	mixture	of	equal	parts	at1	nn1	io	jj	nn2
12	a	more	competitive	electoral	system	at1	rgr	jj	jj	nn1
6	a	more	effective	means	of	at1	rgr	jj	nn	io
15	a	more	effective	way	of	at1	rgr	jj	nn1	io
20	a	more	effective	way	to	at1	rgr	jj	nn1	to
6	a	more	efficient	allocation	of	at1	rgr	jj	nn1	io
5	a	more	efficient	method	of	at1	rgr	jj	nn1	io
13	a	more	efficient	use	of	at1	rgr	jj	nn1	io
10	a	more	efficient	way	of	at1	rgr	jj	nn1	io
18	a	more	efficient	way	to	at1	rgr	jj	nn1	to
5	a	more	elaborate	version	of	at1	rgr	jj	nn1	io
6	a	more	equal	distribution	of	at1	rgr	jj	nn1	io
26	a	more	equitable	distribution	of	at1	rgr	jj	nn1	io
7	a	more	equitable	share	of	at1	rgr	jj	nn1	io
8	a	more	expansive	view	of	at1	rgr	jj	nn1	io
6	a	more	external	locus	of	at1	rgr	jj	nn1	io
7	a	much	more	effective	way	at1	rr	rgr	jj	nn1
7	a	much	more	efficient	way	at1	rr	rgr	jj	nn1
5	a	new	and	exciting	way	at1	jj	cc	jj	nn1
5	a	new	economic	stimulus	package	at1	jj	jj	nn1	nn1
5	a	new	elementary	school	and	at1	jj	jj	nn1	cc
5	a	new	group	of	ethnic	at1	jj	nn1	io	jj
6	a	New	International	Economic	Order	at1	jj	jj	jj	nn1
5	a	new	international	economic	order	at1	jj	jj	jj	nn1
9	a	number	of	environmental	groups	at1	nn1	io	jj	nn2
5	a	number	of	environmental	issues	at1	nn1	io	jj	nn2
9	a	number	of	European	countries	at1	nn1	io	jj	nn2
36	a	part	of	everyday	life	at1	nn1	io	jj	nn1
6	a	particular	ethnic	group	or	at1	jj	jj	nn1	cc
5	a	pattern	of	entrepreneurial	politics	at1	nn1	io	jj	nn1
5	a	political	and	economic	system	at1	jj	cc	jj	nn1
9	a	private	elementary	school	in	at1	jj	jj	nn1	ii
12	a	professor	of	early	childhood	at1	nn1	io	jj	nn1
5	a	professor	of	educational	psychology	at1	nn1	io	jj	nn1
17	a	professor	of	electrical	engineering	at1	nn1	io	jj	nn1
10	a	professor	of	English	literature	at1	nn1	io	jj	nn1
5	a	professor	of	environmental	engineering	at1	nn1	io	jj	nn1
6	a	professor	of	environmental	science	at1	nn1	io	jj	nn1
9	a	public	elementary	school	in	at1	jj	jj	nn1	ii
19	a	quick	and	easy	way	at1	jj	cc	jj	nn1
6	a	racial	or	ethnic	minority	at1	jj	cc	jj	nn1
8	a	roughly	equal	number	of	at1	rr	jj	nn1	io
5	a	safe	and	effective	way	at1	jj	cc	jj	nn1
7	a	seemingly	endless	list	of	at1	rr	jj	nn1	io
6	a	seemingly	endless	number	of	at1	rr	jj	nn1	io
11	a	seemingly	endless	series	of	at1	rr	jj	nn	io
9	a	seemingly	endless	stream	of	at1	rr	jj	nn1	io
5	a	seemingly	endless	string	of	at1	rr	jj	nn1	io
5	a	seemingly	endless	succession	of	at1	rr	jj	nn1	io
10	a	seemingly	endless	supply	of	at1	rr	jj	nn1	io
5	a	small	amount	of	extra	at1	jj	nn1	io	jj
9	a	small	town	in	eastern	at1	jj	nn1	ii	jj
5	a	source	of	endless	fascination	at1	nn1	io	jj	nn1
6	a	strong	sense	of	ethnic	at1	jj	nn1	io	jj
5	a	threatened	or	endangered	species	at1	jj	cc	jj	nn
9	a	time	of	economic	crisis	at1	nnt1	io	jj	nn1
7	a	U.S.	Environmental	Protection	Agency	at1	np1	jj	nn1	nn1
5	a	variety	of	educational	programs	at1	nn1	io	jj	nn2
5	a	variety	of	educational	settings	at1	nn1	io	jj	nn2
6	a	variety	of	ethnic	backgrounds	at1	nn1	io	jj	nn2
7	a	variety	of	ethnic	groups	at1	nn1	io	jj	nn2
7	a	very	early	age	and	at1	rg	jj	nn1	cc
12	a	very	early	age	that	at1	rg	jj	nn1	cst
7	a	very	early	age	to	at1	rg	jj	nn1	to
6	a	very	early	stage	in	at1	rg	jj	nn1	ii
6	a	very	early	stage	of	at1	rg	jj	nn1	io
7	a	very	easy	thing	to	at1	rg	jj	nn1	to
8	a	very	easy	way	to	at1	rg	jj	nn1	to
5	a	very	effective	form	of	at1	rg	jj	nn1	io
11	a	very	effective	job	of	at1	rg	jj	nn1	io
7	a	very	effective	means	of	at1	rg	jj	nn	io
6	a	very	effective	method	of	at1	rg	jj	nn1	io
6	a	very	effective	tool	for	at1	rg	jj	nn1	if
16	a	very	effective	way	of	at1	rg	jj	nn1	io
16	a	very	effective	way	to	at1	rg	jj	nn1	to
5	a	very	efficient	way	of	at1	rg	jj	nn1	io
11	a	very	efficient	way	to	at1	rg	jj	nn1	to
6	a	very	emotional	day	for	at1	rg	jj	nnt1	if
5	a	very	emotional	experience	for	at1	rg	jj	nn1	if
5	a	very	emotional	time	for	at1	rg	jj	nnt1	if
12	a	very	exciting	time	for	at1	rg	jj	nnt1	if
10	a	very	exciting	time	to	at1	rg	jj	nnt1	to
5	a	very	expensive	piece	of	at1	rg	jj	nn1	io
6	a	very	expensive	way	to	at1	rg	jj	nn1	to
5	a	vested	economic	interest	in	at1	jj	jj	nn1	ii
7	a	violation	of	equal	protection	at1	nn1	io	jj	nn1
10	a	wide	range	of	economic	at1	jj	nn1	io	jj
7	a	wide	range	of	educational	at1	jj	nn1	io	jj
19	a	wide	range	of	environmental	at1	jj	nn1	io	jj
8	a	wide	range	of	ethnic	at1	jj	nn1	io	jj
10	a	wide	variety	of	educational	at1	jj	nn1	io	jj
7	a	wide	variety	of	environmental	at1	jj	nn1	io	jj
7	a	wide	variety	of	ethnic	at1	jj	nn1	io	jj
5	a	yearlong	economic	recession	and	at1	j	jj	nn1	cc
6	about	an	equal	number	of	ii	at1	jj	nn1	io
6	about	embryonic	stem	cell	research	ii	jj	nn1	nn1	nn1
18	about	the	early	days	of	ii	at	jj	nnt2	io
6	about	the	early	history	of	ii	at	jj	nn1	io
6	about	the	early	years	of	ii	at	jj	nnt2	io
5	about	the	economic	consequences	of	ii	at	jj	nn2	io
9	about	the	economic	impact	of	ii	at	jj	nn1	io
6	about	the	entire	structure	of	ii	at	jj	nn1	io
6	about	the	environmental	consequences	of	ii	at	jj	nn2	io
15	about	the	environmental	impact	of	ii	at	jj	nn1	io
8	about	the	environmental	impacts	of	ii	at	jj	nn2	io
5	about	the	essential	nature	of	ii	at	jj	nn1	io
6	about	the	ethical	implications	of	ii	at	jj	nn2	io
11	about	the	exact	nature	of	ii	at	jj	nn1	io
6	absence	of	educational	preparation	of	nn1	io	jj	nn1	io
6	according	to	the	Economic	Policy	ii21	ii22	at	jj	nn1
22	According	to	the	Environmental	Protection	ii21	ii22	at	jj	nn1
22	according	to	the	Environmental	Protection	ii21	ii22	at	jj	nn1
5	across	racial	and	ethnic	lines	ii	jj	cc	jj	nn2
7	across	the	eastern	half	of	ii	at	jj	nn1	io
8	across	the	entire	range	of	ii	at	jj	nn1	io
8	across	the	entire	spectrum	of	ii	at	jj	nn1	io
5	across	the	entire	surface	of	ii	at	jj	nn1	io
6	across	the	entire	width	of	ii	at	jj	nn1	io
12	active	at	an	early	age	jj	ii	at1	jj	nn1
13	address	is	for	editorial	correspondence	nn1	vbz	if	jj	nn1
6	address	the	educational	needs	of	vvi	at	jj	nn2	io
6	addressing	the	educational	needs	of	vvg	at	jj	nn2	io
22	administrator	of	the	Environmental	Protection	nn1	io	at	jj	nn1
7	Administrator	of	the	Environmental	Protection	nn1	io	at	jj	nn1
13	adverse	environmental	exposures	and	the	jj	jj	nn2	cc	at
10	African	Americans	and	European	Americans	jj	nn2	cc	jj	nn2
5	after	an	extended	period	of	ii	at1	jj	nn1	io
6	After	an	extensive	review	of	cs	at1	jj	nn1	io
8	after	the	effective	date	of	ii	at	jj	nn1	io
15	ahead	on	THE	EARLY	SHOW	rl	ii	at	jj	nn1
5	all	ethnic	and	racial	groups	db	jj	cc	jj	nn2
7	all	ethnic	groups	in	the	db	jj	nn2	ii	at
5	all	existing	protected	areas	in	db	jj	jj	nn2	ii
9	all	other	factors	being	equal	db	jj	nn2	vbg	jj
6	All	other	factors	being	equal	db	jj	nn2	vbg	jj
57	all	other	things	being	equal	db	jj	nn2	vbg	jj
20	All	other	things	being	equal	db	jj	nn2	vbg	jj
5	all	races	and	ethnic	groups	db	nn2	cc	jj	nn2
14	all	racial	and	ethnic	groups	db	jj	cc	jj	nn2
5	all	racial	and	ethnic	lines	db	jj	cc	jj	nn2
5	All	Saints	Episcopal	Church	in	db	nn2	jj	nn1	ii
6	all	the	essential	amino	acids	db	at	jj	nn1	nn2
5	allow	any	excess	steam	to	vvi	dd	jj	nn1	to
5	allow	easy	access	to	the	vvi	jj	nn1	ii	at
5	allowing	only	two	earned	runs	vvg	rr	mc	jj	nn2
10	almost	the	entire	length	of	rr	at	jj	nn1	io
5	almost	the	entire	population	of	rr	at	jj	nn1	io
5	almost	the	exact	opposite	of	rr	at	jj	nn1	io
8	along	the	eastern	border	of	ii	at	jj	nn1	io
8	along	the	eastern	coast	of	ii	at	jj	nn1	io
12	along	the	eastern	edge	of	ii	at	jj	nn1	io
7	along	the	eastern	shore	of	ii	at	jj	nn1	io
12	along	the	eastern	side	of	ii	at	jj	nn1	io
32	along	the	entire	length	of	ii	at	jj	nn1	io
6	also	an	excellent	example	of	rr	at1	jj	nn1	io
8	also	an	excellent	source	of	rr	at1	jj	nn1	io
5	also	an	excellent	way	to	rr	at1	jj	nn1	to
11	also	executive	director	of	the	rr	jj	nn1	io	at
13	AM	Eastern	time	this	morning	ra	jj	nnt1	dd1	nnt1
9	American	Agreement	on	Environmental	Cooperation	jj	nn1	ii	jj	nn1
11	American	and	European	American	groups	jj	cc	jj	jj	nn2
10	American	and	European	American	students	jj	cc	jj	jj	nn2
16	American	Legal	Defense	and	Educational	jj	jj	nn1	cc	jj
7	American	people	and	their	elected	jj	nn	cc	appge	jj
14	American	Societies	for	Experimental	Biology	jj	nn2	if	jj	nn1
5	among	racial	and	ethnic	groups	ii	jj	cc	jj	nn2
5	among	racial	and	ethnic	minority	ii	jj	cc	jj	nn1
5	an	almost	equal	number	of	at1	rr	jj	nn1	io
5	an	approximately	equal	number	of	at1	rr	jj	nn1	io
5	an	associate	professor	of	electrical	at1	jj	nn1	io	jj
6	an	e-mailed	response	to	questions	at1	jj	nn1	ii	nn2
6	an	early	age	how	to	at1	jj	nn1	rrq	to
5	an	early	age	not	to	at1	jj	nn1	xx	to
6	an	early	age	to	be	at1	jj	nn1	to	vbi
5	an	early	age	to	the	at1	jj	nn1	ii	at
17	an	early	draft	of	the	at1	jj	nn1	io	at
5	An	early	draft	of	the	at1	jj	nn1	io	at
10	an	early	draft	of	this	at1	jj	nn1	io	dd1
13	an	early	end	to	the	at1	jj	nn1	ii	at
6	an	early	example	of	a	at1	jj	nn1	io	at1
11	an	early	example	of	the	at1	jj	nn1	io	at
5	an	early	example	of	this	at1	jj	nn1	io	dd1
5	an	early	glimpse	of	the	at1	jj	nn1	io	at
12	an	early	look	at	the	at1	jj	nn1	ii	at
9	an	early	look	at	what	at1	jj	nn1	ii	ddq
137	an	early	look	at	whats	at1	jj	nn1	ii	nn2
9	an	early	member	of	the	at1	jj	nn1	io	at
5	an	early	morning	flight	to	at1	jj	nnt1	nn1	ii
5	an	early	proponent	of	the	at1	jj	nn1	io	at
5	an	early	stage	in	his	at1	jj	nn1	ii	appge
13	an	early	stage	in	the	at1	jj	nn1	ii	at
6	an	early	stage	of	development	at1	jj	nn1	io	nn1
13	an	early	stage	of	the	at1	jj	nn1	io	at
7	an	early	start	in	the	at1	jj	nn1	ii	at
14	an	early	start	on	the	at1	jj	nn1	ii	at
5	an	early	step	in	the	at1	jj	nn1	ii	at
8	an	early	supporter	of	the	at1	jj	nn1	io	at
7	an	early	version	of	a	at1	jj	nn1	io	at1
37	an	early	version	of	the	at1	jj	nn1	io	at
5	An	early	version	of	the	at1	jj	nn1	io	at
6	an	early	version	of	this	at1	jj	nn1	io	dd1
8	an	early	warning	sign	that	at1	jj	nn1	nn1	cst
5	an	early	warning	station	on	at1	jj	nn1	nn1	ii
10	an	early	warning	system	for	at1	jj	nn1	nn1	if
11	an	earned	income	tax	credit	at1	jj	nn1	nn1	nn1
5	an	easy	and	inexpensive	way	at1	jj	cc	jj	nn1
5	an	easy	chair	in	the	at1	jj	nn1	ii	at
8	an	easy	decision	for	me	at1	jj	nn1	if	ppio1
7	an	easy	decision	to	make	at1	jj	nn1	to	vvi
5	an	easy	mistake	to	make	at1	jj	nn1	to	vvi
7	an	easy	place	to	be	at1	jj	nn1	to	vbi
5	an	easy	place	to	live	at1	jj	nn1	to	vvi
20	an	easy	question	to	answer	at1	jj	nn1	to	vvi
7	an	easy	solution	to	the	at1	jj	nn1	ii	at
11	an	easy	target	for	the	at1	jj	nn1	if	at
86	an	easy	thing	to	do	at1	jj	nn1	to	vdi
12	an	easy	thing	to	say	at1	jj	nn1	to	vvi
28	an	easy	time	of	it	at1	jj	nnt1	io	pph1
5	an	easy	transition	to	the	at1	jj	nn1	ii	at
6	an	easy	walk	to	the	at1	jj	nn1	ii	at
7	an	easy	way	out	of	at1	jj	nn1	ii21	ii22
6	an	easy	way	to	add	at1	jj	nn1	to	vvi
9	an	easy	way	to	do	at1	jj	nn1	to	vdi
7	an	easy	way	to	find	at1	jj	nn1	to	vvi
30	an	easy	way	to	get	at1	jj	nn1	to	vvi
5	an	easy	way	to	go	at1	jj	nn1	to	vvi
6	an	easy	way	to	keep	at1	jj	nn1	to	vvi
17	an	easy	way	to	make	at1	jj	nn1	to	vvi
7	an	easy	way	to	tell	at1	jj	nn1	to	vvi
8	an	economic	adviser	to	the	at1	jj	nn1	ii	at
5	An	Economic	Approach	for	Water	at1	jj	nn1	if	nn1
6	an	economic	downturn	that	has	at1	jj	nn1	cst	vhz
5	an	economic	incentive	to	preserve	at1	jj	nn1	to	vvi
5	an	economic	interest	in	the	at1	jj	nn1	ii	at
27	an	economic	point	of	view	at1	jj	nn1	io	nn1
5	an	economic	research	firm	in	at1	jj	nn1	nn1	ii
6	an	economic	shot	in	the	at1	jj	nn1	ii	at
5	an	economic	stake	in	the	at1	jj	nn1	ii	at
6	an	economic	stimulus	package	that	at1	jj	nn1	nn1	cst
6	an	economic	system	that	is	at1	jj	nn1	cst	vbz
12	an	edited	version	of	the	at1	jj	nn1	io	at
8	an	editorial	assistant	for	PC	at1	jj	nn1	if	nn1
10	an	editorial	calendar	or	a	at1	jj	nn1	cc	at1
11	an	editorial	writer	for	the	at1	jj	nn1	if	at
9	an	editorial	writer	for	The	at1	jj	nn1	if	at
9	an	educated	guess	as	to	at1	jj	nn1	ii21	ii22
