11	a	ban	on	late-term	abortions	at1	nn1	ii	jj	nn2
5	a	boil	in	large	pot	at1	nn1	ii	jj	nn1
6	a	bottle	of	Lone	Star	at1	nn1	io	jj	nn1
5	a	bunch	of	little	kids	at1	nn1	io	jj	nn2
8	a	bunch	of	little	things	at1	nn1	io	jj	nn2
6	a	certificate	of	live	birth	at1	nn1	io	jj	nn1
10	a	character	with	low	vision	at1	nn1	iw	jj	nn1
8	a	compilation	of	local	news	at1	nn1	io	jj	nn1
5	a	couple	of	little	kids	at1	nn1	io	jj	nn2
5	a	covered	legislative	branch	official	at1	jj	jj	nn1	nn1
5	a	decision	a	long	time	at1	nn1	at1	jj	nnt1
6	a	deep	and	lasting	impression	at1	jj	cc	jj	nn1
5	a	dirty	little	secret	in	at1	jj	jj	nn1	ii
9	a	dirty	little	secret	that	at1	jj	jj	nn1	cst
15	a	disproportionately	large	number	of	at1	jj	jj	nn1	io
9	a	disproportionately	large	share	of	at1	jj	jj	nn1	io
6	a	driver	with	low	vision	at1	nn1	iw	jj	nn1
10	a	Dutch	oven	or	large	at1	jj	nn1	cc	jj
7	a	fairly	large	amount	of	at1	rr	jj	nn1	io
18	a	fairly	large	number	of	at1	rr	jj	nn1	io
6	a	fairly	long	period	of	at1	rr	jj	nn1	io
11	a	five-point	Likert-type	scale	ranging	at1	jj	jj	nn1	vvg
18	a	good	long	look	at	at1	jj	jj	nn1	ii
5	a	good	long	time	ago	at1	jj	jj	nnt1	ra
55	a	greater	or	lesser	degree	at1	jjr	cc	jj	nn1
39	a	greater	or	lesser	extent	at1	jjr	cc	jj	nn1
6	a	group	of	like-minded	people	at1	nn1	io	jj	nn
6	a	group	of	local	residents	at1	nn1	io	jj	nn2
5	a	growing	number	of	legal	at1	jj	nn1	io	jj
9	a	growing	number	of	local	at1	jj	nn1	io	jj
5	a	handful	of	large	companies	at1	nn1	io	jj	nn2
17	a	heavy	saucepan	over	low	at1	jj	nn1	ii	jj
5	a	high	degree	of	local	at1	jj	nn1	io	jj
26	a	just	and	lasting	peace	at1	jj	cc	jj	nn1
7	a	lame-duck	session	of	Congress	at1	jj	nnt1	io	nn1
6	a	lanky	man	in	his	at1	jj	nn1	ii	appge
6	a	large	amount	of	a	at1	jj	nn1	io	at1
9	a	large	amount	of	cash	at1	jj	nn1	io	nn1
10	a	large	amount	of	data	at1	jj	nn1	io	nn
5	a	large	amount	of	energy	at1	jj	nn1	io	nn1
5	a	large	amount	of	gas	at1	jj	nn1	io	nn1
14	a	large	amount	of	information	at1	jj	nn1	io	nn1
7	a	large	amount	of	material	at1	jj	nn1	io	nn1
53	a	large	amount	of	money	at1	jj	nn1	io	nn1
19	a	large	amount	of	the	at1	jj	nn1	io	at
8	a	large	amount	of	time	at1	jj	nn1	io	nnt1
14	a	large	amount	of	water	at1	jj	nn1	io	nn1
5	a	large	and	devoted	following	at1	jj	cc	jj	nn1
8	a	large	and	diverse	group	at1	jj	cc	jj	nn1
5	a	large	and	growing	body	at1	jj	cc	jj	nn1
10	a	large	and	peaceful	bay	at1	jj	cc	jj	nn1
12	a	large	area	of	the	at1	jj	nn1	io	at
5	a	large	baking	pan	and	at1	jj	nn1	nn1	cc
22	a	large	baking	sheet	with	at1	jj	nn1	nn1	iw
13	a	large	body	of	evidence	at1	jj	nn1	io	nn1
14	a	large	body	of	literature	at1	jj	nn1	io	nn1
23	a	large	body	of	research	at1	jj	nn1	io	nn1
6	A	large	body	of	research	at1	jj	nn1	io	nn1
15	a	large	body	of	water	at1	jj	nn1	io	nn1
16	a	large	bowl	and	add	at1	jj	nn1	cc	vv0
9	a	large	bowl	and	cover	at1	jj	nn1	cc	vv0
6	a	large	bowl	and	let	at1	jj	nn1	cc	vv0
11	a	large	bowl	and	mix	at1	jj	nn1	cc	vv0
15	a	large	bowl	and	set	at1	jj	nn1	cc	vv0
6	a	large	bowl	and	stir	at1	jj	nn1	cc	vv0
22	a	large	bowl	and	toss	at1	jj	nn1	cc	vv0
6	a	large	bowl	and	whisk	at1	jj	nn1	cc	vv0
5	a	large	bowl	at	medium	at1	jj	nn1	ii	jj
6	a	large	bowl	halfway	with	at1	jj	nn1	rr	iw
12	a	large	bowl	of	ice	at1	jj	nn1	io	nn1
7	a	large	bowl	of	water	at1	jj	nn1	io	nn1
9	a	large	bowl	or	food	at1	jj	nn1	cc	nn1
14	a	large	bowl	until	blended	at1	jj	nn1	cs	vvn
10	a	large	bowl	until	light	at1	jj	nn1	cs	jj
10	a	large	bowl	until	light	at1	jj	nn1	cs	jj
5	a	large	bowl	using	a	at1	jj	nn1	vvg	at1
20	a	large	bowl	with	a	at1	jj	nn1	iw	at1
30	a	large	bowl	with	an	at1	jj	nn1	iw	at1
6	a	large	bowl	with	electric	at1	jj	nn1	iw	jj
8	a	large	bowl	with	ice	at1	jj	nn1	iw	nn1
8	a	large	bowl	with	olive	at1	jj	nn1	iw	jj
13	a	large	bowl	with	the	at1	jj	nn1	iw	at
5	a	large	bowl	with	vegetable	at1	jj	nn1	iw	nn1
8	a	large	cast-iron	skillet	over	at1	jj	jj	nn1	ii
6	a	large	chunk	of	his	at1	jj	nn1	io	appge
41	a	large	chunk	of	the	at1	jj	nn1	io	at
10	a	large	chunk	of	their	at1	jj	nn1	io	appge
5	a	large	circle	of	friends	at1	jj	nn1	io	nn2
6	a	large	city	in	the	at1	jj	nn1	ii	at
5	a	large	city	such	as	at1	jj	nn1	ii21	ii22
5	a	large	crowd	of	people	at1	jj	nn1	io	nn
5	a	large	degree	by	the	at1	jj	nn1	ii	at
6	a	large	degree	of	autonomy	at1	jj	nn1	io	nn1
9	a	large	degree	on	the	at1	jj	nn1	ii	at
8	a	large	difference	in	the	at1	jj	nn1	ii	at
8	a	large	Dutch	oven	or	at1	jj	jj	nn1	cc
50	a	large	Dutch	oven	over	at1	jj	jj	nn1	ii
5	a	large	effect	on	the	at1	jj	nn1	ii	at
9	a	large	extent	by	the	at1	jj	nn1	ii	at
23	a	large	extent	on	the	at1	jj	nn1	ii	at
28	a	large	fraction	of	the	at1	jj	nn1	io	at
7	a	large	fraction	of	their	at1	jj	nn1	io	appge
5	a	large	framed	photograph	of	at1	jj	jj	nn1	io
6	a	large	frying	pan	and	at1	jj	nn1	nn1	cc
60	a	large	frying	pan	over	at1	jj	nn1	nn1	ii
5	a	large	frying	pan	with	at1	jj	nn1	nn1	iw
6	a	large	gap	between	the	at1	jj	nn1	ii	at
6	a	large	glass	of	milk	at1	jj	nn1	io	nn1
6	a	large	glass	of	water	at1	jj	nn1	io	nn1
5	a	large	group	of	Americans	at1	jj	nn1	io	nn2
6	a	large	group	of	children	at1	jj	nn1	io	nn2
6	a	large	group	of	friends	at1	jj	nn1	io	nn2
6	a	large	group	of	men	at1	jj	nn1	io	nn2
57	a	large	group	of	people	at1	jj	nn1	io	nn
6	a	large	group	of	students	at1	jj	nn1	io	nn2
8	a	large	heavy	saucepan	over	at1	jj	jj	nn1	ii
13	a	large	heavy	skillet	over	at1	jj	jj	nn1	ii
19	a	large	hole	in	the	at1	jj	nn1	ii	at
6	a	large	house	on	the	at1	jj	nn1	ii	at
5	a	large	house	with	a	at1	jj	nn1	iw	at1
10	a	large	impact	on	the	at1	jj	nn1	ii	at
15	a	large	increase	in	the	at1	jj	nn1	ii	at
5	a	large	living	room	with	at1	jj	nn1	nn1	iw
5	a	large	majority	in	the	at1	jj	nn1	ii	at
11	a	large	majority	of	Americans	at1	jj	nn1	io	nn2
7	a	large	majority	of	people	at1	jj	nn1	io	nn
6	a	large	majority	of	students	at1	jj	nn1	io	nn2
47	a	large	majority	of	the	at1	jj	nn1	io	at
12	A	large	majority	of	the	at1	jj	nn1	io	at
10	a	large	man	in	a	at1	jj	nn1	ii	at1
5	a	large	man	in	his	at1	jj	nn1	ii	appge
