fu	xx	dd1	jj	nn1
vbm	xx	at1	jj	nn1
vbm	xx	at1	jj	nn1
vbm	xx	at	jj	nn1
cc	xx	at1	jj	nn1
cc	xx	at1	jj	nn1
cc	xx	at	jj	nn1
cc	xx	at	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	at1	jj	nn1
vbr	xx	jj	nn2	to
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn1
vbr	xx	at	jj	nn2
vbr	xx	at	jj	nn1
vb0	xx	at	jj	nn2
ccb	xx	at1	jj	nn1
ccb	xx	at1	jj	nn1
ccb	xx	ii	jj	nn1
ccb	xx	jj	nn1	if
ccb	xx	at	jj	nn1
vm	xx	vbi	jj	nn1
vm	xx	vvi	jj	nn1
vm	xx	ii	jj	nn1
vm	xx	vvi	jj	nn2
vm	xx	vvi	jj	nn2
vm	xx	ii	jj	nn1
rr	xx	at1	jj	nn1
rr	xx	at	jj	nn1
vm	xx	ii	jj	nn1
vm	xx	ii	jj	nn1
vdd	xx	vvi	jj	nn1
vdd	xx	vhi	jj	nn1
vdd	xx	vhi	jj	nn2
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn1
vdd	xx	vhi	jj	nn2
vdd	xx	vhi	jj	nn2
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn2
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn1
vdd	xx	vvi	jj	nn2
vdd	xx	vvi	jj	nn2
vd0	xx	vvi	jj	nn1
vd0	xx	vvi	jj	nn1
vd0	xx	vhi	jj	nn2
vd0	xx	vhi	jj	nn1
vd0	xx	vhi	jj	nn1
vd0	xx	vvi	jj	nn1
vd0	xx	vvi	jj	nn
vd0	xx	jj	nnb	np1
vd0	xx	vvi	jj	nn
vd0	xx	vhi	jj	nn1
vd0	xx	vhi	jj	nn1
vd0	xx	vvi	jj	nn2
vd0	xx	vvi	jj	nn2
vdz	xx	vvi	jj	nn1
vdz	xx	vhi	jj	nn2
vdz	xx	vvi	jj	nn2
vdz	xx	vvi	jj	nn1
if	xx	vhg	jj	nn1
vv0	xx	vvn	jj	nn1
vhd	xx	vvn	jj	nn1
vhd	xx	vvn	jj	nn1
vhz	xx	vvn	jj	nn1
vh0	xx	vvn	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nnt1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	at1	jj	nn1
vbz	xx	dd	jj	nn1
vbz	xx	jj	nn1	if
vbz	xx	at	jj	nn1
