31	a	brief	typed	article	at1	jj	jj	nn1
36	a	familiar	two-word	phrase	at1	jj	jj	nn1
13	a	few	tentative	steps	at1	da2	jj	nn2
12	a	foreign	terrorist	organization	at1	jj	jj	nn1
23	a	little	tiny	bit	rr21	rr22	jj	nn1
14	a	major	terrorist	attack	at1	jj	jj	nn1
16	a	more	thorough	investigation	at1	rgr	jj	nn1
16	a	more	thorough	understanding	at1	rgr	jj	nn1
16	a	nationally	televised	address	at1	rr	jj	nn1
14	a	nationally	televised	game	at1	rr	jj	nn1
15	a	nationally	televised	speech	at1	rr	jj	nn1
15	a	new	three-year	contract	at1	jj	jj	nn1
22	a	possible	terrorist	attack	at1	jj	jj	nn1
12	a	pretty	tall	order	at1	rg	jj	nn1
16	a	really	tough	time	at1	rr	jj	nnt1
77	a	sexually	transmitted	disease	at1	rr	jj	nn1
14	a	sexually	transmitted	infection	at1	rr	jj	nn1
12	a	significant	two-way	interaction	at1	jj	jj	nn1
15	a	tall	black	man	at1	jj	jj	nn1
13	a	tall	drink	of	at1	jj	nn1	io
56	a	tall	glass	of	at1	jj	nn1	io
25	a	tall	man	in	at1	jj	nn1	ii
75	a	tall	man	with	at1	jj	nn1	iw
27	A	tall	man	with	at1	jj	nn1	iw
28	a	tall	order	for	at1	jj	nn1	if
15	a	tall	stack	of	at1	jj	nn1	io
25	a	tall	woman	with	at1	jj	nn1	iw
16	a	tall	young	man	at1	jj	jj	nn1
18	a	tangled	web	of	at1	jj	nn1	io
13	a	technical	point	of	at1	jj	nn1	io
19	a	teenage	boy	who	at1	jj	nn1	pnqs
12	a	teenage	girl	in	at1	jj	nn1	ii
26	a	teenage	girl	who	at1	jj	nn1	pnqs
14	a	televised	address	to	at1	jj	nn1	ii
13	a	telling	example	of	at1	jj	nn1	io
13	a	telling	sign	of	at1	jj	nn1	io
12	a	temporary	ban	on	at1	jj	nn1	ii
13	a	temporary	halt	to	at1	jj	nn1	ii
12	a	temporary	increase	in	at1	jj	nn1	ii
13	a	temporary	loss	of	at1	jj	nn1	io
23	a	temporary	moratorium	on	at1	jj	nn1	ii
108	a	temporary	restraining	order	at1	jj	jj	nn1
12	a	temporary	spending	bill	at1	jj	nn1	nn1
22	a	temporary	worker	program	at1	jj	nn1	nn1
13	a	tempting	target	for	at1	jj	nn1	if
25	a	tenfold	increase	in	at1	jj	nn1	ii
12	a	tentative	agreement	on	at1	jj	nn1	ii
16	a	tentative	agreement	to	at1	jj	nn1	to
12	a	tentative	agreement	with	at1	jj	nn1	iw
16	a	tentative	contract	agreement	at1	jj	nn1	nn1
12	a	tentative	deal	with	at1	jj	nn1	iw
13	a	tenured	professor	at	at1	jj	nn1	ii
25	a	terrible	blow	to	at1	jj	nn1	ii
13	a	terrible	disservice	to	at1	jj	nn1	ii
15	a	terrible	job	of	at1	jj	nn1	io
12	a	terrible	mistake	and	at1	jj	nn1	cc
13	a	terrible	mistake	to	at1	jj	nn1	to
19	a	terrible	place	to	at1	jj	nn1	to
16	a	terrible	price	for	at1	jj	nn1	if
13	a	terrible	problem	with	at1	jj	nn1	iw
19	a	terrible	sense	of	at1	jj	nn1	io
14	a	terrible	thing	and	at1	jj	nn1	cc
27	a	terrible	thing	for	at1	jj	nn1	if
27	a	terrible	thing	that	at1	jj	nn1	cst
191	a	terrible	thing	to	at1	jj	nn1	to
12	a	terrible	time	for	at1	jj	nnt1	if
15	a	terrible	time	getting	at1	jj	nnt1	vvg
15	a	terrible	time	in	at1	jj	nnt1	ii
12	a	terrible	time	to	at1	jj	nnt1	to
13	a	terrible	time	with	at1	jj	nnt1	iw
16	a	terrible	toll	on	at1	jj	nn1	ii
16	a	terrible	waste	of	at1	jj	nn1	io
46	a	terrible	way	to	at1	jj	nn1	to
25	a	terrific	job	of	at1	jj	nn1	io
13	a	terrific	new	book	at1	jj	jj	nn1
22	a	terrific	way	to	at1	jj	nn1	to
14	a	terrorist	attack	against	at1	jj	nn1	ii
12	a	terrorist	attack	and	at1	jj	nn1	cc
34	a	terrorist	attack	in	at1	jj	nn1	ii
35	a	terrorist	attack	on	at1	jj	nn1	ii
16	a	terrorist	attack	or	at1	jj	nn1	cc
18	a	terrorist	group	that	at1	jj	nn1	cst
13	a	terrorist	organization	and	at1	jj	nn1	cc
20	a	terrorist	organization	by	at1	jj	nn1	ii
13	a	terrorist	plot	to	at1	jj	nn1	to
21	a	terrorist	training	camp	at1	jj	nn1	nn1
12	a	test-retest	reliability	of	at1	jj	nn1	io
21	a	theoretical	basis	for	at1	jj	nn1	if
13	a	theoretical	foundation	for	at1	jj	nn1	if
22	a	theoretical	framework	for	at1	jj	nn1	if
14	a	theoretical	framework	that	at1	jj	nn1	cst
19	a	theoretical	model	of	at1	jj	nn1	io
13	a	thick	blanket	of	at1	jj	nn1	io
20	a	thick	cloud	of	at1	jj	nn1	io
13	a	thick	coat	of	at1	jj	nn1	io
141	a	thick	layer	of	at1	jj	nn1	io
17	a	thick	piece	of	at1	jj	nn1	io
16	a	thick	sheaf	of	at1	jj	nn1	io
14	a	thick	slab	of	at1	jj	nn1	io
20	a	thick	slice	of	at1	jj	nn1	io
16	a	thick	stack	of	at1	jj	nn1	io
24	a	thick	stand	of	at1	jj	nn1	io
21	a	thick	wad	of	at1	jj	nn1	io
35	a	thin	coat	of	at1	jj	nn1	io
25	a	thin	coating	of	at1	jj	nn1	io
48	a	thin	film	of	at1	jj	nn1	io
331	a	thin	layer	of	at1	jj	nn1	io
20	A	thin	layer	of	at1	jj	nn1	io
12	a	thin	layer	on	at1	jj	nn1	ii
43	a	thin	line	between	at1	jj	nn1	ii
55	a	thin	line	of	at1	jj	nn1	io
12	A	thin	line	of	at1	jj	nn1	io
18	a	thin	man	with	at1	jj	nn1	iw
15	a	thin	mixture	of	at1	jj	nn1	io
25	a	thin	piece	of	at1	jj	nn1	io
31	a	thin	sheet	of	at1	jj	nn1	io
40	a	thin	slice	of	at1	jj	nn1	io
14	a	thin	sliver	of	at1	jj	nn1	io
39	a	thin	stream	of	at1	jj	nn1	io
15	A	thin	stream	of	at1	jj	nn1	io
49	a	thin	strip	of	at1	jj	nn1	io
