5	a	bacterial	or	viral	infection	at1	jj	cc	jj	nn1
7	a	candidate	for	vice	president	at1	nn1	if	jj	nn1
19	a	former	senior	vice	president	at1	da	jj	jj	nn1
11	a	former	vice	chairman	of	at1	da	jj	nn1	io
7	a	former	vice	president	and	at1	da	jj	nn1	cc
15	a	former	vice	president	at	at1	da	jj	nn1	ii
26	a	former	vice	president	of	at1	da	jj	nn1	io
5	a	great	deal	of	visual	at1	jj	nn1	io	jj
6	a	history	of	varicose	veins	at1	nn1	io	jj	nn2
5	a	history	of	violent	behavior	at1	nn1	io	jj	nn1
5	a	linear	variable	differential	transformer	at1	jj	jj	jj	nn1
5	a	long	and	varied	history	at1	jj	cc	jj	nn1
9	a	longtime	contributor	to	Vegetarian	at1	jj	nn1	ii	jj
5	a	lot	of	valuable	information	at1	nn1	io	jj	nn1
6	a	North	Vietnamese	prison	camp	at1	nd1	jj	nn1	nn1
5	a	particularly	virulent	form	of	at1	rr	jj	nn1	io
7	a	performing	and	visual	arts	at1	nn1	cc	jj	nn2
5	a	persistent	vegetative	state	for	at1	jj	jj	nn1	if
6	a	possible	vice	presidential	candidate	at1	jj	jj	jj	nn1
7	a	president	and	vice	president	at1	nn1	cc	jj	nn1
20	a	reliable	and	valid	instrument	at1	jj	cc	jj	nn1
15	a	reliable	and	valid	measure	at1	jj	cc	jj	nn1
19	a	senior	vice	president	and	at1	jj	jj	nn1	cc
111	a	senior	vice	president	at	at1	jj	jj	nn1	ii
28	a	senior	vice	president	for	at1	jj	jj	nn1	if
80	a	senior	vice	president	of	at1	jj	jj	nn1	io
7	a	senior	vice	president	who	at1	jj	jj	nn1	pnqs
26	a	senior	vice	president	with	at1	jj	jj	nn1	iw
13	a	small	but	vocal	group	at1	jj	ccb	jj	nn1
5	a	small	but	vocal	minority	at1	jj	ccb	jj	nn1
5	a	thinly	veiled	attempt	to	at1	rr	jj	nn1	to
12	a	V-shaped	rack	in	a	at1	jj	nn1	ii	at1
6	a	vague	idea	of	what	at1	jj	nn1	io	ddq
5	a	vague	memory	of	the	at1	jj	nn1	io	at
5	a	vague	notion	of	what	at1	jj	nn1	io	ddq
6	a	vague	recollection	of	the	at1	jj	nn1	io	at
8	a	valid	and	reliable	instrument	at1	jj	cc	jj	nn1
9	a	valid	and	reliable	measure	at1	jj	cc	jj	nn1
5	a	valid	marriage	contract	can	at1	jj	nn1	nn1	vm
20	a	valuable	addition	to	the	at1	jj	nn1	ii	at
7	a	valuable	asset	to	the	at1	jj	nn1	ii	at
6	a	valuable	component	of	the	at1	jj	nn1	io	at
14	a	valuable	contribution	to	the	at1	jj	nn1	ii	at
5	a	valuable	member	of	the	at1	jj	nn1	io	at
13	a	valuable	part	of	the	at1	jj	nn1	io	at
9	a	valuable	role	in	the	at1	jj	nn1	ii	at
15	a	valuable	source	of	information	at1	jj	nn1	io	nn1
7	a	valuable	tool	for	the	at1	jj	nn1	if	at
7	a	valuable	tool	in	the	at1	jj	nn1	ii	at
8	a	valued	member	of	the	at1	jj	nn1	io	at
6	a	valued	part	of	the	at1	jj	nn1	io	at
8	a	vanishing	way	of	life	at1	jj	nn1	io	nn1
31	a	varied	repertoire	of	music	at1	jj	nn1	io	nn1
18	a	vast	amount	of	information	at1	jj	nn1	io	nn1
5	a	vast	array	of	information	at1	jj	nn1	io	nn1
5	a	vast	expansion	of	the	at1	jj	nn1	io	at
8	a	vast	improvement	on	the	at1	jj	nn1	ii	at
12	a	vast	improvement	over	the	at1	jj	nn1	ii	at
7	a	vast	improvement	over	what	at1	jj	nn1	ii	ddq
15	a	vast	increase	in	the	at1	jj	nn1	ii	at
6	a	vast	majority	of	Americans	at1	jj	nn1	io	nn2
9	a	vast	majority	of	people	at1	jj	nn1	io	nn
27	a	vast	majority	of	the	at1	jj	nn1	io	at
7	A	vast	majority	of	the	at1	jj	nn1	io	at
8	a	vast	majority	of	them	at1	jj	nn1	io	ppho2
6	a	vast	number	of	people	at1	jj	nn1	io	nn
5	a	vast	swath	of	the	at1	jj	nn1	io	at
5	a	veiled	reference	to	the	at1	jj	nn1	ii	at
5	a	vested	economic	interest	in	at1	jj	jj	nn1	ii
5	a	vested	interest	in	its	at1	jj	nn1	ii	appge
11	a	vested	interest	in	keeping	at1	jj	nn1	ii	vvg
13	a	vested	interest	in	maintaining	at1	jj	nn1	ii	vvg
9	a	vested	interest	in	making	at1	jj	nn1	ii	vvg
5	a	vested	interest	in	our	at1	jj	nn1	ii	appge
5	a	vested	interest	in	promoting	at1	jj	nn1	ii	vvg
9	a	vested	interest	in	seeing	at1	jj	nn1	ii	vvg
75	a	vested	interest	in	the	at1	jj	nn1	ii	at
8	a	vested	interest	in	their	at1	jj	nn1	ii	appge
8	a	vested	interest	in	this	at1	jj	nn1	ii	dd1
5	a	veteran	member	of	the	at1	jj	nn1	io	at
19	a	viable	alternative	to	the	at1	jj	nn1	ii	at
7	a	viable	alternative	to	traditional	at1	jj	nn1	ii	jj
8	a	viable	part	of	the	at1	jj	nn1	io	at
5	a	viable	solution	to	the	at1	jj	nn1	ii	at
9	a	vice	chair	of	the	at1	jj	nn1	io	at
6	a	vice	chairman	of	the	at1	jj	nn1	io	at
5	a	vice	president	and	senior	at1	jj	nn1	cc	jj
9	a	vice	president	at	a	at1	jj	nn1	ii	at1
43	a	vice	president	at	the	at1	jj	nn1	ii	at
6	a	vice	president	for	a	at1	jj	nn1	if	at1
11	a	vice	president	for	the	at1	jj	nn1	if	at
5	a	vice	president	in	charge	at1	jj	nn1	ii31	ii32
20	a	vice	president	in	the	at1	jj	nn1	ii	at
6	a	vice	president	of	a	at1	jj	nn1	io	at1
7	a	vice	president	of	marketing	at1	jj	nn1	io	nn1
6	a	vice	president	of	sales	at1	jj	nn1	io	nn
89	a	vice	president	of	the	at1	jj	nn1	io	at
12	a	vice	president	with	the	at1	jj	nn1	iw	at
20	a	vice	presidential	running	mate	at1	jj	jj	jj	nn1
5	a	vicious	blow	to	the	at1	jj	nn1	ii	at
8	a	vicious	cycle	in	which	at1	jj	nn1	ii	ddq
