count,noun,verb
51,AAA,depends
139,AAVs,are
57,Aalto,died
747,Aaron,struck
116,AAP,recommend
147,Aalto,developed
741,Aaron,gone
240,AAMI,is
69,AARP,helps
153,Aa,becomes
139,Aaron,sank
176,Aas,had
154,AAAs,can
55,AAUP,may
47,Aa,obtained
131,Aall,was
446,Aalto,won
164,Aap,is
166,Aaron,batted
171,AACN,has
447,AA,might
97,Aaron,declined
497,aay,be
81,AAA,receives
51,AACP,has
911,Aaron,describes
136,AAA,established
204,Aa,should
168,Aaron,meets
98,AAE,had
85,AA,varies
155,Aa,does
710,Aachen,were
213,Aaron,offers
46,AAA,signed
75,AAAs,should
579,AAC,has
57,AAL,performs
421,AA,caused
291,Aaron,blew
46,AAA,entered
413,AAB,are
95,AAX,is
157,AA,believes
71,Aaron,bit
137,AAA,left
162,Aa,being
4933,Aaron,hitting
44,aabb,are
61,AACP,had
90,Aa,decreases
3013,Aaron,knew
80,AAH,are
146,AA,reported
55,Aaron,acquired
115,AAA,remains
213,AAL,has
147,AAPG,Mem
184,AA,depends
84,Aaron,bid
556,aa,flow
49,AAA,decides
213,AA,showed
169,Aaa,rated
72,Aad,were
92,Aalto,found
91,Aaron,hath
56,AAA,increased
72,AA,defines
110,Aa,pointed
99,Aarhus,were
40,Aaron,overheard
118,Aaronsohn,is
41,aa,having
1402,AAPG,Memoir
216,AAP,had
12193,AA,are
105,Aa,could
98,Aar,flows
115,Aaron,suffered
372,aa,can
93,aardvarks,have
54,AAAS,publishes
47,AARP,reports
169,AA,contains
224,Aaron,attacked
131,AAA,helped
115,AAVSO,has
220,Aamir,was
153,Aar,has
251,Aaron,preferred
41,aa,applied
154,AAAS,Publication
2180,AAC,is
57,AAL,have
221,Aaron,extended
920,AAE,is
64,AAM,et
1290,AAVE,is
391,AA,bb
53,AAs,has
48,Aaron,fled
45,AAA,wants
71,AAG,had
42,Aare,flows
110,AAMA,is
331,Aaron,participated
68,aa,d
76,AAMs,is
81,AAV,integrates
197,AA,teaches
226,Aaron,believes
75,AAA,created
2657,Aaron,exchanged
61,aA,may
83,AAFC,folded
85,AASHTO,recommended
57,AA,formed
153,Aalto,produced
6560,Aaron,eyed
153,AALs,recommended
469,AA,containing
663,Aaron,paused
66,AAA,says
53,AARP,uses
41,AA,runs
61641,Aaron,compared
151,aap,is
128,AAVE,may
66,Aachen,lay
180,AACC,has
2098,AAF,was
51,AALs,were
47,AA,indicated
496,Aaron,drove
61,aa,opposed
1036,Aaron,broke
130,aa,represents
2693,AAA,may
157,AA,increased
233,Aaron,settled
93,aA,has
117,aardvark,are
191,AAA,declared
191,AACR,was
201,AAIW,is
41,AAPG,provided
87,Aare,is
328,Aaron,acted
164,AAV,may
102,Aaron,crouched
61,AAPs,is
516,Aaron,reflected
244,aa,had
73,AAA,gives
71,AAEC,is
23752,Aaron,addressed
83,Aarons,und
49,AAAS,held
68,AADC,are
100,AALS,has
2024,AA,Does
69,Aaberg,et
210,Aaron,complained
67,aangevuld,met
69,AAV,requires
59,AA,reduces
46,Aadam,got
1886,Aaron,comes
221,Aaa,is
120,Aalto,said
11205,Aaron,becoming
58,AAA,estimates
49,AAUP,made
66,Aalborg,were
93,Aaron,blushed
419,AAO,is
290,Aaron,leaves
1462,AARP,has
564,Aaron,cracked
1452,AAA,rated
41,Aa,consists
54,Aall,has
233,Aaron,requested
158,AAMFT,has
829,AAPA,was
134,AA,seeks
77,AAs,did
224,Aaron,slowed
259,aa,am
117,AAA,ft
152,AAO,was
1110,Aaron,breathed
64,aa,genotype
46,aas,is
382,Aaron,having
54,AABW,has
44,AAD,may
369,Aaron,calls
51,Aas,were
90,AAP,can
877,Aaron,bears
55,Aazaz,was
55,AAF,does
45,AAUP,published
253,Aa,have
151,Aarne,has
2527,Aaron,entered
559,AAC,became
73,AA,implies
270,Aach,et
278,Aaron,changed
1197,AAL,is
77,AASA,was
110,Aa,shows
768,Aaron,corrected
119,AAG,may
99,AARs,were
86,Aak,is
93,aardvark,can
78,AAAS,would
193,Aa,cos
116,Aaron,starts
120,AABE,is
74,AAF,flying
173,AAT,had
64,AAUP,found
104,AA,treated
607,Aaron,grimaced
77,aa,noted
68,AAA,failed
59,AAPs,have
462,AA,says
45,AARP,website
984,Aaron,calling
53,Aaronides,are
157,aa,overlap
79,AAP,believes
40,AA,tried
78,Aaker,is
210,Aardvarks,are
10496,Aaron,burst
76,aay,is
85,AAUP,recommends
338,AAVE,has
206,Aaron,demonstrates
462,Aaronsohn,had
60,AA,show
2170,Aa,are
335,Aaron,appear
355,AAH,is
79,AARP,may
149,AA,amyloid
3396,Aaron,shot
197,Aasen,had
424,AAA,does
338,AAAs,is
104,AASW,had
76,Aali,was
271,Aaron,descended
160,aa,follow
47,aad,said
80,AAAS,meeting
68,AA,thought
278,AAs,is
542,Aaron,described
65,AAAD,is
138,AAA,went
58,AAPSO,had
126,AAT,would
214,AA,emphasizes
1787,Aaron,appointed
