count,noun,verb
193,ABC,interviewed
43,ABOUT,TO
480,AB,agrees
45,Ab,Band
130,Abaza,has
223,Abbadie,had
409,Abbe,brought
112,Abbey,helped
734,Abbott,entitled
53,Abbreviations,ABBREVIATIONS
148,Abdallah,left
68,Abdication,broadcast
229,Abel,resisted
396,Abelard,sought
56,Abenakis,took
78,Abercrombie,uses
101,Aberdaron,is
140,Abernathy,will
194,Abigail,refused
48,Abnormalities,could
80,Aborigine,named
6107,Abraham,compared
85,Abrams,refused
357,Abrasion,may
2008,Absent,is
111,Absolute,come
166,Abt,has
444,Abuela,was
79,abbacy,became
161,abbess,spoke
74,abbey,becomes
63,abbeys,found
170,abbots,be
291,abbreviation,follows
244,abdomen,protrude
148,abduction,associated
49,abductor,arises
1587,abilities,appeared
1684,ability,discussed
290,abnormalities,evaluated
20269,abnormality,may
233,abodes,would
216,abortion,illustrates
84,abortus,should
48,abscess,Hepatitis
6587,abscissa,represents
378,absences,has
54,absentees,including
45,absolutes,make
194,absolvitor,should
88,absorber,added
100,absorption,l
216,abstainers,will
172,abstractionism,was
783,abstractions,come
251,absurdities,introduced
7129,abundance,supply
1171,abuse,Provide
250,abuses,used
181,abutment,shown
414,abyss,does
76,ABBREVIATIONS,ABD
69,ABB,announced
113,ABCA,is
287,ABSCISIC,ACID
40,ABSORPTION,BANDS
1191,ABSTRACTS,is
52,AB,AC
255,Ab,must
79,Abbe,believed
76,Abbot,responded
146,Abbreviations,do
52,Abby,continues
253,Abdalla,brought
203,Abdi,said
527,Abdullah,seemed
255,Abe,shouted
3400,Abel,brought
325,Abernathy,led
78,Abernethy,tells
991,Abigail,eyed
69,Abkhazia,should
93,Ablewhite,could
1701,Abraham,begot
203,Absolute,comprehends
150,Absolutist,is
92,Abstracts,might
44,Absurd,became
174,Abuse,Victim
736,Abuses,Stript
56,Abyssinia,signed
152,abbates,et
71,abbess,met
393,abbot,are
76,abbots,excepted
71,abbreviations,fall
46,abdomen,allowed
54,abduction,related
69,abductions,did
2527,abilities,conducted
800,ability,approaching
234,ablution,would
126,abnegation,demanded
317,abnormalities,according
1696,abolitionists,began
128,aborigines,let
77,abos,are
43,abridgment,composed
310,abscess,occupies
198,abscesses,related
127,absence,complicated
723,absentee,has
45,absinthe,would
288,absorbance,must
87,absorber,tuned
2566,absorption,observed
1205,abstinence,does
55,abstracter,knows
1061,abstraction,depends
3288,abstractions,based
89,absurdity,grow
42,abundance,stands
56,abuse,subsided
201,ABBEY,is
72,ABC,been
75,Ababa,may
715,Abba,would
103,Abbe,insisted
61,Abbey,pointed
50,Abbot,make
40,Abbreviations,AAD
507,Abby,loved
64,Abdul,died
636,Abdullah,killed
1705,Abe,knew
76,Abelard,regarded
167,Aberdeen,declined
101,Abergavenny,has
49,Abhidhamma,consists
99,Abigail,muttered
112,Abimelech,takes
51,Aboriginality,had
126,Abraham,bids
124,Abram,suggests
201,Abrams,asserted
82,Abs,trac
134,Absalom,have
93,Abscissa,is
140,Absence,indicates
50,Absolute,responds
57,Abuja,may
70,Abuse,says
128,Abyssinians,must
42,Abzug,gave
80,abalones,is
615,abandonment,began
62,abbacy,should
6431,abbreviations,represent
109,abductions,carried
52,aberrations,Fig
419,abilities,arising
570,ability,bringing
82,ablations,using
79,abnormalities,preventing
174,abnormality,considered
47,abode,come
377,abolitionists,agreed
324,abomasum,may
64,aboundance,lies
547,abrasion,must
118,abrasions,found
1216,abreaction,is
62,abridgment,gives
126,abscess,called
21327,absence,can
97,absences,indicated
96,absenteeism,found
51,absolutist,states
40,absorbents,refuse
144,absorber,gives
2055,absorptions,were
1337,abstraction,differs
1944,abstractions,made
137,abstractness,becomes
575,abstracts,relating
138,absurdity,maintain
396,abuse,suggested
108,abuses,demand
2726,abyss,been
44,ABCDEF,may
51,ABC,appointed
55,ABSTRACTS,WOMEN
69,ABSTRACT,Understanding
402,AB,changes
92,Abauzit,was
347,Abbas,left
68,Abbey,increased
69,Abbie,guessed
70,Abbot,declares
47,Abbreviations,XI
75,Abby,slapped
1066,Abderites,had
145,Abe,faced
265,Abel,raised
76,Abelard,gained
74,Aberdeen,see
89,Abeyta,had
47,Abiko,is
84,Abner,takes
216,Aborigines,engaged
148,Abortion,According
3738,Abortions,are
128,Abraham,reflected
52,Abram,possessed
416,Abrams,became
63,Abravanel,believed
68,Absalom,heard
48,Absence,appears
88,Abyssinians,has
839,abacus,can
96,abatement,using
69,abbess,brought
314,abbot,referred
256,abbots,must
205,abbreviation,applies
82,aberrancy,can
839,aberration,amounting
169,abilities,place
1444,ability,See
781,abnormalities,Fig
175,abnormality,increased
716,abolitionism,has
453,abolitionists,offered
255,abortion,marked
58,abortions,outnumbered
320,abs,Starting
423,abscesses,causing
54,abscissa,giving
89,abscisses,are
76,absence,disrupts
373,absolute,makes
51,absoluteness,might
120,absolution,depends
81,absorbance,followed
57,absorbents,might
1236,absorption,Decrease
183,abstinence,began
212,abstraction,practised
48,abstractions,rendered
244,absurdity,exists
28537,abundance,diffused
3954,abuse,continues
1140,abuses,brought
6836,abyss,was
44,ABBREVIATIONS,AASS
81,ABB,became
108,ABCDE,has
2006,ABC,broke
77,ABSORBER,PLATE
137,AB,weighing
147,Ab,produced
63,Abandonment,implies
73,Abba,taught
89,Abbas,concluded
67,Abbaye,became
314,Abbess,came
500,Abbott,estimated
166,Abby,declared
74,Abdoollah,was
3148,Abel,asks
498,Aberdeen,admitted
124,Aberg,was
53,Abetz,wrote
68,Abid,said
62,Abigail,displayed
162,Abilities,Necessary
196,Ability,Test
61,Abimbola,has
304,Abnakis,were
104,Abner,wrote
129,Abnormal,Bleeding
162,Aborigines,agreed
291,Abortion,Be
1261,Abraham,accepted
716,Abram,builds
76,Abrams,paid
75,Abramson,writes
254,Absolution,can
100,Abstract,Increasing
60,Absurd,strives
202,Abyss,are
63,abbey,placed
246,abbot,regarded
134,abdication,gives
287,abdomen,disappears
56,aberrations,refer
1607,abettor,is
506,abiding,was
344,abilities,giving
3180,ability,enabling
77,abjection,have
91,ablaut,has
321,abnormalities,May
73,abode,seem
58,aborigines,tend
154,abortion,require
423,abortions,funded
51,abovementioned,had
115,abrasion,peeling
584,abscess,communicating
2382,abscesses,form
1283,absence,intensified
1651,absences,was
42,absenteeism,reflected
208,absolute,reveals
56,absolution,set
974,absolutism,did
1807,absorption,amounted
972,abstention,had
12844,abstraction,are
235,absurdities,advanced
33204,absurdity,is
126,abundance,coined
1048,abuse,ceases
867,abuses,carried
57,ABBREVIATIONS,PART
45,ABC,discussed
162,ABEND,occurs
211,AB,exerts
161,Aba,are
255,Abascal,was
160,Abbado,conducting
675,Abbeville,had
196,Abbey,works
63,Abdel,Salam
49,Abderrahman,rode
297,Abdication,had
49,Abdul,goes
251,Abdullah,brought
96,Abedi,is
664,Abel,mentioned
85,Abenaki,did
55,Abercrombie,retired
99,Aberdeen,carried
102,Abert,found
73,Abhinavagupta,interprets
672,Abigail,needed
44,Abilene,seemed
50,Abolitionist,came
52,Abolitionists,won
703,Aborigines,began
138,Abortion,allowed
720,Above,was
497,Abraham,casting
160,Abram,appears
58,Abramowitz,wrote
686,Abramson,is
41,Absenteeism,rises
106,Absolut,was
67,Absolute,began
351,Absorption,are
422,Abstract,Relating
51,Abstracts,list
62,Absurd,would
60,Abundance,normalized
846,abandonment,becomes
66,abbot,lay
367,abbreviation,being
1884,abbreviations,stand
77,abdomen,drained
63,abduction,shows
44,aberration,come
390,ability,named
46,ablation,vary
873,ablations,were
107,ablutions,finished
78,abnegation,became
41,abnormalities,survive
107,abnormality,arose
103,abolition,takes
737,aboriginal,was
65,aborigines,fell
1700,abortion,involves
47,abortions,follow
1244,abscesses,has
54,absence,escaped
95,absolutes,Sein
114,absolutism,adopted
121,absorbent,gelling
79,absorber,interposed
581,absorbers,made
58,absorptance,depends
144,absorptiometry,are
1498,absorption,ceased
47,absorptions,listed
328,abstinence,requires
42,abstractions,end
66,abstracts,reflecting
579,abundances,need
93292,abuse,Hallucinogen
52,abysm,is
143,ABANDON,ALL
371,ABA,decreases
49,ABCD,could
85,ABCP,is
320,ABC,refused
281,ABIC,is
141,ABPA,have
124,AB,giving
277,Abahu,said
182,Abbess,Roding
722,Abbey,consists
67,Abbot,attended
79,Abdulhamid,did
79,Abdullah,speaks
82,Abel,give
298,Abelard,condemned
58,Aberbach,is
40,Abercrombie,acquitted
61,Aberdeen,shared
575,Abies,is
153,Abimelech,may
82,Abiram,rebelled
343,Abner,shook
204,Aborigines,identify
806,Abraham,arranged
53,Abram,gazed
41,Abrams,involved
582,Abs,can
60,Abstracts,file
243,Abuse,Using
297,abasia,is
42,abatement,produced
45,abbe,adds
104,abbess,says
100,abbey,afforded
108,abbeys,grew
1067,abbot,exclaimed
104,abbots,got
14271,abbreviations,have
3417,abdication,had
375,abdomen,contracted
86,abdominis,have
541,aberrations,following
49,abhorrence,being
307,abilities,decreased
2736,ability,assess
54,ablation,ceases
45,abnegations,are
72,abominations,do
322,abortion,claimed
299,abscesses,exist
166,absence,embodied
382,absolution,does
101,absorbents,would
42,abstraction,seizes
62,abstractions,constituted
47,abstracto,has
4909,absurdity,disappears
1005,abundance,crowns
2097,abuse,focused
1354,abusers,tend
452,abuses,reckon
114,abyss,means
112,ABA,gave
162,ABC,completed
197,ABSTRACTS,SEMI
137,AB,belongs
123,Abacha,will
65,Abass,was
115,Abbess,must
516,Abbey,lay
310,Abby,met
79,Abdullah,waited
50,Abelard,anticipated
58,Abencerrages,continued
77,Aberdeen,acknowledged
87,Abigail,sank
246,Abkowitz,et
126,Aborigines,relied
459,Abraham,prays
209,Abram,set
72,Abshire,has
42,Absolute,descends
80,ab,sent
99,abandon,seems
217,abatement,measures
47,abbot,washed
43,abbreviations,assigned
225,abdomen,carry
191,abend,is
101,abilities,remaining
63,ability,pushed
105,abjection,will
186,ablation,following
426,abnormalities,called
314,abode,becomes
217,abort,can
278,abortion,passed
94,abortions,indicate
63,abridgment,edited
378,abscess,developing
2246,abscesses,caused
192,absence,generated
62,absolutes,Ich
62,absolutism,inherited
61,absolutisms,is
64,absorption,reducing
76,abstinence,included
55,abstinences,must
4098,abstraction,does
48,absurdity,reveals
112,abundance,returned
268,abuse,displayed
64,abuses,threatening
1095,ABC,being
168,ABR,have
926,AB,intersects
49,Ababa,stands
44,Abaddon,means
898,Abandonment,was
1824,Abbey,will
179,Abbie,met
132,Abbotsford,may
113,Abbreviations,Appendix
65,Abby,stifled
61,Abdallah,can
188,Abdullah,resigned
104,Abe,thinks
