count,noun,verb
386,ACA,may
110,ACCOUNTS,BALANCE
189,ACC,deaminase
312,ACHILLES,HEEL
69,ACQUAINTANCE,TURNS
454,ACRONYMS,USED
296,ACTH,compared
237,ACTIVITIES,Visit
89,ACTS,Article
200,AC,correspond
70,AcMNPV,was
340,Academics,need
233,Academy,expressed
1008,Access,Required
168,Accessibility,depends
41,Acciaioli,is
182,Accommodations,come
84,Accord,takes
100,Accountant,Can
195,Accountants,work
248,Accounts,covering
273,Ace,met
41,Achan,will
292,Acheson,issued
260,Achilles,meet
76,Achillis,be
61,Achilty,is
57,Achim,were
68,Acid,Concentrated
186,Acilius,sulcatus
45,Ackermann,points
7697,Acknowledgments,ix
1138,Acme,had
58,Acosta,finds
136,Acquisitions,continued
2639,Act,done
233,Actaeon,has
47,Actin,constitutes
340,Actions,need
40,Activists,linked
362,Activity,Identify
399,Acton,may
403,Acts,amounted
129,Actual,y
287,Acuity,was
115,Acushnet,is
257,academics,display
40,academies,convene
89,academy,promised
76,acalculia,may
595,acceleration,processes
53,accent,accept
533,acceptance,FIGURE
80,acceptors,does
2550,access,VPN
41,accessories,i
440,accident,Is
1835,accidents,break
46,acclamation,seemed
233,accommodation,continue
95,accompanist,fell
146,accomplice,met
6567,accomplishment,may
57,accomplishments,read
1116,account,am
78,accountability,helped
484,accountable,are
640,accountant,found
47,accounting,contributed
2891,accounts,concluded
107,accretion,produces
20993,accumulation,are
118,accumulator,adds
68,accumulators,arranged
238,accuracies,depending
45,accuracy,influences
105,accusation,hits
188,accusers,confronted
107,acetanilide,should
56,acetylene,reacted
1550,ache,began
259,achievement,lend
152,achievements,equaled
158,achylia,are
89536,acid,added
127,acidity,keeps
424,acids,excepting
51,acini,consisting
275,acquaintance,wanted
60,acquaintances,gained
1941,acquiescence,has
2047,acres,lie
51,acrocentrics,is
93,acronyms,given
706,act,abridged
75,actants,will
1665,actin,has
7102,action,accumulate
3119,actions,apply
106,activation,relies
120,activism,take
114,activist,gave
276,activists,carry
318890,activities,Attending
10880,activity,Describe
43,actor,arouses
7441,actors,achieved
10839,acts,comprehended
129,actualities,come
51,actuator,required
86,actuels,d
499,acuity,ranging
1122,ACCEPTANCE,BY
59,ACCOUNTS,DEBITED
227,ACCOUNT,HAS
52,ACE,appears
46,ACF,indicates
74,ACKNOWLEDGMENTS,appear
456,ACTING,LOCALLY
42,AC,ID
215,Acceptance,leads
10104,Access,was
68,Accidentals,can
295,Account,Should
55,Accountants,entitled
100,Accounting,begins
1348,Acetylcholine,has
1396,Achan,had
251,Achebe,are
385,Acheson,recommended
352,Achill,had
79,Ackerman,received
40,Acknowledgements,Dedication
99,Acknowledgments,go
89,Ackroyd,are
81,Acme,decides
69,Acorns,would
52,Acosta,enlarges
51,Acridoidea,are
1761,Acropolis,had
7563,Act,Provided
472,Action,COST
46,Actium,came
1116,Activists,criticized
54,Activities,announced
676,Acton,believed
698,Acts,demonstrates
57,Actualization,Need
40,academician,knew
622,academics,describe
50,accelerates,change
2645,acceleration,See
70,accelerometers,positioned
108,accent,using
360,accenting,is
46,accents,explained
254,acceptance,develops
46,acces,pour
315,accession,coincided
92,accessions,listed
417,accessories,come
73,accident,passes
46,accidents,allowing
198,accommodation,incorporated
52,accomplice,kidnapped
86,accomplices,acting
332,accomplishing,is
82,accomplishments,enhanced
106,accord,follow
5990,account,amounted
168,accountability,raised
2063,accountants,concerning
28757,accounts,excited
690,accumulation,acquires
207,accumulations,became
240,accuracy,computed
51,accusations,focus
188,accusers,insisted
54,aceton,was
51,acetylene,lamps
203,ache,felt
153,aches,did
680,achievement,obtained
274,achievements,enabled
642,acid,curdles
10279,acids,being
142,acidurias,are
70,acknowledgment,found
178,acolytes,carried
135,acorns,be
72,acquaintances,discussing
210,acquiescence,becomes
1741,acquirer,must
681,acquisition,differs
203,acquisitions,indicated
139,acre,surrounding
498,acreages,is
6249,acres,be
252,acrostic,should
15109,act,broken
2114,acting,were
2213,action,approaches
2630,actions,arose
593,activation,reflects
136,activist,making
1204,activists,develop
15770,activities,Add
15440,activity,INTRODUCTION
655,actomyosin,ATPase
525,actor,filmed
7624,actors,admitted
41,actresses,rehearse
1007,acts,appealing
73,actuality,produces
77,actuators,controlling
98,acumination,is
909,acupuncture,should
110,ACADEMICAL,OR
55,ACCOUNTING,ACCOUNTING
677,ACC,may
255,ACK,can
127,ACLU,fought
1556,ACM,SIGMOD
97,ACO,will
537,ACTION,OP
153,ACTIVITY,AGAINST
239,ACT,allowing
233,ACh,had
130,ACi,is
224,Academy,believe
48,Acarus,scabei
575,Acceptance,should
55,Accolon,saw
219,Accounting,based
52,Aces,could
48,Achaia,might
467,Achebe,writes
459,Achilles,bring
509,Achim,was
288,Acid,Following
98,Acidification,causes
676,Acids,Res
652,Acknowledgments,Work
86,Acosta,felt
470,Acquirements,Considered
253,Acre,began
57,Acrobatics,were
471,Acropolis,may
5753,Act,articulated
72,Actinomycosis,must
1362,Action,achieved
73,Actions,Check
480,Activities,Obtain
202,Acts,grew
62,Acute,rheumatoid
471,academics,play
1345,academy,offers
70,acceleration,coincided
1766,acceptance,arise
1134,acceptances,may
88,acceptor,required
6584,access,increase
366,accession,occurred
124,accessions,conserved
72,acciaccaturas,are
740,accident,attracts
824,accidents,appertaining
198,accommodators,may
592,accompaniment,have
78,accomplice,intended
263,accomplishments,grew
66,accord,ordered
2164,accords,had
925,account,decided
126,accountability,played
18639,accountant,may
214,accountants,gives
1695,accounting,attempts
18223,accounts,could
64,accoutrement,had
452,accruals,must
115,acculturation,developed
1409,accumulation,detected
427,accuracy,arising
440,accusation,found
162,accusations,emanating
152,accusers,having
47,acephalocysts,were
57,acetate,presents
66,acetoacetate,could
49,acetyl,substituted
669,acetylene,should
626,acetylenes,are
1095,achievement,enters
534,acid,Used
900,acidosis,causes
159,acids,develops
1040,acorn,contains
124,acquis,were
57,acquisition,urged
162,acquisitions,acquired
