count,noun,verb
253,ADA,provided
371,ADCC,was
41,ADHD,relates
83,ADHESIVE,BONDED
66,ADMONITIONS,TO
149,ADMs,can
102,ADPs,is
46,AD,responded
74,Adair,recalled
765,Adam,advanced
100,Adamkus,was
1941,Adams,admires
62,Adaptation,Adapting
108,Adar,would
1686,Addison,combined
101,Address,seemed
249,Adega,do
49,Adiciones,al
714,Adler,stressed
1424,Administration,clamped
346,Administrators,Name
126,Admiral,taking
49,Admirall,fell
635,Admiralty,countered
139,Adobe,realized
418,Adolescence,marks
60,Adolphus,proved
108,Adult,were
188,Adults,perceive
75,Advanced,combined
94,Advani,could
769,Advantages,accruing
553,Adventism,has
90,Adventists,follow
636,Adventures,has
856,Adversity,can
282,Advertising,helped
113,Adviser,became
71,Advocacy,assumes
5613,Advocate,had
805,ad,dies
733,adaptability,required
65,adaptation,linked
50,adaptations,gained
363,adaptiveness,are
49,adaptivity,does
477,addiction,according
179,addictions,began
59,addicts,existed
394,addition,obtained
1124,addresses,came
60,adenovirus,genome
81,adhan,was
115,adherence,makes
167,adherent,believes
247,adherents,attained
132,adhesions,seen
107,adhesiveness,induced
1924,adjective,agrees
44,adjuster,requires
459,adjusters,may
706,adjustment,characterizing
110,adjustments,fell
1282,administration,resurrected
75,administrations,embarked
1063,administrator,assisted
119,administrators,maximize
1272,admiral,commanded
309,admirals,believed
498,admiration,makes
92,admittance,appears
2342,admonition,calling
458,admonitions,might
225,ado,persuaded
97,adolescence,dans
1155,adolescents,getting
454,adoption,concerning
98,adrenals,enlarge
104,adrsta,is
571,ads,assured
424,adult,BMI
250,adultery,applies
9707,adults,awaken
1121,advance,drove
815,advances,tend
1767,advantage,attached
28789,advantages,do
54,advent,fulfilled
426,adventure,concerns
112,adventurers,reported
178,adverbials,listed
76,advergames,are
60,adversaries,change
58,adversary,knowing
102,advertisement,intimated
376,advertisements,giving
281,advertiser,avoid
84,advertisers,concerning
2335,advertising,differs
289,advice,enables
248,adviser,employed
603,advisers,awaited
121,advisors,placed
6205,advocates,argued
253,ADA,looked
62,ADC,receives
57,ADD,involves
136,ADJUSTMENT,AMONG
202,ADLER,is
56,ADP,molecule
135,ADVERTISING,INDUSTRY
151,Ada,Oncol
1155,Adam,brushed
2735,Adams,attended
208,Addicts,tend
146,Address,Used
445,Adelaide,reminded
12682,Adele,had
151,Adeline,listened
57,Aden,prohibited
55,Adenauer,represented
377,Adey,was
263,Adler,answered
100,Adminis,trator
842,Administration,Established
267,Administrators,say
44,Admiral,smiling
226,Admiralty,exercised
76,Adobe,changed
231,Adolescents,grow
135,Adrian,fixed
110,Adriana,continued
63,Adrienne,crossed
76,Ads,announcing
55,Aduarte,was
50,Adumbration,is
92,Advanced,published
53,Advertisement,taken
185,Advertisements,use
402,Advertiser,could
55,Advocate,withdrew
382,ad,causas
304,adaptability,being
23659,adaptation,may
614,adaptations,aimed
482,adapters,come
473,addition,assess
152,additions,exist
1422,address,ID
228,addresses,Set
1034,adenocarcinoma,were
247,adenotonsillectomy,is
10251,adhesion,molecule
76,adhesive,compared
140,adjectivals,can
71,adjectives,conveying
48,adjudication,lacks
1069,adjudicator,should
47,adjunctions,can
346,adjurations,were
207,adjustment,contributes
315,adjustments,bear
45,adjutants,left
147,administration,receiving
218,administrations,carried
375,administrators,customize
460,admiral,beheld
42,admirals,concerning
165,admiration,warmed
3436,admirers,allowed
286,admissions,associated
46,admonishment,can
485,admonitions,do
52,adolescent,sent
337,adolescents,carry
71,adoptees,became
63,adoption,agreed
201,adrenaline,exerts
61,adroitness,born
390,ads,mentioning
150,adsorbent,recirculating
5803,adsorbents,are
294,adsorption,dominates
40,adulation,used
384,adult,Rhodnius
56,adulterations,had
5643,adults,ascend
48,advance,pinned
264,advancement,limited
85,advances,inland
201,adventitia,should
284,adventurer,bethought
486,adventurers,discovered
57,adverbials,being
52,adverbs,specify
138,adversaries,grow
223,adversary,using
1096,adversity,be
723,advertisements,like
242,advertisers,show
321,advertising,positioned
97,advice,resonates
5391,advisers,attended
149,advocacy,secured
690,advocate,abandoning
71,advocates,hail
43,ADDITIONS,OR
124,ADDRESS,HON
159,ADO,have
227,ADRs,reported
94,Ad,says
69,Adah,sat
194,Adair,continued
2178,Adam,charged
4551,Adams,agreed
51,Adamson,joined
238,Address,Can
151,Adductor,tubercle
743,Adidas,came
175,Adjectives,belong
54,Adjuncts,Revisited
983,Adler,arrived
1756,Administration,approving
2591,Admiral,asked
5836,Admiralty,did
122,Admire,is
101,Adolescents,constitute
65,Adolphus,saved
73,Ador,is
68,Adoration,does
263,Adrian,crowned
89,Adriatic,gave
67,Adsorption,appears
221,Adults,absorb
267,Advaitins,is
228,Advanced,operating
45,Adventurers,contributed
6461,Advertiser,opened
71,Advertisers,claimed
774,Advertising,Be
68,ad,Helviam
162,adaptability,provides
586,adaptation,appear
130,adaptations,represented
1337,adaptiveness,is
64,adder,bites
47,addicts,supported
57,addition,necessitates
197,additions,permit
445,address,formatted
81,addressee,hears
224,adduct,obtained
87,adenocarcinomas,developed
92,adenoid,facies
486,adenosine,inhibits
3093,adepts,are
723,adherents,concentrated
67,adhesion,varied
438,adhesive,gave
68,adhyaya,are
47,adjacency,refers
9023,adjective,marked
59,adjuster,handles
407,adjustment,Defensive
49,adjustments,versus
3885,administration,advised
104,administrations,makes
2712,administrators,helped
1053,admiral,appeared
96,admirals,lost
314,admiration,clings
108,admirers,celebrated
174,admissibility,had
181,admission,et
288,admissions,respecting
235,admonition,sent
110,adobe,surrounded
217,adolescence,furnishes
15511,adolescents,complained
3899,adoption,arose
481,adrenal,could
490,adult,identifies
196,adulthood,following
5108,adults,approaches
803,advance,cried
60,advancement,see
702,advances,makes
1105,advantage,depend
1395,advantages,implied
559,adventure,resulted
690,adventurer,bathed
7761,adventures,create
76,advenues,aux
333,adverb,be
355,adverbs,added
69,adverfary,is
49,adversity,holds
166,advert,said
86,advertisement,convinces
974,advertisements,evoke
462,advertising,agree
135,advices,having
3529,advisers,made
70,advisor,take
512,advisors,dedicated
91,advocacy,poses
366,advocate,limiting
389,advocates,applied
41,ADAPTS,TO
627,ADA,contains
413,ADHD,leads
43,ADH,appear
502,ADLs,include
413,ADVAIR,was
295,AD,show
123,Ad,Was
521,Ada,become
5336,Adam,brought
43,Adamnan,lived
130,Adams,clapped
87,Adamson,turned
48,Adanson,wrote
417,Adcock,is
1289,Adderley,was
260,Addie,grinned
108,Addison,turns
649,Adductor,brevis
196,Adela,answered
44,Adelaide,working
1563,Adele,came
149,Ademption,is
94,Adenauer,flew
641,Adler,built
242,Adlersberg,et
88,Administration,poured
96,Administrations,put
46,Admiral,rejoined
88,Admiralty,perceived
153,Adolescence,Edited
40,Adoptions,Adoption
68,Adorno,admitted
416,Adrenaline,may
115,Adrian,directed
214,Adrienne,became
57,Adson,has
81,Adult,might
472,Adults,learning
117,Advaitin,replies
210,Advani,made
90,Adverbs,Ending
736,Advertising,pays
355,ad,carry
108,adage,describing
43,adaptation,governed
101,adaptations,contributed
169,adapter,becomes
60,adder,stoppeth
45,addict,encounters
184,addiction,constituted
5924,addicts,may
35211,addition,affixed
104,additions,que
491,additives,needed
453,address,constitutes
96,addresses,preserved
45,adenine,paired
106,adenosine,binds
493,adenylate,is
73,adherent,diverted
220,adherents,constitute
207,adhesion,strengthening
50,adipocytes,does
105,adit,being
84,adjectives,involve
71,adjournment,intervene
174,adjudication,operates
383,adjustment,benefited
167,adjustments,attempt
1718,administration,broken
588,administrations,faced
231,administrator,located
170,administrators,resorted
507,administratrix,is
128,admiral,Nearchus
107,admission,lo
437,admissions,include
69,admonition,suggested
63,adolescence,mean
144,adolescent,forced
478,adolescents,falling
44,adonis,are
42,adopters,follow
157,adoption,reached
45,adoptions,dropped
115,adoration,ascended
120,adornment,did
98,adrenal,remains
2467,adrenaline,has
141,adrenin,are
59,adroitness,seemed
331,ads,address
57,adsorbate,removed
60,adsorbers,used
59,adsorptions,occur
229,adsorptive,is
164,adulation,continued
585,adult,assigns
148,adulthood,differ
10262,adults,agreed
378,advance,receive
255,advancement,held
104,advancements,did
120,advances,barking
4191,advantages,brings
113,advent,found
151,adventure,gained
1321,adventurer,found
641,adventures,appeared
75,adverbs,answering
250,adversity,bring
291,advertisements,declare
1352,advertisers,seem
875,advertising,appear
217,advice,Remember
8768,adviser,should
128,advisers,undertook
481,advisor,tells
410,advocacy,provides
322,advocates,desired
6328,ADA,was
172,ADCs,has
108,ADDRESS,DECODE
310,ADEF,is
62,ADHD,tended
95,ADVANCES,ACT
93,ADVERTISING,TO
80,Ad,Writing
4123,Ada,would
74,Adair,goes
3551,Adam,awaking
334,Adams,exposed
61,Addicts,seem
174,Addie,murmured
237,Adelaide,spoke
72,Adelais,should
75,Adelantado,marched
666,Adelard,was
473,Adele,blinked
70,Adeline,determined
71,Adelm,was
463,Adenauer,came
73,Adhvaryu,has
45,Adja,is
270,Adler,devised
3990,Administration,Finds
197,Administrators,Are
65,Admiral,removed
70,Admonition,are
140,Adolescence,ends
258,Adolph,took
70,Adonare,und
310,Adoniram,is
83,Adonis,rejects
221,Adorno,etal
221,Adrian,killed
49,Adrienne,seems
443,Adults,influence
182,Advantages,accorded
992,Adversaries,are
3494,Adverse,Effects
162,Advertisements,promised
66,Advertisers,Guide
48,Advertising,classified
48,Advisory,Opinions
1432,ad,cleared
149,adaptations,effected
213,adapter,ID
48,adaptor,set
139,adatom,dangling
69,addendum,following
361,adder,described
548,addition,aided
307,additions,relate
122,additives,authorised
11575,address,Dotted
1967,addresses,be
1979,adenocarcinoma,arising
177,adenocarcinomas,contain
76,adenovirus,using
124,adherence,lo
120,adherens,are
94,adherents,interpreted
47788,adhesion,ceases
12477,adjectives,have
49,adjudication,sustaining
55,adjunct,takes
462,adjustment,characterized
3350,adjustments,grows
50,adjutors,are
2413,administration,administers
18086,administrator,chose
113,admirals,opposed
550,admiration,dwelt
43,admirer,do
912,admires,are
66,admission,holds
52,admissions,filed
161,adoe,got
769,adolescence,occurs
446,adolescent,desires
205,adolescents,constructed
124,adoption,adds
42,adoptions,led
4427,adrenalectomy,is
891,ads,presented
2229,adult,add
1464,adulterant,is
57,adulthood,gave
335,adults,changing
192,advance,advised
3358,advancement,could
2827,advances,aimed
139,advantage,excited
