count,noun,verb
228,AEC,be
61,AEGEAN,CIVILIZATION
98,AERC,is
118,Aelian,had
327,Aelred,says
761,Aeneas,becomes
54,Aeneid,occurs
754,Aeon,is
65,Aeronautics,shall
76,Aeschines,mentions
670,Aetna,has
89,aecidia,appear
104,aedes,is
672,aeronautics,are
428,aeroplanes,continued
147,aerosol,caused
422,aerosols,having
66,aestheticians,believe
72,aestheticism,made
256,aet,is
405,aether,could
279,AEC,established
1097,AEDs,may
360,AEN,is
1012,AE,denotes
127,Aegean,remained
46,Aegeus,sent
416,Aelfric,had
63,Aeolus,will
56,Aeschbach,et
44,Aeschines,attacked
148,Aeschylus,referred
90,aeolian,processes
41,aerials,receive
128,aerodrome,came
90,aeroplane,make
53,aeroplanes,fought
197,aesthetics,arises
272,AEC,sent
57,Aen,is
180,Aeneas,married
100,Aerospace,could
219,Aeschylus,created
258,aeration,depends
65,aeroelastic,tailoring
217,aeroplane,changed
131,aeroplanes,falling
132,aestheticism,did
174,aesthetics,continued
81,AED,must
131,Aelred,sees
428,Aeneas,carry
522,Aeschylus,argues
109,aerating,is
63,aerofoils,has
47,aesthetic,gives
3264,aesthetics,employed
569,AEC,began
131,AEG,are
115,AE,told
94,Aehrenthal,succeeded
88,Aeschylus,portrayed
230,Aetate,was
76,aeration,affects
83,aesthete,finds
43,aether,filled
330,aetiology,must
130,Aegisthus,took
117,Aei,is
109,Aeschines,describes
58,Aeschylus,understood
147,aeff,is
183,aeroplane,banked
1886,aerosol,has
129,aerostation,is
108,aesthetics,entitled
49,AEC,placed
58,AES,made
90,Aegyptopithecus,had
48,Aehrenthal,tried
54,Aeneas,arriving
558,Aengus,is
106,Aeromonas,isolates
78,Aeschines,cites
126,aedes,was
352,aeration,does
56,aerie,crowd
123,aeronomy,is
653,aerosols,would
665,aesthetics,remain
242,Aerssens,was
72,Aertsen,has
114,Aesop,might
61,Aesthetic,may
122,aerial,becomes
110,aerodrome,became
63,aerophone,made
329,aeroplane,becomes
126,aeroplanes,kept
190,aery,buildeth
166,aesthetics,held
231,aetiology,were
92,AEA,did
152,AEC,being
45,Ae,gives
73,Aegean,led
85,Aerospace,should
208,Aeschylus,dealt
1081,Aesthetics,was
50,Aet,are
55,aedicule,framing
485,aerator,was
98,aerolites,fall
57,aeronaut,knows
344,aerosol,backscattering
128,aestheticism,have
758,aesthetics,concerned
1687,aetiology,has
110,AEA,have
699,AE,does
60,AEs,associated
56,Aehrenthal,went
83,Aeneas,suggests
95,Aerodynamics,are
73,Aeronautica,et
71,Aeschylus,held
77,Aethiopis,is
49,aeons,emanating
64,aer,et
385,aeration,could
49,aeronauts,make
153,aerosols,inhaled
193,aesthetics,leave
45,AEC,projected
86,AEROSPACE,APPLICATIONS
55,Aeronautics,held
60,Aeroplanes,came
73,Aetna,denied
63,aeration,occurred
46,aerators,do
57,aerobics,could
51,aerodrome,appeared
123,aerodynamicists,had
73,aeroplane,brings
56,aeroplanes,piloted
339,aerosols,released
132,aes,triplex
92,AEF,began
283,AERONAUTICS,ACT
3148,Aesop,was
135,aeons,could
259,aeroplane,found
241,aesthesis,is
486,aesthete,would
883,aesthetics,find
218,Aeneas,leave
59,Aerobes,were
86,Aeschylus,represented
228,Aesir,had
355,Aetius,did
46,ae,gives
250,aerials,was
146,aerodynamic,lifting
128,aerofoil,should
88,aerosol,varies
63,aerospace,contracting
90,aerotriangulation,is
780,aesthetes,are
42,aesthetics,consider
1053,aestivation,is
61,aethod,has
62,AEROSOLS,BY
143,Aennchen,was
47,Aeolus,entertained
1162,Aeromonas,hydrophila
397,ae,can
57,aegis,came
181,aeration,improved
2254,aerator,were
41,aerobics,instructor
161,aeroplane,hovering
97,aeroplanes,swooping
120,AEC,suppressed
447,AES,had
492,Aesculapius,were
128,aeration,resulted
145,aerogel,are
56,aeroplane,alighted
197,aeroplanes,got
58,AEC,uses
121,Aed,had
214,Aegisthus,were
238,Aerospace,are
68,aeroallergens,can
1713,aerogenes,is
302,aeroplane,required
119,aeroplanes,appear
126,aerostation,was
102,aesthetics,show
197,AEC,felt
130,AECs,are
76,AERIAL,PERSPECTIVE
96,AE,became
74,Aegeus,told
84,Aeneas,ends
92,Aetna,paid
62,aediles,appointed
191,aeration,might
236,aeries,are
71,aeroelasticity,has
61,aeroplanes,sailed
51,aerosol,includes
56,aesthete,seems
199,aesthetics,elaborated
123,aestivation,may
160,Aedes,taeniorhynchus
67,Aegean,continued
288,Aegis,was
45,Aeizanas,is
40,Aeneas,gathered
55,Aeolus,took
323,Aeromonas,spp
69,Aesthetic,will
220,aeration,resulting
274,aerofoils,is
952,aerogels,are
1004,aesthetics,becomes
68,AED,indicates
76,AETC,did
43,Aebersold,has
126,Aegina,continued
111,Aeneas,going
1213,Aeroplanes,were
1296,Aeschines,is
170,Aesop,lived
46,aeon,came
2657,aeroplane,may
113,aerosol,resulting
1745,aerosols,decreases
40,aesthetics,raised
119,AEC,supported
284,Aedes,sierrensis
158,Aelianus,was
180,Aeneas,decides
9659,Aeneid,is
64,Aeschylus,adds
141,Aesop,have
70,aedile,should
70,aerodynamics,began
756,aeronaut,is
69,aerosol,MTF
94,aesthetic,existed
658,aesthetics,need
47,AEC,opened
125,Aehrenthal,said
74,Aelian,writes
317,Aeneas,performs
8133,Aeschylus,allows
43,aeciospores,may
92,aeroplane,enters
233,aeroplanes,dropping
1248,aerosols,suspended
69,aestheticism,seemed
122,aesthetics,rest
554,AEI,is
110,Aegisthus,have
646,Aelred,had
56,Aerarium,was
84,Aerogrammes,are
43,aediles,brought
94,aeration,consists
45,aeroplane,traveling
95,aerosols,appears
57,aesthetic,exists
52,aestheticization,can
68,AEA,could
564,AER,was
41,AES,indicates
91,AET,has
866,AE,would
59,Aerie,had
43,Aerodynamics,Note
42,Aetius,tells
1129,aerial,has
85,aerodynamic,loading
117,aerophone,is
225,aeroplane,equipped
50,aeroplanes,proved
579,aesthetes,had
80,aesthetic,comes
112,aesthetics,contains
47,AEC,terminated
59,AEF,received
65,Ae,said
329,Aeneas,descends
496,Aerosol,is
41,Aeschylus,performed
43,Aesthetica,was
1070,aesthetics,do
52,aetiologies,should
77,AEC,encouraged
140,AEGEAN,WORLD
48,AE,d
281,Aedes,polynesiensis
1049,Aeneas,did
76,Aesop,gave
93,aerials,sprouted
49,aerofoils,tested
56,aeroplanes,does
249,aerosol,generating
111,aestheticism,seems
132,aesthetics,owes
84,Aedes,calopus
57,Aegina,can
99,Aeschines,tells
70,Aeschylus,builds
343,aerenchyma,is
193,aerials,being
62,aeroplane,rotates
61,aerosol,requiring
58,aerostat,has
54,aesthetics,indicate
57,AEC,concerning
76,AEDs,had
106,AERIAL,SURVEYS
109,AE,occurred
275,Aed,was
139,Aegina,could
45,Aerosmith,are
460,Aeschylus,presents
79,Aesthetische,und
441,aera,was
252,aerobatics,were
42,aesthetic,determined
181,aesthetics,comprises
50,AEN,can
56,Aegis,could
129,Aeschylus,goes
1484,Aetheling,was
162,aeroplanes,attacking
95,aerosol,administered
80,aesthetics,define
164,aethiops,is
1015,aetiology,are
79,AECT,has
624,AEC,added
67,AE,begins
88,Aegean,played
102,Aegyptus,was
78,Aerobatics,are
155,Aeromonas,was
784,Aes,Sedai
63,Aeschylus,asserts
151,Aesthetics,edited
50,Aetolians,posted
298,aediles,are
115,aerodromes,being
273,aeroplane,goes
71,aeroplanes,purchased
15781,aerosol,is
130,aerosols,scatter
247,aesthete,could
385,aetiology,should
43,AETC,created
128,AE,began
78,Aegean,comes
184,Aeneas,bore
275,Aerobee,was
48,Aeschylus,noted
87,Aesthetics,did
64,aegypti,can
54,aeration,prevents
1235,aerodromes,are
438,aerospace,was
245,aesthetics,adopted
5615,AEC,is
2250,AE,has
53,Aedes,will
65,Aehrenthal,should
392,Aeneid,will
74,Aerosols,consist
1244,Aesthetics,has
1116,aerial,may
70,aerialist,was
231,aes,rude
80,aesthetics,continue
6033,aether,is
2787,Aegean,were
97,Aegeus,left
209,Aeneid,ends
92,Aequationes,Math
53,aedile,may
103,aeons,ere
193,aerials,must
3763,aeroplane,flying
196,aeroplanes,seemed
1188,aerosol,will
59,aesthetes,began
123,aestheticians,should
73,aestheticism,came
187,aesthetics,consisted
107,AEC,planned
316,AEL,is
346,AE,depends
51,Aeneas,gained
112,Aeson,had
65,Aesop,appears
444,Aesthetik,und
62,ae,occurs
140,aeration,continued
196,aerial,shall
50,aerodrome,looked
58,aerofoil,gives
63,aerofoils,used
40,aeroplanes,received
57,aeruginosa,shows
67,aesthetics,bears
79,AE,takes
49,Aeneas,bids
61,Aeration,improves
57,Aerial,photographs
56,Aeroelasticity,is
2045,Aesculapius,was
46,aediles,chosen
94,aegis,became
50,aeon,being
61,aera,would
200,aerosols,exert
106,AERATION,TANK
76,Aeacus,does
60,Aehrenthal,proposed
103,Aeneas,agrees
61,Aeneid,provided
101,Aenesidemus,had
54,Aesculin,hydrolysis
502,Aetius,gave
535,aerosol,would
227,aesthetics,changed
53,aether,fills
140,AEC,went
51,AESTHETIC,CONSIDERATIONS
82,Aelian,gives
62,aerators,installed
46,aerofoils,may
61,aerolites,was
1331,aeroplane,carrying
870,aerosol,scattering
378,aerosols,do
102,aesthetic,tends
44,aesthetics,arising
97,AEC,seemed
113,AED,have
359,AEU,had
2448,Aegisthus,is
53,Aeneid,gave
44,Aeration,involves
63,Aesopus,would
43,Aethra,gave
54,aeons,rolled
55,aerobic,refers
101,aeroplanes,shall
57,aerosol,comes
219,aesthetics,published
55,aestivum,has
86,AEC,allowed
67,AES,became
200,Aedes,have
75,Aequitas,und
739,Aeronautics,has
1177,Aerospace,Historian
49,Aeschylus,reached
77,Aesop,should
68,aeon,begins
140,aeration,involves
644,aerials,have
156,aerodynamicists,were
48,aeroplane,buzzing
706,aestheticians,are
164,aesthetics,articulated
201,aethod,is
91,AEC,noted
100,Ae,have
121,Aegles,break
139,Aehrenthal,agreed
45,Aeneas,tossed
359,Aesthetic,has
70,aeration,brought
612,aerators,is
114,aerosol,made
68,aesthetic,played
216,aesthetics,deserves
927,AES,can
254,Aeneas,assumes
246,Aeschylus,draws
51,aerarium,is
74,aesthete,seeks
55,aesthetics,occupies
61,AEA,made
72,AEC,maintains
52,Aegilops,crassa
55,Aeroflot,can
103,Aerosmith,were
3982,Aetius,have
182,aerobes,grow
72,aerogenes,will
62,aeroplane,put
40,aerosol,provided
42,aetiology,see
198,AEC,approved
173,AEPS,is
348,Aegean,must
140,Aegypius,monachus
168,Aeneas,sets
438,aerial,rose
127,aesthetics,proves
43,AEA,see
221,AEC,found
425,AE,could
102,Aea,is
238,Aeneas,buried
82,Aeolian,are
46,Aeschines,wrote
68,Aesculapius,could
144,aeration,reduces
95,aerofoil,would
99,aeronautics,must
49,aeroplane,increased
96,aerosol,be
47,AEC,discovered
108,AES,did
296,Aeneas,escaped
4321,Aeneid,have
42,Aethelwulf,had
119,Aether,was
48,Aetius,mentions
44,aerodrome,waiting
148,aerosol,might
101,aerosols,contaminated
58,aesthetics,apply
262,AEC,says
500,AED,will
2641,AEDs,are
402,AE,have
664,Aeneas,explains
163,Aeschines,are
377,Aeschylus,have
231,aerosol,entering
165,aerosols,remain
327,aeruginosa,may
131,aether,pervading
164,AES,algorithm
89,Aeolian,had
1204,Aeroplanes,are
50,Aeschines,joined
204,Aesthetics,would
683,aedileship,was
635,aeronautics,had
46,aeroplane,straight
325,aeroplanes,carry
76,aerotonometer,is
553,AEF,were
46,Aegypti,is
1311,Aeneas,asked
348,Aeschylus,fought
193,Aex,is
120,aec,had
57,aerofoil,depends
40,aeroplanes,etc
111,aeruginosa,include
88,aesthetic,allows
176,aesthetics,fall
361,AE,did
128,Aegyptus,had
44,Aerope,is
61,Aeroplanes,must
115,aegis,could
78,aerodynamicist,has
50,aerodynamicists,will
66,AEG,have
130,Aedes,excrucians
194,Aemilianus,is
234,Aeneas,go
332,Aeneid,should
309,Aeons,are
102,aeries,was
70,aeroallergens,may
53,aeronaut,came
163,aeroplane,reached
240,aesthetician,can
66,aestheticians,must
225,Aedes,cegypti
384,Aegyptopithecus,zeuxis
1392,Aeschylus,did
874,Aesop,are
356,aerobics,exercise
311,aerolites,is
46,aeronaut,lost
260,aeroplane,circling
153,aesthetics,described
63,AEP,did
133,AE,based
144,AEs,may
247,Aedan,mac
49,Aeneas,adds
85,Aeschines,went
53,Aeschylus,adopted
43,Aetna,estimates
78,Aetolia,are
309,Aetolians,would
76,aeration,begins
195,aerophagia,is
116,aeroplane,leaving
118,aerosols,cool
376,AED,has
47,AERIAL,ATTACK
151,AES,Reprint
168,Aeneas,cries
139,aedeagus,was
2521,aerators,are
229,aerosol,does
485,aestheticism,can
98,aeuvre,is
75,Aerodrome,were
52,Aeschylus,reminds
89,Aetolians,might
616,aerobics,can
112,aeronaut,appears
54,aeroplane,bored
13431,aesthetic,was
274,aesthetics,rejects
60,AEA,may
115,AE,provides
162,Aegilops,triuncialis
56,Aeration,provides
55,Aerogel,is
81,Aeronautical,had
392,Aesop,told
74,aeciospores,can
75,aerodromes,established
52,aerodynamically,generated
71,aerodynamics,made
53,aeroplanes,hummed
98,aerosols,exist
478,aesthete,can
76,aesthetician,might
55,aetiology,be
55,Aeneas,speak
48,Aeolus,can
174,Aeschylus,refers
82,Aetius,must
401,aerogel,was
502,aeroplane,became
44,aeroplanes,succeeded
476,aerosol,could
241,aesthetics,appeared
55,Aegilops,longissima
79,Aegisthus,should
87,Aengus,did
259,Aequi,were
1276,Aeschines,had
51,Aesthetes,may
1838,Aesthetics,are
174,Aetobatus,narinari
2095,aeroplane,are
53,aeroplanes,soared
