count,noun,verb
429,AFC,will
137,AFTERNOON,TEA
52,AFTER,TEST
314,Affair,made
1115,Affairs,amounted
327,Afflictions,may
280,Afghanistan,constituted
116,Afric,owns
1473,Africa,dancing
335,Africans,awaiting
43,Aftereffects,can
63,Afterwards,entered
50,Afzelia,africana
507,affair,reminded
50,affaires,presented
23768,affairs,delayed
9862,affection,must
40,affectional,is
54,affections,settle
100,afferents,described
140,affidavit,constitute
465,affiliates,became
71,affiliation,set
133,affiliations,suggest
957,affinities,could
94,affirmation,ran
56,affirmations,seems
365,affixes,should
56,affordability,made
893,aforementioned,is
42,aforetime,hath
231,afternoon,dragging
357,afterthought,following
83,AFFAIRS,HEALTH
72,AFM,might
45,AF,require
1458,Affairs,found
339,Affghanistan,was
503,Affiliates,have
258,Africa,compromised
66,Africanism,offers
99,Africanization,should
1951,Africans,adopted
490,Afternoon,attended
420,affair,exists
98,affaires,went
980,affairs,ignores
3325,affection,called
252,affections,consists
432,affidavit,delivered
1735,affidavits,sworn
156,affiliate,holding
220,affiliates,set
101,affirmative,fails
50,afliliation,was
287,afore,recited
43,afterlife,continued
370,afternoon,camped
144,AFLP,are
83,AFTA,does
71,AF,causes
238,Afdal,had
2146,Affairs,declared
53,Affection,expressed
71,Afghan,have
210,Afghanistan,faces
50,Afghans,lacked
769,Afonso,had
1081,Africa,contemplate
509,African,seems
365,Africana,was
132,Africans,heading
61,Afrique,entre
104,affair,challenged
984,affairs,aright
79,affectations,made
2514,affection,comes
317,affidavit,naming
61,affidavits,seeking
843,affiliations,added
146,affirmations,appear
303,affliction,characterized
50,affluence,accompanying
479,afforestation,may
66,affranchis,had
383,afresh,is
49,afterdischarges,may
254,aftereffects,would
2579,afternoon,contains
87,afternoons,starting
188,aftershave,filled
112,aftershock,would
508,aftertaste,was
417,afterthought,did
45,afts,are
51,AFD,had
94,AFM,depends
81,AFP,produced
70,Affairs,heads
55,Affection,hath
617,Affghans,were
243,Affliction,can
89,Afghani,took
49,Afranius,lived
1660,Africa,afford
41,Africanism,looks
560,Africans,amounted
255,Afrikaans,Reformed
107,Afrikaners,won
194,Afrikans,have
82,AfroAmericans,was
62,Aftermath,Edited
6974,affair,coupled
7219,affairs,characterised
104,affection,lingers
373,affections,bear
80,affiliates,import
183,affiliation,become
118,affirmation,authorized
229,affliction,doth
93,aficionados,tend
603,aforesaid,was
130,afterlife,found
66,aftermath,cost
781,afternoon,confirming
450,AFC,had
57,AFL,opened
75,AFM,set
47,AFTA,provides
96,Affair,Reconsidered
1710,Affairs,contain
115,Affection,Expressed
183,Affliction,does
15738,Afghanistan,are
906,Afghans,made
2212,Africa,Laid
426,African,feels
1787,Africans,addressed
200,Afshin,was
110,Afterwards,applied
424,affair,attributed
173,affaires,heere
946,affairs,discredited
1448,affection,ceases
905,affections,centered
1751,affidavits,containing
56,affiliate,structured
47,affiliates,signed
70,affiliation,extends
181,affirmation,having
1088,affliction,made
42,afflictions,seems
469,affluence,creates
228,afterburner,can
1273,afternoon,cooling
56,afterthought,makes
100,AFBi,is
127,AFM,measures
46,AFT,reported
83,AF,makes
667,Affairs,grew
46,Afghanistan,confirm
120,Afghans,known
772,Africa,Performed
404,African,asked
84,Africans,admit
60,Afrikaans,emerged
74,Afrikaners,met
1165,Afrocentricism,is
619,affair,agree
493,affairs,doth
505,affection,feels
131,affections,suited
481,affidavits,produced
46,affiliations,leading
139,affinities,felt
198,affinity,brought
4453,affirmation,has
180,affliction,exists
223,afflictions,awaiting
40,aficionados,need
87,afterburners,blazing
46,aftercooler,will
171,aftereffect,may
165,aftermath,followed
184,afternoon,advancing
95,aftershave,drifted
141,AFFECTIONATELY,INSCRIBED
147,AFRICAN,LANGUAGES
54,AFRICA,EGYPT
73,AFR,are
55,AFSCME,argues
53,AFT,works
90,AF,develops
63,Affairs,Should
171,Affectation,was
224,Affects,can
189,Africa,subscribed
3291,Africans,blame
46,Afrifa,became
1535,affair,blossomed
212,affairs,assure
5032,affection,grown
225,affections,include
47,affiant,contacted
3549,affidavit,submitted
105,affidavits,form
367,affiliation,known
440,affinity,prohibited
61,affirmations,derived
820,affixes,added
116,affrays,was
100,affusions,were
169,afikomen,is
185,after,hold
106,aftermath,exposed
2682,afternoon,am
87,afternoons,taken
42,AFRICAN,ADVENTURE
179,Affair,led
91,Afghanistan,starting
104,Afghans,chose
3341,Africa,enlarged
110,African,grew
674,Africans,cultivate
189,Afterwards,add
300,affair,combined
2861,affairs,blew
299,affection,expended
428,affidavits,verifying
253,affiliates,considered
1145,affinity,betwixt
100,affirmation,leading
59,afflictions,happen
65,aforesaid,deceased
82,africanum,are
150,aftermath,involving
916,afternoon,chatting
119,afternoons,hunting
111,AFC,does
219,AFFAIRS,REPORT
179,AFL,worked
77,AFT,supports
203,AF,compared
1159,Affairs,Is
125,Affidavits,Showing
873,Affirmations,can
152,Affluence,means
1353,Afghanistan,demanded
432,Afghans,claim
868,Africa,accentuated
203,Africain,d
1033,Africans,commanded
1096,affairs,break
406,affection,derived
68,affections,gained
329,affidavit,requesting
93,affiliate,seeks
256,affiliates,declined
67,affiliations,link
40,affinity,accelerates
223,affirmatives,is
271,affixes,include
290,affliction,lies
58,afflictions,kept
2618,affluence,have
60,aforesaid,cursed
209,afterlife,made
306,afternoon,climbed
119,AFTERNOON,was
103,AFs,were
3044,Affairs,Held
44,Afghans,refer
1533,Africa,Selected
177,African,suffered
244,Africans,aimed
469,Africanus,says
75,Afrikaners,suffered
165,Afs,are
694,Afterwards,followed
123,affair,frightened
596,affairs,adopted
51,affectation,intended
79,affection,twined
140,affidavit,specified
344,affidavits,contain
528,affiliations,came
722,affinity,electrophoresis
469,afflictions,visited
51,affluence,emerged
477,afflux,is
53,affront,sit
310,aficionado,would
59,aftermath,threatened
1007,afternoon,canoeing
309,afternoons,followed
235,Affair,erupted
805,Affairs,examined
66,Affirmation,would
58,Affluence,leads
73,Afghan,made
1414,Afghanistan,does
240,Afghans,got
727,Africa,corresponded
76,African,ruled
49,Africanism,found
1450,Africans,appointed
41,Afterword,Having
57364,affair,aimed
4174,affairs,consider
1517,affection,become
350,affections,aro
140,afferents,target
54,affidavits,claimed
90,affiliation,constituted
114,affirmation,calls
110,affirmations,take
363,affix,added
142,affliction,turned
111,afflictions,press
57,aficionados,refer
2281,afternoon,beating
125,AFFILIATION,NEED
1233,Affairs,accused
83,Affection,lights
91,Afghani,could
59,Afghanistan,calls
5697,Africa,Survive
43,Africanism,moved
785,Africans,cherished
103,Africanus,snatched
41,Afrikaans,took
49,Aft,retreated
179,affair,removed
1150,affairs,carries
658,affection,bring
649,afferent,firing
387,affiant,must
7807,affidavit,may
74,affidavits,fail
212,affiliate,operates
253,affiliates,employed
97,affiliation,including
180,affirmance,were
155,affirmation,described
68,affirmations,suggest
84,affliction,lasts
49,afflictions,discovereth
78,affore,said
66,aftergrowth,has
166,aftermath,remained
7357,afternoon,found
210,AFLP,has
81,AFL,needed
265,AFPFL,won
183,AFTER,WHICH
121,AFTRA,have
66,AF,tends
308,Affairs,denied
46,Affery,coming
129,Afghani,stan
165,Afghanistan,dominated
1772,Africa,demanding
58,African,dropped
314,Africans,compose
193,affair,exposes
1036,affairs,addressed
24966,affections,aim
252,afferents,induces
3955,affidavits,have
148,affiliates,allowed
93,affiliation,granted
305,affinity,noted
237,affluence,grew
61,aflatoxins,could
122,africains,du
140,afterlife,based
2547,afternoon,getting
98,afternoons,gave
76,AFLC,is
114,AFL,recognized
55,AFRICAN,COAST
454,Affairs,compared
401,Affidavits,Made
162,Affinity,has
381,Afghans,felt
193,Afj,is
1433,Africa,complicated
83,African,tended
852,Africans,gained
151,Afropavo,congensis
93,Afshar,is
137,Afterwards,arose
160,af,finis
14677,affair,are
722,affairs,emphasizes
136,affection,end
115,affections,chastened
239,afferent,may
64,afferents,cause
135,affidavit,telling
72,affidavits,revealed
364,affiliates,grew
124,affinity,prevails
50,afflictions,wait
1944,affray,had
214,affront,caused
50,aftermath,reached
3180,afternoon,becomes
48,afternoons,polishing
187,aftershocks,will
57,AFDC,expanded
121,AFL,appealed
1008,AFTER,ITERATION
65,Affability,will
567,Affairs,begins
219,Afghanistan,illustrates
175,Afghans,sought
537,Africa,Around
45,Africanisation,had
287,Africans,departed
60,Afrique,au
134,Afterwards,used
155,affaires,shall
2322,affairs,cover
469,affectation,could
481,affection,administers
614,affections,coming
41,affiants,deposed
44,affidavit,sought
60,affiliates,bought
48,affinities,claimed
102,afflatus,were
49,affliction,arise
56,affluence,tended
257,affray,arose
79,affusion,will
78,africans,are
93,aftereffects,might
632,afternoon,promenading
55,AFFECTION,is
67,AFFECTIVE,EXPERIENCE
157,AFR,will
43,Affair,confirmed
62,Affairs,rendered
185,Affection,be
126,Affections,should
184,Affiliates,include
85,Affleck,did
208,Afghanistan,crossed
1455,Afghans,did
147,Afif,says
69,Afric,were
4099,Africa,Showing
74,African,acquired
2288,Africans,assigned
75,Afrikaners,tried
46,Aftaler,med
92,Afterwards,entering
507,affair,flourished
3213,affairs,claiming
62,affection,overflows
45,affections,finished
1175,affidavits,can
120,affiliates,choose
205,affinity,finds
161,affirmation,arises
65,affirmations,involve
89,affix,expressing
42,affixation,have
58,aflatoxin,poisoning
525,africana,is
493,afterbirth,had
46,aftermath,demonstrates
2241,afternoon,instructed
189,afternoons,begin
62,afterword,were
50,AFFECTION,FROM
119,AFFECTS,ALL
79,AFL,regarded
55,AFQT,were
171,AFTA,may
84,AFTERNOON,CONCERTS
667,Affairs,answered
146,Afghanistan,applied
173,Afghans,seized
66,Afr,can
3989,Africa,eastward
44,African,occupied
2965,Africans,abandon
149,Afrikaans,means
46,Afterwards,described
1856,affair,decorated
26020,affairs,hurt
64,affectations,might
51,affection,embodied
169,affidavit,seems
336,affiliate,became
118,affiliates,varies
140,affiliation,established
46,affiliations,discussed
463,affinis,are
131,affirmance,indicate
42,affirmations,drawn
65,affixes,derive
4273,affliction,will
47,afflictions,plaguing
284,affray,began
2052,afterglow,was
219,afterlife,offered
114,afternoon,employed
644,aftershocks,occurred
42,afterword,can
111,AFIS,is
46,AFL,pointed
49,AFM,works
140,Affair,involved
99,Affaires,accredited
648,Affairs,accompanied
72,Affery,would
