count,noun,verb
167,AGE,WAS
228,AGREEMENTS,CONCLUDED
1502,Agamemnon,will
96,Agassiz,planned
259,Agathe,took
49,Agathon,got
1905,Age,Address
768,Agency,claimed
112,Agent,concerned
191,Agents,report
179,Ages,amounted
51,Aging,represents
44,Agitation,went
96,Agnes,taking
84,Agnosticism,seems
43,Agobard,complained
82,Agong,would
44,Agonistes,appears
98,Agoraphobia,are
93,Agra,wrote
465,Agreements,Superior
166,Agriculteurs,et
78,Agriculture,compiled
53,Agustin,put
243,ag,may
4349,age,consists
7522,agencies,ate
502,agency,writes
1331,agenda,appears
133,agendas,articulated
4245,agent,chosen
3570,agents,conspired
1130,ages,Male
2377,agger,is
1043,aggrandizement,has
615,aggregate,affect
534,aggregations,will
59,aggressiveness,reflects
116,aging,need
52,agister,was
203,agitation,belonged
147,agitators,use
2140,agonists,has
147,agony,assailed
177,agreement,characterize
858,agreements,belong
175,agriculture,achieves
319,agriculturists,found
207,AGE,RELATED
92,AGRICULTURE,pleased
603,AGT,is
71,Again,came
117,Agamas,had
40,Agamemnon,bears
116,Agapanthus,are
101,Agassiz,continues
217,Agatha,closed
167,Agathocles,were
368,Age,cast
44,Agedabia,had
301,Agee,saw
276,Agency,know
93,Agent,et
249,Ages,claimed
118,Aging,alters
80,Agitation,reached
483,Agnes,confirmed
49,Agnew,discovered
70,Agni,began
189,Agnieszka,is
57,Agrawal,says
194,Agreement,achieved
71,Agreements,seem
70,Agricultural,Watershed
588,Agriculture,admitted
89,Agriculturists,may
70,Agrigentum,must
174,Agrippa,appointed
285,Agrippina,may
409,Aguinaldo,ordered
3644,age,Give
49363,agencies,accepting
6965,agency,Do
1949,agenda,becomes
5661,agent,Q
6725,agents,ascribe
3390,ages,bending
296,aggregate,restricted
195,aggregates,adhering
358,aggregation,tends
25926,aggression,backed
140,aggressiveness,manifested
143,agitation,lacked
435,agitations,launched
1660,agitator,has
40,agitators,looking
59931,agreement,Do
2419,agreements,attached
41,agriculturists,gathered
40,agrochemicals,could
101,agronomy,will
55,AGAINST,ENGLAND
50,AGE,Have
1433,AGP,is
70,AG,works
185,Aga,will
679,Agamben,argues
131,Agamemnon,succeeded
63,Agassiz,assumed
161,Agatha,handed
638,Age,furnished
2205,Agencies,do
2223,Agency,Are
143,Agenda,calls
210,Agent,includes
5124,Agents,saw
204,Agers,say
612,Ages,contained
50,Aggie,joined
484,Aggression,does
157,Agnes,challenged
270,Agnew,laughed
586,Agni,might
1070,Agreement,Whereas
214,Agricole,pour
128,Agricultural,Shows
2703,Agrippa,d
67,ag,have
3259,agar,increased
5119,age,constituted
5918,agencies,bearing
3893,agency,encouraged
1347,agendas,covering
2023,agent,challenges
7583,agents,Atropine
291,ager,might
2785,ages,arise
42,agglomerates,might
57,aggrandizement,designed
48,aggregate,united
216,aggregates,causing
81,aggression,submitted
183,aggressiveness,turned
184,aggressor,made
128,agile,are
354,agitation,causing
1575,agitations,had
677,agony,displayed
334,agreement,denounced
238,agriculture,collapses
55,AGRICULTURAL,EXPANSION
65,AG,showed
14482,Agassiz,was
88,Agata,went
108,Agbaje,was
129,Age,evolved
131,Agencies,committed
3642,Agency,INTRODUCTION
304,Agents,determining
122,Ages,run
50,Agf,is
127,Agglutination,has
469,Aging,can
56,Agnew,assured
511,Agnolo,della
149,Agnostic,can
55,Agora,began
206,Agrarians,could
787,Agreement,prohibits
360,Agriculture,included
42,Agrippa,means
55,Aguilar,put
183,Aguinaldo,convened
10817,age,Look
6933,agencies,adds
3553,agency,agreed
88,agenda,produces
109,agendas,tended
2869,agent,confronting
4485,agents,Antibiotics
276,agers,find
513,ages,await
1093,agglutination,takes
131,aggregates,correspond
325,aggression,intensified
184,aggressiveness,gave
6478,aggressor,would
306,aging,came
18119,agitation,increased
95,agitators,supported
70,agonies,ceased
83,agonist,interacts
41,agonists,Buspirone
63,agrarians,can
1313,agreement,achieving
1216,agreements,delivered
1739,agriculture,dans
330,agriculturist,shall
47,ags,were
260,AGGRESSION,AS
97,AG,called
225,Agassiz,read
377,Agatha,blushed
199,Age,m
63,Agencies,Designated
483,Agency,exists
875,Agent,established
245,Ages,furnish
54,Agesilaus,takes
67,Aggie,fell
144,Aggregators,are
158,Aging,et
1020,Agnes,being
44,Agnolo,must
142,Agrarianism,has
183,Agreement,affords
6133,Agricola,brought
338,Agriculture,cites
45,Agrippa,granted
4665,age,beat
1488,agencies,affects
5291,agency,booking
199,agenda,implemented
99,agendas,lead
1101,agent,hangs
6537,agents,bear
48,ager,asks
1009,ages,persist
144,aggravation,occurred
136,aggregate,dominates
2477,aggregations,were
46,aggression,revived
80,aggressions,increased
57,aggressor,possesses
367,aggressors,being
1445,aging,brings
40,agitation,besought
107,agitators,visited
45,agmatites,are
132,agonists,showed
70,agony,stems
7424,agreement,allotting
443,agreements,dictate
1230,agriculture,belong
134,agroecosystems,were
532,AGC,was
58,AGENCIES,Article
175,AGE,LIMITS
80,AGREEMENT,was
232,AG,applied
238,Agar,did
336,Agate,has
176,Age,admonishes
205,Agee,died
275,Agencies,Created
116,Agency,calling
56,Agents,undertake
97,Ages,erected
4194,Agnes,asked
90,Agniolo,di
772,Agreement,according
693,Agreements,contain
52,Agress,et
684,Agriculture,expanded
53,agar,needed
6842,age,admire
61,ageing,leaves
201,ageism,will
1645,agencies,buying
7153,agency,afford
221,agenda,fit
2104,agent,alters
5878,agents,associated
295,agers,go
199,ages,enumerated
106,agglutinins,directed
457,aggregates,combine
3241,aggression,being
41,aggressiveness,characterizes
167,aggressor,seems
94,aggressors,get
115,aging,looks
1000,agitation,erupted
931,agitators,might
41,agony,moves
773,agreement,approaches
2125,agreements,allocating
1410,agriculture,resulting
75,agriculturist,do
127,ague,agitated
78,AGEs,has
407,AGRICULTURAL,ADJUSTMENT
70,AG,owns
93,Again,will
97,Agarkar,did
108,Agatha,paid
48,Agathocles,followed
1016,Age,Reporting
84,Agee,joined
408,Agency,acting
61,Agents,derive
482,Ages,adapted
233,Aggregate,should
78,Aggregation,reduces
77,Agincourt,should
58,Agitators,called
925,Agnes,forgot
827,Agnew,made
124,Agra,having
231,Agraharas,were
898,Agreeableness,are
1371,Agreement,Announced
139,Agreements,tend
59,Agricola,intended
590,Agriculture,been
125,Aguado,arrived
46,Aguecheek,could
3235,age,Does
4699,agencies,combined
8910,agency,backing
1449,agenda,concerned
3130,agent,consumes
7226,agents,Inhalation
4331,ages,lived
55,agglutination,described
100,aggregate,prepared
419,aggregates,appearing
79,aggregation,applied
138,aggression,mediated
50,aggressiveness,finds
210,aging,decreased
302,agitation,diminished
561,agitators,seized
130,agonists,decreased
24260,agreement,aimed
1496,agreements,connected
494,agriculturalists,could
1185,agriculture,founded
134,agriculturist,wishes
44,AGAINST,LORD
111,AGC,applied
173,AGN,will
287,AGREEMENTS,RELATING
56,AGRICULTURAL,INDUSTRY
203,Agamemnon,opens
177,Agassiz,comes
846,Agatha,bears
208,Age,headlined
70,Agelaus,was
133,Agencies,Employed
220,Agency,leads
48,Agenda,submitted
808,Agent,OXFORD
64,Agents,Surface
235,Agnes,carrying
3752,Agnew,et
124,Agony,ripped
129,Agosta,was
122,Agreement,encompasses
46,Agreements,consisted
7210,Agricola,remained
231,Agriculture,approves
48,Agrippa,divorced
108,Aguada,was
77,Aguilar,ordered
726,agar,added
2662,age,affecting
1443,agencies,absorbed
67,agencv,has
4784,agency,builds
318,agenda,et
7465,agent,attracting
8781,agents,enter
247,ages,acquire
154,aggrandisement,have
925,aggregate,produced
115,aggregates,carry
73,aggression,coincided
174,aggressiveness,depends
41,agitation,suffices
1436,agonists,do
142,agrammatism,are
440,agrarianism,had
66,agrarians,looked
1560,agreement,curtailing
12686,agreements,call
265,agriculturalists,should
991,agriculture,focused
57,agriculturists,demanded
365,ague,are
263,AGENCIES,See
69,AGGREGATE,DATA
143,AgCl,were
77,Ag,using
47,Agamas,mention
67,Agamemnon,performed
85,Agatha,shuddered
50,Agathe,have
290,Age,suggested
52,Agee,asks
104,Agencies,Could
404,Agency,cooperates
70,Agenda,Wizard
47,Agents,Buspirone
87,Agers,use
13640,Ages,enabled
60,Aging,came
45,Agnes,rejoined
67,Agonists,stimulate
1796,Agreement,including
43,Agreements,guaranteeing
51,Agricultural,based
2137,Agriculture,draws
45,Agrippina,shows
122,Agrobacterium,were
81,Agrochemicals,Handbook
140,Aguinaldo,must
56,Aguirre,used
182,Agustin,asked
61,agate,could
10489,age,Forbid
16204,agencies,allocating
3485,agency,afforded
79,agenda,printed
152,agendas,drawn
1747,agent,chose
4685,agents,coincides
601,ages,coupled
43,agglomerate,depends
115,agglomerates,should
193,aggrandizement,became
176,aggregate,allows
165,aggregation,measured
890,aggression,comprises
68,aggressiveness,expected
64,agility,given
1279,agnosticism,are
821,agonies,is
81,agony,overcame
105349,agreement,marking
4259,agreements,approved
2344,agriculture,moves
58,AGENCIES,OPERATING
89,AGREEMENT,RESPECTING
138,Agamemnon,holds
78,Agassiz,supposed
112,Agate,described
51,Agatho,says
44,Agca,tried
276,Age,differs
67,Agencies,requiring
602,Agency,consisting
526,Ages,blended
410,Agnello,et
198,Agnes,ordered
48,Agnew,picked
312,Agni,receives
58,AgrO,are
78,Agreement,delivered
48,Agreements,deal
64,Agricola,occupied
192,Agrobacterium,carrying
105,Aguilar,raises
57,Agung,took
74,agar,caused
495,agate,set
6337,age,continue
4102,agencies,align
209,agency,duplicating
104,agenda,affect
