count,noun,verb
85,AHL,was
162,AHRQ,is
114,AH,died
234,Ahab,lost
75,Ahankara,are
140,Aharon,went
62,Ahmad,quoted
100,Aharon,died
352,Ahmed,adds
90,Aholibamah,is
46,Ahasuerus,chose
47,Ahimaaz,did
130,Ahmad,acted
44,Ahmed,seized
126,AH,stands
780,Ahab,sent
364,Ahasuerus,sat
72,Ahidjo,were
60,Ahmad,sells
67,AHS,does
60,AH,represent
84,Ahau,may
54,Aher,had
107,Ahidjo,could
549,Ahluwalia,was
74,Ahmad,signed
496,Ahmadabad,is
142,Ahmadi,has
72,Ahmadnagar,became
81,Ahmed,be
48,Ahmedabad,held
131,Ahriman,made
40,AH,attempts
1202,Ahab,began
86,Ahd,is
57,Ahimsa,preached
53,Ahmed,lost
194,AH,means
396,Ahab,goes
151,Aharon,could
99,Ahidjo,announced
92,Ahimsa,includes
59,Ahithophel,hanged
49,Ahmadabad,could
84,Ahoms,invaded
319,Ahriman,said
152,Ahwaz,were
126,AHC,would
185,AH,came
358,Ahab,caught
286,Ahijah,is
109,Ahmed,attended
579,ahimsa,are
114,Ahab,become
116,Ahau,had
67,Ahmedabad,showed
47,AH,falls
62,AHmix,is
228,Ahimaaz,ran
59,Ahishar,was
810,Ahmad,declared
175,Ahmed,invited
63,Ahnfrau,is
60,Ahmad,begins
41,Ahmed,offers
101,ahau,is
797,Ahaz,sent
49,Ahern,put
355,Ahmad,cites
55,AHA,states
55,Ahead,were
77,Ahmad,shows
218,Ahmed,frowned
107,Ahab,realizes
86,Ahlers,is
327,Ahluwalia,et
113,Ahlwardt,had
61,AH,tends
41,Ahijah,became
53,Ahlstrom,describes
139,Ahriman,produced
61,Ahuachapan,is
51,ahimsa,consists
165,Ahab,descried
77,Ahaziah,began
149,Ahead,lay
78,Ahlstrom,called
108,Ahmad,introduced
773,Ahmadis,were
190,Ahmed,drew
61,Ahmednugur,was
991,Ahoms,had
315,Ahab,acknowledges
61,Ahau,will
54,Ahlstrom,notes
93,Ahmadinejad,did
60,Ahrens,could
1732,AH,had
239,Ahaz,slept
228,Ahmad,answered
138,Ahmadullah,was
682,Ahmed,climbed
113,Ahmedabad,went
259,Ahsan,was
80,AHEPA,is
78,Aharoni,suggested
221,Ahmed,el
67,Ahrens,did
245,Ahab,come
195,Ahearn,has
230,Ahlan,wa
116,Ahmad,assumed
51,Ahaziah,succeeds
106,Ahsan,had
72,AHMED,is
195,Ahab,lives
53,Ahlden,had
83,Ahmed,grew
46,Ahmose,must
578,AH,represents
821,Ahab,commands
1253,Ahasuerus,had
52,Ahijah,came
56,Ahmad,suffered
41,Ahmed,obtained
105,Ahoms,made
67,ahus,were
142,Ahab,commanded
54,Ahasuerus,called
173,Ahmad,drew
338,Ahmadi,was
130,Ahmed,argued
186,Ahmedabad,may
49,Ahr,was
60,AHPs,is
54,Ahaziah,asked
54,Ahoms,defeated
311,aH,is
156,ahu,was
75,AH,associated
42,Ahab,formed
75,Aharon,will
69,Ahasuerus,should
57,Ahava,was
58,Ahaz,looked
170,Ahidjo,did
79,Ahirs,is
145,Ahmad,kept
52,Ahram,carried
100,AHAs,is
119,AHEPA,was
76,AH,register
194,Ahab,beware
86,Ahi,serva
101,Ahijah,took
68,Ahmed,rallied
45,Ahmedabad,passed
117,Ahab,ends
57,Ahania,took
824,Ahmad,adopted
81,AH,turned
94,Aharon,saw
46,Ahenobarbus,could
179,Ahikar,was
275,Ahlenius,et
80,Ahma,have
105,Ahom,are
154,Ahab,exclaimed
66,Ahmed,finds
94,Ahura,will
93,AHG,may
2147,AH,DORDRECHT
326,Ahmad,added
206,Ahmed,explained
1405,Ahmet,was
124,Ahriman,came
69,AH,fled
44,Ahab,claims
64,Ahmad,becomes
117,Ahnenerbe,had
2918,AH,et
50,Ahmadabad,came
78,AHA,offers
64,AHP,enables
2924,AHi,is
131,Ahijah,could
240,Ahimelech,is
160,Ahmad,dated
146,Ahriman,be
429,Ahab,hunted
121,Ahaggar,were
51,Ahmad,leaned
43,Ahmose,died
92,Ahmed,closed
63,Ahmednuggur,had
64,Ahriman,creates
68,AHPs,were
179,Ahasuerus,are
54,Ahmadi,says
100,Ahmadiyya,has
432,Ahmed,must
285,ahimsa,should
277,AHH,is
45,Ahitophel,saw
245,Ahmad,sat
61,Ahmadinejad,became
54,Ahmet,et
56,ahove,descrihed
263,AH,took
342,Ahlfors,et
68,Ahmad,insists
549,Ahmed,turned
249,Ahab,repented
259,Ahmad,brought
70,Ahtisaari,is
75,AH,returned
49,Ahab,regards
101,Ahmad,belonged
92,ahimsa,became
661,AHA,had
150,AH,decreases
553,Aharon,is
202,Ahmad,suggests
70,Ahone,was
221,Ahab,dies
102,Ahmad,narrated
43,Ahmed,demonstrates
384,Ahn,had
238,Ahuja,is
175,Ahab,allowed
65,Ahasistari,had
146,Ahijah,caught
620,Ahmad,happened
61,Ahmar,has
72,AH,increased
61,Ahab,covets
74,Ahichchhatra,has
346,Ahmed,spoke
682,Ahriman,are
534,Aharon,has
212,Ahmad,describes
121,Ahnas,el
4838,AH,are
308,Ahab,Had
58,Ahir,has
97,Ahman,is
163,AHLs,are
170,AH,ER
96,AHm,are
345,Ahab,served
813,Ahmad,asked
379,Ahrens,has
250,AH,obtained
537,Ahab,might
42,Ahaz,applied
61,Ahenobarbus,would
47,Ahitophel,said
285,Ahmad,mentioned
462,Ahmed,stood
92,Ahnenkultus,und
436,Ahuramazda,was
207,AHB,is
217,Ahlfeld,has
1403,Ahmad,puts
238,Ahmadi,are
42,Ahab,dominates
72,Ahafo,was
49,Aholibah,is
121,Ahoms,became
404,AHP,had
45,AH,fell
51,Ahab,defeated
53,Ahasuerus,reaches
119,Ahmad,admitted
386,Ahmed,looks
70,Ahrimanians,worship
68,Ahvaz,is
78,Ahwaz,are
90,AHPs,would
46,AH,succeeded
66,Ahasuerus,seems
55,Ahmed,screamed
202,Ahoms,have
505,Ahab,sees
188,Ahasuerus,laid
42,Aherne,played
63,Ahmedabad,does
53,Ahura,gave
101,ahilities,were
48,AHA,might
48,AHP,helps
149,Ahab,kept
70,Ahijah,met
43,Ahimelech,came
76,Ahluwalia,said
1257,Ahmad,argues
140,Ahmed,makes
134,Ahoms,took
59,AH,called
54,Ahab,kicked
111,Ahearn,asked
83,Ahimaaz,were
76,Ahmad,stared
93,Ahora,lo
73,AHA,Step
59,AHB,will
67,Ahead,are
138,aha,had
176,AHM,is
85,Ahasuerus,says
217,Ahlwardt,was
68,Ahma,lam
260,Ahmedabad,came
295,Ahram,was
89,Ahuramazda,would
51,AH,Ahmed
88,Ahasuerus,mentioned
286,Ahaz,should
332,Ahmad,turned
141,Ahmadi,et
1732,Ahmed,ibn
68,AH,brought
584,Ahmad,followed
49,Ahram,were
246,Ahuja,was
107,AHLs,produced
44,AH,reflects
187,Ahab,agreed
147,Aharoni,is
78,Ahlquist,proposed
112,Ahmad,devoted
370,Ahmann,et
101,Ahmet,went
76,AHC,will
58,AHP,based
62,AHS,would
47,Ahab,worshiped
236,Ahaz,were
74,Ahmad,broke
373,Ahmadu,had
59,Ahrars,are
81,AHS,may
127,AH,sent
83,AHe,is
59,Ahab,stopped
330,Ahasuerus,asked
193,Ahaz,declined
733,Ahlquist,et
1420,AHA,has
52,AHk,is
809,Ahab,came
132,Ahaz,are
82,AHS,provides
142,AHs,is
50,Ahasuerus,looked
158,Ahikam,ben
64,Ahram,noted
58,AHCPR,are
188,AHF,has
113,AH,do
875,Ahab,answered
767,Ahmad,does
75,Ahmed,broke
94,Ahab,replies
118,Aher,was
64,Ahmad,travelled
79,Ahmed,asks
173,Ahold,has
261,AHA,took
61,AHF,will
286,Ahab,pursues
208,Aharonian,et
137,Ahhiyawa,is
78,Ahlers,said
92,Ahmad,learned
73,ahdomen,is
936,AHP,has
84,AHS,have
123,Ahab,standing
835,Ahmad,Said
63,Ahmed,observed
176,Ahn,has
186,Ahab,crossed
58,Ahaz,calls
183,Ahead,had
66,Ahearn,turned
43,Ahmad,identified
66,Ahmedabad,used
325,Ahram,said
232,AHAs,can
43,Ahab,assembles
97,Ahaz,gathered
1135,Ahmad,could
239,Ahmadinejad,said
157,AH,found
410,Ahhiyawa,was
96,Ahmed,paused
572,Ahti,et
64,AHT,would
22789,AH,is
2027,Ahmedabad,has
71,Ahmes,used
265,Aho,is
62,ahu,have
