count,noun,verb
846,AICC,was
423,AIDS,Be
178,AIHA,has
114,AIMD,is
58,AIRCRAFT,FACTORY
46,AIR,EXHAUST
131,Aids,Granted
330,Aiken,exclaimed
126,Aimophila,carpalis
236,Air,possesses
50,Airborne,received
41,Aires,reminded
115,Airlie,has
265,Airlines,wanted
59,Airports,serve
57,Airspace,surrounding
51,Airspeed,had
197,aid,Be
307,aide,hands
164,aides,making
302,aids,bowel
532,ailleurs,que
4790,air,docs
3280,aircraft,fly
49,airfield,equipped
155,airfields,remained
79,airfoils,must
88,airlift,sponsored
877,airline,backed
49,airliners,approaching
54,airlines,starting
300,airman,found
118,airmen,dropping
742,airplane,fell
341,airplanes,become
100,airports,differ
138,airpower,made
182,airs,selected
61,airstrip,have
56,airtime,may
70,airways,start
259,aisle,held
279,AIDS,vary
73,AIRWAYS,SYSTEM
73,AIR,ON
503,Aiken,could
125,Aikman,et
256,Aileen,turned
68,Ailes,explained
67,Aima,is
48,Aimee,wants
58,Airbus,started
62,Aires,considered
1322,Airfare,is
140,Aitchison,said
149,Aitken,married
65,Aizoaceae,are
53,aid,illustrating
49,aide,follows
57,aides,express
99,aiguillette,is
513,ailment,arising
35191,aim,would
73,aims,built
2790,air,Dissolves
990,airbase,was
1062,aircraft,experienced
68,aircrews,needed
393,airline,stewardess
2711,airplanes,flew
42,airports,maintained
80,airspace,did
775,airway,lining
76,airways,widen
243,aisle,be
104,AICPA,were
52,AID,continues
367,AI,learning
71,Aias,said
40,Aides,sent
1235,Aids,include
166,Aileen,opened
65,Aimee,announced
568,Air,descending
210,Airacobras,were
125,Airborne,came
60,Aircraft,leaving
46,Aires,means
159,Airlines,using
71,Airmail,takes
44,Airways,calls
323,Aisha,looked
855,Aisles,are
644,aid,Could
328,aide,supervises
70,aides,live
462,aids,having
97,ailment,increased
458,aims,determine
56,ain,gonna
1484,air,dans
596,aircraft,bases
135,aire,are
44,airfields,damaged
62,airfoils,do
71,airline,cancelled
55,airlines,end
343,airmail,lifted
114,airplane,propellers
46,airplanes,belong
114,airport,seem
204,airports,looking
176,airs,become
72,airship,scouting
248,airstrip,are
73,airways,downstream
88,aisle,jumped
336,aisles,pulling
583,AIC,are
104,AIR,PHOTOGRAPHS
88,AIX,uses
161,Aid,afforded
55,Aids,began
7910,Aiken,was
44,Aikin,bowed
131,Aileen,gave
172,Aircraft,continued
56,Aires,und
55,Airfoil,Oscillating
40,Airlines,remained
193,Airman,foresees
351,Airy,received
1430,aid,arise
104,aides,summoned
361,aids,bearing
43,ailment,resulted
183,aim,adopted
4699,air,flattered
60,airbrush,does
2318,aircraft,accumulated
43,aire,les
438,airline,ended
86,airliners,take
667,airlines,indicates
145,airman,sees
226,airmen,believe
465,airplane,encounters
216,airplanes,belonging
60,airport,generated
98,airscrews,have
58,airship,propelled
649,airways,becomes
41,aisle,gazing
87,aisles,buttress
84,AIBA,is
64,AICPA,announced
79,AIC,did
752,AIDS,changed
63,Aiass,was
62,Aichi,were
331,Aida,will
59,Aidan,hoped
65,Aided,Unaided
127,Aiding,was
74,Ailesbury,looking
231,Ailleboust,was
488,Aimee,went
102,Ainsley,will
152,Ainsworth,proposed
57,Air,growing
61,Aircraft,Lost
43,Aires,bound
10417,Airlines,Ltd
42,Airport,carries
54,Airways,suspended
71,Aitken,remained
239,aid,fed
42,aide,serve
234,aides,served
60,ailments,accounted
225,aim,grows
76,aims,contain
16967,air,Will
61,airbus,had
571,aircraft,checking
70,airdromes,would
115,airliner,KAL
193,airlines,dropped
45,airman,shouted
84,airpassage,is
370,airplane,bearing
45,airplanes,stacked
126,airport,ID
234,airs,varies
196,airway,having
63,airways,came
42,AICC,approved
1594,AIDS,THAT
46,AID,agreed
147,AIR,OPERATIONS
736,Ai,would
102,Aidan,noticed
