count,noun,verb
106,Ajay,could
113,Ajoy,was
95,Ajivikas,had
42,Ajanta,seem
116,Ajax,defied
84,Ajuriaguerra,et
297,AJ,has
59,Ajax,sprang
87,Ajmal,et
116,Aja,were
79,Ajatasatru,has
121,Ajax,nodded
1608,Ajlun,is
138,Ajaria,was
165,Ajax,gives
64,Aja,means
66,Ajax,needs
72,ajowan,is
94,Ajax,be
131,Aj,were
134,Ajax,carrying
163,Ajuga,pyramidalis
53,ajnana,does
468,Ajax,sees
169,Ajeeb,was
126,Ajax,sat
48,Aju,is
93,Ajax,differ
75,AJC,are
153,Ajax,decided
263,Ajnana,is
117,AJAX,provides
161,AJ,held
85,Ajatashatru,had
66,Ajeet,Sing
46,Ajatasatru,ruled
81,ajoute,que
554,Ajayi,was
307,Ajna,is
97,Ajmer,should
64,Aj,being
97,Ajia,kenkyu
78,Ajjul,is
77,Ajut,concluded
201,AJ,could
88,Ajivikas,is
85,Ajo,had
770,Ajax,does
455,Ajay,had
112,Ajax,leaves
47,Aj,consists
76,Ajmer,will
219,Ajmere,was
97,Ajatasattu,had
148,Ajax,defending
122,AJA,said
35160,AJR,Am
858,Aja,was
631,Ajax,may
89,Ajut,refused
124,Ajaj,had
62,Ajatasatru,made
306,Ajax,left
49,Ajari,is
83,Ajmere,were
97,Ajaccio,has
85,Ajay,would
962,Ajatasatru,was
267,Ajax,heard
108,ajutages,were
150,Ajax,becomes
132,Ajivakas,are
176,Ajax,means
121,Ajzen,have
71,Ajala,was
84,Ajuga,rep
252,Ajax,goes
53,Ajaccio,will
96,Aj,be
89,Ajalon,is
42,Ajatasatru,put
118,Ajlun,was
126,Ajax,laid
442,Ajanta,has
113,Aj,contains
126,Ajax,continued
285,Ajay,has
340,Ajatasattu,was
73,Ajax,caught
61,AJ,came
71,Ajax,smiled
449,Aja,had
74,Ajax,lifted
805,Ajaccio,was
384,Ajay,is
182,AJ,did
188,Ajax,armed
144,Aje,was
192,Ajax,answered
192,Ajayi,had
76,Ajivakas,were
41,Ajatasattu,built
51,Ajamidha,had
1126,Ajax,can
254,Ajdukiewicz,was
216,AJ,does
54,Ajax,slipped
67,Ajijic,was
53,Ajit,has
64,Ajanta,do
70,Ajjul,was
205,Ajax,saw
70,AJR,is
590,AJC,had
194,Ajamila,was
765,Ajax,asks
186,Ajia,keizai
105,Aja,did
57,Ajax,prayed
140,Ajinomoto,was
46,ajuda,do
361,Ajax,falls
2223,Ajmer,was
45,ajb,is
46,Aj,takes
271,Aji,is
42,Ajaccio,came
1549,AJ,is
65,Ajaib,was
316,Ajax,calls
54,Ajaokuta,is
160,Ajax,asked
65,Ajmer,would
78,Ajax,hath
169,Aj,does
122,Ajax,lost
77,AJs,are
45,Aj,appears
134,Ajax,tells
63,AJC,found
287,Ajax,do
55,Ajanta,belong
228,Ajayi,is
52,Ajnana,has
118,AJM,et
55,AJKL,is
258,Aj,represents
72,Ajmer,could
112,Aja,has
161,Ajello,was
63,Ajanta,painting
387,Ajo,is
186,Ajaccio,were
244,Ajax,et
77,Ajdukiewicz,had
97,Ajax,begins
55,Ajmir,are
1568,Ajax,got
46,Ajanta,appear
79,Ajawa,was
82,Ajax,rose
185,Ajai,was
117,Ajam,is
50,Ajax,tries
78,Ajima,is
67,aj,must
8952,Aj,is
106,AJS,was
779,Ajatasatru,said
484,Ajmer,were
60,AJT,is
327,Ajax,called
67,Aj,becomes
497,Ajmer,had
62,Ajman,was
500,Ajax,call
148,Ajmere,is
62,Ajdukiewicz,has
89,Ajau,was
434,Ajax,must
140,Ajinomoto,had
136,aja,is
2079,Ajax,believes
42,Ajmer,may
68,Ajatasatru,came
176,Ajax,entered
44,AJV,is
113,Ajodhya,was
246,Aj,must
49,Ajo,are
90,Ajit,had
260,Ajami,has
210,Ajax,raised
260,Ajuga,genevensis
67,Ajanta,show
3338,Ajax,continues
63,ajoute,les
113,Ajam,was
131,Ajatasattu,is
101,Ajax,turns
448,AJC,can
253,Ajax,struck
81,Ajlun,were
536,Ajello,et
97,Ajo,has
46,Ajax,puts
149,Ajman,is
177,Ajuda,was
280,Ajax,might
123,Ajit,was
92,Ajamila,had
87,Ajax,cast
47,Ajami,argues
86,Ajax,rushed
131,Aj,should
423,Ajanta,have
151,Ajinomoto,has
47,Ajmer,did
125,aj,represents
266,AJ,said
641,Ajanta,was
135,Ajay,said
171,Ajijic,is
109,Ajman,had
114,AJA,has
102,Ajasa,was
46,Ajax,loses
42,Ajmer,fell
105,Ajax,smote
53,Ajib,is
312,Ajaccio,had
510,Ajax,bearing
44,Ajatasatru,would
611,Aj,has
261,Ajax,met
90,Ajib,was
207,Ajmer,became
1262,Ajax,kept
72,Ajdukiewicz,did
47,AJC,decided
72,Ajmere,has
90,Ajita,had
60,AJCC,has
95,Aja,could
58,Ajax,joined
514,AJAX,is
192,Ajax,chooses
41,Ajoutons,cependant
91,ajnana,are
183,Ajax,say
70,AJC,joined
217,AJA,concurred
107,Ajax,carries
48,ajs,are
414,AJA,is
161,Ajax,addresses
627,Aj,will
55,Ajax,bids
97,AJC,could
267,Ajax,come
86,Ajmeer,was
670,Ajax,gave
736,AJ,had
212,Ajax,comes
205,Ajut,would
227,ajk,is
87,Ajall,Shams
53,AJC,will
81,AJ,got
164,Ajami,is
716,Ajax,said
84,aj,may
168,Aj,would
58,Ajax,pierced
76,AJC,took
211,ajutage,is
441,AJC,has
54,Ajax,recognizes
58,Ajay,took
154,Ajman,were
1347,Ajanta,are
174,Ajax,looked
1444,Ajanta,is
89,Ajax,having
86,Aji,are
50,Ajmir,knew
178,Ajar,is
43,Ajuda,have
171,ajr,is
55,Ajanta,will
191,Ajawa,had
179,Ajax,pitched
85,Ajmer,came
879,AJ,was
122,Ajax,finds
81,AJP,was
85,Ajiva,is
164,Ajax,drove
118,Ajmer,have
141,Ajatasatru,were
70,Ajax,replied
173,Ajk,is
130,Aj,occurs
121,Ajanta,can
50,Ajatasatru,did
867,Ajax,defying
707,ajiva,is
106,Ajani,et
202,Aje,is
1525,Ajuga,reptans
113,Ajax,claimed
84,Ajayi,said
129,Ajax,bore
104,aJ,is
239,Ajax,died
16388,AJNR,Am
314,Ajayi,has
66,aj,have
119,Aji,was
216,Ajtay,et
65,Ajax,hurls
56,AJC,supported
11777,Ajax,is
300,Aj,corresponds
73,Ajuga,is
53,Ajustement,et
97,Ajan,is
47,Ajay,were
1945,Ajax,sells
47,Ajia,kara
157,Ajivikas,are
43,AJN,is
316,Ajatasatru,had
78,aj,will
71,Ajax,receives
118,Ajatasatru,asked
284,Ajax,have
63,Ajatasatru,took
52,Ajt,is
699,Ajanta,were
58,AJAX,was
75,Ajax,moved
69,ajoutons,que
115,Ajr,was
60,AJAX,are
341,Aj,may
150,Ajax,hurled
324,Ajmer,are
192,Ajodhya,is
190,Ajax,seems
727,Ajoutons,que
88,Aj,could
44,ajax,is
74,Ajmir,were
48,aJ,are
90,ajnana,has
90,Ajax,dragged
462,AJ,are
50,Ajaccio,dismasted
386,Ajivikas,were
135,AJ,will
73,Aja,came
154,Ajax,killing
73,Ajay,asked
300,Ajanta,frescoes
48,Ajmer,took
47,Aj,shows
140,Ajami,was
97,Ajax,perished
336,Ajayi,et
805,Ajax,told
44,Ajzen,argued
760,Aj,can
685,Ajax,playing
181,AJ,can
159,Ajaccio,are
40,Ajuda,will
481,Ajax,says
52,Aj,might
78,AJ,made
63,Ajia,ni
164,Ajuda,is
1068,Ajax,are
47,AJi,is
150,Ajax,led
87,Ajello,had
146,ajndna,is
106,Ajax,cut
741,aj,is
179,Ajar,was
504,aj,are
245,Ajaj,was
61,Ajdukiewicz,is
67,Ajmir,had
72,Ajaka,was
485,Ajax,appears
379,Aj,was
463,Ajax,went
861,Ajaccio,is
107,Ajellomyces,dermatitidis
71,ajouterons,que
89,Aja,are
373,Ajc,is
602,Ajay,was
108,aj,denotes
166,AJ,found
54,Ajax,lay
58,Ajaxes,were
54,Ajayan,et
66,Ajo,were
41,Ajax,raped
410,AJ,have
144,Ajax,fought
68,Ajuste,y
94,Aja,would
108,AJ,took
222,Ajita,was
79,AJ,went
60,Ajay,are
55,Ajax,approached
83,Aja,took
66,AJS,is
129,Ajalon,was
143,Ajax,represents
198,Ajatashatru,was
221,Ajit,is
68,AJA,held
44,Ajanta,represents
109,AJ,stated
51,Ajanta,does
260,Ajax,offers
117,Ajut,was
420,Ajawa,were
73,Aja,et
116,Ajax,ran
154,aje,is
67,Ajax,fighting
109,Ajanta,may
67,Ajaokuta,was
89,AJA,had
879,AJC,was
56,AJ,represents
61,Ajatasatru,are
85,Ajala,is
57,Ajuga,chamaepitys
78,Ajax,Defying
64,Ajay,came
57,Ajello,has
83,AJC,should
239,Ajanta,had
66,Ajax,falling
74,Aj,gives
141,AJC,were
41,Ajax,succeeded
52,Ajiva,are
275,Ajax,became
62,Ajaxes,are
462,Ajmer,has
84,Ajay,did
187,Ajar,contains
99,Ajax,received
57,Ajoutons,pour
192,Ajax,speaks
50,Ajanta,lies
250,Ajasin,was
59,Ajax,opened
136,Ajmal,was
49,ajs,is
52,Aj,had
8143,Ajax,appeared
155,Ajinomoto,is
64,Ajax,ends
61,Aj,depends
44,Ajax,seized
184,Ajanta,caves
86,Ajax,draw
162,AJC,did
98,Ajax,carried
49,ajouter,foi
77,Ajax,used
95,Ajijic,has
54,Ajivikas,was
1168,ajnana,can
46,Ajanta,would
76,Ajax,prays
103,Aji,had
189,Ajmer,can
497,Ajmir,was
293,Ajoutons,encore
191,AJA,was
