count,noun,verb
45,Akalis,kept
45,Akbar,united
245,Akoyunoglou,et
48,AKT,has
105,Akahata,was
108,Akaitcho,arrived
615,Akbar,exercised
65,Akiba,remained
365,Akiskal,et
514,Akurgal,has
84,Akiva,returned
65,Aksakov,used
123,Akwesasne,were
135,Akamas,is
158,Akans,were
587,Akbar,ruled
135,Akechi,was
46,Akhenaten,followed
252,Akhiezer,et
74,Akiko,became
50,Akron,sent
944,Akbar,tried
63,Akeley,found
82,Aki,looked
135,Akitoye,died
51,Akon,was
91,Aki,thought
135,Akiba,can
91,Akiko,told
295,Akin,said
84,Akroyd,is
143,Akt,can
263,Akyab,is
1272,Akintola,was
136,Aksa,are
833,ak,is
62,AKR,are
173,Akbar,extended
58,Akela,died
104,Akamai,has
67,Akbar,transferred
1835,Akhenaten,had
61,Akrema,threw
62,Akwapim,had
1165,aK,is
467,Akerman,had
53,Akron,working
69,Aksakov,made
159,Aka,have
96,Akakia,is
1507,Akbar,came
174,Akers,made
49,Akiba,wandered
223,Akyab,had
58,Akalis,adopted
286,Akbar,lived
64,Akenside,could
83,Akim,has
42,Akira,may
119,Aksakov,saw
60,Ak,gives
98,Aker,said
93,Akin,would
470,Akihito,was
345,Akselrod,had
106,Akalis,formed
375,Akbar,does
117,Aken,had
49,Akha,live
231,Akhenaton,is
875,Akhilleus,was
87,Akyildiz,et
247,Akbar,carried
84,Akiva,continued
724,Akkadian,is
65,Aksakov,put
165,Akten,betreffend
59,Aktualne,problemy
60,Akai,was
57,Akaka,said
609,Akbar,established
184,Ake,said
336,Akshobhya,is
101,aks,are
154,Akbar,sends
860,Akhmatova,spoke
114,Akyab,has
977,Akalis,are
176,Akao,et
89,Akbar,hastened
145,Akhmatova,refers
93,Akmal,et
51,Akondogo,loved
74,Akure,had
936,Akagi,was
61,Akalis,fought
77,Akan,can
54,Akbari,tells
65,Akers,continued
563,Akrotiri,is
129,Akroyd,had
43,AKADEMIAI,KIAD
51,Akalis,being
234,Akbar,listened
