count,noun,verb
1032,ALI,is
159,ALU,using
1140,Al,explained
45,Alabama,initiated
45,Alan,faces
87,Alatau,are
160,Albany,moved
1291,Albert,heard
88,Albertine,having
203,Alberto,calls
307,Albion,arose
61,Albret,are
93,Albuquerque,resolved
41,Alcacer,knows
298,Alcibiades,persuaded
49,Alcinous,leapt
127,Alcman,were
964,Alcott,asked
118,Aldegonde,came
176,Aldington,could
153,Aldridge,looked
400,Alec,lit
55,Aleck,walked
81,Alejandro,sighed
869,Alembert,et
93,Alessandro,stepped
5061,Alex,showered
1434,Alexander,assumed
431,Alexandria,continues
87,Alexi,were
863,Alexis,gave
55,Alexius,appeared
55,Alfred,breathed
117,Alfy,said
49,Algar,comes
90,Algirdas,was
71,Algorithm,should
1385,Ali,built
195,Alianza,would
122,Alic,was
2656,Alice,Can
109,Alicia,finished
170,Alison,faced
70,Allah,implies
171,Allan,remembers
2199,Allard,had
1118,Allen,resolved
55,Alley,read
94,Alliances,did
62,Allie,come
670,Allies,afforded
189,Alligator,snapping
270,Allington,et
56,Allison,disappeared
77,Allusion,means
785,Allyn,had
175,Alma,giggled
1833,Almighty,preserve
45,Almoravids,captured
589,Alms,is
67,Alongside,decayed
52,Alonzo,led
157,Alpha,appeared
61,Alphaville,are
82,Alps,produces
51,AltaVista,finds
198,Alter,have
287,Alto,will
136,Alva,commanded
74,Alvan,gave
94,Alvaro,should
131,Alveoli,have
58,alae,will
157,alarm,deactivated
3810,alarms,operate
48,albino,nodded
1165,album,entered
88,albums,discussed
663,alburnum,is
51,alcalde,spoke
326,alchemists,turned
189,alchemy,found
2853,alcohol,diluted
44,alcoholics,participated
572,alcoholism,leads
208,alcohols,showed
68,aldehydes,arising
139,aldermen,put
115,ale,make
173,alexithymia,are
111,alfalfa,being
332,algae,contained
108,algebra,governing
70,algorithm,optimizing
10463,alias,is
99,alienage,must
169,aliens,embarked
797,alios,acta
169,alkaloid,formed
146,alkalosis,increases
534,allele,contributed
42,alley,received
234,alliance,contre
463,alliances,come
435,allies,characterized
52,alligators,swallow
225,allocation,exceeds
56,allotment,indicated
108089,allowance,was
286,alloying,can
285,alloys,suggests
119,allusion,add
208,ally,indicate
84,almanac,predicts
259,alopecia,include
395,alphabet,exhibits
52,als,Beweis
197,altar,overturned
64,altars,suggests
680,alteration,concerned
280,alterations,continued
118,alteratives,have
1548,alternative,assumes
8125,alternators,are
134,altitude,rising
56,altitudes,concerned
1030,alum,have
76,alumina,prevents
410,aluminium,becomes
817,aluminum,be
133,alveolar,voiced
56,ALIGNMENT,is
88,ALJ,renders
133,ALLUSIONS,ARE
1992,ALS,are
323,Al,exclaimed
52,Alabama,segregationist
372,Alain,nodded
59,Alaman,were
165,Alamein,begins
143,Alaska,owe
296,Alastair,has
241,Alban,seemed
1592,Albania,did
143,Albanians,signed
275,Albans,should
425,Albert,escaped
8582,Alberta,chose
58,Alberti,paid
237,Alberts,etal
95,Albinus,said
78,Albrecht,followed
144,Albuquerque,brought
61,Alcohol,Increased
168,Alcuin,must
66,Alder,told
79,Aldobrandini,has
70,Aldrich,headed
95,Alegre,became
76,Aleman,put
50,Aleppo,provided
47,Aleuts,employed
14915,Alex,belonged
1961,Alexander,awaited
126,Alexandra,considered
81,Alexandrov,asked
49,Alexei,realized
58,Alexis,disappeared
49,Alfie,thinks
69,Alfoldy,has
70,Alfonso,sings
573,Alford,did
225,Alfred,discovers
120,Algae,should
40,Algeria,fall
103,Algiers,resulted
46,Algonquin,will
107,Algorithm,presented
84,Algorithms,need
79,Algren,told
59,Alhamar,brought
415,Ali,let
45,Aliasing,can
142,Alice,lighted
65,Aliens,paid
92,Aligre,had
152,Alinsky,were
55,Alison,greeted
174,Alistair,sat
42,Alkali,poisoning
277,Alkalies,should
9791,Allah,doeth
176,Allan,crossed
103,Allans,returned
67,Allegory,represents
815,Allen,challenged
97,Allende,indicated
110,Aller,had
114,Alley,bowld
50,Alliance,covered
859,Allie,went
76,Allied,counter
1708,Allies,move
40,Allison,seem
58,Allons,au
83,Alluvium,are
222,Almighty,fashioned
96,Alpaca,was
145,Alps,put
47,Alschuler,writes
117,Alterations,following
119,Alternaria,has
47,Altitude,reduces
137,Altman,put
342,Alula,had
81,Aluminum,reduces
