count,noun,verb
182,AMAZING,WORLD
207,AMA,accepted
111,AMP,mimics
437,AM,modulated
244,Ama,looked
288,Amanda,joked
45,Amarna,must
99,Amaziah,turned
56,Ambassador,countered
208,Ambassadors,continued
589,Ambedkar,believed
298,Amber,get
187,Ambiente,do
41,Amboise,does
74,Ambrose,endeavoured
87,Amelia,offers
55,Amelie,appeared
10974,America,Considered
57,American,breathed
84,Americanism,reflected
7786,Americans,align
3183,Americas,added
95,Ameriky,was
128,Amerindians,be
451,Ameritech,had
375,Amhara,have
130,Amherst,believed
369,Ami,began
127,Amil,has
54,Aminta,appeared
91,Amintor,had
114,Amir,wished
150,Amman,should
994,Ammianus,had
93,Ammonius,are
55,Amneris,offers
111,Amoeba,dubia
88,Amos,concludes
88,Amount,Recovered
66,Amour,took
385,Ampere,discovered
894,Amphion,is
47,Amphitheatre,stood
83,Amphiuma,tridactylum
128,Amrit,was
157,Amsterdam,achieved
326,Amy,grimaced
440,amalgams,can
55,amateur,loves
92,amateurs,learned
52,amazement,crossing
10526,ambassador,has
63,amber,mounted
47,ambientales,y
252,ambiguity,decreased
457,ambition,chose
47,ambitions,overreached
88,ambivalence,helped
74,ambrosia,flowed
87,ambulance,told
43,ambulances,gave
2769,amendment,guaranteeing
79,amendments,reveal
212,amercement,imposed
41,amir,are
110,amissos,colores
402,ammonia,disengaged
484,ammunition,remains
82,amniotes,may
1249,amount,Increased
732,amounts,concerned
52,amphetamines,alter
70,amphioxus,may
158,amphora,held
143,amplification,came
194,amplifiers,incorporate
82,amplitude,extends
55,amplitudes,discussed
51,amps,designed
175,amr,is
533,amusement,prepared
68,amylase,derived
849,amylases,differ
1591,amyloid,are
85,AMENDMENTS,ARE
61,AMERICAN,GEOLOGIST
82,Am,ed
2170,Amadis,is
165,Amalickiah,had
82,Amaranth,said
63,Amatya,has
45,Amazement,may
86,Amazon,extends
46,Amba,came
472,Ambassador,entered
53,Ambassadors,acted
156,Ambedkar,urged
92,Amber,plopped
61,Amberley,sat
133,Amblyomma,cajennense
112,Ambrose,wants
57,Amelia,loses
80,Amelot,et
90,Amendment,repudiated
55,Amenities,is
1788,America,antedated
780,American,involves
120,Americanism,makes
350,Americanists,had
3915,Americans,captive
59,Americas,showing
203,Amherst,reached
68,Amiens,lay
144,Amines,were
174,Aminosauren,und
2998,Amir,came
150,Ammonium,citrate
395,Amnon,did
81,Amon,means
427,Amory,were
1591,Amos,knew
104,Amounts,found
53,Ampere,brought
60,Amphipolis,did
465,Amplification,may
120,Ams,is
64,Amun,held
6642,Amundsen,had
2234,Amy,drank
51,Amylase,catalyzes
146,amateur,enters
49,amateurs,gained
72,ambassador,passing
123,ambassadors,cast
154,amber,might
419,ambergris,are
201,ambiguity,spoken
296,ambition,pursued
115,ambitions,range
51,amblyopia,found
205,ambulance,bringing
69,ambulances,roared
6513,amelioration,is
2610,amendment,constituted
163,amendments,ensure
134,amenities,related
249,amenorrhoea,associated
591,amiability,are
50,amine,isolated
50,aminoglycoside,does
187,ammo,being
336,ammonia,attracts
181,ammoniac,will
93,ammunition,excepted
1285,ammunitions,were
64,amnesties,has
46,amobarbital,can
240,amoeba,reproduces
42,amonnt,is
9516,amount,allotted
201,amounts,fluctuate
75,amours,will
73,amperes,exists
1532,amphibole,are
60,amphitheatre,opened
1674,amphitheatres,were
126,amphotericin,have
53,amplifier,features
59,amplifiers,approach
41,amplitude,arise
45,amplitudes,introduced
251,ampule,may
87,amputation,showed
63,amu,may
564,amygdala,seems
78,AMADEUS,PRESS
193,AMA,claims
107,AMC,decided
71,AMERICAN,BLASTOMYCOSIS
54,Amador,got
76,Amahl,had
123,Amanda,understands
95,Amanitin,is
258,Amar,et
125,Amateur,had
48,Amazon,creates
123,Ambedkar,cites
3383,Ambrose,did
117,Ambulances,rushed
745,Amelia,begins
239,Amembassy,TOKYO
1855,Amendment,went
132,Amendments,See
150,Amenorrhoea,can
19318,America,Promises
1108,American,Takes
786,Americanization,lies
14778,Americans,Based
120,Ames,agrees
87,Amezaga,was
259,Amherst,can
166,Amico,says
180,Amida,could
91,Amin,lost
111,Amir,shot
908,Amish,did
149,Amma,stood
59,Amnesia,induced
299,Amnesty,lnternational
78,Amon,found
93,Amorphophallus,rivieri
565,Amours,et
646,Amsterdam,asked
62,Amter,is
86,Amundsen,sent
97,Amurath,succeeded
1275,Amy,bought
61,amalgam,sinks
76,amateurs,lacking
193,ambassador,employed
2345,ambiance,did
98,ambigua,is
179,ambiguities,lie
4438,ambiguity,had
