count,noun,verb
957,ANA,are
87,ANCESTORS,ARE
657,ANCIENT,INDIA
514,AND,PRODUCED
96,ANF,can
49,ANGLES,GREATER
139,ANSI,requires
74,ANTIBODIES,PRODUCED
5807,A,accepts
77,Anacidity,is
428,Analysis,Compare
54,Analysts,face
154,Analytics,provides
137,Anarchie,dans
264,Anastasius,says
272,Anathapindika,was
73,Anaxagoras,explains
429,Ancients,Illustrated
61,Andalucia,would
46,Andersen,classifies
318,Anderson,accepts
416,Andersson,found
50,Andes,lifted
769,Andhras,are
832,Andrea,claimed
137,Andreas,heard
67,Androgens,modulate
52,Andromache,took
60,Andromeda,shows
48,Andros,managed
127,Andrus,wrote
107,Andrzej,is
505,Andy,brushed
208,Anemia,are
430,Angel,bore
561,Angela,confesses
701,Angeles,completed
47,Angelina,pressed
365,Angels,carried
376,Angie,asks
45,Angioma,occurs
816,Angiotensin,Converting
2172,Angles,had
67,Anglia,showed
708,Angolans,have
47,Angoni,came
114,Angora,became
308,Angouleme,arrived
95,Angul,were
165,Angus,crosses
494,Animals,afford
66,Anita,bent
1314,Ann,assumed
1006,Anna,devoted
330,Annals,Med
76,Annan,arrived
1935,Anne,chose
264,Annette,flew
341,Annie,appears
69,Annika,made
44,Announcers,do
89,Annoyance,made
131,Anonymity,did
62,Anopheles,messeae
46,Anscombe,notes
42,Anselm,yielded
55,Anselme,brought
165,Answers,Session
46,Antaeus,drawing
208,Antarctic,being
253,Antedon,is
3630,Anthony,Abbot
347,Anthropologists,began
165,Anthropology,published
122,Antichrist,enters
3140,Antigone,continues
1922,Antigua,had
371,Antilles,brought
51,Antimony,prepared
46,Antinomianism,will
76,Antioch,deposed
57,Antiope,were
44,Antisthenes,went
2561,Anton,came
285,Antonia,changed
1323,Antonio,begin
480,Antonius,followed
227,Antony,answered
103,Ants,lay
109,Antwerp,attacked
177,Anwar,became
194,Anyone,describing
68,Anza,heard
671,ana,had
40,anaconda,acts
61,anaesthesia,become
193,anaesthetic,depends
57,analogies,referring
1128,analogy,changed
2693,analyses,enhance
2184,analysis,directs
1790,analyst,armed
503,analysts,design
944,analyzer,based
76,anarchism,appealed
57,anarchy,overtook
314,anatomy,affects
173,ancestor,live
468,ancestors,battled
53,anchors,arranged
384,ancients,developed
920,androecium,is
72,ane,sits
81,anecdote,needs
1761,anecdotes,illustrate
169,anemia,need
46,anemometry,were
130,anesthesiologists,could
813,anesthetic,overdose
256,anesthetics,contain
94,anesthetist,shall
68,angareb,is
729,angel,conquered
5125,angels,belong
1674,anger,breeds
67,angioedema,must
47,angiomyolipoma,associated
53,angiosperms,made
1138,angle,consists
86,angler,allows
144,anglers,reported
62,angles,AC
1433,anguish,became
275,anilines,were
203,anima,et
1901,animal,brushing
83220,animals,bumped
52,animation,poses
731,anisotropy,does
96,ankles,itched
78,anklet,has
62,anklets,should
234,annealings,are
57,annex,do
43,anniversary,been
43,annotations,confirm
66,annotator,refers
330,announcement,mentions
166,announcements,created
43,annuals,follow
43,annuity,lost
63,anodynes,administered
111,anomalies,running
77,anomie,occurs
311,anorexics,can
2924,anoxia,is
112,ans,sur
7348,answer,altered
429,answers,enable
231,ant,shall
152,antagonism,culminated
107,antecedents,stretch
254,antechambers,are
45,antelope,racing
572,antenna,contributes
205,antennae,arc
426,anthems,may
157,anthropologies,is
149,anthropologist,notes
133,anthropologists,demonstrates
111,anthropology,leaves
146,antiandrogens,can
61,antibiotic,be
238,anticipation,enables
42,anticoagulant,did
95,anticyclone,must
48,antigen,provoking
122,antigens,referred
79,antigorite,are
54,antiintellectualism,has
131,antimetabolites,was
48,antimony,interfere
70,antiquary,rose
372,antiquity,clung
85,antistrophes,are
59,antisuffragists,was
46,antler,lying
58,antlers,drove
57,ants,tap
1391,anus,were
54,anxieties,tied
3132,anxiety,become
306,anybody,belongs
14741,anyone,cause
1432,anything,emerge
118,ANC,becomes
165,AND,COOLED
267,ANDs,are
57,ANIMALS,Cattle
63,ANOTHER,CHILD
1182,ANOVA,means
31184,A,Be
161,An,amended
64,Ana,greeted
69,Anabaptists,seemed
75,Anaesthesia,means
224,Analysis,Knowing
57,Analyst,found
106,Analysts,credited
67,Anamese,are
157,Anarchism,became
41,Anarchists,met
50,Anastasius,adds
58,Anatolia,passed
57,Anaxagoras,opposes
345,Ancestors,can
125,Anchors,must
97,Anda,sent
46,Andagoya,mentions
115,Anders,started
253,Andersons,moved
89,Andes,shall
4126,Andre,is
134,Andrea,departed
1115,Andrew,adjusted
60,Andrewes,declared
127,Andrews,take
139,Andromeda,have
68,Androscoggin,are
3121,Andy,began
3420,Anecdotes,are
96,Anemia,occurred
76,Anesthesiologists,is
65,Angami,have
5564,Angel,did
209,Angeles,managed
193,Angelica,pulled
83,Angelika,said
157,Angeline,stood
228,Angelo,boasted
348,Angels,hold
51,Anger,creased
40,Angers,fell
350,Angie,go
45,Angle,Measurements
108,Anglesey,made
51,Anglican,led
134,Anglicization,had
189,Angouleme,entered
77,Angrogna,had
255,Animals,Utilized
160,Anjou,fled
372,Ann,ie
5858,Anna,admitted
75,Annabella,became
89,Annabelle,waved
55,Annales,universitatis
192,Annan,pointed
100,Annandale,would
