count,noun,verb
50,AODV,uses
133,AOL,takes
81,AORTIC,PRESSURE
78,aorta,removed
228,aortae,were
46,AOL,accounts
309,Aornos,was
66,ao,said
106,aorta,Ascending
66,aortae,may
500,aortography,should
197,AOF,were
65,AOQL,will
64,Aoki,began
67,aorta,indicate
144,AOL,went
289,AOP,are
159,AOS,may
773,AORTIC,ANEURYSM
2429,aortography,is
165,AOS,was
101,Aortography,shows
163,Aosta,surrendered
232,aorta,called
74,aotion,should
64,AOM,could
363,AOTF,is
61,Ao,became
43,aorta,collected
58,AOCs,were
88,Aouda,got
236,aorta,needs
89,aortogram,obtained
98,AO,becomes
41,Aorta,Ascending
51,Aosta,can
80,AOP,allows
81,aorist,seems
1894,AOL,wants
1261,AORTIC,ARCH
49,Aosta,became
481,aorta,located
69,aortitis,have
365,aorta,ends
79,aortae,arise
91,AOL,continued
79,AOPA,is
86,aorist,ending
48,aorta,empties
132,Aotearoa,has
70,aorta,carrying
48,AOL,asked
182,AOM,were
197,Aortography,was
178,Aos,is
127,aortogram,can
42,aortography,reveals
55,Ao,indicates
92,aorta,distributes
143,AOH,is
47,Aoki,calls
94,Aouda,became
147,ao,dais
152,aorta,obtained
59,AOL,shows
41,Aoa,is
144,Aoki,argues
47,aorta,traverses
45,aoid,has
18452,aorta,clamped
85,AO,used
870,aorta,appears
55,aortic,prosthesis
921,aorta,arising
258,AOC,has
463,AOL,acquired
125,aorta,situated
514,aortas,are
79,aorta,repaired
700,aortae,are
73,aortofemoral,grafting
366,AOR,is
139,Aoe,et
172,Aortography,should
126,AOA,can
125,Aoo,is
75,aorta,rose
48,aortogram,done
110,AOG,was
45,AOL,called
214,aorta,contain
102,aortic,may
724,AOL,could
3266,aorist,is
97,aorta,grows
82,aortogram,following
128,AONBs,have
490,AO,et
586,aorta,leaves
166,AOM,does
328,Aoki,said
1375,Aortography,is
242,aorta,exhibits
818,aortas,is
48,aod,was
181,aortogram,reveals
228,AOG,is
3993,aorta,arises
64,AO,overlap
106,Aoki,says
124,Aorta,was
124,aorta,reach
169,AOC,will
72,AOL,introduced
50,Ao,gives
53,aorta,elongates
370,AOL,maintains
138,Aortography,can
48,aorta,reported
181,aos,do
88,AOA,would
761,AOL,are
71,Ao,came
129,AOD,are
138,AOL,buys
42,Aosta,lies
215,aorta,having
43,AOL,developed
482,Aotearoa,is
61,ao,denotes
443,aorta,forms
104,AONB,is
705,aorta,covered
1276,Aoki,was
46,aorta,helps
112,aortae,unite
252,aotivity,is
93,Aornus,was
164,aorta,increases
68,AOD,can
57,AOIs,are
163,AOL,chat
702,Aoki,is
53,aorist,suggests
103,Aotearoa,were
1666,aorta,allows
391,aortitis,are
68,aortoplasty,is
107,AOL,changed
98,AOs,must
86,Aortography,showed
72,aortography,demonstrated
137,aorist,stems
94,aorta,presenting
4291,AOL,has
79,AOT,were
95,Aot,provides
13524,aorta,was
67,Aotus,lemurinus
491,aorta,Left
91,AO,shows
321,aorta,occurred
94,AoA,provides
108,aorta,serves
76,AOAC,is
115,Aonio,rediens
863,aorta,connecting
673,AOS,is
112,Aouda,went
1494,aorta,must
135,aoul,were
146,AoA,are
60,aortic,isthmus
231,Aoife,is
86,Aoki,told
236,aorta,represents
840,AOA,is
41,Aorai,pointing
560,aorta,followed
60,Aornus,is
56,aorist,means
98,aorists,is
137,AOC,would
73,AOTF,can
211,Ao,will
568,aorta,receives
141,AOL,asks
555,Ao,had
59,aorta,represent
55,AON,has
70,AOPs,have
48,Aot,did
15625,aorta,falls
58,Aosta,took
1650,aorta,becomes
677,AOL,provides
2237,aorta,divides
441,aortography,has
531,aorta,become
78,aortograms,were
119,aortography,provides
145,Aomori,was
40,aorta,leave
118,aortic,are
45,AOL,issued
123,AO,AO
95,aorta,narrows
741,aortogram,showing
49,AOL,posted
405,AO,must
70,AoA,does
46,Ao,corresponds
61,aorta,pulsates
83,AOB,were
255,AOM,should
50,Aoki,called
76,aorta,occupies
71,AOX,has
95,Ao,did
193,aorta,dissected
43,AOL,charges
91,AOs,do
136,Aoki,would
2764,aorta,gives
130,AO,did
99,Aoyos,was
290,aorta,disappears
302,AOM,has
48,Ao,depends
77,Aoba,is
254,aorist,can
57,aorta,joins
147,Aoki,etal
70,aortas,may
53,AOL,allowed
79,Aoki,asked
126,ao,has
59,AOL,tried
369,Aortography,may
47,Aoun,launched
58,ao,called
526,aorta,pulsating
51,AOI,are
49,AOs,had
931,aorta,occur
353,AOE,are
81,Ao,does
361,aorta,begin
434,aortitis,may
51,AOL,seems
435,aoid,was
85,aorta,connects
138,aortitis,has
78,aots,are
388,aoul,was
84,AOSD,is
319,AoA,was
140,Aoki,did
89,aorist,occurs
62,aoudad,is
42,aoul,might
79,AOC,may
418,AORTIC,DISSECTION
62,Aortography,remains
98,aorta,subdivides
46,aortas,contain
78,aotion,may
43,aorta,enter
120,aortogram,are
56,AOL,sent
812,Aono,et
177,aoul,is
65,AOL,offer
60,AO,bisects
75,Aoun,rejected
163,aorta,beginning
628,Aoki,has
121,Aorta,commences
52,aorist,referring
178,AOL,offered
447,Aoi,had
138,aorta,giving
718,aortas,was
85,aorta,related
324,AOA,has
62,Aoj,is
156,AOA,are
72,Aol,is
145,aorta,left
142,Aoife,said
77,aorta,Descending
