count,noun,verb
66,APA,included
47,APEC,makes
54,APPLE,APHID
305,APPLICATION,AREAS
46,APRA,attempted
415,Apache,SOAP
52,Apaches,like
1075,Apartments,is
65,Apemantus,comes
115,Apennine,walks
44,Aphrodite,intervenes
271,Apocalypse,consists
1315,Apollo,cried
100,Apollodorus,built
55,Apollos,be
103,Apology,presented
57,Apostle,represented
146,Appeal,allows
45,Appeals,fell
446,Appendix,IX
101,AppleTalk,must
169,Appleby,moved
68,Appleton,argues
509,Appraisals,should
40,Apprenticeships,could
75,Approximation,Methods
596,April,fills
77,Apulum,was
49,apace,will
193,apartheid,comes
2578,apartment,faced
252,apartments,bought
11774,apathy,was
45,ape,picks
559,aperture,d
53,apertures,running
126,apes,chattering
48,aphasia,depend
343,aphasias,have
256,aphasics,did
324,aphids,containing
586,apnoea,are
122,apocalypse,waged
69,apocalypticism,does
74,aponeurosis,serves
224,aporia,are
1643,apostle,alludes
152,apostles,die
56,apothecaries,put
177,apparatus,bringing
16087,apparel,was
60,apparell,doth
325,apparition,crossed
11013,appeal,described
631,appeals,change
799,appearance,contain
400,appearances,concealed
276,appellant,denies
49,appellants,granted
180,appendages,placed
711,appendices,covering
88,appendix,contributed
83,appetite,accompanying
44,applause,persisted
71206,apple,exhibited
113,apples,lack
42,appliance,combines
249,appliances,discussed
2105,applicant,appeals
254,applicants,exceed
135,application,confirmed
4640,applications,cited
168,applique,were
54,appointees,managed
564,appointments,dating
23711,appreciation,goes
142,apprehension,displayed
730,apprehensions,grew
186,apprentices,held
4385,approach,FIGURE
1168,approaches,barred
41,appropriation,looking
174,appropriations,mentioned
836,approval,makes
252,approximate,correctness
255,approximation,describe
226,approximations,indicated
922,apricot,are
79,apricots,being
638,apron,adorned
53,apses,radiating
64,aptitude,develops
132,aptitudes,play
49,APC,inactivates
199,API,developed
74,APO,conducted
395,APPEALS,AGAINST
47,APPROACHES,Learning
140,APS,AC
64,APT,holds
61,APs,appear
103,ApSimon,et
198,Apaches,considered
824,Apartment,was
