count,noun,verb
127,Aqa,is
114,Aql,was
128,Aquilegia,is
254,Aquinas,appeared
101,Aquincum,is
61,Aquino,formed
71,aquaculture,started
215,aquarists,prefer
168,aquarium,did
396,aquariums,filled
46,aqueduct,includes
329,aqueducts,supplied
63,aquifers,developed
55,Aqueducts,supplied
112,Aquinas,accomplished
48,Aquino,believes
106,Aquitaine,added
124,aquaria,supplied
309,aqueducts,did
61,Aqueducts,built
356,Aquinas,brought
1355,Aquino,said
73,aqueduct,works
395,Aqua,was
58,Aquaculture,must
55,Aquarius,holds
827,Aquinas,understood
57,aquaculture,relies
57,aquaria,using
66,aquifers,provides
51,Aquila,read
1094,Aquinas,attacked
171,aquarium,featuring
172,aquavit,is
157,aqueduct,consisting
62,aqueducts,kept
308,Aquino,told
113,aqua,was
427,aquarium,does
89,aqueduct,started
97,Aqiba,say
152,Aquarists,have
129,Aqueduct,crosses
1392,Aquinas,consists
641,aquarist,should
149,aqueduct,having
451,aquifer,located
422,AQ,was
94,Aquia,is
53,Aquili,have
8690,Aquinas,does
82,aqueduct,cost
145,Aqabah,was
302,Aquae,destillatae
58,Aquinas,arguing
66,aquaculture,practiced
54,aquifer,forms
871,aquitard,is
91,Aquacade,was
96,Aquarium,features
61,Aquarius,goes
254,Aqueduct,has
79,aquatint,entitled
54,aqueduct,existed
196,AQ,would
117,Aquarius,began
337,Aquinas,prepared
464,aqua,et
101,aquatic,feeds
239,aqueducts,carrying
220,aquifer,decreases
51,Aquila,bianca
1020,Aquinas,accepts
148,Aquitaine,may
67,aquaculture,being
199,aquaria,has
101,aqueous,ammonium
1601,Aqaba,has
61,Aquaria,should
620,Aquinas,attempted
68,Aquino,being
83,aq,can
87,aquarium,houses
212,aqueduct,spanning
90,aquifer,equals
83,Aqaba,be
66,Aquila,instructed
619,Aquinas,broke
173,aquifers,show
54,Aquileja,had
50,Aquilo,radit
2347,Aquinas,denied
248,aquatint,engraved
99,aqueous,extracting
47,aquifer,declined
81,Aqu,APR
155,Aqua,has
494,Aquila,would
870,Aquinas,became
106,aquatica,has
252,aquaticus,were
93,Aqasi,was
618,Aquila,can
454,Aquinas,alludes
306,aquarists,will
66,aqueous,obtained
173,aquifer,pumping
46,Aquila,rose
183,Aquinas,employed
41,aquarist,was
560,aqueduct,being
78,aqueous,supporting
262,Aquarians,will
403,Aquidneck,was
442,Aquinas,follow
47,Aquitaine,having
518,aqueduct,passes
45,aqueducts,lead
86,aqueous,extracts
649,Aqaba,are
53,Aquila,explained
2965,Aquinas,can
529,aqua,regis
350,aquatint,printed
86,aqueducts,crossed
56,aquifers,shown
46,Aqueous,can
176,Aquin,had
60,Aquincum,were
68,Aquino,restored
2304,aquaria,are
48,aquifer,need
110,aquifers,depends
49,AQMD,is
88,Aquin,has
53,Aquino,stepped
76,aqueous,following
7185,aquifers,is
56,AQUATIC,LIFE
67,Aquamarine,was
44,Aquaphor,is
137,Aquinas,let
75,Aquitaine,see
137,aqueous,enters
66,Aquileia,took
3618,Aquinas,calls
49,aquaporins,has
44,aquarium,become
44,aquifer,needs
124,Aqu,OCT
1445,Aquinas,followed
52,Aquitaine,appealed
43,aqueduct,filled
94,aquifer,moves
114,Aquinas,arrived
61,Aq,have
851,Aquinas,found
274,Aquino,Takes
1307,Aquitania,was
62,aquafortis,be
82,aquarium,allows
146,aqueducts,broken
117,Aq,was
103,Aquinas,works
53,aqueduct,repaired
42,aqueous,reaches
127,Aquinas,devised
72,Aquino,fell
70,aqueducts,coming
4945,aquifer,has
222,Aquin,says
60,aquaculture,related
141,aquarium,covered
596,aqueduct,called
110,Aqu,SEP
69,Aqueduct,can
1252,Aquinas,put
67,Aquino,released
84,aquatints,printed
106,aqueducts,repaired
1263,Aquifer,is
2247,Aquinas,endeavored
348,Aquino,left
78,Aquillii,returned
157,Aquitania,would
94,aquarium,looks
63,aqueous,allowed
238,Aquarium,will
185,Aqueduct,built
77,Aqueducts,have
526,Aquinas,combats
71,aquatica,grows
262,aquatics,have
264,aqueduct,began
61,Aquin,wrote
410,Aquitania,is
77,aqueducts,supported
197,aquifers,supplying
97,Aquila,uses
68,Aquinas,know
238,Aquino,should
70,aquarium,occupied
65,aquatint,shows
227,aqueduct,entered
136,aquifer,causes
109,Aqaba,may
89,Aquarium,Keeping
27365,Aquinas,arrives
44,Aquino,proved
1270,aqueducts,built
405,aqueous,will
274,aquifer,ranges
215,aquifers,composed
99,AQA,is
201,Aquinas,prefers
59,aquariums,built
222,aqueduct,remains
62,aqueducts,raised
300,aquifers,being
205,Aquarius,play
274,Aqueduct,were
2663,Aquinas,edited
239,aquamarines,are
95,aquaporins,is
60,aqueducts,seem
235,aquifer,exceeds
63,Aqaba,pursuant
11080,Aquarius,is
74,Aquepts,are
1260,Aquinas,brings
391,aquaculture,must
196,aquarists,should
91,Aqaba,comprehends
195,Aquaculture,may
63,Aquarium,does
306,Aqueductal,stenosis
220,Aquila,made
939,Aquinas,agreed
130,aquaculture,including
66,aquarelles,are
115,aqueous,flare
43,Aq,depends
266,Aquarii,is
63,Aquilegia,are
114,Aquinas,destroyed
72,aQ,can
41,aquarium,caused
121,aqueduct,continued
41,aqueducts,increased
49,aqueous,milieu
1288,aquifer,were
182,Aqueduct,would
