count,noun,verb
114,ARCTIC,SEA
54,ARITHMETIC,LOGIC
60,ARRAY,will
217,ARTS,SHOW
119,ART,PROGRAM
59,ARVN,got
561,Arab,left
76,Arabella,shivered
49,Arabs,accompanying
369,Arafat,sat
108,Arago,thinks
47,Aragon,concluded
60,Aranyaka,refers
81,Arapaho,could
428,Arati,is
183,Arbe,i
52,Arbuckle,stood
66,Arcesilaus,took
777,Archangel,would
44,Archbishop,headed
43,Archduke,commenced
54,Archilochus,should
57,Archipelago,brought
95,Archive,must
441,Archives,comes
170,Arcot,gave
466,Ardea,was
70,Ardennais,is
324,Ardoin,was
224,Area,Exposed
169,Arena,should
114,Arenas,wrote
1621,Arendt,called
59,Arethusa,seemed
53,Argentina,controlled
54,Argentines,come
100,Argo,must
41,Argonauts,served
174,Argos,began
226,Argument,According
59,Arguments,give
132,Argus,lost
143,Argyris,have
5458,Ari,had
75,Ariadne,heard
103,Arians,went
1630,Arica,is
114,Aries,said
163,Arion,played
141,Arista,would
160,Aristotle,Translated
12716,Arjuna,goes
5316,Ark,carrying
108,Arkady,entered
41,Arkansas,puts
77,Arlene,shrugged
106,Arm,lies
167,Armada,formed
427,Armand,thought
100,Armant,is
82,Armie,being
298,Armitage,will
533,Arms,Raised
368,Armstrong,increased
2283,Army,doing
64,Arnaz,are
533,Arnold,believe
82,Arobin,asked
1477,Around,is
579,Arran,said
75996,Arrangements,were
562,Arrow,can
414,Arrowheads,mark
122,Arsonists,were
712,Art,appreciates
53,Artemidorus,writes
176,Artemise,had
93,Artemus,looked
260,Arthur,arrive
106,Article,summarizes
162,Artie,are
54,Artifacts,manufactured
362,Artillery,entered
165,Artois,played
136,Arts,Consultant
227,Arundel,held
235,arbitrariness,seems
212,arbitration,come
292,arbitrator,erred
139,arbitrators,proposed
1389,arc,ACB
49,arcades,pierced
666,arch,dated
3693,archaeologist,would
54,archaeologists,emphasized
78,archaeology,moves
942,archbishop,brought
214,archdeacon,received
40,archers,dispersed
1330,arches,round
877,archetype,had
