count,noun,verb
73,ASB,believes
59,ASP,came
77,ASSUMPTIONS,INVOLVED
165,ASTs,can
64,Asad,promised
149,Asahi,published
121,Asante,attempted
50,Asbestos,found
50,Asbury,agreed
228,Ascham,became
79,Ascidia,sydneiensis
56,Asclepiades,wrote
363,Ash,gives
415,Ashanti,should
181,Ashcroft,asked
703,Ashe,turned
87,Asheville,have
110,Ashley,allowed
240,Ashton,shook
2839,Asia,forms
59,Asian,smiled
253,Askers,embody
165,Asmus,is
206,Aspe,was
54,Aspects,according
286,Aspergillus,sinusitis
126,Asplanchna,sieboldi
146,Assam,Gujarat
64,Assemblers,translate
7610,Assembly,desiring
527,Assessments,levied
65,Assets,withdrawn
201,Assignments,Are
99,Assistance,recommended
109,Associates,assisted
11137,Association,becomes
315,Associations,Article
101,Assurance,means
473,Assurbanipal,was
141,Assyrians,pursued
42,Asterionella,can
172,Astonishment,may
118,AstraZeneca,is
65,Astrologer,would
124,Astrology,says
74,Astronomers,face
77,Astruc,made
61,Asturia,is
46,as,required
52,ascent,referred
57,ascites,suggest
838,ascription,are
96,ash,varying
108,aspect,alarmed
1533,aspects,TABLE
2570,aspirant,may
92,aspirate,yielded
89,aspiration,appear
533,aspirations,caused
1524,aspirin,inhibits
42,ass,dancing
49,assailant,wounded
688,assailants,left
64,assassination,leads
239,assassins,appeared
406,assault,focuses
193,assaults,having
119,assays,varied
2472,assemblage,does
53,assemblages,illustrate
571,assembly,enabling
372,assent,filled
48,assertion,contested
846,assertions,rendered
66,asses,ran
227,assessment,extend
738,asset,come
182,assets,sell
1393,assignees,must
214,assignment,pays
178,assignments,compared
42,assimilation,moulded
16326,assistance,Has
161,assistant,brushed
1655,assistants,add
1921,associates,agreed
121,association,invoked
2201,associations,occupied
94,associativity,was
53,assonance,will
1443,assumption,confined
309,assumptions,existed
46,assurance,monitors
237,asteroid,passed
48,asthma,obliged
263,astonishment,caught
54,astringency,would
126,astrocytes,did
181,astrologer,cast
66,astrology,given
520,astronauts,felt
614,astronomers,assumed
511,astronomy,advanced
66,asylums,receiving
715,asymptote,has
161,ASCE,was
49,ASEAN,suggests
963,ASSOCIATES,LTD
55,ASTRONOMER,ROYAL
96,ASVAB,consists
503,AS,ADJUSTMENT
90,Asa,raised
113,Asahi,have
68,Asaro,is
253,Ascension,did
486,Ash,argues
108,Ashby,pointed
44,Ashcroft,promised
167,Ashe,should
204,Ashley,likes
216,Ashmolean,has
427,Ashmore,said
110,Ashoka,began
72,Ashqelon,was
11521,Asia,alarmed
200,Asian,knows
86,Asians,discovered
829,Asli,are
75,Aspects,Introduction
251,Asphodel,is
75,Aspidiotus,ostreaeformis
74,Aspinwall,are
82,Asplenium,is
82,Asquith,announces
1388,Assembly,binding
292,Assessment,Rating
154,Assigns,work
250,Assisi,began
253,Assistant,Grade
232,Assistants,acting
131,Associated,fauna
110,Associates,feel
4275,Association,Having
346,Associations,found
45,Asthma,varies
43,Astolpho,lay
47,Aston,speaks
59,Astragalus,mollissimus
50,Astronauts,walk
299,Astronomia,nova
66,Astronomisches,aus
942,Astronomy,will
59,Asuncion,might
1540,asbestosis,is
47,ascendence,would
59,ascension,opens
3445,ascent,may
621,ascetics,can
148,asci,form
208,ascription,based
93,ascus,produces
90,ash,comprises
682,ashes,comes
183,aspect,characterises
191,aspects,aim
166,aspen,growing
229,aspirate,collected
222,aspiration,brings
142,aspirations,takes
64,aspirings,implanted
146,ass,grazing
60,assassin,creeping
424,assassins,found
489,assault,opened
184,assay,exploits
151,assays,targeting
95,assemblage,contributed
392,assemblages,continue
509,assembly,abdicate
107,assertion,bore
99,assertions,qualified
110,assessment,overlaps
645,assessments,serve
5056,assessor,has
209,asset,protected
1889,assets,allocable
617,assignment,Write
184,assignments,Note
625,assignor,retains
57,assimilation,regarding
2188,assistance,allows
417,assistant,designed
906,assistants,got
1721,associates,analyzed
1782,association,advertised
5612,associations,decrease
199,assumption,lead
255,assumptions,borne
185,assurance,enter
57,asteroids,give
461,astonishment,followed
139,astrologers,listed
44,astrology,falls
53,astronauts,shared
368,astronomers,suggest
69,astronomy,knew
133,asylum,offers
548,asymmetry,extends
47,ASA,provided
94,ASEAN,failed
57,ASHTON,was
56,ASRS,are
229,ASSEMBLY,FROM
162,ASTP,were
56,ASTRONOMY,is
583,AS,FOOD
75,Asad,got
70,Asante,defines
1289,Asantehene,was
49,Ascarides,may
54,Asch,obtained
502,Asean,is
433,Ash,called
108,Ashburnham,said
194,Ashburton,will
3796,Ashcroft,had
65,Ashkenazim,arrived
150,Ashley,say
101,Ashmore,says
202,Ashore,is
903,Asia,Described
52,Asians,resulted
55,Asiatics,went
107,Asilidae,are
111,Askeaton,was
57,Asoka,expressed
3090,Aspects,du
79,Asquith,termed
57,Assemblies,belonged
3026,Assembly,attacking
212,Assets,leased
58,Assheton,were
210,Assimilation,meant
244,Assisi,saw
78,Assistant,needs
68,Assocation,is
121,Associates,inc
1643,Association,linked
84,Associations,publish
283,Assyrians,defeated
67,Astakhov,told
90,Astor,joined
168,Asuras,became
728,ascenders,are
141,ascension,gives
140,ascents,must
88,ash,reach
1039,ashes,belonging
40,asides,be
