count,noun,verb
1275,ATF,was
57,ATIS,had
2032,AT,DELPHI
432,Atahualpa,did
42,Athabasca,may
118,Athanasius,identifies
90,Athena,intervened
78,Athenian,proposes
661,Athens,betrayed
278,Athos,turned
62,Atkinson,liked
750,Atlantic,increased
978,Atlas,shows
1086,Atonement,made
101,Atrophy,does
111,Atta,returned
44,Attackers,Advantage
240,Attempt,may
212,Attendants,can
75,Atthis,was
49,Attica,settled
5236,Atticus,was
723,Attila,made
47,Attlee,writes
326,ataraxia,is
12998,athlete,lifts
47,athletes,answer
699,atmosphere,announced
449,atom,manifests
339,atomizer,must
461,atoms,diminishes
84,atra,has
76,atresia,develops
195,atrocities,go
113,atrocity,makes
345,atrophy,do
164,attachment,embedded
808,attachments,relating
2069,attack,bristled
13039,attacker,has
2241,attackers,continued
1073,attacks,indicate
76,attainment,constitute
684,attempt,existed
110,attempts,induced
609,attendance,drops
519,attendant,barked
334,attendants,added
78,attendees,using
651,attention,Having
94,attentions,diverted
247,attenuation,involved
41,attic,means
119,attire,meant
2080,attitude,generated
2223,attitudes,conducted
470,attorney,opens
257,attorneys,jumped
422,attraction,continued
206,attractions,led
385,attribute,belonged
75,attribution,appear
2931,ATA,is
218,ATMs,installed
56,ATOMS,HAVE
75,ATPase,undergoes
565,AT,BOX
48,Athanasius,respecting
51,Atheism,lies
40,Athena,named
822,Athenaeus,tells
66,Athenaios,is
1038,Athenian,did
287,Athenians,pretended
834,Athens,devised
195,Athletics,could
567,Atkins,made
44,Atkinson,completed
327,Atlantic,includes
64,Atlantis,set
616,Atma,has
1678,Atta,had
85,Attacks,seem
696,Attention,Based
123,Attitudes,Revisited
48,Attok,was
149,AttorneyGeneral,made
75,Attorney,noted
138,Attorneys,file
124,Attribute,Listing
394,Atwater,says
705,Atwood,writes
49,ataxy,were
47,atep,was
40,atheist,sprawling
47,atheists,remained
176,athlete,rotates
184,athletes,drinking
182,athletics,helped
48,ation,d
836,atmosphere,extend
70,atom,weakens
351,atoms,believed
43,atonement,opens
63,atovaquone,may
53,atrophy,remain
212,attachments,connect
1219,attack,converted
40,attackers,lying
11223,attacks,broken
564,attainder,be
110,attainment,called
96,attainments,stood
198,attempt,opposed
302,attempts,Were
237,attendance,allow
64,attendances,varied
447,attendants,Were
574,attention,adds
84,attenuation,differs
1586,attic,rattled
1176,attitude,appealing
561,attitudes,conspired
270,attorney,resumed
1299,attorneys,advise
585,attraction,led
52,attractors,form
68,attribute,maintains
2220,attributes,accorded
199,attrition,associated
58,ATCase,are
170,ATG,may
328,ATMs,has
51,ATTACHMENT,BY
509,AT,SPRINGFIELD
73,Atahuallpa,confessed
46,Atara,is
40,Atatiirk,insisted
107,Atelectasis,refers
52,Aten,asteroid
71,Atget,used
663,Athabasca,is
78,Athanassoula,et
626,Athena,comes
57,Athenaeus,said
212,Athens,differ
79,Athol,moved
95,Athos,waved
107,Ativan,was
147,Atkins,arrived
200,Atkinson,enjoyed
41,Atlantic,commented
501,Atlas,took
51,Atta,moved
156,Attacks,do
140,Attendance,does
686,Attention,shall
174,Attitude,means
84,Attitudes,Underlying
56,athlete,aims
223,athletes,join
325,athletics,requires
163,atimia,was
123,atm,should
322,atmosphere,excludes
218,atom,forces
358,atomizers,were
239,atoms,arrived
64,atresia,reported
95,atrium,situated
4525,attache,must
370,attack,divided
443,attacker,masquerades
41,attacks,prevents
233,attempt,filled
443,attempts,seek
316,attendant,beckoned
310,attendants,ascended
1315,attention,concentrates
103,attentiveness,increases
51,attic,appeared
85,attire,chosen
4394,attitude,exacerbated
159,attitudes,constrained
815,attorney,breaks
494,attorneys,conduct
454,attraction,breaks
259,attribute,inhering
1932,attributes,desired
56,ATLANTIC,WALL
59,ATOMIC,ARRANGEMENT
65,ATP,make
150,AT,BROOKLYN
149,Athanasius,employs
1434,Athenians,accept
453,Athens,embarked
116,Atherina,boyeri
1816,Atherton,said
140,Athlete,should
120,Athletes,seem
122,Athos,being
44,Atkins,assured
2289,Atkinson,considered
156,Atlanta,helped
742,Atlantic,added
49,Atlantis,continues
41,Atman,might
103,Atoms,possessing
815,Atropin,is
252,Atropine,reduces
151,Attachment,means
70,Attacks,caused
207896,Attention,Must
159,Attie,had
67,Attila,sought
81,Attiret,was
81,Atwater,seemed
114,Atwood,reported
155,Atzerodt,said
49,ateliers,can
98,atheist,turned
582,athlete,involved
892,athletes,demonstrates
76,athletics,required
159,atlas,include
1577,atmosphere,Be
128,atolls,occur
951,atom,contained
100,atomicity,may
54,atomics,is
1615,atoms,imparts
68,atoxyl,had
119,atrocities,multiplied
179,atrocity,called
