count,noun,verb
377,AUC,had
160,AUR,is
97,AUSABLE,PRESS
187,AUTHORIZATION,ACT
941,Aubrey,were
65,Auburn,led
505,Audiences,began
56,Audio,must
372,AuditorGeneral,has
961,Audrey,exclaimed
652,Audubon,returned
68,Aufbau,has
58,Augier,made
84,Augite,are
256,August,concerned
983,Augusta,gave
70,Auguste,got
306,Augustine,awaited
551,Augustines,was
1109,Augustus,encountered
282,Aulaire,had
47,Auld,hired
135,Aulus,sware
80,Aurora,rolled
42,Auschwitz,defies
1204,Austin,denies
199,Australia,conquered
219,Australians,become
269,Austria,competed
661,Austrians,captured
430,Author,foresaw
543,Authority,Says
151,Autism,have
165,AutoComplete,will
55,Automedon,took
63,Automobile,licenses
74,Autonomists,have
100,Autorite,pour
119,auction,sells
55,auctioneer,redoubled
5368,audience,appreciating
4010,audiences,baffled
122,audio,began
1972,auditing,should
310,auditor,carry
703,auditorium,used
197,augmentation,occurred
45,augur,turned
383,aunt,forsakes
111,aunts,announced
62,aura,turns
132,aurora,takes
284,auroras,can
149,authentication,defined
41,authenticity,expresses
25023,author,associated
6391,authorities,conflicting
4306,authority,abolished
91,authorization,associated
88,authorizations,submitted
159782,authors,aiming
4092,authorship,flourished
72,autism,takes
271,autobiography,mentioned
50,autogenics,are
365,autografts,is
275,autoimmune,neuritis
322,automation,eliminated
459,automobile,searches
570,automobiles,cross
695,autonomy,emerges
104,autopsy,need
427,autotransformer,starting
10049,autumn,frosts
62,AUG,occurs
78,Aubert,writes
1936,Auburn,gave
60,Auchtermuchty,was
55,Aud,did
53,Auden,selected
56,Audience,Find
54,Audit,be
116,Audran,is
115,Audry,has
257,Auf,den
1008,Augur,was
621,August,bringing
374,Augustina,had
315,Augustine,delivered
744,Augustus,achieved
408,Aune,et
578,Aunt,looked
93,Aupperle,et
384,Aurangzeb,began
623,Aurora,lying
169,Austen,provided
441,Austin,accepted
528,Australia,concerns
753,Australians,continued
130,Australopithecus,must
1117,Austrians,wanted
55,Autenticos,was
88,Authoritarianism,versus
188,AutoCAD,redraws
228,Autogestion,et
216,Automobiles,See
487,Autumn,fills
