count,noun,verb
72,Ava,screamed
138,Avari,was
69,Averin,et
48,Averroes,attempted
229,Avram,could
47,avarice,circulated
276,avenues,adorned
1962,average,comes
229,averages,differing
152,aversion,tend
49,aviator,need
334,aviators,being
53,aviso,is
83,AV,needed
515,Ava,says
89,Avalokitesvara,standing
136,Avalon,looked
1520,Avatara,is
194,Avellino,had
182,Avenant,has
123,Avenarius,are
177,Avenger,comes
45,Avenue,seeking
119,Averill,looked
579,Avery,replied
49,Aviation,flying
111,Avicenna,means
55,Avogadro,follows
59,Avon,continues
69,Avvakum,wrote
70,avalanches,destroyed
236,avantgarde,were
2086,avenger,was
253,avenue,terminates
698,average,failed
174,averages,implies
189,aversion,existing
239,aviation,designed
58,aviators,served
97,avidity,proportioned
57,avoidances,will
81,avoids,paying
65,AVN,have
146,Avalokita,is
171,Avenger,shall
47,Avenue,chanting
42,Averroes,meant
558,Avery,believes
141,Avila,being
62,Avis,answered
46,Aviv,rose
47,av,have
594,availability,became
300,avalanche,increased
132,avalanches,created
246,average,succeed
9247,averages,have
140,aviators,know
436,avocation,had
119,avons,maintenant
46,avowal,implies
65,AVC,equals
139,AVERAGE,LIFE
62,Avars,sent
53,Aveiro,are
117,Average,made
91,Averroes,seeks
50,Avery,sensed
69,Avey,can
100,Avon,sung
132,Avrigny,took
66,Avruch,was
230,availability,combine
101,availeth,is
109,avalanches,poured
68,avantgarde,may
257,average,presented
57,averages,possess
105,avoidance,showed
52,avowal,shall
113,Ava,glanced
145,Avalon,can
47,Aveling,became
154,Aventine,are
89,Averroes,und
1691,Avery,established
462,Avi,asked
48,Avice,entering
377,Avid,is
125,Avignon,began
48,Avineri,observes
48,Avranches,could
49,avails,paid
412,avalanches,could
115,avarice,goes
765,avenues,closed
865,average,hovered
249,averter,is
339,aviation,played
124,aviators,gave
80,AVA,were
67,AVERAGE,RESPONSE
112,Ava,remembered
342,Avadh,were
803,Avdo,has
73,Avenue,give
150,Averell,left
175,Avid,can
761,Avila,arrived
46,Aviles,are
580,availability,noted
274,avalanche,slopes
337,avenues,bear
1402,average,centered
104,averaging,eliminates
120,avocation,pursued
73,AVERAGE,LEVEL
71,AVNOJ,would
78,Avellanos,can
136,Avent,was
195,Avenue,coming
159,Averaging,has
91,Averill,asked
272,Averroes,appeared
184,Avery,pressed
72,Avice,took
2751,Avila,had
101,Avineri,argues
98,Avocado,Sauce
90,Avon,offers
254,Avram,has
66,Avril,dancing
349,avails,were
297,average,looks
112,averages,noted
537,aviators,should
49,avoidance,manifests
708,avowal,will
45,Availability,reflects
47,Avant,did
123,Avanzo,was
740,Avenant,had
99,Avenue,approaching
44,Aviation,wrote
394,Avicenna,contends
936,Aviles,was
99,Avito,is
231,availability,created
52,avalanches,shoot
741,avarice,made
194,avenue,pursued
5220,average,learned
252,averages,collected
282,averments,relating
365,aversion,continued
92,aviator,lost
101,avoidance,remained
81,AVAILABLE,BY
100,AVS,was
233,AV,does
48,Av,begins
54,Avaria,was
77,Avebury,could
491,Avenue,du
877,Averil,was
630,Avery,opened
81,Avila,continued
107,Avon,begins
100,Avot,d
645,availability,combined
47,avalanche,hanging
149,avenue,crossed
418,averment,would
85,aversion,given
80,aviation,experienced
286,aviculturists,have
94,avocation,do
221,avoidance,involve
513,AVI,is
58,Ava,believed
79,Avadh,became
708,Availability,refers
91,Available,was
164,Avenel,could
321,Avenir,had
107,Avent,et
57,Avenue,becoming
58,Average,sold
67,Averaging,refers
56,Averroes,felt
83,Avery,get
91,Avey,must
139,Avicenna,agrees
57,Avison,says
334,availability,causes
6619,average,aided
596,averages,drawn
89,aviation,emerged
55,avidya,appears
67,avocat,has
129,avocation,could
121,avoidance,involving
69,AVERAGE,DISTANCE
51,AVIS,is
158,AVP,could
70,Avanzi,was
1301,Avatars,are
671,Avenue,drawing
59,Averages,Compared
44,Averill,pursued
55,Averroes,remarks
1163,Avery,felt
73,Avesani,et
140,Avila,may
43,Avocations,have
124,Avoidance,Is
276,Avoirdupois,is
56,availability,renders
56,avalanche,roars
130,avataras,were
85,avenue,conducts
436,average,drew
428,averages,compared
87,aviators,drop
54,avionics,required
283,avocation,can
78,AVA,may
51,Avalokitesvara,known
192,Avatarhood,is
357,Ave,could
169,Avelino,had
76,Avellaneda,made
177,Avenel,came
69,Aventures,extraordinaires
56,Averaging,tends
64,Averni,is
1536,Avery,took
5954,Aviation,was
1075,Avice,had
69,Avicenna,suggests
55,Avignon,elected
164,Avites,made
876,Aviva,was
146,Avocation,is
117,Avon,received
292,Avorn,et
110,avengers,may
46,avenues,coming
326,average,begins
92,AVC,should
381,AVs,are
3513,Avalon,is
63,Avar,finds
783,Avenida,dos
58248,Avenue,bearing
89,Averroes,declared
235,Aves,had
3829,Aviation,has
79,avalanche,slowed
271,avalanches,swept
118,avenues,come
69,average,excluded
1827,averages,according
325,averment,will
138,aversion,passed
103,aviation,constituted
75,aviator,left
48,aviators,completed
247,avitaminosis,is
126,avocations,be
449,AVERAGE,GROWTH
89,AVL,has
92,Ava,liked
63,Avalos,said
90,Avar,are
122,Avaray,was
626,Avaux,wrote
90,Avenel,did
137,Avenir,were
9079,Avenue,bears
55,Averill,have
82,Averroism,were
91,Avery,asks
249,Avesta,can
504,Avhich,had
54,Aviators,flew
98,Aviv,looking
56,Avondale,looked
55,Avons,are
128,Avrich,has
626,avenues,become
32044,averages,produces
258,aversion,comes
537,aviation,be
439,aviators,began
750,avoidance,seems
538,avoiders,are
112,avulsions,were
184,AVC,falls
109,AVMs,tend
8853,AV,node
47,AVg,is
128,Avants,et
45,Avatar,means
1674,Aveling,was
3044,Avenue,attended
571,Average,will
635,Avery,answered
42,Avhich,have
139,Avigad,has
158,Avogadro,made
1509,Avril,was
519,aValues,are
114,availability,diminished
252,avarice,seemed
133,average,devoted
1192,averages,achieved
76,aviation,left
168,avoidance,appear
1340,avowal,had
366,AVIATION,ADMINISTRATION
62,AVe,are
46,Ava,be
433,Avadhi,is
57,Aventine,could
199,Avenue,VANCOUVER
74,Average,based
101,Aviators,flying
75,Aviv,found
6138,Avoidance,is
137,Avon,gave
143,Avonlea,would
520,avarice,does
1194,average,adds
553,averages,come
252,averaging,leads
330,aviation,enthusiast
63,avoids,telling
321,Avdotya,had
90,Avery,murmured
154,Avicenna,recommends
935,Avoidance,was
654,availability,refers
123,avalanches,break
170,avenue,goes
68,avenues,dividing
2167,average,compounded
1787,averages,indicate
178,aviators,use
365,avocations,should
590,avoidance,became
77,avons,egalement
80,AVERAGE,FROM
59,AV,might
173,AVs,were
163,Avalokitesvara,had
159,Average,should
101,Avery,developed
85,Avesnes,is
45,Avignon,served
87,Avis,sat
86,Aviv,knew
