count,noun,verb
409,AW,has
359,Award,offers
243,Awards,honoring
235,Awl,made
71,Awujale,is
95,awardees,may
154,awareness,learn
149,awe,combined
53,awkwardness,forgotten
44,awns,will
249,Award,won
79,Awolowo,will
457,awakening,known
1808,award,recognizes
3202,awards,been
1984,awareness,coupled
1965,awe,could
59,awl,does
104,Awapara,et
415,Awolowo,became
112,award,ranging
184,awards,involve
3388,awareness,allows
40,Award,going
57,Awareness,depends
117,Awarua,was
58,award,terminating
113,awards,expected
2111,awareness,dissolves
149,awe,gives
301,awkwardness,filled
104,Aw,could
69,Awolowo,formed
49,awakening,put
1286,award,amounted
119,awards,celebrate
314,awareness,inspired
209,awarenesses,may
184,awning,raised
81,Awonawilona,conceived
2710,awakenings,are
511,award,classified
133,awareness,creeping
43,awkwardness,seem
219,awls,found
226,Awang,was
84,Awkward,has
51,Awnings,have
197,Awns,are
104,awakening,broke
368,award,falls
822,awards,accompanied
401,awareness,mediated
119,awkwardness,occurs
231,Awakening,made
228,awakenings,come
218,awareness,disappears
72,awraja,is
200,Award,established
105,Awardees,must
871,award,decided
293,awards,having
2090,awareness,awakens
44,awning,stretches
56,Awamutu,is
2244,Award,began
770,Awards,shall
484,awakening,followed
194,award,favors
8336,awards,was
2086,awareness,induces
238,awe,remained
527,awkwardness,arising
46,awnings,shielded
40,AWSA,focused
72,awakening,occasioned
141,award,considering
272,awards,contain
5383,awareness,concerning
10981,awe,is
259,awning,shaded
101,AWARENESS,TO
3919,Awards,will
116,award,seeks
275,awards,published
276,awareness,exhibited
110,awe,prevented
223,Awolowo,claimed
112,awa,was
150,award,give
700,awards,remain
1469,awareness,dancing
47,awarenesses,could
92,awe,disappeared
43,awkwardness,connected
100,awnings,extending
98,AWARENESS,THROUGH
57,Aw,ken
49,Awakening,involved
1654,award,citation
60,awards,qualify
1579,awareness,builds
41,awe,stood
89,awkwardness,took
403,awning,can
57,awnings,fluttered
109,Awakening,opened
90,Awkward,Embrace
118,Awolowo,told
1111,awakening,did
1044,award,affects
158,awards,begin
162,awareness,comprises
58,AW,indicates
42,Awareness,plays
120,award,ranged
142,awards,provides
127,awareness,maintains
51,awe,suggested
58,AWARDS,COMMITTEE
349,awakening,taking
51,award,ia
230,awareness,drifted
468,awe,drew
304,awl,can
57,Awad,went
93,Awadh,came
45,Awoonor,says
52,awakening,aroused
111,award,confirms
395,awards,need
43,awareness,tingling
93,awfulness,covered
263,AWACS,could
51,AWARENESS,SURVEY
211,Aw,had
49,Awa,went
123,Awaji,is
4160,Award,Winning
72,Awful,Being
297,award,discussed
118,awards,dropped
777,awareness,evidenced
139,awe,sat
50,awkwardness,regarding
62,awning,leading
422,awnings,can
473,AWARD,WINNERS
229,Awakening,have
288,Awareness,Let
479,award,determining
225,awards,permit
1012,awareness,May
86,awe,accompanying
190,awkwardness,arose
52,awnings,gave
60,AWACS,deal
172,Awakening,affect
96,Awards,relating
