count,noun,verb
60,AXIS,VERTICAL
60,Axel,let
69,Axelrod,ran
295,Axes,Provided
43,Axis,posed
2197,Axons,are
141,axe,hang
174,axes,shaped
437,axioms,characterising
333,axis,Consider
4905,axons,do
81,Axinite,occurs
93,ax,sliced
86,axe,swept
87,axes,decreased
76,axis,superimposed
91,axons,activate
101,Axel,opened
56,Axon,membrane
195,axe,cleft
328,axes,exists
86,axioms,lies
2804,axis,bending
62,axises,are
269,axle,moved
1116,axons,lacking
81,Axel,decided
52,ax,hewed
91,axe,landed
1963,axes,defined
159,axial,shortening
72,axiom,stipulates
2485,axis,OO
61,axle,begins
222,axles,do
143,axons,penetrating
73,Axe,could
121,Axiom,does
44,ax,hacking
115,axe,depicted
2888,axes,broken
1454,axiom,concerning
292,axioms,involved
716,axis,arising
82,AXIAL,FLOW
172,ax,defined
201,axe,borrowed
95,axes,depict
100,axioms,suggest
63,axis,bisected
82,axletree,had
349,axons,should
263,Axel,got
120,Axions,are
1332,Axis,will
155,axe,employed
134,axes,attacked
79,axillary,plexus
224,axiom,asserting
235,axis,projected
3764,axon,became
399,axons,reaching
277,AX,may
161,ax,making
748,axes,begins
73,axioms,defines
8948,axis,conforming
51,axon,involved
1100,axons,carrying
52,Axiology,has
83,Axis,makes
491,axe,grinding
70,axemen,felled
696,axilla,has
304,axioms,assumed
268,axis,continuing
129,axle,casing
221,axon,meets
57,axons,propagate
69,Axe,can
512,Axis,came
452,ax,developed
178,axeheads,are
856,axes,added
49,axioms,left
766,axis,provided
75,axle,put
974,axon,appears
52,axons,fall
129,Axes,will
306,Axis,forces
288,axes,OB
1175,axiom,be
65,axioms,introduce
188,axis,contributed
104,axle,weighs
91,AXYZ,are
247,Ax,means
97,Axles,have
55,Axworthy,called
340,axes,concerned
1105,axiom,could
1527,axioms,put
2482,axis,illustrates
169,axons,continued
697,Axis,Let
171,axe,swimming
42,axilla,caused
188,axioms,means
15320,axis,causes
59,axles,ran
1191,axon,consists
59,axones,make
1953,Axes,were
406,axe,bound
1117,axes,kept
4018,axis,cuts
55,axle,shafts
262,Axelrod,wrote
128,Axis,drive
63,axe,secured
193,axes,crashing
67,axhead,was
680,axilla,were
82,axiology,does
1079,axis,bends
106,axon,generates
412,axonal,tracing
100,AXA,has
546,Axe,had
91,Axis,got
56,axe,brandished
86,axiom,led
241,axle,draggin
42,axon,acts
151,Axelrod,have
193,axe,passed
450,axes,hung
396,axial,focusing
41,axilla,revealed
1517,axis,affected
67,axle,receives
54,axles,located
81,axon,appear
184,AXELROD,is
48,ax,knocked
116,axe,filled
5201,axes,coincident
176,axioms,derive
354,axis,acquiring
62,axle,means
980,axles,should
89,axons,becomes
40,AXON,TERMINALS
124,axemen,cut
1096,axes,measure
162,axiom,lies
1073,axioms,describing
645,axis,Q
404,Axel,thought
260,Axis,axis
57,ax,covered
467,axe,displayed
264,axes,meant
93,axiom,apply
95,axioms,govern
330,axis,linked
66,axon,provided
45,axons,divided
775,Ax,becomes
1678,Axis,has
58,ax,attached
225,axe,Are
119,axes,cease
135,axiom,involving
600,axis,HH
1078,axons,descend
90,Ax,did
51,Axel,waved
83,ax,resounded
465,axe,gives
65,axil,was
859,axis,OZ
40,axle,weighed
413,axoneme,are
6909,axons,can
314,axoplasm,has
52,Axelrod,provides
60,Axis,proclaimed
64,Axum,have
156,axeman,was
1404,axes,refer
60,axial,pulling
418,axis,decreasing
774,axle,appears
68,axon,contained
56,axonopathy,associated
447,axons,derived
74,Axes,do
147,Axt,is
509,Axtell,had
2774,axes,form
85,axial,repeating
56,axils,grow
205,axiom,put
143,axioms,guarantee
549,axis,sends
944,axle,ends
40,axles,act
49,axon,extend
1821,axons,interconnecting
121,Axel,added
45,Axum,invaded
448,ax,lies
255,axe,hits
46,axeman,would
63,axial,twisting
44,axiomatization,have
352,axioms,make
2233,axle,being
138,axon,develops
219,axons,conveying
262,axoplasm,can
257,Ax,equals
98,Axis,tried
90,ax,approaches
182,axe,crumpled
2714,axes,exceeds
107,axiomatizations,have
664,axioms,being
455,axis,concerns
43,axle,studded
1037,axon,does
77,axons,share
734,AX,can
44,Axtel,had
345,axe,known
329,axes,armed
93,axiom,taught
14587,axioms,is
1039,axles,will
64,axon,establishes
180,axons,acting
2451,ax,stands
499,axe,developed
77,axeman,could
610,axes,depicted
201,axiom,assumes
41,axiomatics,linking
485,axis,serving
81,axle,connects
74,axolotl,may
121,axone,passes
139,axons,cut
431,Axel,came
661,axe,cutting
48,axes,sticking
79,axillary,may
362,axioms,include
1040,axis,encompasses
52,axle,engages
1060,axles,being
60,axmen,are
153,axon,resulting
50,axons,reveals
42,Axis,goes
170,Axle,was
745,ax,be
219,axe,been
5099,axes,do
89,axiom,required
44,axolotl,have
49,axolotls,may
335,axon,shows
68,axons,provided
41,AXIOMS,OR
152,AX,depends
93,Axbridge,was
2643,Axel,is
81,Axworthy,would
93,ax,set
295,axe,illustrated
45,axes,wrapped
115,axioms,led
3979,axis,displaying
110,axles,rotate
2786,axe,must
334,axes,lead
141,axial,spreading
1149,axiom,implies
53,axioms,i
27191,axis,articulates
44,axles,seem
131,axons,terminated
37302,axe,handle
92,axemen,went
372,axes,accounted
209,axilla,contains
2262,axis,equals
184,axones,arising
109,axons,giving
51,Axthelm,wrote
80,Axumites,had
589,ax,struck
647,axe,brought
850,axes,differ
54,axiom,covers
328,axioms,contain
21984,axis,accompanied
178,axles,creaked
101,axon,possesses
807,axons,come
54,Axel,stand
91,Axes,represent
138,Axons,connecting
75,ax,missed
2967,axes,oriented
174,axiom,involved
64,axis,enlarges
148,axles,carried
119,axletrees,gave
154,axones,grow
1616,axons,depend
68,Axelrod,suggested
182,ax,do
403,axes,agree
160,axioms,applied
2023,axis,allows
196,axle,breaking
137,axon,provides
458,axons,described
105,Ax,Ay
854,Axially,Loaded
453,axe,continued
1566,axes,bearing
59,axiom,adds
1961,axioms,be
2138,axis,cross
441,axle,needs
61,axons,increases
150,AX,does
95,Axel,pointed
49,Axelrod,turned
71,Axioms,be
126,Axis,led
55,axes,deduced
213,axillae,may
2734,axis,deflects
93,axle,Is
110,axles,require
54,Axelrod,presented
381,axe,Will
141,axes,bite
62,axles,lubricated
216,axons,showing
272,Axelrod,were
448,axiom,calls
203,axioms,allowed
340,axis,broke
186,axle,fits
79,axon,resembles
260,AX,approaches
43,axeheads,had
279,axes,align
104,axilla,became
47,axiom,played
104,axiomatics,has
1599,axis,adjusted
218,axle,break
109,axles,might
83,axon,stimulated
181,axons,coated
186,Axe,were
874,Axel,has
165,Axioms,concerning
52,Axons,send
860,ax,came
151,axe,changed
344,axes,connected
188,axiom,describes
1207,axis,Is
6194,axles,were
320,axons,perfused
61,Axe,may
503,Axis,considered
279,Axmann,was
282,ax,based
488,axil,is
2266,axilla,are
103,axiology,must
58,axiom,claims
118,axioms,consist
5785,axis,arose
183,axon,connects
269,axoneme,has
152,axons,induced
88,AX,could
1105,Axis,did
187,axeman,had
1000,axes,came
190,axiology,can
1089,axioms,becomes
767,axis,Op
63,axisymmetry,are
429,axles,broke
692,axon,emerging
454,axons,find
58,axoplasm,containing
83,Axelrod,discovered
203,Axial,contrastenhanced
63,Axiom,may
1222,ax,falls
530,axe,entered
161,axes,follows
163,axilla,shows
254,axiom,relating
49,axiomatics,consists
397,axions,are
1868,axis,falls
62,axle,increases
197,axles,greased
869,axon,ending
102,Axel,wondered
125,ax,occurs
216,axe,flies
85,axes,FIGURE
781,axillaries,are
311,axiom,governing
1740,axis,add
97,axle,designed
374,axletree,was
248,axons,follows
107,AX,have
53,Axle,torn
104,Axline,is
285,Axons,vary
152,axioms,implies
377,axis,OD
106,axlebox,is
740,axon,forming
490,Axel,took
4182,Axis,would
74,Axj,is
63,ax,cleaving
44,axe,ripped
348,axes,designed
80,axiom,written
140,axioms,play
452,axis,come
59,axle,protruding
2268,axons,distributed
179,Axholme,was
111,ax,denote
119,axe,become
425,axes,breaking
338,axioms,bowled
58,axis,governs
46,axle,crossing
123,axles,turning
161,axons,accumulate
1367,Axel,did
81,Axelrod,writes
439,axe,designed
89,axes,permit
583,axis,OV
427,axle,rests
741,axons,descending
385,Ax,be
44,Axis,takes
176,axe,introduced
4481,axes,comes
66,axioms,appears
928,axis,carrying
486,axle,attached
53,axles,working
730,axon,must
72,axons,crossed
3371,Axelrod,et
69,Axes,check
48,Axis,grew
83,axe,following
582,axes,help
118,axiom,forms
406,axis,experience
79,axle,ran
43,axles,according
41,axons,passed
64,Ax,tell
64,Axelrod,became
542,Axtell,has
107,ax,stood
36952,axe,prepared
288,axes,linked
553,axioms,built
100,axis,functioning
64,axle,lay
91,axon,exhibits
187,axons,exposed
117,Axis,required
88,Axon,caliber
2679,axes,containing
622,axilla,will
6126,axis,becomes
271,axle,causes
263,axons,appears
60,AXIAL,ANGLE
239,Axis,Is
43,Axons,running
408,ax,slipped
519,axe,put
713,axes,OP
234,axilla,become
176,axioms,founded
1820,axis,correspond
329,axles,having
70,axons,injured
122,AXAF,is
67,Ax,les
954,Axel,would
69,Axelrod,conducted
484,Axial,enhanced
61,Axum,remained
398,axes,describing
72,axiom,contradicts
627,axioms,stated
9502,axis,acquires
115,axle,called
155,axles,turned
104,axon,differs
77,axones,give
174,Ax,being
122,Axel,returned
57,Axis,wants
234,Axmann,had
92,Axon,has
58,ax,sharpened
487,axe,based
206755,axes,are
48940,axiom,is
46,axioms,contradict
266,axis,CC
774,axons,allows
63,axoplasm,does
56,Ax,reported
74,Axe,did
60,Axson,went
50,Axyris,amaranthoides
238,ax,became
253,axe,dubs
189,axiom,requiring
920,axis,assumed
65,Axelsson,is
3447,Axioms,are
390,ax,carried
168,axes,composed
92,axilla,would
278,axiomatization,was
2008,axis,meant
226,Axel,found
152,Axis,being
141,ax,hits
683,axe,handles
89,axes,lost
61,axilla,remains
183,axiom,formulated
243,axis,create
150,axle,extends
53,axons,ended
82,axe,hewing
1236,axes,constructed
4750,axiom,can
44,axioms,remained
1375,axis,centered
105,axles,need
424,axon,degenerates
81,Axon,had
48,ax,splits
651,axe,rang
742,axes,cutting
44,axillary,stalked
114,axiom,educed
193,axis,demonstrated
48,axon,indicated
49,axons,injected
974,Axel,could
54,Axeman,is
267,axes,AX
59,axiom,obtained
453,axioms,required
505,axis,attains
65,axles,burn
211,axon,do
83,axons,wrapped
185,Axelrod,called
50,Axis,succeeded
69,ax,whistled
54,axe,spun
45,axes,thrown
467,axiom,enunciated
593,axis,mark
79,axle,produced
212,axons,causes
175,AXILLARY,ARTERY
77,Axel,reached
59,Axelrod,organized
