count,noun,verb
92,Ayer,agrees
272,Ayla,has
103,Ayoub,said
372,Aytoun,had
83,Ayamonte,was
196,Ayduk,et
102,Ayesha,might
76,Aylesburys,are
62,Aymar,followed
150,Ayres,described
126,Ayrshire,called
56,Ayub,brought
84,Ay,am
3703,Ayatollah,is
43,Ayres,proceeded
203,Ayrshire,may
75,Ayyar,says
203,Ayla,kept
408,ayant,pour
66,ayu,Plecoglossus
128,Ayah,has
72,Ayala,saw
61,Aylesworth,told
51,Aymara,did
144,Aymerich,et
46,Ayres,say
262,Ayub,decided
65,ayuntamiento,could
139,Ayala,became
101,Ayer,saw
107,Aymeri,is
211,Aynsley,had
147,Ayrton,remained
57,Ayub,reached
67,ayre,may
87,Aycock,became
76,Ayesha,laid
99,Ayllon,set
708,Ayres,did
51,Ayrshire,does
61,Ayurveda,became
101,Ayer,tells
253,Aylmer,will
109,Ayme,et
103,Ayr,passes
171,Ayub,insisted
495,aye,said
348,Ayala,noted
492,Ayer,adds
82,Ayres,knew
250,Ayuntamiento,had
58,Aya,heard
48,Ayah,reached
157,Ayala,explains
78,Ayrshire,should
247,Ayako,had
70,Ayer,insisted
357,Aylesworth,was
163,Ayres,believed
289,Ayub,began
479,Ayurveda,should
60,Ayala,finds
445,Ayer,writes
48,Ayres,drew
44,Ayrton,stole
46,Ayurveda,seeks
50,Ayesha,stopped
570,Ayla,went
50,Aylmer,writes
96,ayah,did
244,ayllus,had
48,Ayer,remarked
89,Ayllon,landed
53,Ayr,can
63,Ayre,hated
79,Ayacucho,dropped
43,Ayer,fails
304,Ayers,wrote
119,Ayerst,had
518,Aylmer,did
95,Aynard,was
298,Ayyub,had
65,Ayer,attended
94,Ayurveda,could
79,Ayar,was
104,Ayesha,continued
344,Ayios,loannis
143,Ayllon,has
81,Aymara,means
51,Ayrton,disappeared
47,Ayub,maintained
52,aya,are
62,ayes,go
155,Ayler,is
51,Aylmer,have
202,Ayuthaya,was
54,Ayer,declared
148,Ayla,lifted
536,Ayllon,et
4093,Ayodhya,was
105,Ayres,v
